Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,33.34,44.47,26.81,33.5,16.73,1759115800,,
1999-12-31,01,1999-01,1999,1,4,33.5,35.44,23.66,29.12,14.69,2147395000,-0.1219366407650927,-0.8400671902901753
2000-12-31,01,2000-01,2000,1,3,29.0,33.44,21.44,30.47,15.57,2497213800,0.05990469707283874,0.4127058957783769
2001-12-31,00,2001-00,2001,1,2,30.47,31.09,21.18,23.58,12.32,2271617800,-0.20873474630700062,-1.438051850090437
2002-12-31,00,2002-00,2002,1,2,23.4,28.95,21.45,21.92,11.64,2716847200,-0.05519480519480513,-0.38025768651392344
2003-12-31,00,2003-00,2003,1,2,22.08,25.45,18.5,25.38,13.75,2641499600,0.18127147766323026,1.2488471058806796
2004-12-31,00,2004-00,2004,1,2,25.4,26.75,19.15,20.82,11.53,3071882000,-0.16145454545454552,-1.112320837350848
2005-12-31,01,2005-01,2005,1,3,20.95,22.63,20.16,20.16,11.46,2987944000,-0.00607111882046818,-0.04182621152614651
2006-12-31,01,2006-01,2006,1,3,20.4,24.67,19.68,24.12,14.1,3365814000,0.23036649214659666,1.5870810494723413
2007-12-31,00,2007-00,2007,1,3,24.18,32.16,22.78,30.68,18.4,4588467000,0.3049645390070921,2.1010149354152716
2008-12-31,00,2008-00,2008,1,2,30.73,32.79,20.15,22.64,13.97,6391846800,-0.24076086956521725,-1.6586918087821547
2009-12-31,00,2009-00,2009,1,2,22.7,29.73,18.72,28.5,18.2,5625709800,0.3027916964924837,2.0860454094816636
2010-12-31,01,2010-01,2010,1,4,28.58,32.94,24.74,32.88,21.66,5183228600,0.1901098901098901,1.3097382397031623
2011-12-31,01,2011-01,2011,1,3,32.94,35.88,30.65,34.99,23.71,4589791800,0.09464450600184682,0.6520414514825152
2012-12-31,01,2012-01,2012,1,3,35.08,40.67,33.28,36.25,25.25,3797096700,0.06495149725854077,0.44747519256527296
2013-12-31,00,2013-00,2013,1,2,36.99,43.43,36.52,41.31,29.61,3634684700,0.1726732673267326,1.1896108143641653
2014-12-31,00,2014-00,2014,1,2,41.12,45.0,36.89,42.22,31.17,3858442800,0.05268490374873358,0.36296603535413374
2015-12-31,00,2015-00,2015,1,2,42.26,43.91,36.56,42.96,32.77,3621759900,0.051331408405518086,0.35364129897537516
2016-12-31,01,2016-01,2016,1,4,42.34,47.13,39.88,41.46,32.65,3369770500,-0.0036618858712238467,-0.02522810334695519
2017-12-31,01,2017-01,2017,1,3,41.5,47.48,40.22,45.88,37.35,2857522700,0.14395099540581935,0.9917323250113619
2018-12-31,00,2018-00,2018,1,2,45.91,50.84,41.45,47.35,39.88,3143896100,0.06773761713520754,0.4666698159526108
2019-12-31,00,2019-00,2019,1,2,46.94,55.92,44.42,55.35,48.09,3236708800,0.2058676028084252,1.418299024623914
2020-12-31,00,2020-00,2020,1,2,55.32,60.13,36.27,54.84,49.28,4301167500,0.024745269286754024,0.17047942859721785
2021-12-31,01,2021-01,2021,1,4,54.27,59.35,48.11,59.21,54.88,3990523600,0.11363636363636376,0.78288347223455
2022-12-31,01,2022-01,2022,1,3,58.82,67.2,54.02,63.61,60.7,4021898700,0.10604956268221577,0.7306151587821552
2023-12-31,01,2023-01,2023,1,3,63.56,64.99,51.55,58.93,58.01,3438191300,-0.044316309719934166,-0.3053116565854411
