Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,23.94,39.75,22.31,38.41,21.02,1135542000,,
1999-12-31,01,1999-01,1999,1,4,38.69,49.56,35.94,40.31,22.17,865567400,0.05470980019029503,0.25286327595368413
2000-12-31,01,2000-01,2000,1,3,39.94,43.62,26.38,34.0,18.82,1172940100,-0.1511050969778981,-0.6983927870734269
2001-12-31,00,2001-00,2001,1,2,33.81,35.06,24.75,26.47,14.77,1206072800,-0.21519659936238045,-0.9946173610503652
2002-12-31,00,2002-00,2002,1,2,26.47,30.72,15.17,16.08,9.1,1532908200,-0.3838862559241706,-1.7742842402813148
2003-12-31,00,2003-00,2003,1,2,16.17,27.01,12.12,24.83,14.27,1701588200,0.5681318681318681,2.6258492052580085
2004-12-31,00,2004-00,2004,1,2,24.95,32.96,24.54,32.06,18.77,1135170100,0.3153468815697267,1.4575020427445202
2005-12-31,01,2005-01,2005,1,3,31.6,35.69,27.36,33.72,20.14,1571965200,0.07298881193393725,0.33734705718878993
2006-12-31,01,2006-01,2006,1,3,34.29,44.68,31.73,44.33,27.13,1827609300,0.3470705064548163,1.604125493856896
2007-12-31,00,2007-00,2007,1,3,43.65,63.69,42.31,58.91,37.0,1923030000,0.3638039071138961,1.6814656137948782
2008-12-31,00,2008-00,2008,1,2,59.48,67.0,45.79,62.19,40.18,2553713800,0.08594594594594596,0.3972336468281471
2009-12-31,00,2009-00,2009,1,2,62.38,64.75,50.44,62.44,41.77,2404392800,0.03957192633150819,0.18289752280539365
2010-12-31,01,2010-01,2010,1,4,62.63,80.94,61.06,76.76,53.02,1678840200,0.26933205649988023,1.2448260803186677
2011-12-31,01,2011-01,2011,1,3,77.1,101.0,72.14,100.33,71.4,1701592500,0.34666163711806863,1.6022357402923169
2012-12-31,01,2012-01,2012,1,3,101.33,102.22,83.31,88.21,64.79,1488658500,-0.09257703081232493,-0.42788186408734535
2013-12-31,00,2013-00,2013,1,2,89.4,103.7,89.25,97.03,73.6,1244568500,0.13597777434789293,0.628475800659173
2014-12-31,00,2014-00,2014,1,2,96.81,103.78,87.62,93.7,73.52,1382328100,-0.0010869565217390686,-0.005023805350232638
2015-12-31,00,2015-00,2015,1,2,94.13,120.23,87.5,118.14,95.89,1639297700,0.30427094668117527,1.406310169068739
2016-12-31,01,2016-01,2016,1,4,117.25,131.96,110.33,121.72,101.85,1386829600,0.062154552090937454,0.28727218162891993
2017-12-31,01,2017-01,2017,1,3,121.86,175.78,118.18,172.12,147.73,858809300,0.4504663721158566,2.082010940708803
2018-12-31,00,2018-00,2018,1,2,173.73,190.88,146.84,177.57,156.27,1018517600,0.05780816354159635,0.2671836043844186
2019-12-31,00,2019-00,2019,1,2,175.41,221.93,173.41,197.61,178.1,835862100,0.13969411915274832,0.6456523781400003
2020-12-31,00,2020-00,2020,1,2,198.0,231.91,124.23,214.58,198.22,982848200,0.11297024143739476,0.5221372630822658
2021-12-31,01,2021-01,2021,1,4,214.49,269.72,202.73,268.07,253.3,683086500,0.2778730703259005,1.2843017999977957
2022-12-31,01,2022-01,2022,1,3,269.49,281.67,217.68,263.53,254.59,740614900,0.005092775365179492,0.023538303156953308
2023-12-31,01,2023-01,2023,1,3,263.53,299.35,245.73,296.51,292.93,674266300,0.1505950744334028,0.6960355134046741
