Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,34.36,40.92,27.44,29.73,14.64,643712076,,
1999-12-31,01,1999-01,1999,1,4,30.26,43.22,28.98,40.92,20.66,707341428,0.4112021857923496,1.856216435362669
2000-12-31,01,2000-01,2000,1,3,40.16,51.4,32.69,50.38,26.08,1002502745,0.2623426911907065,1.1842466599420558
2001-12-31,00,2001-00,2001,1,2,49.38,53.09,35.89,49.42,26.13,1190950966,0.0019171779141105016,0.0086543731445127
2002-12-31,00,2002-00,2002,1,2,48.93,55.0,41.81,51.55,27.81,1459607015,0.06429391504018378,0.29023051412393686
2003-12-31,00,2003-00,2003,1,2,51.56,71.4,49.94,71.1,39.11,1259142459,0.40632865875584323,1.8342167444662891
2004-12-31,00,2004-00,2004,1,2,71.07,75.49,61.3,68.62,38.42,904436246,-0.017642546663257375,-0.07964059095378583
2005-12-31,01,2005-01,2005,1,3,68.7,73.12,58.29,64.8,37.08,909115957,-0.03487766788131186,-0.15744201413633693
2006-12-31,01,2006-01,2006,1,3,65.02,73.87,56.06,65.16,38.18,991622140,0.029665587918015213,0.1339140543526278
2007-12-31,00,2007-00,2007,1,3,64.82,81.1,60.95,70.5,42.28,1165103135,0.10738606600314315,0.48475369910760635
2008-12-31,00,2008-00,2008,1,2,70.43,70.87,41.81,48.11,29.67,1645612996,-0.2982497634815515,-1.3463355301740827
2009-12-31,00,2009-00,2009,1,2,48.12,70.5,34.17,69.12,44.07,1417027618,0.48533872598584415,2.190877750703007
2010-12-31,01,2010-01,2010,1,4,69.47,76.5,57.66,72.16,47.18,1237311510,0.07056954844565455,0.3185594828698091
2011-12-31,01,2011-01,2011,1,3,72.53,82.1,57.38,68.34,45.84,1265324704,-0.028401865197117293,-0.12820945703938172
2012-12-31,01,2012-01,2012,1,3,70.03,79.82,68.55,77.63,53.48,870308387,0.16666666666666652,0.7523535053629418
2013-12-31,00,2013-00,2013,1,2,78.75,117.42,78.56,117.27,82.61,797551400,0.5446896035901272,2.4587947955747027
2014-12-31,00,2014-00,2014,1,2,115.43,140.6,103.35,137.39,99.13,759560822,0.19997578985594955,0.9027149189150808
2015-12-31,00,2015-00,2015,1,2,137.72,142.56,112.04,125.95,93.27,743848015,-0.05911429436094018,-0.266849079477061
2016-12-31,01,2016-01,2016,1,4,123.79,152.4,112.58,149.31,113.53,621548526,0.2172188270612201,0.9805520758220143
2017-12-31,01,2017-01,2017,1,3,149.52,204.21,145.11,196.8,153.15,553808043,0.3489826477583018,1.5753499101107962
2018-12-31,00,2018-00,2018,1,2,197.14,217.2,147.88,159.31,127.27,781916571,-0.16898465556643816,-0.7628171878077553
2019-12-31,00,2019-00,2019,1,2,157.04,183.74,125.9,147.51,121.81,828592271,-0.04290091930541362,-0.193659942136324
2020-12-31,00,2020-00,2020,1,2,148.56,152.63,95.35,146.15,125.18,1009779816,0.027666037271160127,0.12488784072275481
2021-12-31,01,2021-01,2021,1,4,146.32,174.71,136.61,148.52,131.25,729387662,0.04849017414922496,0.21889051498097362
2022-12-31,01,2022-01,2022,1,3,149.1,151.99,89.52,100.27,92.37,1434300972,-0.2962285714285714,-1.3372116246176549
2023-12-31,01,2023-01,2023,1,3,101.61,108.61,71.36,91.4,89.29,1077470775,-0.03334415935909929,-0.1505195710631935
