Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,4.91,6.59,3.88,5.07,3.88,2551586400,,
1999-12-31,01,1999-01,1999,1,4,5.07,8.37,4.84,6.2,4.76,2443663200,0.2268041237113403,0.995951232845208
2000-12-31,01,2000-01,2000,1,3,6.16,7.12,3.23,6.98,5.39,2440697600,0.13235294117647056,0.5811934667606057
2001-12-31,00,2001-00,2001,1,2,6.84,7.51,4.41,7.03,5.46,2830931200,0.012987012987013102,0.05702908476150296
2002-12-31,00,2002-00,2002,1,2,7.04,8.03,4.82,5.56,4.34,3312254400,-0.20512820512820518,-0.9007670823868081
2003-12-31,00,2003-00,2003,1,2,5.57,8.57,5.3,8.56,6.72,2926090400,0.5483870967741935,2.408099095251829
2004-12-31,00,2004-00,2004,1,2,8.59,11.55,8.23,11.34,8.95,2511208800,0.33184523809523814,1.4572119262496408
2005-12-31,01,2005-01,2005,1,3,11.32,11.44,9.39,10.85,8.62,3408677600,-0.036871508379888285,-0.16191162500444445
2006-12-31,01,2006-01,2006,1,3,10.85,12.65,9.44,12.38,9.91,3637513600,0.1496519721577727,0.657157655378195
2007-12-31,00,2007-00,2007,1,3,12.25,16.98,11.86,16.06,13.01,3515684400,0.3128153380423815,1.3736470769496103
2008-12-31,00,2008-00,2008,1,2,16.08,17.65,10.67,12.75,10.5,4376572000,-0.19292851652574938,-0.8471953275830574
2009-12-31,00,2009-00,2009,1,2,12.74,16.66,9.56,16.52,13.86,3644620000,0.31999999999999984,1.4051966485234197
2010-12-31,01,2010-01,2010,1,4,16.51,23.12,15.22,21.35,18.19,2899564400,0.31240981240981247,1.3718663167628091
2011-12-31,01,2011-01,2011,1,3,21.46,24.56,17.36,24.09,20.82,3107000400,0.14458493677844952,0.6349070893376496
2012-12-31,01,2012-01,2012,1,3,24.34,28.7,21.27,25.8,22.63,2612987800,0.08693563880883759,0.3817552134106912
2013-12-31,00,2013-00,2013,1,2,26.2,40.13,25.7,39.32,34.96,1885213800,0.5448519664162617,2.392575491092269
2014-12-31,00,2014-00,2014,1,2,39.08,49.88,34.92,48.08,43.26,1847005400,0.23741418764302047,1.0425425649621338
2015-12-31,00,2015-00,2015,1,2,48.28,68.19,45.35,62.5,56.84,1917745900,0.31391585760517815,1.3784797219535987
2016-12-31,01,2016-01,2016,1,4,61.11,65.44,49.01,50.83,46.78,2480992000,-0.1769880365939479,-0.7771968620329878
2017-12-31,01,2017-01,2017,1,3,51.99,65.19,50.35,62.55,58.34,2414854800,0.24711415134672943,1.0851374289847922
2018-12-31,00,2018-00,2018,1,2,62.85,86.04,62.09,74.14,69.93,1861269700,0.19866300994172104,0.8723768617365042
2019-12-31,00,2019-00,2019,1,2,72.79,101.79,71.21,101.31,96.56,1613599100,0.38080938080938065,1.6722252051238145
2020-12-31,00,2020-00,2020,1,2,101.36,147.95,60.0,141.47,136.13,1867665800,0.4097970173985086,1.7995168606977439
2021-12-31,01,2021-01,2021,1,4,142.85,179.1,125.44,166.67,161.58,1601159100,0.18695364724895325,0.820958245448309
2022-12-31,01,2022-01,2022,1,3,167.53,167.91,82.22,117.01,114.66,1934934200,-0.2903824730783514,-1.2751389936238804
2023-12-31,01,2023-01,2023,1,3,118.55,131.31,88.66,108.57,107.76,1911079800,-0.06017791732077438,-0.26425564916959887
