Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-12-31,00,1998-00,1998,1,2,41.59,55.03,36.37,48.56,14.84,704974379,,
1999-12-31,01,1999-01,1999,1,4,49.46,62.5,45.53,55.36,17.37,823859619,0.17048517520215634,1.096498605569001
2000-12-31,01,2000-01,2000,1,3,54.52,59.36,35.13,45.08,14.55,1351640210,-0.1623488773747841,-1.0441688988268811
2001-12-31,00,2001-00,2001,1,2,44.63,51.62,39.39,42.68,14.19,1435173066,-0.024742268041237248,-0.15913326407214762
2002-12-31,00,2002-00,2002,1,2,42.94,45.95,23.39,34.85,12.03,2007258673,-0.15221987315010577,-0.9790228297039054
2003-12-31,00,2003-00,2003,1,2,35.21,39.85,27.97,31.55,11.35,2086994888,-0.05652535328345798,-0.3635505021542946
2004-12-31,00,2004-00,2004,1,2,31.57,38.01,30.69,36.43,13.65,1865330656,0.20264317180616742,1.3033271370960333
2005-12-31,01,2005-01,2005,1,3,36.69,36.93,26.2,27.09,10.62,2520047422,-0.22197802197802208,-1.4276818572480061
2006-12-31,01,2006-01,2006,1,3,27.16,35.14,27.02,34.77,14.3,3150380183,0.34651600753295675,2.22866485966704
2007-12-31,00,2007-00,2007,1,3,35.13,43.17,33.23,40.79,17.48,3309371365,0.22237762237762237,1.430251941599487
2008-12-31,00,2008-00,2008,1,2,40.98,41.37,21.64,31.79,14.32,4735555606,-0.18077803203661325,-1.162698515050401
2009-12-31,00,2009-00,2009,1,2,32.0,32.6,24.48,31.07,14.86,4648547862,0.0377094972067038,0.24253376315465036
2010-12-31,01,2010-01,2010,1,4,31.33,36.0,24.84,35.78,18.21,5013778852,0.2254374158815613,1.4499314199260909
2011-12-31,01,2011-01,2011,1,3,36.06,40.25,32.28,40.12,21.53,4211889000,0.18231740801757268,1.1725992211649763
2012-12-31,01,2012-01,2012,1,3,40.28,48.77,36.8,43.27,24.36,3499121000,0.13144449605202024,0.8454031645851708
2013-12-31,00,2013-00,2013,1,2,44.49,54.31,41.5,49.14,28.89,3237056400,0.1859605911330049,1.196030849171148
2014-12-31,00,2014-00,2014,1,2,49.08,53.66,45.09,46.78,28.74,5549129100,-0.005192107995846351,-0.03339374916709577
2015-12-31,00,2015-00,2015,1,2,47.0,50.86,38.06,46.22,29.78,3815238100,0.036186499652052895,0.23273839711781155
2016-12-31,01,2016-01,2016,1,4,45.67,56.95,43.79,53.38,35.94,3661395800,0.2068502350570851,1.3303854369317922
2017-12-31,01,2017-01,2017,1,3,53.96,54.83,42.8,52.93,37.37,3904368300,0.0397885364496382,0.2559053869811657
2018-12-31,00,2018-00,2018,1,2,53.16,61.58,46.09,56.22,41.57,4125201200,0.11238961734011244,0.7228491189790454
2019-12-31,00,2019-00,2019,1,2,56.16,62.22,52.28,61.4,47.33,3230374100,0.1385614625932161,0.891176903439878
2020-12-31,00,2020-00,2020,1,2,61.38,61.95,48.84,58.75,47.27,4198602700,-0.0012676949080919764,-0.008153352321464451
2021-12-31,01,2021-01,2021,1,4,58.96,59.85,49.69,51.96,43.7,4627335200,-0.07552358789930191,-0.4857402335479138
2022-12-31,01,2022-01,2022,1,3,52.07,55.51,34.55,39.4,34.95,5835432200,-0.20022883295194505,-1.2877989881887353
2023-12-31,01,2023-01,2023,1,3,39.77,42.58,30.14,37.7,35.9,5478075200,0.027181688125893944,0.17482272632627827
