Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,0.12,0.18,0.12,0.17,0.14,8186438400,,
1998-01-31,02,1998-02,1998,1,16,0.17,0.18,0.16,0.16,0.14,2025139200,0.0,0.0
1998-02-15,05,1998-05,1998,2,2,0.17,0.18,0.16,0.17,0.15,3190264000,0.0714285714285714,4.509853792212734
1998-02-28,07,1998-07,1998,2,17,0.17,0.21,0.17,0.21,0.18,4163902400,0.19999999999999996,12.627590618195658
1998-03-15,09,1998-09,1998,3,2,0.21,0.24,0.19,0.24,0.2,6706627200,0.11111111111111116,7.015328121219816
1998-03-31,11,1998-11,1998,3,16,0.24,0.25,0.22,0.25,0.21,3919350400,0.04999999999999982,3.1568976545489043
1998-04-15,13,1998-13,1998,4,1,0.24,0.25,0.22,0.24,0.21,2793716800,0.0,0.0
1998-04-30,15,1998-15,1998,4,16,0.26,0.26,0.23,0.24,0.21,5288169600,0.0,0.0
1998-05-15,17,1998-17,1998,5,1,0.25,0.28,0.24,0.26,0.22,4567740800,0.04761904761904767,3.006569194808494
1998-05-31,20,1998-20,1998,5,18,0.26,0.27,0.23,0.24,0.2,2235598400,-0.09090909090909083,-5.739813917361659
1998-06-15,22,1998-22,1998,6,1,0.24,0.26,0.23,0.25,0.21,2095833600,0.04999999999999982,3.1568976545489043
1998-06-30,24,1998-24,1998,6,16,0.25,0.26,0.24,0.26,0.22,1814008000,0.04761904761904767,3.006569194808494
1998-07-15,26,1998-26,1998,7,1,0.26,0.31,0.25,0.31,0.26,4785480000,0.18181818181818188,11.479627834723333
1998-07-31,28,1998-28,1998,7,16,0.34,0.34,0.29,0.31,0.26,6142180800,0.0,0.0
1998-08-15,31,1998-31,1998,8,3,0.31,0.37,0.3,0.36,0.31,5565806400,0.1923076923076923,12.141914055957367
1998-08-31,33,1998-33,1998,8,17,0.37,0.39,0.28,0.28,0.24,7655065600,-0.22580645161290325,-14.256957149575747
1998-09-15,35,1998-35,1998,9,1,0.28,0.35,0.27,0.34,0.29,4816481600,0.20833333333333326,13.153740227287145
1998-09-30,37,1998-37,1998,9,16,0.34,0.36,0.32,0.34,0.29,3263836800,0.0,0.0
1998-10-15,39,1998-39,1998,10,1,0.33,0.37,0.25,0.33,0.28,8313558400,-0.0344827586206895,-2.1771707962406217
1998-10-31,41,1998-41,1998,10,16,0.33,0.35,0.31,0.33,0.28,4617368000,0.0,0.0
1998-11-15,44,1998-44,1998,11,2,0.33,0.35,0.29,0.32,0.27,6536756800,-0.0357142857142857,-2.254926896106367
1998-11-30,46,1998-46,1998,11,16,0.32,0.33,0.28,0.29,0.24,3586766400,-0.11111111111111116,-7.015328121219816
1998-12-15,48,1998-48,1998,12,1,0.29,0.33,0.28,0.3,0.25,6862665600,0.04166666666666674,2.6307480454574343
1998-12-31,50,1998-50,1998,12,16,0.3,0.37,0.29,0.37,0.31,6061440000,0.24,15.153108741834794
1999-01-15,01,1999-01,1999,1,4,0.38,0.42,0.36,0.37,0.31,10978811200,0.0,0.0
1999-01-31,03,1999-03,1999,1,19,0.37,0.38,0.33,0.37,0.31,4148592000,0.0,0.0
1999-02-15,05,1999-05,1999,2,1,0.37,0.37,0.32,0.34,0.28,4892910400,-0.09677419354838701,-6.110124492675315
1999-02-28,07,1999-07,1999,2,16,0.35,0.35,0.31,0.31,0.26,3223606400,-0.07142857142857151,-4.509853792212741
1999-03-15,09,1999-09,1999,3,1,0.31,0.32,0.29,0.3,0.26,4813401600,0.0,0.0
1999-03-31,11,1999-11,1999,3,16,0.31,0.33,0.29,0.32,0.27,5138593600,0.03846153846153855,2.428382811191479
1999-04-15,13,1999-13,1999,4,1,0.32,0.34,0.31,0.32,0.27,5552052800,0.0,0.0
1999-04-30,15,1999-15,1999,4,16,0.32,0.42,0.3,0.41,0.35,10336916800,0.29629629629629606,18.70754165658615
1999-05-15,18,1999-18,1999,5,3,0.41,0.45,0.38,0.4,0.33,5497710400,-0.05714285714285705,-3.6078830337701833
1999-05-31,20,1999-20,1999,5,17,0.39,0.41,0.37,0.39,0.33,3411195200,0.0,0.0
1999-06-15,22,1999-22,1999,6,1,0.4,0.44,0.39,0.41,0.35,3714569600,0.06060606060606055,3.82654261157444
1999-06-30,24,1999-24,1999,6,16,0.41,0.43,0.38,0.41,0.35,3204051200,0.0,0.0
1999-07-15,26,1999-26,1999,7,1,0.41,0.51,0.4,0.48,0.4,6963140800,0.14285714285714302,9.019707584425483
1999-07-31,28,1999-28,1999,7,16,0.48,0.5,0.45,0.5,0.42,4503441600,0.04999999999999982,3.1568976545489043
1999-08-15,31,1999-31,1999,8,2,0.5,0.55,0.47,0.54,0.45,4324734400,0.0714285714285714,4.509853792212734
1999-08-31,33,1999-33,1999,8,16,0.53,0.59,0.52,0.58,0.49,4919868800,0.0888888888888888,5.612262496975844
1999-09-15,35,1999-35,1999,9,1,0.6,0.71,0.59,0.67,0.57,7058755200,0.16326530612244894,10.308237239343395
1999-09-30,37,1999-37,1999,9,16,0.68,0.72,0.51,0.57,0.48,11908713600,-0.1578947368421052,-9.969150488049202
1999-10-15,39,1999-39,1999,10,1,0.55,0.68,0.53,0.67,0.56,8216902400,0.16666666666666674,10.522992181829723
1999-10-31,42,1999-42,1999,10,18,0.66,0.72,0.61,0.72,0.6,6251593600,0.0714285714285714,4.509853792212734
1999-11-15,44,1999-44,1999,11,1,0.71,0.87,0.69,0.8,0.68,4949011200,0.13333333333333353,8.418393745463787
1999-11-30,46,1999-46,1999,11,16,0.8,0.93,0.79,0.87,0.74,3675918400,0.08823529411764697,5.570995860968669
1999-12-15,48,1999-48,1999,12,1,0.9,1.05,0.81,0.87,0.73,6239766400,-0.013513513513513487,-0.853215582310516
1999-12-31,50,1999-50,1999,12,16,0.88,0.93,0.84,0.92,0.78,3178448000,0.06849315068493156,4.324517334998517
2000-01-15,01,2000-01,2000,1,3,0.94,1.0,0.77,0.9,0.76,6400945600,-0.02564102564102566,-1.6189218741276503
2000-01-31,03,2000-03,2000,1,18,0.9,1.08,0.84,0.93,0.78,6154232000,0.026315789473684292,1.6615250813415399
2000-02-15,05,2000-05,2000,2,1,0.93,1.07,0.87,1.06,0.9,4200336000,0.15384615384615374,9.713531244765887
2000-02-29,07,2000-07,2000,2,16,1.05,1.06,0.95,1.02,0.87,3119446400,-0.033333333333333326,-2.1045984363659436
2000-03-15,09,2000-09,2000,3,1,1.06,1.18,1.02,1.04,0.88,4167900800,0.011494252873563315,0.7257235987468833
2000-03-31,11,2000-11,2000,3,16,1.05,1.34,1.02,1.21,1.03,4530456000,0.17045454545454541,10.762151095053119
2000-04-15,14,2000-14,2000,4,3,1.21,1.25,0.94,1.0,0.84,4841289600,-0.18446601941747576,-11.64680688086008
2000-04-30,16,2000-16,2000,4,17,0.98,1.16,0.97,1.11,0.94,3821115200,0.11904761904761907,7.516422987021229
2000-05-15,18,2000-18,2000,5,1,1.11,1.13,0.88,0.9,0.76,4168740800,-0.1914893617021276,-12.090246336570312
2000-05-31,20,2000-20,2000,5,16,0.93,0.97,0.73,0.75,0.63,5639009600,-0.17105263157894735,-10.799913028719972
2000-06-15,22,2000-22,2000,6,1,0.73,0.89,0.72,0.82,0.7,4541555200,0.11111111111111094,7.0153281212198015
2000-06-30,24,2000-24,2000,6,16,0.83,1.03,0.8,0.94,0.79,3563649600,0.12857142857142878,8.11773682598294
2000-07-15,27,2000-27,2000,7,3,0.93,1.08,0.89,1.03,0.87,2526255200,0.10126582278481,6.393716768706656
2000-07-31,29,2000-29,2000,7,17,1.04,1.05,0.84,0.91,0.77,3220515200,-0.11494252873563215,-7.257235987468769
2000-08-15,31,2000-31,2000,8,1,0.9,0.92,0.79,0.83,0.7,2406952800,-0.09090909090909094,-5.7398139173616665
2000-08-31,33,2000-33,2000,8,16,0.84,1.1,0.84,1.09,0.92,3229133600,0.3142857142857145,19.843356685736055
2000-09-15,35,2000-35,2000,9,1,1.09,1.15,0.97,0.99,0.83,2826331200,-0.09782608695652184,-6.176538889334841
2000-09-30,38,2000-38,2000,9,18,0.99,1.1,0.45,0.46,0.39,11690599200,-0.5301204819277108,-33.47072212051862
2000-10-15,40,2000-40,2000,10,2,0.48,0.48,0.34,0.39,0.33,12340501600,-0.15384615384615385,-9.713531244765894
2000-10-31,42,2000-42,2000,10,16,0.4,0.42,0.31,0.35,0.3,9565287200,-0.09090909090909094,-5.7398139173616665
2000-11-15,44,2000-44,2000,11,1,0.35,0.41,0.33,0.35,0.3,4821672800,0.0,0.0
2000-11-30,46,2000-46,2000,11,16,0.35,0.36,0.29,0.29,0.25,3666700800,-0.16666666666666663,-10.522992181829716
2000-12-15,48,2000-48,2000,12,1,0.3,0.31,0.25,0.25,0.21,5431132000,-0.16000000000000003,-10.102072494556532
2000-12-31,51,2000-51,2000,12,18,0.26,0.27,0.24,0.27,0.22,3427838400,0.04761904761904767,3.006569194808494
2001-01-15,00,2001-00,2001,1,2,0.27,0.33,0.26,0.31,0.26,5191659200,0.18181818181818188,11.479627834723333
2001-01-31,02,2001-02,2001,1,16,0.31,0.4,0.29,0.39,0.33,8517801600,0.26923076923076916,16.99867967834031
2001-02-15,04,2001-04,2001,2,1,0.37,0.39,0.33,0.36,0.3,4265688000,-0.09090909090909094,-5.7398139173616665
2001-02-28,06,2001-06,2001,2,16,0.34,0.36,0.32,0.33,0.28,2758078400,-0.06666666666666654,-4.209196872731879
2001-03-15,08,2001-08,2001,3,1,0.32,0.39,0.31,0.35,0.3,4557616000,0.0714285714285714,4.509853792212734
2001-03-31,10,2001-10,2001,3,16,0.34,0.42,0.34,0.39,0.33,6241446400,0.10000000000000009,6.313795309097836
2001-04-15,13,2001-13,2001,4,2,0.39,0.41,0.33,0.4,0.34,3523721600,0.030303030303030276,1.91327130578722
2001-04-30,15,2001-15,2001,4,16,0.39,0.48,0.35,0.46,0.38,7635269600,0.11764705882352944,7.4279944812915675
2001-05-15,17,2001-17,2001,5,1,0.45,0.48,0.41,0.41,0.35,3333517600,-0.07894736842105265,-4.984575244024605
2001-05-31,19,2001-19,2001,5,16,0.42,0.44,0.34,0.36,0.3,4134916800,-0.1428571428571428,-9.019707584425468
2001-06-15,21,2001-21,2001,6,1,0.36,0.39,0.35,0.37,0.31,3962028000,0.03333333333333344,2.1045984363659502
2001-06-30,24,2001-24,2001,6,18,0.36,0.45,0.36,0.42,0.35,3676237600,0.12903225806451601,8.14683265690042
2001-07-15,26,2001-26,2001,7,2,0.42,0.45,0.37,0.44,0.38,3070592000,0.08571428571428585,5.411824550655293
2001-07-31,28,2001-28,2001,7,16,0.44,0.45,0.32,0.34,0.28,5584510400,-0.26315789473684204,-16.61525081341534
2001-08-15,30,2001-30,2001,8,1,0.34,0.36,0.32,0.33,0.28,2340503200,0.0,0.0
2001-08-31,32,2001-32,2001,8,16,0.33,0.34,0.31,0.33,0.28,2788856000,0.0,0.0
2001-09-15,35,2001-35,2001,9,4,0.33,0.34,0.3,0.31,0.26,1541316000,-0.07142857142857151,-4.509853792212741
2001-09-30,37,2001-37,2001,9,17,0.29,0.32,0.26,0.28,0.23,3990207200,-0.11538461538461542,-7.285148433574423
2001-10-15,39,2001-39,2001,10,1,0.28,0.33,0.26,0.32,0.27,3501439200,0.17391304347826098,10.980513581039713
2001-10-31,41,2001-41,2001,10,16,0.32,0.35,0.3,0.31,0.27,4042808000,0.0,0.0
2001-11-15,43,2001-43,2001,11,1,0.32,0.36,0.31,0.35,0.29,2781788800,0.07407407407407396,4.676885414146534
2001-11-30,45,2001-45,2001,11,16,0.34,0.38,0.33,0.38,0.32,2587956000,0.10344827586206917,6.531512388721908
2001-12-15,48,2001-48,2001,12,3,0.38,0.43,0.36,0.36,0.31,2628287200,-0.03125,-1.9730610340930723
2001-12-31,50,2001-50,2001,12,17,0.36,0.41,0.36,0.39,0.33,2001552000,0.06451612903225823,4.073416328450224
2002-01-15,00,2002-00,2002,1,2,0.39,0.43,0.36,0.39,0.33,4281793600,0.0,0.0
2002-01-31,02,2002-02,2002,1,16,0.38,0.44,0.37,0.44,0.37,4233583200,0.1212121212121211,7.65308522314888
2002-02-15,04,2002-04,2002,2,1,0.43,0.46,0.42,0.43,0.36,4134418400,-0.027027027027027084,-1.706431164621039
2002-02-28,07,2002-07,2002,2,19,0.42,0.44,0.37,0.39,0.33,3703005600,-0.08333333333333326,-5.2614960909148545
2002-03-15,08,2002-08,2002,3,1,0.39,0.45,0.39,0.45,0.38,2901987200,0.15151515151515138,9.5663565289361
2002-03-31,11,2002-11,2002,3,18,0.45,0.45,0.41,0.42,0.36,2416596000,-0.052631578947368474,-3.323050162683072
2002-04-15,13,2002-13,2002,4,1,0.42,0.45,0.42,0.45,0.38,2939109600,0.05555555555555558,3.507664060609908
2002-04-30,15,2002-15,2002,4,16,0.45,0.47,0.41,0.43,0.37,3483726400,-0.02631578947368418,-1.6615250813415325
2002-05-15,17,2002-17,2002,5,1,0.43,0.46,0.4,0.45,0.38,3201878400,0.027027027027026973,1.706431164621032
2002-05-31,19,2002-19,2002,5,16,0.45,0.46,0.42,0.42,0.35,2774279200,-0.07894736842105265,-4.984575244024605
2002-06-15,22,2002-22,2002,6,3,0.42,0.42,0.32,0.36,0.3,3665160800,-0.1428571428571428,-9.019707584425468
2002-06-30,24,2002-24,2002,6,17,0.36,0.37,0.29,0.32,0.27,5042856000,-0.09999999999999987,-6.313795309097823
2002-07-15,26,2002-26,2002,7,1,0.32,0.34,0.3,0.33,0.28,2646554400,0.03703703703703698,2.338442707073267
2002-07-31,28,2002-28,2002,7,16,0.32,0.33,0.25,0.27,0.23,5471860800,-0.1785714285714286,-11.274634480531843
2002-08-15,30,2002-30,2002,8,1,0.27,0.28,0.25,0.28,0.24,2821431200,0.04347826086956519,2.7451283952599246
2002-08-31,32,2002-32,2002,8,16,0.28,0.29,0.26,0.26,0.22,2330255200,-0.08333333333333326,-5.2614960909148545
2002-09-15,35,2002-35,2002,9,3,0.26,0.26,0.25,0.25,0.21,2268274400,-0.045454545454545525,-2.869906958680837
2002-09-30,37,2002-37,2002,9,16,0.25,0.27,0.25,0.26,0.22,3023563200,0.04761904761904767,3.006569194808494
2002-10-15,39,2002-39,2002,10,1,0.26,0.27,0.24,0.27,0.23,3251696000,0.045454545454545414,2.8699069586808297
2002-10-31,41,2002-41,2002,10,16,0.27,0.29,0.25,0.29,0.24,3359736800,0.04347826086956519,2.7451283952599246
2002-11-15,43,2002-43,2002,11,1,0.28,0.31,0.27,0.28,0.24,2431189600,0.0,0.0
