Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,13.52,13.67,12.03,12.25,8.74,92208400,,
1998-01-31,02,1998-02,1998,1,16,12.38,12.66,11.66,12.5,8.92,100032800,0.020594965675057253,1.643026885702055
1998-02-15,05,1998-05,1998,2,2,12.72,14.19,12.72,13.42,9.58,132504000,0.07399103139013463,5.902862660366048
1998-02-28,07,1998-07,1998,2,17,13.47,13.88,13.09,13.28,9.48,67564000,-0.010438413361169019,-0.832756609895373
1998-03-15,09,1998-09,1998,3,2,13.3,15.16,12.97,14.61,10.43,163242800,0.10021097046413496,7.994639142044141
1998-03-31,11,1998-11,1998,3,16,14.59,15.5,14.56,15.22,10.86,142834400,0.04122722914669219,3.2890293181237045
1998-04-15,13,1998-13,1998,4,1,15.22,15.23,14.12,14.48,10.34,94284000,-0.047882136279926324,-3.8199450532733175
1998-04-30,15,1998-15,1998,4,16,14.12,14.95,13.62,14.91,10.64,130278800,0.029013539651837617,2.314644581082523
1998-05-15,17,1998-17,1998,5,1,14.92,15.61,14.31,15.42,11.01,95955200,0.03477443609022557,2.774237856611996
1998-05-31,20,1998-20,1998,5,18,15.41,16.78,14.78,15.12,10.8,121542400,-0.019073569482288777,-1.5216528136126435
1998-06-15,22,1998-22,1998,6,1,15.11,16.19,14.91,15.52,11.08,87779600,0.025925925925925908,2.0683206762808934
1998-06-30,24,1998-24,1998,6,16,15.62,16.81,14.97,16.34,11.67,104658800,0.05324909747292428,4.248110930009633
1998-07-15,26,1998-26,1998,7,1,16.34,18.09,16.12,17.72,12.65,83165600,0.08397600685518425,6.699444864046088
1998-07-31,28,1998-28,1998,7,16,17.72,19.84,17.5,18.36,13.11,188329200,0.036363636363636376,2.9010212082900875
1998-08-15,31,1998-31,1998,8,3,18.25,18.38,16.84,17.41,12.42,100803600,-0.05263157894736836,-4.198846485683015
1998-08-31,33,1998-33,1998,8,17,17.41,18.11,15.0,15.22,10.86,109210400,-0.12560386473429952,-10.02043557452856
1998-09-15,35,1998-35,1998,9,1,15.28,18.56,14.48,17.91,12.78,134008400,0.17679558011049723,14.10441250439379
1998-09-30,37,1998-37,1998,9,16,18.12,19.94,17.34,18.89,13.48,144809200,0.05477308294209715,4.369691569607535
1998-10-15,39,1998-39,1998,10,1,18.62,19.19,16.53,19.19,13.7,121592400,0.016320474777447913,1.3020161951153453
1998-10-31,41,1998-41,1998,10,16,19.34,20.0,18.0,19.64,14.02,104464400,0.023357664233576658,1.8634296812374291
1998-11-15,44,1998-44,1998,11,2,19.66,21.03,19.56,20.09,14.34,99860400,0.022824536376604865,1.82089776269278
1998-11-30,46,1998-46,1998,11,16,20.28,20.5,18.66,18.81,13.43,116041600,-0.06345885634588566,-5.062625923114326
1998-12-15,48,1998-48,1998,12,1,18.66,21.09,18.59,20.98,14.98,119755200,0.11541325390915858,9.207448175976538
1998-12-31,50,1998-50,1998,12,16,21.28,27.25,21.22,26.14,18.66,393634000,0.24566088117489993,19.59835422422943
1999-01-15,01,1999-01,1999,1,4,26.16,28.09,25.69,27.22,19.43,101932400,0.0412647374062165,3.2920216551737713
1999-01-31,03,1999-03,1999,1,19,27.38,32.44,27.25,31.95,22.81,95859600,0.17395779722079263,13.878019624836007
1999-02-15,05,1999-05,1999,2,1,32.47,32.5,28.72,30.06,21.46,91375600,-0.05918456817185436,-4.7216314054260975
1999-02-28,07,1999-07,1999,2,16,30.56,33.56,30.12,31.22,22.28,80480400,0.03821062441752088,3.0483703749739655
1999-03-15,09,1999-09,1999,3,1,31.38,38.31,30.66,38.31,27.35,101502400,0.22755834829443455,18.154168849454464
1999-03-31,11,1999-11,1999,3,16,38.5,39.84,35.53,37.44,26.72,96184200,-0.023034734917733224,-1.8376669994013177
1999-04-15,13,1999-13,1999,4,1,37.69,40.69,33.5,34.44,24.58,91426200,-0.08008982035928147,-6.389412354336515
1999-04-30,15,1999-15,1999,4,16,34.69,35.81,29.94,30.72,21.93,157598600,-0.10781122864117165,-8.60097317144589
1999-05-15,18,1999-18,1999,5,3,31.19,32.88,29.88,30.5,21.77,81605800,-0.00729594163246694,-0.5820562387814127
1999-05-31,20,1999-20,1999,5,17,30.16,32.09,28.5,31.62,22.57,89351400,0.03674781809830052,2.931670490692792
1999-06-15,22,1999-22,1999,6,1,31.72,32.25,26.06,27.66,19.74,138057800,-0.125387682764732,-10.003188991368015
1999-06-30,24,1999-24,1999,6,16,28.34,30.62,26.25,30.44,21.73,116232400,0.10081053698074993,8.04247140950736
