Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,24.25,24.94,22.44,22.75,11.57,26538800,,
1998-01-31,02,1998-02,1998,1,16,22.75,24.5,22.25,24.0,12.21,45538600,0.05531547104580814,4.351124556502242
1998-02-15,05,1998-05,1998,2,2,24.41,26.84,24.38,26.78,13.62,29225000,0.11547911547911527,9.083607273419645
1998-02-28,07,1998-07,1998,2,17,26.91,27.59,25.22,27.28,13.88,19763000,0.0190895741556536,1.5015892174731715
1998-03-15,09,1998-09,1998,3,2,27.0,28.69,25.5,28.09,14.29,22344200,0.029538904899135243,2.3235353879997676
1998-03-31,11,1998-11,1998,3,16,28.09,29.62,27.0,27.53,14.0,38589000,-0.020293911826452016,-1.596322627758915
1998-04-15,13,1998-13,1998,4,1,27.53,28.81,26.5,28.31,14.4,26572000,0.028571428571428692,2.247433532086211
1998-04-30,15,1998-15,1998,4,16,28.31,29.12,27.5,28.47,14.54,29036000,0.009722222222222188,0.7647516880015521
1998-05-15,17,1998-17,1998,5,1,28.47,29.59,27.44,28.91,14.77,17066800,0.015818431911966968,1.2442806006391955
1998-05-31,20,1998-20,1998,5,18,28.91,30.38,27.47,27.47,14.03,16249800,-0.050101557210561976,-3.9409971889663273
1998-06-15,22,1998-22,1998,6,1,27.47,28.41,25.53,26.19,13.38,29639800,-0.04632929436920874,-3.644270338913827
1998-06-30,24,1998-24,1998,6,16,26.19,27.5,25.62,26.45,13.51,29631200,0.0097159940209266,0.7642617766062821
1998-07-15,26,1998-26,1998,7,1,26.56,28.19,25.56,26.0,13.28,35326600,-0.01702442635085122,-1.3391443325902237
1998-07-31,28,1998-28,1998,7,16,26.09,27.09,23.97,24.25,12.46,41198400,-0.06174698795180711,-4.8570287929874905
1998-08-15,31,1998-31,1998,8,3,24.31,24.94,22.97,24.19,12.43,28536400,-0.0024077046548957037,-0.18939046618704247
1998-08-31,33,1998-33,1998,8,17,24.19,25.34,20.97,21.0,10.79,30731800,-0.1319388576025745,-10.378333446641037
1998-09-15,35,1998-35,1998,9,1,21.38,24.75,21.38,23.0,11.82,39482800,0.09545875810936066,7.508802486719898
1998-09-30,37,1998-37,1998,9,16,23.0,24.75,19.53,22.25,11.43,50171000,-0.032994923857868064,-2.59538643933813
1998-10-15,39,1998-39,1998,10,1,22.25,24.47,20.97,24.0,12.33,40356800,0.07874015748031504,6.193714458505287
1998-10-31,41,1998-41,1998,10,16,23.91,24.47,21.34,22.47,11.62,39831600,-0.05758313057583142,-4.529499048851763
1998-11-15,44,1998-44,1998,11,2,23.0,25.06,22.53,23.75,12.28,35880600,0.05679862306368322,4.467789551737624
1998-11-30,46,1998-46,1998,11,16,23.75,25.12,23.62,24.72,12.78,27959200,0.04071661237785018,3.202775798982781
1998-12-15,48,1998-48,1998,12,1,24.72,26.09,21.91,22.22,11.49,35373200,-0.10093896713615014,-7.9398766802575835
1998-12-31,50,1998-50,1998,12,16,22.22,23.94,20.56,23.0,11.89,43762600,0.0348128807658834,2.73838724536178
1999-01-15,01,1999-01,1999,1,4,23.28,26.5,23.0,23.78,12.38,52475400,0.04121110176619003,3.241672420124333
1999-01-31,03,1999-03,1999,1,19,23.78,24.16,21.53,21.66,11.27,26367400,-0.08966074313408734,-7.052729622096046
1999-02-15,05,1999-05,1999,2,1,21.72,24.25,21.0,22.41,11.66,33430800,0.03460514640638879,2.7220468245764673
1999-02-28,07,1999-07,1999,2,16,22.41,23.53,22.19,22.78,11.86,21299200,0.01715265866209248,1.3492311084565423
1999-03-15,09,1999-09,1999,3,1,23.25,25.44,22.31,22.72,11.82,40559600,-0.003372681281618828,-0.2652956951872367
1999-03-31,11,1999-11,1999,3,16,22.44,24.03,21.94,22.97,11.95,36189200,0.010998307952622577,0.8651288131127013
1999-04-15,13,1999-13,1999,4,1,23.16,32.22,23.16,30.91,16.08,51595600,0.3456066945606695,27.18548259941929
1999-04-30,15,1999-15,1999,4,16,30.91,33.19,28.97,32.19,16.83,62571200,0.04664179104477606,3.6688513816705677
1999-05-15,18,1999-18,1999,5,3,32.19,33.22,29.59,30.5,15.95,29318000,-0.05228758169934633,-4.112950254798272
1999-05-31,20,1999-20,1999,5,17,30.5,31.12,27.25,27.44,14.35,23402200,-0.10031347962382442,-7.8906757239390135
1999-06-15,22,1999-22,1999,6,1,27.44,31.91,27.28,29.22,15.28,30753600,0.06480836236933807,5.097837036195538
1999-06-30,24,1999-24,1999,6,16,29.22,31.12,29.06,30.0,15.69,24056200,0.026832460732984398,2.1106460199893404
1999-07-15,26,1999-26,1999,7,1,30.31,31.44,29.25,29.75,15.56,26066200,-0.008285532186105726,-0.6517414003181726
1999-07-31,28,1999-28,1999,7,16,29.75,31.28,28.75,29.31,15.41,30663400,-0.009640102827763508,-0.7582921621756155
1999-08-15,31,1999-31,1999,8,2,29.31,31.41,27.91,31.12,16.37,29033800,0.06229720960415319,4.900309323692177
1999-08-31,33,1999-33,1999,8,16,31.12,31.97,28.31,28.31,14.89,27421400,-0.09040928527794745,-7.111610077096228
1999-09-15,35,1999-35,1999,9,1,28.59,30.34,28.25,29.34,15.43,24960000,0.03626595030221624,2.852685947376038
1999-09-30,37,1999-37,1999,9,16,29.31,29.53,26.28,27.41,14.41,30726000,-0.06610499027867789,-5.1998300126686585
1999-10-15,39,1999-39,1999,10,1,27.41,29.44,26.66,28.03,14.74,32349600,0.022900763358778553,1.8013780219011484
1999-10-31,42,1999-42,1999,10,18,28.03,29.0,25.78,27.66,14.63,28843200,-0.00746268656716409,-0.5870162210672846
1999-11-15,44,1999-44,1999,11,1,27.66,28.75,26.59,27.78,14.7,28544400,0.004784688995215225,0.3763644670957687
1999-11-30,46,1999-46,1999,11,16,27.81,28.84,22.81,23.19,12.27,48923600,-0.16530612244897958,-13.003008292784454
1999-12-15,48,1999-48,1999,12,1,23.19,24.59,22.34,23.26,12.3,43331600,0.0024449877750611915,0.1923231628924675
1999-12-31,50,1999-50,1999,12,16,23.26,24.03,21.56,23.53,12.45,33354200,0.012195121951219301,0.9592704100367769
2000-01-15,01,2000-01,2000,1,3,23.84,27.56,23.84,25.97,13.74,46338400,0.10361445783132539,8.150331242866836
2000-01-31,03,2000-03,2000,1,18,25.88,25.88,21.22,21.22,11.3,44285400,-0.1775836972343522,-13.96876445707144
2000-02-15,05,2000-05,2000,2,1,21.38,22.38,17.44,20.0,10.65,60790400,-0.05752212389380529,-4.524700252651423
2000-02-29,07,2000-07,2000,2,16,20.0,20.31,17.5,17.53,9.33,36399600,-0.12394366197183104,-9.749429970176768
2000-03-15,09,2000-09,2000,3,1,17.53,19.53,16.75,19.12,10.18,60334000,0.0911039657020365,7.166253759867583
2000-03-31,11,2000-11,2000,3,16,19.47,20.81,18.84,19.72,10.5,46723000,0.03143418467583503,2.4726184242991662
2000-04-15,14,2000-14,2000,4,3,19.72,22.44,19.72,20.25,10.78,38992400,0.026666666666666616,2.097604629947118
2000-04-30,16,2000-16,2000,4,17,20.25,21.75,18.5,19.72,10.58,46076200,-0.01855287569573283,-1.459372423432598
2000-05-15,18,2000-18,2000,5,1,19.72,20.38,18.78,20.28,10.88,28468000,0.02835538752362954,2.230439705756632
2000-05-31,20,2000-20,2000,5,16,20.28,20.88,18.91,19.12,10.26,28829200,-0.05698529411764719,-4.4824731292528215
2000-06-15,22,2000-22,2000,6,1,19.41,21.25,18.41,18.5,9.93,33938200,-0.032163742690058506,-2.530005584366048
2000-06-30,24,2000-24,2000,6,16,18.5,18.56,16.91,16.94,9.09,34601000,-0.0845921450151057,-6.654032814031653
2000-07-15,27,2000-27,2000,7,3,17.09,18.5,16.97,17.88,9.59,28789400,0.05500550055005493,4.326742223488282
2000-07-31,29,2000-29,2000,7,17,17.88,19.28,16.97,17.03,9.23,42835800,-0.037539103232533844,-2.9528323779234733
2000-08-15,31,2000-31,2000,8,1,17.06,19.75,17.06,19.33,10.47,38531600,0.13434452871072589,10.567563953688099
2000-08-31,33,2000-33,2000,8,16,19.33,19.66,18.25,18.38,9.96,31361000,-0.04871060171919772,-3.8315843885137264
