Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,38.25,39.03,33.88,38.03,14.57,36668600,,
1998-01-31,02,1998-02,1998,1,16,38.47,39.16,36.75,37.38,14.32,30459800,-0.017158544955387822,-1.7912845728412738
1998-02-15,05,1998-05,1998,2,2,37.5,39.06,37.41,38.94,14.92,26056600,0.04189944134078205,4.374136797703452
1998-02-28,07,1998-07,1998,2,17,39.0,41.41,38.09,40.44,15.61,29003600,0.04624664879356555,4.82796814910056
1998-03-15,09,1998-09,1998,3,2,40.56,42.47,40.56,41.44,16.0,31053600,0.024983984625240208,2.608229680526826
1998-03-31,11,1998-11,1998,3,16,41.38,45.09,40.09,40.16,15.5,41617600,-0.03125,-3.262377028287163
1998-04-15,13,1998-13,1998,4,1,40.69,41.91,39.25,40.03,15.46,29281000,-0.002580645161290307,-0.2694091997553254
1998-04-30,15,1998-15,1998,4,16,40.12,42.81,40.0,41.34,15.96,30583200,0.03234152652005173,3.376328101720219
1998-05-15,17,1998-17,1998,5,1,41.75,43.41,41.72,42.5,16.41,25751800,0.02819548872180455,2.943498070635038
1998-05-31,20,1998-20,1998,5,18,42.12,42.25,38.69,39.94,15.53,22574800,-0.05362583790371733,-5.598326454391631
1998-06-15,22,1998-22,1998,6,1,39.94,41.28,38.78,39.72,15.45,26800400,-0.005151320025756578,-0.5377775397562847
1998-06-30,24,1998-24,1998,6,16,39.75,42.62,39.56,41.88,16.29,24752400,0.05436893203883497,5.675902557952037
1998-07-15,26,1998-26,1998,7,1,42.0,42.97,40.0,41.47,16.13,22790200,-0.009821976672805377,-1.0253757142314446
1998-07-31,28,1998-28,1998,7,16,41.56,43.16,40.69,41.31,16.07,34054200,-0.0037197768133910847,-0.38833006164359357
1998-08-15,31,1998-31,1998,8,3,41.31,41.31,37.84,40.06,15.58,34747200,-0.030491599253266943,-3.183202974707075
1998-08-31,33,1998-33,1998,8,17,40.0,40.72,37.03,37.03,14.51,31898600,-0.06867779204107838,-7.169691235465506
