Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2017-08-15,32,2017-32,2017,8,9,19.92,19.96,19.8,19.94,17.47,14200,,
2017-08-31,33,2017-33,2017,8,16,19.99,19.99,19.61,19.77,17.32,7900,-0.008586147681740042,-1.2978766270732813
2017-09-15,35,2017-35,2017,9,1,19.77,20.21,19.74,20.2,17.69,12300,0.021362586605080836,3.2291550152960227
2017-09-30,38,2017-38,2017,9,18,20.17,20.32,20.17,20.25,17.78,12400,0.005087620124364145,0.7690414248152927
2017-10-15,40,2017-40,2017,10,2,20.33,20.65,20.33,20.64,18.13,17800,0.019685039370078705,2.975578041334699
2017-10-31,42,2017-42,2017,10,16,20.71,21.11,20.66,20.95,18.4,47200,0.014892443463871974,2.251132289848132
2017-11-15,44,2017-44,2017,11,1,21.07,21.14,20.9,20.9,18.35,20700,-0.0027173913043476716,-0.41075914266248476
2017-11-30,46,2017-46,2017,11,16,21.05,21.5,21.0,21.49,18.87,9200,0.02833787465940052,4.2835351247900535
2017-12-15,48,2017-48,2017,12,1,21.67,22.1,21.6,22.09,19.4,23900,0.028086910439851565,4.245599532850845
2017-12-31,51,2017-51,2017,12,18,22.25,22.27,22.03,22.13,19.54,27400,0.007216494845360799,1.0908407747408422
2018-01-15,00,2018-00,2018,1,2,22.13,22.83,22.1,22.81,20.13,18700,0.0301944728761514,4.564177331365584
2018-01-31,02,2018-02,2018,1,16,23.04,23.5,22.8,23.08,20.38,18500,0.012419274714356776,1.8772896733706426
2018-02-15,04,2018-04,2018,2,1,23.08,23.16,19.75,22.08,19.5,60900,-0.04317958783120701,-6.526999055928678
2018-02-28,06,2018-06,2018,2,16,22.25,22.63,20.23,22.18,19.58,81400,0.004102564102564044,0.6201409825632853
2018-03-15,08,2018-08,2018,3,1,22.0,22.47,21.46,22.18,19.58,32400,0.0,0.0
2018-03-31,10,2018-10,2018,3,16,22.14,22.14,21.03,21.4,18.95,13700,-0.03217568947906024,-4.863656773997743
2018-04-15,13,2018-13,2018,4,2,20.89,21.8,20.87,21.67,19.19,478800,0.01266490765171513,1.9144193920819508
2018-04-30,15,2018-15,2018,4,16,21.81,22.03,21.4,21.73,19.24,37200,0.002605523710265567,0.39384930823291187
2018-05-15,17,2018-17,2018,5,1,21.44,22.27,21.1,22.0,19.48,72800,0.012474012474012586,1.8855637983343574
2018-05-31,19,2018-19,2018,5,16,22.08,22.3,21.68,21.92,19.41,28700,-0.0035934291581108946,-0.5431804679151048
2018-06-15,21,2018-21,2018,6,1,21.98,22.57,21.95,22.44,19.87,61900,0.02369912416280262,3.5823445476511693
