Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1999-05-15,18,1999-18,1999,5,4,76.0,77.25,66.25,70.19,50.1,47944400,,
1999-05-31,20,1999-20,1999,5,17,69.12,70.44,63.06,67.94,48.49,12547200,-0.03213572854291413,-2.447718391415228
1999-06-15,22,1999-22,1999,6,1,66.62,67.75,60.5,62.75,44.79,10729500,-0.07630439265828015,-5.811962999563743
1999-06-30,24,1999-24,1999,6,16,63.94,72.25,63.5,72.25,51.57,12650900,0.15137307434695257,11.529804203732583
1999-07-15,26,1999-26,1999,7,1,71.38,71.44,67.19,67.94,48.49,6754200,-0.059724646112080615,-4.549114687538028
1999-07-31,28,1999-28,1999,7,16,67.75,70.75,63.19,64.31,45.9,7183800,-0.05341307486079616,-4.0683740996946245
1999-08-15,31,1999-31,1999,8,2,64.25,64.56,55.19,63.12,45.15,11458400,-0.016339869281045805,-1.2445773089950827
1999-08-31,33,1999-33,1999,8,16,63.0,65.0,58.69,59.81,42.78,7342700,-0.05249169435215939,-3.998194268125845
1999-09-15,35,1999-35,1999,9,1,60.56,64.44,58.06,58.31,41.71,7054900,-0.02501168770453488,-1.905093513376201
1999-09-30,37,1999-37,1999,9,16,58.56,62.75,57.44,61.0,43.63,11575600,0.0460321265883481,3.5061810624828014
1999-10-15,39,1999-39,1999,10,1,61.0,64.12,58.25,59.75,42.74,7743000,-0.02039880815952333,-1.5537390984722474
1999-10-31,42,1999-42,1999,10,18,60.25,73.75,57.94,71.0,50.89,13443400,0.190687880205896,14.524339498843352
1999-11-15,44,1999-44,1999,11,1,70.5,79.94,68.31,78.0,55.9,10116600,0.09844763214776964,7.498572172639001
1999-11-30,46,1999-46,1999,11,16,78.38,83.0,74.38,75.12,53.84,7244000,-0.03685152057245067,-2.8069114579539702
1999-12-15,48,1999-48,1999,12,1,74.75,82.94,74.75,79.44,56.93,9243600,0.05739227340267461,4.371462216742968
1999-12-31,50,1999-50,1999,12,16,79.19,94.81,77.75,94.19,67.5,7759800,0.18566660811522917,14.141878586895698
2000-01-15,01,2000-01,2000,1,3,94.19,94.38,78.38,85.62,61.37,11805200,-0.0908148148148149,-6.917194739753454
2000-01-31,03,2000-03,2000,1,18,85.0,91.69,81.5,91.62,65.76,7726300,0.07153332247026256,5.448559498991213
2000-02-15,05,2000-05,2000,2,1,92.88,93.0,83.5,86.5,62.08,10324800,-0.05596107055961086,-4.262450170660529
2000-02-29,07,2000-07,2000,2,16,86.75,94.0,80.69,92.5,66.39,8396300,0.06942654639175272,5.288090302001458
2000-03-15,09,2000-09,2000,3,1,93.25,119.0,93.19,103.56,74.33,14484900,0.11959632474770299,9.1094285676361
2000-03-31,11,2000-11,2000,3,16,103.88,128.0,99.25,105.25,75.54,20574400,0.01627875689492808,1.2399224927445698
2000-04-15,14,2000-14,2000,4,3,108.75,110.81,79.44,82.75,59.39,25546100,-0.2137940164151444,-16.284290715707655
2000-04-30,16,2000-16,2000,4,17,81.75,99.12,81.0,93.25,67.01,15782300,0.12830442835494194,9.772708546657704
2000-05-15,18,2000-18,2000,5,1,93.25,101.62,80.25,87.06,62.56,20968400,-0.06640799880614834,-5.058173173134155
2000-05-31,20,2000-20,2000,5,16,88.0,89.25,69.38,73.56,52.86,20856900,-0.15505115089514065,-11.809956421225037
2000-06-15,22,2000-22,2000,6,1,74.56,90.81,73.62,90.25,64.85,17024800,0.22682557699583805,17.276880333198648
2000-06-30,24,2000-24,2000,6,16,90.25,95.94,82.0,94.78,68.11,19677600,0.05026985350809565,3.8289608029641684
2000-07-15,27,2000-27,2000,7,3,94.38,105.25,88.38,104.19,74.87,14987900,0.09925121127587744,7.559779293187092
2000-07-31,29,2000-29,2000,7,17,104.06,106.94,94.5,98.69,71.0,14933500,-0.051689595298517466,-3.9370998820840195
2000-08-15,31,2000-31,2000,8,1,99.0,121.75,97.0,118.19,85.03,33851800,0.19760563380281693,15.0512518631873
2000-08-31,33,2000-33,2000,8,16,117.0,129.5,111.62,129.5,93.17,19548800,0.09573091849935311,7.291645170733387
2000-09-15,35,2000-35,2000,9,1,128.0,133.62,124.0,124.88,89.84,15468100,-0.03574111838574645,-2.7223341983896185
2000-09-30,38,2000-38,2000,9,18,124.0,124.12,105.75,114.06,82.06,21934500,-0.08659839715048978,-6.596038085437232
2000-10-15,40,2000-40,2000,10,2,113.12,116.88,94.06,101.5,73.03,26386200,-0.1100414330977334,-8.381650325783626
2000-10-31,42,2000-42,2000,10,16,99.75,106.5,90.88,99.81,71.9,28250300,-0.015473093249349534,-1.178556598396048
