Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,19.67,19.96,18.44,19.77,11.86,43879200,,
1998-01-31,02,1998-02,1998,1,16,19.88,20.54,19.52,20.17,12.09,43747800,0.019392917369308593,1.7163732225103854
1998-02-15,05,1998-05,1998,2,2,20.5,21.9,20.42,21.83,13.09,42097800,0.08271298593879228,7.320525917565056
1998-02-28,07,1998-07,1998,2,17,22.12,22.94,21.08,21.29,12.77,65148900,-0.02444614209320095,-2.1636096768430684
1998-03-15,09,1998-09,1998,3,2,21.21,23.29,21.15,23.08,13.85,64512600,0.08457321848081434,7.485166093252192
1998-03-31,11,1998-11,1998,3,16,23.12,23.48,21.48,22.54,13.53,71557800,-0.02310469314079422,-2.044884524900774
1998-04-15,13,1998-13,1998,4,1,22.48,24.23,22.46,24.08,14.45,69612900,0.06799704360679981,6.018089111300284
1998-04-30,15,1998-15,1998,4,16,24.0,24.0,21.85,23.23,13.94,51885600,-0.03529411764705881,-3.1237114709421747
1998-05-15,17,1998-17,1998,5,1,23.54,24.31,22.56,23.65,14.19,48717600,0.017934002869440357,1.5872517636901209
1998-05-31,20,1998-20,1998,5,18,23.79,26.31,23.25,26.19,15.72,71358600,0.10782241014799165,9.542839483110884
1998-06-15,22,1998-22,1998,6,1,26.5,27.75,25.35,26.25,15.77,72783900,0.0031806615776079905,0.28150495656284164
1998-06-30,24,1998-24,1998,6,16,26.56,28.85,26.32,27.69,16.63,72780300,0.054533925174381714,4.826533682643689
1998-07-15,26,1998-26,1998,7,1,27.75,32.67,27.75,31.46,18.89,84667350,0.13589897775105242,12.027760544557875
1998-07-31,28,1998-28,1998,7,16,31.46,31.75,27.83,27.92,16.77,76286400,-0.11222869242985711,-9.932818194172937
1998-08-15,31,1998-31,1998,8,3,27.71,29.58,25.83,28.0,16.82,70281000,0.0029815146094216427,0.26387942260990854
1998-08-31,33,1998-33,1998,8,17,27.75,30.62,23.88,25.42,15.26,79806300,-0.09274673008323431,-8.208564031845675
1998-09-15,35,1998-35,1998,9,1,25.67,28.42,23.5,27.58,16.58,82160100,0.08650065530799456,7.655754194838604
1998-09-30,37,1998-37,1998,9,16,27.67,29.75,25.83,26.33,15.83,72715800,-0.04523522316043416,-4.003550588511525
1998-10-15,39,1998-39,1998,10,1,25.33,28.5,21.08,27.58,16.58,114951900,0.047378395451673994,4.193232391504812
1998-10-31,41,1998-41,1998,10,16,28.5,29.96,27.04,29.04,17.46,71729700,0.053075995174909796,4.69749935718689
1998-11-15,44,1998-44,1998,11,2,29.25,31.33,28.75,31.0,18.63,52878750,0.0670103092783505,5.930758033318047
1998-11-30,46,1998-46,1998,11,16,31.04,34.67,30.79,33.17,19.94,52717650,0.07031669350509939,6.22339009285045
1998-12-15,48,1998-48,1998,12,1,33.08,36.67,32.17,36.17,21.75,50862150,0.09077231695085253,8.033818284929014
1998-12-31,50,1998-50,1998,12,16,36.33,41.33,34.96,40.79,24.53,55740750,0.127816091954023,11.312383457220477
1999-01-15,01,1999-01,1999,1,4,40.25,40.83,34.58,36.58,22.0,82647900,-0.10313901345291487,-9.128334717028338
1999-01-31,03,1999-03,1999,1,19,37.46,40.75,36.42,40.33,24.26,56494650,0.10272727272727278,9.091893538908975
1999-02-15,05,1999-05,1999,2,1,40.25,40.33,35.88,37.92,22.8,49671600,-0.060181368507831845,-5.326361549105855
1999-02-28,07,1999-07,1999,2,16,38.33,41.12,38.04,39.79,23.93,51564450,0.04956140350877192,4.386439865263098
1999-03-15,09,1999-09,1999,3,1,39.08,44.21,38.83,43.29,26.05,56459850,0.0885917258671125,7.84082472578048
1999-03-31,11,1999-11,1999,3,16,43.29,43.5,39.71,41.5,24.97,54958050,-0.0414587332053743,-3.6693117470568377
1999-04-15,13,1999-13,1999,4,1,41.67,45.29,40.12,42.0,25.27,51743850,0.012014417300761027,1.0633379056070782
1999-04-30,15,1999-15,1999,4,16,42.17,43.08,37.71,39.83,23.97,65648250,-0.05144440047487142,-4.553094809907804
1999-05-15,18,1999-18,1999,5,3,39.88,41.17,36.83,38.75,23.32,61165200,-0.027117229870671666,-2.400014723537132
1999-05-31,20,1999-20,1999,5,17,38.58,40.67,37.0,37.71,22.69,63657900,-0.027015437392795882,-2.3910055641645727
1999-06-15,22,1999-22,1999,6,1,38.0,40.33,36.75,38.04,22.91,51415950,0.009695901278095942,0.8581372778994839
1999-06-30,24,1999-24,1999,6,16,38.83,43.12,38.67,42.96,25.87,52953000,0.12920122217372332,11.43497462664123
1999-07-15,26,1999-26,1999,7,1,42.54,46.62,42.08,46.62,28.07,39836550,0.08504058755315036,7.526530667004082
1999-07-31,28,1999-28,1999,7,16,46.58,46.62,41.62,42.54,25.62,47280150,-0.08728179551122195,-7.72488913221361
1999-08-15,31,1999-31,1999,8,2,42.08,42.79,35.75,42.25,25.44,68626350,-0.007025761124121788,-0.6218161007730334
1999-08-31,33,1999-33,1999,8,16,42.29,44.25,40.25,41.0,24.7,51177600,-0.029088050314465486,-2.5744424989814383
1999-09-15,35,1999-35,1999,9,1,40.83,45.83,39.38,44.0,26.51,46784550,0.07327935222672077,6.485600672124892
1999-09-30,37,1999-37,1999,9,16,44.12,46.0,42.79,45.75,27.57,54717750,0.0399849113542059,3.5388709107492717
1999-10-15,39,1999-39,1999,10,1,45.58,50.04,44.71,45.67,27.51,61634550,-0.0021762785636560977,-0.19261187887564657
1999-10-31,42,1999-42,1999,10,18,45.83,52.33,45.0,50.5,30.43,64608150,0.1061432206470374,9.394222550440418
1999-11-15,44,1999-44,1999,11,1,50.42,53.88,49.92,52.5,31.63,61759650,0.03943476832073611,3.4901804144605313
1999-11-30,46,1999-46,1999,11,16,52.5,55.67,51.92,52.79,31.83,54815850,0.006323110970597456,0.559627937675375
1999-12-15,48,1999-48,1999,12,1,53.12,62.5,52.92,62.33,37.58,75651450,0.18064718818724468,15.98820799479514
1999-12-31,50,1999-50,1999,12,16,62.42,69.75,62.08,68.75,41.45,63353850,0.1029803086748271,9.114288525513832
2000-01-15,01,2000-01,2000,1,3,68.62,69.19,60.0,61.94,37.35,64082500,-0.09891435464414966,-8.754430620211895
2000-01-31,03,2000-03,2000,1,18,61.25,62.44,54.88,56.62,34.14,70754700,-0.08594377510040163,-7.606467423887309
2000-02-15,05,2000-05,2000,2,1,56.94,62.0,56.81,59.75,36.03,53470300,0.055360281195079075,4.899670453103499
2000-02-29,07,2000-07,2000,2,16,58.75,59.38,52.62,57.5,34.67,71730300,-0.037746322509020214,-3.34074425054043
2000-03-15,09,2000-09,2000,3,1,57.81,58.31,51.0,57.0,34.39,65430500,-0.008076146524372718,-0.7147806269437972
2000-03-31,11,2000-11,2000,3,16,59.0,69.56,58.62,64.5,38.92,81570200,0.1317243384704856,11.658283434004892
2000-04-15,14,2000-14,2000,4,3,65.5,70.0,56.94,60.25,36.36,57532400,-0.0657759506680371,-5.821510929059768
2000-04-30,16,2000-16,2000,4,17,56.38,61.75,55.31,56.5,34.09,51052800,-0.06243124312431236,-5.525487058290174
2000-05-15,18,2000-18,2000,5,1,56.5,57.94,51.19,56.5,34.09,58408000,0.0,0.0
2000-05-31,20,2000-20,2000,5,16,56.5,56.5,44.12,49.0,29.57,86773700,-0.13259020240539754,-11.73491685866808
2000-06-15,22,2000-22,2000,6,1,49.0,54.0,45.0,50.88,30.73,75770300,0.03922894825836987,3.471964277250566
2000-06-30,24,2000-24,2000,6,16,50.88,51.0,46.94,49.94,30.16,56174000,-0.018548649528148387,-1.6416511635442932
2000-07-15,27,2000-27,2000,7,3,49.69,58.56,48.62,56.44,34.08,50172800,0.12997347480106103,11.503322967704833
2000-07-31,29,2000-29,2000,7,17,56.88,58.75,51.38,51.75,31.25,42612000,-0.08303990610328638,-7.3494600384892435
2000-08-15,31,2000-31,2000,8,1,51.94,60.0,51.0,53.5,32.31,59144400,0.03392000000000017,3.0020949710068425
2000-08-31,33,2000-33,2000,8,16,52.19,52.25,48.0,48.06,29.05,86246200,-0.10089755493655217,-8.92995407611758
2000-09-15,35,2000-35,2000,9,1,49.0,56.19,48.06,54.25,32.79,59727600,0.12874354561101553,11.394467889988732
2000-09-30,38,2000-38,2000,9,18,54.62,56.0,52.19,52.94,32.0,45967900,-0.024092711192436722,-2.1323292190074934
2000-10-15,40,2000-40,2000,10,2,53.94,56.81,34.69,36.31,21.95,150895900,-0.3140625,-27.79615129221202
2000-10-31,42,2000-42,2000,10,16,36.94,43.62,34.75,43.0,25.99,118735800,0.1840546697038723,16.289787685976346
2000-11-15,44,2000-44,2000,11,1,43.0,44.31,35.44,39.62,23.95,94627300,-0.07849172758753364,-6.9469227787786725
2000-11-30,46,2000-46,2000,11,16,39.69,40.5,36.69,39.19,23.71,65059400,-0.010020876826722258,-0.8868992902883769
2000-12-15,48,2000-48,2000,12,1,39.25,47.44,38.75,41.94,25.37,105632900,0.07001265288907632,6.1964809299865165
2000-12-31,51,2000-51,2000,12,18,43.31,46.94,40.0,45.69,27.64,69954500,0.08947575877020109,7.919066197849077
2001-01-15,00,2001-00,2001,1,2,45.69,52.5,44.62,49.12,29.72,85558600,0.07525325615050638,6.6603013514541205
2001-01-31,02,2001-02,2001,1,16,48.75,49.12,40.94,48.2,29.16,138888200,-0.018842530282637937,-1.6676611262544574
2001-02-15,04,2001-04,2001,2,1,47.52,48.9,43.58,44.61,26.99,66629200,-0.07441700960219488,-6.586289218281722
2001-02-28,06,2001-06,2001,2,16,45.0,45.6,39.62,42.5,25.71,74870600,-0.047424972211930205,-4.197354675046409
2001-03-15,08,2001-08,2001,3,1,42.4,45.5,40.32,43.2,26.16,81974600,0.017502917152858677,1.5490984540844976
2001-03-31,10,2001-10,2001,3,16,42.55,44.14,38.11,43.1,26.1,97162700,-0.002293577981651307,-0.20299348243889673
2001-04-15,13,2001-13,2001,4,2,43.1,44.09,40.05,41.65,25.22,65650800,-0.03371647509578557,-2.9840819671325116
2001-04-30,15,2001-15,2001,4,16,40.8,48.5,40.5,47.1,28.53,74045800,0.13124504361617784,11.615863367031226
2001-05-15,17,2001-17,2001,5,1,47.01,50.84,46.75,50.1,30.34,71487700,0.06344199088678582,5.614943449053085
2001-05-31,19,2001-19,2001,5,16,50.0,53.73,48.4,49.29,29.85,71959200,-0.016150296638101413,-1.4293845612474267
2001-06-15,21,2001-21,2001,6,1,49.0,51.45,48.1,48.9,29.64,53555800,-0.00703517587939706,-0.6226493551794353
2001-06-30,24,2001-24,2001,6,18,49.4,51.11,46.55,47.24,28.63,65405400,-0.03407557354925783,-3.01586403261793
2001-07-15,26,2001-26,2001,7,2,46.99,49.0,44.6,48.7,29.52,49099200,0.03108627314006296,2.751295526566262
