Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,16.91,17.06,11.69,13.66,5.3,7847800,,
1998-01-31,02,1998-02,1998,1,16,13.81,15.31,12.75,12.78,4.96,13588800,-0.0641509433962264,-3.599013887319176
1998-02-15,05,1998-05,1998,2,2,12.81,14.62,12.16,14.5,5.64,13156200,0.13709677419354827,7.691440968867591
1998-02-28,07,1998-07,1998,2,17,14.25,14.94,13.47,14.47,5.62,5844800,-0.0035460992907800915,-0.198944238660736
1998-03-15,09,1998-09,1998,3,2,14.56,15.56,14.0,14.75,5.73,5937400,0.019572953736654908,1.0980872390135499
1998-03-31,11,1998-11,1998,3,16,14.72,16.53,13.91,15.66,6.09,5440000,0.0628272251308899,3.524750280774547
1998-04-15,13,1998-13,1998,4,1,15.5,16.75,15.31,16.22,6.3,4732600,0.034482758620689724,1.9345612173216713
1998-04-30,15,1998-15,1998,4,16,16.09,17.0,14.78,15.25,5.93,6069200,-0.058730158730158744,-3.2948955336288086
1998-05-15,17,1998-17,1998,5,1,15.22,16.09,13.56,13.62,5.31,5600200,-0.10455311973018555,-5.8656679068201685
1998-05-31,20,1998-20,1998,5,18,13.56,13.59,12.25,12.62,4.92,3985000,-0.07344632768361581,-4.120506095651234
1998-06-15,22,1998-22,1998,6,1,12.5,12.88,10.78,10.78,4.2,5529800,-0.14634146341463405,-8.210089068633412
1998-06-30,24,1998-24,1998,6,16,10.78,12.56,10.75,11.22,4.37,8109600,0.040476190476190554,2.2708063812847232
1998-07-15,26,1998-26,1998,7,1,11.5,12.31,10.75,12.19,4.75,5684800,0.08695652173913038,4.878458721941592
1998-07-31,28,1998-28,1998,7,16,12.19,12.22,10.25,10.25,3.99,4634600,-0.15999999999999992,-8.976364048372531
1998-08-15,31,1998-31,1998,8,3,10.09,10.47,9.12,9.47,3.7,5996400,-0.07268170426065168,-4.077608981873492
1998-08-31,33,1998-33,1998,8,17,9.5,10.31,8.06,8.12,3.18,5766000,-0.14054054054054055,-7.884644096543445
1998-09-15,35,1998-35,1998,9,1,8.5,11.25,8.34,10.66,4.17,7231400,0.31132075471698095,17.465802688460702
1998-09-30,37,1998-37,1998,9,16,10.62,11.5,9.91,10.5,4.11,4925800,-0.014388489208633004,-0.8072269827673094
1998-10-15,39,1998-39,1998,10,1,10.5,10.81,9.06,10.16,3.97,3683400,-0.03406326034063267,-1.9110264093250573
1998-10-31,41,1998-41,1998,10,16,10.44,12.09,10.41,11.91,4.66,5225400,0.1738035264483626,9.750773289321547
1998-11-15,44,1998-44,1998,11,2,11.91,12.62,10.22,10.25,4.02,6181600,-0.13733905579399153,-7.7050335179163465
1998-11-30,46,1998-46,1998,11,16,10.19,10.44,8.53,8.62,3.38,8611000,-0.15920398009950243,-8.93170552076869
1998-12-15,48,1998-48,1998,12,1,8.62,9.38,8.25,8.94,3.51,7244800,0.038461538461538325,2.1577798193203135
1998-12-31,50,1998-50,1998,12,16,9.12,9.84,8.94,9.69,3.8,6400800,0.0826210826210827,4.635230722984398
1999-01-15,01,1999-01,1999,1,4,9.81,10.59,9.31,9.72,3.81,4067400,0.0026315789473685403,0.1476375665850813
1999-01-31,03,1999-03,1999,1,19,9.62,10.12,8.44,8.78,3.44,4361600,-0.09711286089238846,-5.4482524571814945
1999-02-15,05,1999-05,1999,2,1,8.81,8.91,8.28,8.31,3.27,5432600,-0.04941860465116277,-2.7724961631964575
1999-02-28,07,1999-07,1999,2,16,8.5,8.72,8.0,8.16,3.21,3679800,-0.01834862385321101,-1.029399546831713
1999-03-15,09,1999-09,1999,3,1,8.09,10.75,8.06,9.88,3.89,5272200,0.21183800623052962,11.884594145041522
1999-03-31,11,1999-11,1999,3,16,10.06,12.12,9.81,11.34,4.47,6633000,0.14910025706940866,8.364863669755893
1999-04-15,13,1999-13,1999,4,1,11.34,11.56,10.19,11.25,4.43,3218600,-0.008948545861297563,-0.5020337834660269
1999-04-30,15,1999-15,1999,4,16,11.19,13.19,11.09,12.88,5.07,5426000,0.14446952595936802,8.105069118169338
1999-05-15,18,1999-18,1999,5,3,13.0,13.47,11.81,12.34,4.88,3346000,-0.03747534516765294,-2.1024521316454456
1999-05-31,20,1999-20,1999,5,17,12.28,12.31,11.06,11.66,4.6,2656400,-0.05737704918032793,-3.2189830091499907
1999-06-15,22,1999-22,1999,6,1,11.62,12.91,11.41,12.88,5.09,2748200,0.10652173913043494,5.976111934378463
