Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,17.67,19.31,17.62,18.83,10.73,785265200,,
1998-01-31,02,1998-02,1998,1,16,18.95,20.72,18.66,20.25,11.54,572973600,0.07548928238583397,5.5829606847156
1998-02-15,05,1998-05,1998,2,2,20.62,22.52,20.55,20.95,11.94,666845600,0.03466204506065851,2.56350078725628
1998-02-28,07,1998-07,1998,2,17,21.16,23.91,20.98,22.42,12.78,666230400,0.07035175879396993,5.203004864184998
1998-03-15,09,1998-09,1998,3,2,22.45,22.84,18.73,19.16,10.92,1045288800,-0.14553990610328638,-10.763694502735484
1998-03-31,11,1998-11,1998,3,16,19.27,19.89,18.5,19.52,11.12,656232800,0.01831501831501825,1.3545237676253399
1998-04-15,13,1998-13,1998,4,1,19.38,19.88,17.83,18.72,10.67,738891200,-0.040467625899280546,-2.992864116057077
1998-04-30,15,1998-15,1998,4,16,18.36,21.27,18.32,20.2,11.52,807227600,0.07966260543580117,5.891607127974895
1998-05-15,17,1998-17,1998,5,1,20.23,21.36,19.97,20.08,11.45,561056400,-0.006076388888888951,-0.44939147915487154
1998-05-31,20,1998-20,1998,5,18,20.0,20.33,17.81,17.86,10.18,526654400,-0.11091703056768554,-8.203090575954288
1998-06-15,22,1998-22,1998,6,1,17.28,17.67,16.41,16.72,9.53,766308800,-0.06385068762278978,-4.722205158450244
1998-06-30,24,1998-24,1998,6,16,16.94,19.41,16.78,18.53,10.57,674016400,0.10912906610703055,8.070858092427876
1998-07-15,26,1998-26,1998,7,1,18.67,21.25,18.06,21.06,12.01,774883600,0.13623462630085137,10.07550394567408
1998-07-31,28,1998-28,1998,7,16,21.0,22.06,20.16,21.11,12.04,810681200,0.0024979184013320666,0.1847385454929372
1998-08-15,31,1998-31,1998,8,3,20.91,22.23,20.28,21.55,12.29,706023200,0.020764119601328845,1.5356519458543108
1998-08-31,33,1998-33,1998,8,17,21.44,23.16,17.73,17.8,10.15,1055048400,-0.17412530512611868,-12.877784792873529
1998-09-15,35,1998-35,1998,9,1,17.73,21.64,17.44,21.48,12.26,885667200,0.2078817733990148,15.374311839708914
1998-09-30,37,1998-37,1998,9,16,21.52,22.25,20.16,21.44,12.23,590746000,-0.002446982055464897,-0.18097144627816378
1998-10-15,39,1998-39,1998,10,1,21.06,21.47,18.95,21.14,12.06,920580000,-0.013900245298446468,-1.0280204097382233
1998-10-31,41,1998-41,1998,10,16,21.3,22.7,20.66,22.3,12.72,654303200,0.054726368159204064,4.047397884755141
1998-11-15,44,1998-44,1998,11,2,22.44,26.27,22.39,25.94,14.8,729038400,0.16352201257861632,12.093597110194585
1998-11-30,46,1998-46,1998,11,16,26.3,28.97,26.27,26.91,15.35,564658400,0.03716216216216206,2.7484019420127694
1998-12-15,48,1998-48,1998,12,1,26.45,31.0,26.42,28.98,16.54,739736400,0.0775244299674267,5.733474089751735
1998-12-31,50,1998-50,1998,12,16,29.12,31.55,28.34,29.64,16.92,468940400,0.02297460701330123,1.6991329583247174
1999-01-15,01,1999-01,1999,1,4,29.98,35.62,29.92,33.84,19.31,811573600,0.14125295508274216,10.446644475916166
1999-01-31,03,1999-03,1999,1,19,34.36,35.92,31.64,35.23,20.11,582206400,0.04142931123770066,3.063987476430608
1999-02-15,05,1999-05,1999,2,1,35.17,35.17,30.67,31.62,18.06,735302800,-0.10193933366484342,-7.539127066648679
1999-02-28,07,1999-07,1999,2,16,32.3,34.38,29.72,29.98,17.12,709678400,-0.05204872646733094,-3.8493675442748034
1999-03-15,09,1999-09,1999,3,1,29.7,30.05,27.39,29.47,16.82,1009890000,-0.017523364485981352,-1.2959754272022899
1999-03-31,11,1999-11,1999,3,16,29.61,31.09,28.44,29.72,16.97,696716800,0.008917954815695461,0.6595451639031749
1999-04-15,13,1999-13,1999,4,1,29.98,33.38,28.12,29.22,16.68,647812200,-0.01708898055391861,-1.2638496957324465
1999-04-30,15,1999-15,1999,4,16,28.94,32.41,27.5,30.59,17.47,444540600,0.04736211031175053,3.5027594839779095
1999-05-15,18,1999-18,1999,5,3,30.59,32.5,28.72,29.0,16.57,337388200,-0.051516886090440694,-3.810034226737799
1999-05-31,20,1999-20,1999,5,17,28.78,30.06,25.5,27.03,15.44,444425600,-0.06819553409776713,-5.043536959260629
1999-06-15,22,1999-22,1999,6,1,26.91,28.34,25.06,27.84,15.9,488836400,0.029792746113989743,2.2033820561967796
1999-06-30,24,1999-24,1999,6,16,28.75,29.94,27.19,29.75,16.99,431054200,0.06855345911949673,5.070008019273875
1999-07-15,26,1999-26,1999,7,1,29.88,34.34,29.62,33.84,19.33,489673600,0.13772807533843445,10.185954952730114
1999-07-31,28,1999-28,1999,7,16,34.0,35.88,31.38,34.5,19.71,521741400,0.019658561821003673,1.4538882116239382
1999-08-15,31,1999-31,1999,8,2,34.94,39.91,34.75,39.88,22.79,605985600,0.15626585489599187,11.556953473060323
1999-08-31,33,1999-33,1999,8,16,39.62,42.25,38.41,41.09,23.48,489649400,0.030276437033786907,2.2391543844457
1999-09-15,35,1999-35,1999,9,1,41.84,44.75,41.0,41.5,23.71,430053400,0.009795570698466705,0.7244509997376043
1999-09-30,37,1999-37,1999,9,16,41.19,42.81,36.31,37.16,21.23,621494800,-0.10459721636440322,-7.735696091379702
1999-10-15,39,1999-39,1999,10,1,37.12,39.91,35.25,35.44,20.25,561168200,-0.04616109279321712,-3.4139358341072494
1999-10-31,42,1999-42,1999,10,18,35.28,39.03,32.5,38.72,22.13,644364600,0.09283950617283954,6.866131145639823
1999-11-15,44,1999-44,1999,11,1,38.81,41.94,37.0,37.03,21.17,474241800,-0.04338002711251687,-3.208256565921823
1999-11-30,46,1999-46,1999,11,16,37.25,41.12,36.81,38.34,21.92,380267800,0.03542749173358528,2.6201109250948464
1999-12-15,48,1999-48,1999,12,1,38.03,40.0,35.28,39.47,22.56,509848000,0.029197080291970767,2.1593284003604007
1999-12-31,50,1999-50,1999,12,16,39.88,42.75,39.56,41.16,23.53,331669800,0.042996453900709275,3.179888642773652
2000-01-15,01,2000-01,2000,1,3,41.63,53.31,38.69,51.53,29.46,774324000,0.25201869953251177,18.638546384793838
2000-01-31,03,2000-03,2000,1,18,50.15,52.88,46.44,49.47,28.28,632608200,-0.04005431093007472,-2.962296581825044
2000-02-15,05,2000-05,2000,2,1,49.19,56.44,48.31,56.0,32.02,510103800,0.1322489391796322,9.780734492367957
2000-02-29,07,2000-07,2000,2,16,55.69,58.25,50.78,56.5,32.31,455208400,0.009056839475327871,0.6698166563578886
2000-03-15,09,2000-09,2000,3,1,56.44,62.81,56.0,60.09,34.36,480908400,0.06344784896316913,4.692412420622236
2000-03-31,11,2000-11,2000,3,16,61.62,72.69,59.81,65.97,37.72,650441800,0.0977881257275901,7.232116190729772
2000-04-15,14,2000-14,2000,4,3,65.69,69.53,54.19,55.25,31.59,626311200,-0.1625132555673383,-12.018992470219185
2000-04-30,16,2000-16,2000,4,17,55.0,65.5,54.78,63.41,36.26,583267600,0.1478315922760367,10.93318073177099
2000-05-15,18,2000-18,2000,5,1,63.97,65.5,52.56,59.06,33.78,551471800,-0.06839492553778259,-5.058283351533714
2000-05-31,20,2000-20,2000,5,16,59.88,63.97,54.75,62.34,35.66,594436000,0.05565423327412655,4.1160200029368275
2000-06-15,22,2000-22,2000,6,1,63.09,67.53,62.06,64.12,36.68,412397000,0.028603477285473966,2.1154273041668765
2000-06-30,24,2000-24,2000,6,16,64.62,70.12,62.94,66.84,38.23,439270400,0.04225736095965105,3.1252275478225995
2000-07-15,27,2000-27,2000,7,3,67.06,73.53,65.28,73.34,41.95,325885400,0.09730578080041874,7.196443408054399
2000-07-31,29,2000-29,2000,7,17,73.31,73.75,64.38,66.75,38.18,503253700,-0.08986889153754474,-6.646433405853071
2000-08-15,31,2000-31,2000,8,1,67.06,68.75,60.44,67.88,38.84,313032400,0.01728653745416464,1.2784604109520001
2000-08-31,33,2000-33,2000,8,16,68.62,75.83,67.56,74.88,42.84,375077600,0.10298661174047363,7.61658060889225
2000-09-15,35,2000-35,2000,9,1,75.62,75.69,56.62,57.52,32.91,459199300,-0.2317927170868349,-17.14269344732901
2000-09-30,38,2000-38,2000,9,18,58.38,63.5,41.38,41.56,23.78,1008790800,-0.2774232756001215,-20.517392558909112
2000-10-15,40,2000-40,2000,10,2,42.94,42.94,35.0,40.38,23.1,762130900,-0.028595458368376736,-2.114834249133461
2000-10-31,42,2000-42,2000,10,16,39.12,47.0,35.0,45.0,25.75,661464200,0.11471861471861455,8.484244326307829
2000-11-15,44,2000-44,2000,11,1,44.31,47.88,36.0,41.5,23.75,542947500,-0.07766990291262132,-5.744232832026702
2000-11-30,46,2000-46,2000,11,16,41.25,46.75,36.81,38.06,21.79,455143400,-0.08252631578947367,-6.103398548050269
2000-12-15,48,2000-48,2000,12,1,38.5,38.5,31.25,32.44,18.57,701788100,-0.14777420835245525,-10.928936789065952
2000-12-31,51,2000-51,2000,12,18,34.19,36.25,29.81,30.06,17.21,418904100,-0.07323640280021537,-5.416344474355818
2001-01-15,00,2001-00,2001,1,2,30.69,35.38,30.12,32.12,18.39,496087100,0.06856478791400344,5.070845862903292
2001-01-31,02,2001-02,2001,1,16,32.19,38.59,30.0,37.0,21.18,715347800,0.15171288743882538,11.220229669246285
2001-02-15,04,2001-04,2001,2,1,37.06,38.23,31.94,35.81,20.51,492071200,-0.03163361661945219,-2.339527311957987
2001-02-28,06,2001-06,2001,2,16,34.75,35.31,28.0,28.56,16.36,417337400,-0.20234032179424677,-14.964482716052022
2001-03-15,08,2001-08,2001,3,1,28.25,33.69,27.06,28.5,16.32,651741500,-0.0024449877750610804,-0.18082395528690093
2001-03-31,10,2001-10,2001,3,16,28.44,29.75,24.56,26.31,15.07,769753400,-0.07659313725490191,-5.664598476742017
2001-04-15,13,2001-13,2001,4,2,26.06,28.51,22.25,28.12,16.11,590181100,0.06901128069011264,5.103867128124578
2001-04-30,15,2001-15,2001,4,16,26.77,32.57,25.18,30.91,17.7,642421400,0.09869646182495351,7.299294001404515
2001-05-15,17,2001-17,2001,5,1,30.77,32.5,26.71,27.2,15.59,477444100,-0.11920903954802253,-8.816342665143805
2001-05-31,19,2001-19,2001,5,16,27.0,30.43,26.4,27.01,15.48,489270600,-0.007055805003207127,-0.5218261544809336
2001-06-15,21,2001-21,2001,6,1,27.26,31.93,27.11,27.68,15.86,599807000,0.02454780361757103,1.8154818559877661
2001-06-30,24,2001-24,2001,6,18,27.87,30.77,26.14,29.25,16.76,408442200,0.05674653215636827,4.196803148871973
2001-07-15,26,2001-26,2001,7,2,29.58,31.0,27.0,30.19,17.3,347440100,0.03221957040572776,2.3828626947891087
2001-07-31,28,2001-28,2001,7,16,30.03,30.75,28.08,29.81,17.08,618137500,-0.012716763005780507,-0.9404936125269274
2001-08-15,30,2001-30,2001,8,1,30.62,32.23,28.99,29.78,17.08,463485600,0.0,0.0
2001-08-31,32,2001-32,2001,8,16,29.41,30.18,26.88,27.96,16.03,488074300,-0.061475409836065364,-4.546536744611285
2001-09-15,35,2001-35,2001,9,4,27.56,28.09,25.46,26.07,14.95,331680100,-0.06737367436057407,-4.982754680557174
2001-09-30,37,2001-37,2001,9,17,24.26,25.0,18.96,20.44,11.72,735084500,-0.21605351170568554,-15.978669070961235
2001-10-15,39,2001-39,2001,10,1,20.21,25.13,19.08,24.38,13.98,606107300,0.19283276450511933,14.261332323370045
2001-10-31,41,2001-41,2001,10,16,24.53,26.5,23.24,24.42,14.0,631321500,0.0014306151645206988,0.1058040024497017
2001-11-15,43,2001-43,2001,11,1,24.53,31.59,24.25,30.78,17.66,628058100,0.26142857142857134,19.334472259084162
2001-11-30,45,2001-45,2001,11,16,30.63,32.99,29.48,32.66,18.74,485321400,0.0611551528878822,4.522851502227141
2001-12-15,48,2001-48,2001,12,3,32.29,34.85,31.84,33.27,19.09,515931800,0.01867662753468524,1.381267299857014
2001-12-31,50,2001-50,2001,12,17,33.1,34.33,31.41,31.45,18.05,336000700,-0.054478784704033445,-4.029087355727473
2002-01-15,00,2002-00,2002,1,2,31.9,36.78,31.73,34.68,19.9,549458400,0.10249307479224368,7.5800800979410505
2002-01-31,02,2002-02,2002,1,16,33.96,35.15,31.56,35.04,20.11,555388700,0.010552763819095423,0.7804507296277449
2002-02-15,04,2002-04,2002,2,1,34.82,35.07,31.38,32.29,18.54,482363100,-0.07807061163600204,-5.773868046165086
2002-02-28,07,2002-07,2002,2,19,31.74,32.17,28.5,28.55,16.39,476268900,-0.11596548004314988,-8.576458742262089
