Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,33.34,33.5,31.12,31.88,15.78,64146400,,
1998-01-31,02,1998-02,1998,1,16,32.16,33.0,31.19,32.38,16.03,60578000,0.01584283903675554,1.9782515274666086
1998-02-15,05,1998-05,1998,2,2,32.62,34.78,32.62,34.28,16.97,58658000,0.05864004990642524,7.322220974976246
1998-02-28,07,1998-07,1998,2,17,34.28,34.91,34.03,34.31,16.99,37877600,0.0011785503830288313,0.1471623293031073
1998-03-15,09,1998-09,1998,3,2,34.31,36.59,33.78,35.28,17.5,59927800,0.0300176574455564,3.7482219288394867
1998-03-31,11,1998-11,1998,3,16,35.41,39.66,35.41,38.72,19.21,80631600,0.09771428571428586,12.201312815280694
1998-04-15,13,1998-13,1998,4,1,38.72,40.69,37.81,38.34,19.02,62751200,-0.009890681936491452,-1.2350221196565023
1998-04-30,15,1998-15,1998,4,16,38.34,38.56,35.94,37.94,18.82,68802600,-0.01051524710830698,-1.3130098466213496
1998-05-15,17,1998-17,1998,5,1,37.94,39.22,37.41,38.44,19.07,53748400,0.013283740701381497,1.6587039906175747
1998-05-31,20,1998-20,1998,5,18,38.44,40.47,38.25,39.19,19.44,44648800,0.019402202412165837,2.4226993955461995
1998-06-15,22,1998-22,1998,6,1,39.22,41.38,39.22,39.66,19.71,60687200,0.01388888888888884,1.7342671724123704
1998-06-30,24,1998-24,1998,6,16,39.56,43.41,38.88,42.75,21.25,79223400,0.07813292744799583,9.75624272334267
1998-07-15,26,1998-26,1998,7,1,42.75,44.47,42.38,43.91,21.82,44316000,0.02682352941176469,3.3493799885084186
1998-07-31,28,1998-28,1998,7,16,43.75,43.75,39.69,40.25,20.01,71084200,-0.08295142071494033,-10.35791466126401
1998-08-15,31,1998-31,1998,8,3,40.25,41.81,37.78,38.41,19.09,81433800,-0.04597701149425293,-5.741022363847875
1998-08-31,33,1998-33,1998,8,17,38.41,40.72,32.53,32.56,16.19,102814200,-0.15191199580932413,-18.96883109479853
1998-09-15,35,1998-35,1998,9,1,32.88,34.94,29.94,30.59,15.24,123339400,-0.058678196417541795,-7.3269842243981955
1998-09-30,37,1998-37,1998,9,16,30.59,31.25,26.81,28.81,14.36,145186400,-0.057742782152231054,-7.2101816301868995
1998-10-15,39,1998-39,1998,10,1,28.56,34.06,27.69,33.75,16.82,121099000,0.17130919220055718,21.390905402345425
1998-10-31,41,1998-41,1998,10,16,33.78,35.31,32.94,33.78,16.83,74597600,0.0005945303210461717,0.07423735815318
1998-11-15,44,1998-44,1998,11,2,34.03,36.88,34.03,34.88,17.38,58039800,0.03267973856209161,4.080628640970311
1998-11-30,46,1998-46,1998,11,16,34.88,37.72,34.31,35.03,17.49,52858000,0.006329113924050667,0.7902989646436189
1998-12-15,48,1998-48,1998,12,1,35.03,35.25,30.97,32.97,16.46,89976200,-0.05889079473985126,-7.353530789371165
1998-12-31,50,1998-50,1998,12,16,32.97,35.16,32.22,33.5,16.73,62690200,0.01640340218712022,2.0482474988879984
1999-01-15,01,1999-01,1999,1,4,33.5,35.19,31.38,32.41,16.18,85944400,-0.03287507471607898,-4.105019726690393
1999-01-31,03,1999-03,1999,1,19,32.41,32.94,29.78,32.66,16.31,93500800,0.00803461063040789,1.0032596250790977
1999-02-15,05,1999-05,1999,2,1,32.66,32.94,30.66,31.94,15.95,70341400,-0.022072348252605734,-2.756113127463442
1999-02-28,07,1999-07,1999,2,16,32.03,32.94,31.03,31.94,15.95,73337000,0.0,0.0
1999-03-15,09,1999-09,1999,3,1,31.94,34.97,30.41,34.34,17.19,98913800,0.07774294670846404,9.70754690614277
1999-03-31,11,1999-11,1999,3,16,34.34,34.75,30.41,30.69,15.36,110075800,-0.10645724258289713,-13.293021677548282
1999-04-15,13,1999-13,1999,4,1,30.69,32.38,28.81,32.12,16.08,103151800,0.046875,5.853151706891771
1999-04-30,15,1999-15,1999,4,16,32.12,34.72,31.75,34.03,17.04,89203800,0.05970149253731338,7.454760382906926
1999-05-15,18,1999-18,1999,5,3,34.03,35.44,32.16,32.62,16.33,65105000,-0.04166666666666674,-5.202801517237139
1999-05-31,20,1999-20,1999,5,17,32.62,34.72,32.56,34.25,17.14,68228000,0.049601959583588595,6.193659613906309
1999-06-15,22,1999-22,1999,6,1,34.25,34.94,31.59,31.88,15.99,60245400,-0.06709451575262548,-8.37790676054521
1999-06-30,24,1999-24,1999,6,16,31.88,32.56,30.19,31.0,15.56,116716400,-0.026891807379612276,-3.3579056696614895
1999-07-15,26,1999-26,1999,7,1,31.06,32.75,30.78,32.0,16.06,71677200,0.032133676092544805,4.012443329488766
