Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2008-03-31,11,2008-11,2008,3,19,14.88,17.25,13.75,15.59,13.91,1273903200,,
2008-04-15,13,2008-13,2008,4,1,15.77,17.18,15.08,16.09,14.36,473186400,0.0323508267433501,3.384242603916288
2008-04-30,15,2008-15,2008,4,16,16.14,21.2,16.14,20.86,18.62,912137200,0.29665738161559907,31.03353610077779
2008-05-15,17,2008-17,2008,5,1,21.1,22.46,19.52,20.56,18.35,975758400,-0.014500537056927998,-1.5169113196716046
2008-05-31,19,2008-19,2008,5,16,20.68,21.89,18.59,21.59,19.27,577955200,0.0501362397820162,5.244787096680279
2008-06-15,22,2008-22,2008,6,2,21.55,22.02,19.4,20.38,18.19,408339200,-0.05604566683964707,-5.862976392794047
2008-06-30,24,2008-24,2008,6,16,20.37,21.25,19.5,20.33,18.14,613488400,-0.002748763056624526,-0.2875500251693586
2008-07-15,26,2008-26,2008,7,1,19.91,20.6,16.82,17.1,15.26,572932800,-0.1587651598676958,-16.608534375471
2008-07-31,28,2008-28,2008,7,16,17.08,19.73,16.63,18.26,16.3,759671600,0.06815203145478388,7.1294316594283815
2008-08-15,30,2008-30,2008,8,1,18.33,19.13,17.28,18.95,16.93,430672800,0.03865030674846626,4.04323561157459
2008-08-31,33,2008-33,2008,8,18,18.91,19.06,18.21,18.98,16.96,203490400,0.0017720023626699444,0.18537040606607194
2008-09-15,35,2008-35,2008,9,2,19.21,19.38,16.66,17.34,15.5,408181200,-0.08608490566037741,-9.005402167963101
2008-09-30,37,2008-37,2008,9,16,16.66,17.79,13.97,15.35,13.72,611092400,-0.11483870967741927,-12.013357709598061
2008-10-15,39,2008-39,2008,10,1,15.19,15.53,11.75,12.44,11.12,653396400,-0.18950437317784263,-19.824184971369704
2008-10-31,41,2008-41,2008,10,16,12.54,14.04,10.94,13.84,12.37,556752800,0.11241007194244612,11.759296218144387
2008-11-15,44,2008-44,2008,11,3,13.98,15.11,12.47,13.56,12.14,407819600,-0.018593371059013597,-1.9450655461617352
2008-11-30,46,2008-46,2008,11,17,13.28,13.96,10.89,13.14,11.77,359588400,-0.030477759472817167,-3.1882997271784705
2008-12-15,48,2008-48,2008,12,1,12.75,14.42,11.88,13.19,11.81,357695200,0.003398470688190436,0.3555163947548552
2008-12-31,50,2008-50,2008,12,16,13.32,14.06,12.57,13.11,11.74,206390400,-0.00592718035563089,-0.6200464810298859
2009-01-15,00,2009-00,2009,1,2,13.23,14.49,11.88,12.35,11.05,269480000,-0.05877342419080067,-6.148328996427814
2009-01-31,02,2009-02,2009,1,16,12.26,12.36,10.44,12.34,11.05,372966400,0.0,0.0
2009-02-15,05,2009-05,2009,2,2,12.06,14.49,11.89,13.99,12.55,402529600,0.1357466063348416,14.200547396825208
2009-02-28,07,2009-07,2009,2,17,13.67,14.48,13.4,14.18,12.72,343013600,0.013545816733067761,1.4170373590935579
2009-03-15,09,2009-09,2009,3,2,13.98,14.24,12.19,13.01,11.67,423040800,-0.08254716981132082,-8.63531714736188
2009-03-31,11,2009-11,2009,3,16,13.24,14.18,12.82,13.9,12.47,504754400,0.06855184233076272,7.171256154694946
2009-04-15,13,2009-13,2009,4,1,13.69,15.35,13.41,14.78,13.26,394411200,0.06335204490777868,6.627301710803835
2009-04-30,15,2009-15,2009,4,16,14.52,17.0,13.56,16.24,14.57,497286800,0.09879336349924595,10.33484282768947
2009-05-15,17,2009-17,2009,5,1,16.04,17.14,15.66,16.27,14.62,478187200,0.0034317089910775866,0.3589934768586593
2009-05-31,20,2009-20,2009,5,18,16.33,17.03,16.07,16.93,15.21,316501600,0.04035567715458277,4.221635602079434
2009-06-15,22,2009-22,2009,6,1,17.12,17.81,15.77,16.11,14.47,467199200,-0.048652202498356334,-5.0895409188621406
2009-06-30,24,2009-24,2009,6,16,16.27,16.27,15.07,15.56,13.99,305014800,-0.033172080165860374,-3.470154498629849
2009-07-15,26,2009-26,2009,7,1,15.57,15.69,14.5,15.66,14.07,289201600,0.005718370264474526,0.5982027114030628
2009-07-31,28,2009-28,2009,7,16,15.61,17.42,15.55,16.36,14.71,325789200,0.04548685145700082,4.758411333349829
2009-08-15,31,2009-31,2009,8,3,16.55,17.42,16.48,16.95,15.26,171351200,0.03738953093133923,3.9113449718651827
2009-08-31,33,2009-33,2009,8,17,16.71,17.83,16.51,17.77,16.0,204563600,0.04849279161205766,5.072864834593261
2009-09-15,35,2009-35,2009,9,1,17.69,18.36,17.36,18.3,16.47,152038800,0.02937499999999993,3.072939287725482
2009-09-30,37,2009-37,2009,9,16,18.31,18.75,17.15,17.28,15.55,244168000,-0.05585913782635088,-5.843463462300139
2009-10-15,39,2009-39,2009,10,1,17.19,18.96,16.64,18.77,16.89,306159600,0.08617363344051454,9.01468404307786
2009-10-31,41,2009-41,2009,10,16,18.68,19.55,18.11,18.94,17.05,331323600,0.009473060982830184,0.9909835325670914
2009-11-15,44,2009-44,2009,11,2,19.02,20.49,18.95,20.0,18.03,195200000,0.057478005865102766,6.012814379676269
2009-11-30,46,2009-46,2009,11,16,20.02,20.48,19.56,20.25,18.25,165418800,0.012201885745978913,1.276447798915957
2009-12-15,48,2009-48,2009,12,1,20.36,21.55,19.68,21.53,19.41,249678800,0.06356164383561635,6.649228001187409
2009-12-31,50,2009-50,2009,12,16,21.56,22.42,21.38,21.86,19.71,570131200,0.015455950540958385,1.6168577922196783
2010-01-15,01,2010-01,2010,1,4,22.0,22.19,21.39,21.53,19.41,180873600,-0.015220700152207,-1.5922480845755311
2010-01-31,03,2010-03,2010,1,19,21.54,22.1,20.15,20.51,18.49,167200400,-0.04739824832560546,-4.9583638961403205
2010-02-15,05,2010-05,2010,2,1,20.57,21.55,20.14,21.19,19.13,264578400,0.03461330448891298,3.620921982705897
2010-02-28,07,2010-07,2010,2,16,21.31,21.94,20.93,21.32,19.25,133532800,0.006272869837950834,0.6562092994664628
2010-03-15,09,2010-09,2010,3,1,21.38,23.41,21.32,23.1,20.86,275023200,0.08363636363636351,8.74925847491666
2010-03-31,11,2010-11,2010,3,16,23.17,23.23,22.05,22.76,20.54,196504800,-0.015340364333652934,-1.604766238260594
2010-04-15,13,2010-13,2010,4,1,22.92,23.82,22.62,23.61,21.32,140456400,0.03797468354430378,3.9725581958207217
2010-04-30,15,2010-15,2010,4,16,23.52,24.3,22.5,22.56,20.36,189972000,-0.04502814258911825,-4.710425477971295
2010-05-15,18,2010-18,2010,5,3,22.64,22.82,18.98,19.32,17.46,529421600,-0.14243614931237714,-14.90034516474341
2010-05-31,20,2010-20,2010,5,17,19.69,19.81,17.07,18.11,16.38,789406400,-0.0618556701030929,-6.470764896285314
2010-06-15,22,2010-22,2010,6,1,18.12,19.37,17.5,19.23,17.39,375900000,0.061660561660561664,6.450354465700765
2010-06-30,24,2010-24,2010,6,16,19.05,20.95,17.68,17.69,15.99,413174800,-0.0805060379528465,-8.421792916576045
2010-07-15,26,2010-26,2010,7,1,17.75,19.45,17.53,18.82,17.02,197540400,0.06441525953721072,6.738525336542259
2010-07-31,28,2010-28,2010,7,16,18.4,19.32,17.62,18.34,16.58,274249200,-0.02585193889541726,-2.7043894024036215
2010-08-15,31,2010-31,2010,8,2,17.75,18.93,17.72,18.06,16.35,280699600,-0.013872135102532934,-1.451173751870955
2010-08-31,33,2010-33,2010,8,16,18.02,18.44,17.0,17.25,15.62,220754000,-0.04464831804281355,-4.670691766625517
2010-09-15,35,2010-35,2010,9,1,17.46,18.28,16.23,17.23,15.61,335268000,-0.000640204865556937,-0.06697227858937622
2010-09-30,37,2010-37,2010,9,16,17.2,18.74,17.01,18.57,16.81,300625200,0.07687379884689305,8.041821844198266
2010-10-15,39,2010-39,2010,10,1,18.68,19.48,18.15,19.4,17.57,186206800,0.04521118381915534,4.729573549019962
