Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,15.81,16.09,14.78,15.75,9.31,14739000,,
1998-01-31,02,1998-02,1998,1,16,15.94,17.44,15.88,16.56,9.79,15401200,0.05155746509129955,4.446996154446939
1998-02-15,05,1998-05,1998,2,2,16.88,18.59,16.88,17.97,10.63,15891600,0.08580183861082746,7.400682823935343
1998-02-28,07,1998-07,1998,2,17,18.03,18.62,17.56,18.34,10.87,13445400,0.022577610536218096,1.947391072337762
1998-03-15,09,1998-09,1998,3,2,18.31,18.47,17.66,18.28,10.83,14418000,-0.0036798528058876734,-0.31739906622125175
1998-03-31,11,1998-11,1998,3,16,18.25,18.34,17.22,17.62,10.44,20272400,-0.03601108033241007,-3.1060707789284154
1998-04-15,13,1998-13,1998,4,1,17.5,18.25,16.88,17.03,10.09,16792600,-0.03352490421455934,-2.891630142334244
1998-04-30,15,1998-15,1998,4,16,17.0,17.59,16.25,17.25,10.22,18242600,0.01288404360753237,1.1112899417177093
1998-05-15,17,1998-17,1998,5,1,17.53,18.25,16.97,17.75,10.51,16520200,0.02837573385518577,2.4474977408250287
1998-05-31,20,1998-20,1998,5,18,17.62,17.78,16.78,17.59,10.44,10365000,-0.006660323501427201,-0.574474190027964
1998-06-15,22,1998-22,1998,6,1,17.69,20.0,17.56,19.56,11.61,17461600,0.11206896551724133,9.666306475803054
1998-06-30,24,1998-24,1998,6,16,19.5,21.06,19.12,20.66,12.26,15612200,0.05598621877691645,4.828990315215998
1998-07-15,26,1998-26,1998,7,1,21.06,23.62,20.62,23.09,13.7,16523800,0.11745513866231638,10.13088112509814
1998-07-31,28,1998-28,1998,7,16,23.09,24.12,21.41,21.59,12.81,15989200,-0.06496350364963499,-5.603309829095492
1998-08-15,31,1998-31,1998,8,3,21.34,23.0,21.0,22.56,13.39,15920200,0.04527712724434041,3.9052969416443317
1998-08-31,33,1998-33,1998,8,17,22.44,24.97,19.19,19.19,11.4,19933000,-0.1486183719193428,-12.818809598864698
1998-09-15,35,1998-35,1998,9,1,19.5,22.38,19.19,22.09,13.13,21428000,0.15175438596491242,13.08930083376626
1998-09-30,37,1998-37,1998,9,16,22.09,24.19,21.47,22.03,13.09,18208000,-0.0030464584920031346,-0.2627667821649042
1998-10-15,39,1998-39,1998,10,1,21.66,24.94,19.38,24.94,14.82,24818200,0.13216195569136757,11.399391100453427
1998-10-31,41,1998-41,1998,10,16,25.0,25.81,22.75,24.34,14.46,24396800,-0.02429149797570851,-2.0952193419990444
1998-11-15,44,1998-44,1998,11,2,24.53,26.31,23.81,26.19,15.58,20316200,0.0774550484094052,6.680745490670989
