Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,6.57,6.7,6.26,6.66,4.27,168162000,,
1998-01-31,02,1998-02,1998,1,16,6.7,6.99,6.35,6.64,4.26,171367800,-0.0023419203747072626,-0.2719420991604851
1998-02-15,05,1998-05,1998,2,2,6.82,7.45,6.7,7.36,4.72,178884600,0.107981220657277,12.538701201197753
1998-02-28,07,1998-07,1998,2,17,7.42,7.99,7.39,7.72,4.95,148611600,0.04872881355932224,5.6583545674896865
1998-03-15,09,1998-09,1998,3,2,7.78,8.71,7.75,8.56,5.49,211761000,0.10909090909090913,12.667557419075678
1998-03-31,11,1998-11,1998,3,16,8.59,8.67,8.12,8.47,5.44,196948200,-0.00910746812386154,-1.0575526078463267
1998-04-15,13,1998-13,1998,4,1,8.47,8.98,8.25,8.98,5.77,188111400,0.06066176470588225,7.044000219247031
1998-04-30,15,1998-15,1998,4,16,8.99,8.99,8.03,8.43,5.41,170180400,-0.06239168110918536,-7.244876860129925
1998-05-15,17,1998-17,1998,5,1,8.54,9.12,8.29,9.01,5.79,185235600,0.07024029574861368,8.156252312343858
1998-05-31,20,1998-20,1998,5,18,9.03,9.4,8.75,9.19,5.9,121759200,0.01899827288428324,2.206065699061825
1998-06-15,22,1998-22,1998,6,1,9.28,9.96,9.23,9.43,6.06,193334400,0.027118644067796405,3.1489973245159626
1998-06-30,24,1998-24,1998,6,16,9.57,10.48,9.38,10.12,6.51,194302800,0.07425742574257432,8.622718540212409
1998-07-15,26,1998-26,1998,7,1,10.26,11.17,9.96,10.98,7.06,166036200,0.08448540706605212,9.810384329929304
1998-07-31,28,1998-28,1998,7,16,11.0,11.61,10.12,10.52,6.77,235501200,-0.04107648725212465,-4.769771974368673
1998-08-15,31,1998-31,1998,8,3,10.45,11.23,9.54,10.4,6.69,221913600,-0.011816838995568513,-1.3721627928097526
1998-08-31,33,1998-33,1998,8,17,10.4,11.64,9.58,9.83,6.33,278961600,-0.053811659192825156,-6.248570924207737
1998-09-15,35,1998-35,1998,9,1,9.92,10.56,9.25,10.42,6.7,301288200,0.05845181674565558,6.787382661353077
1998-09-30,37,1998-37,1998,9,16,10.5,10.79,8.98,9.1,5.86,297134400,-0.12537313432835817,-14.558237630878008
1998-10-15,39,1998-39,1998,10,1,9.0,10.83,8.74,10.77,6.94,311257200,0.1843003412969284,21.400822260895772
