Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,7910.2,8035.54,7443.41,7691.8,7691.8,651700000,,
1998-01-31,02,1998-02,1998,1,16,7696.01,8015.12,7642.7,7906.5,7906.5,672560000,0.027912842247588276,4.386908612766982
1998-02-15,05,1998-05,1998,2,2,7909.99,8390.27,7909.99,8370.1,8370.1,554320000,0.05863530006956297,9.215389124680312
1998-02-28,07,1998-07,1998,2,17,8368.6,8566.89,8318.53,8545.72,8545.72,477160000,0.020981828174095662,3.2975990732900042
1998-03-15,09,1998-09,1998,3,2,8544.47,8698.42,8405.72,8602.52,8602.52,534460000,0.006646602041723959,1.044610057400828
1998-03-31,11,1998-11,1998,3,16,8603.51,8959.24,8602.02,8799.81,8799.81,657420000,0.022933977485666945,3.6044076939376968
1998-04-15,13,1998-13,1998,4,1,8801.56,9162.27,8748.74,9162.27,9162.27,690700000,0.0411895256829411,6.473532267746523
1998-04-30,15,1998-15,1998,4,16,9162.27,9213.33,8840.67,9063.37,9063.37,697260000,-0.010794268232654058,-1.6964760470581797
1998-05-15,17,1998-17,1998,5,1,9066.61,9261.91,8965.22,9096.0,9096.0,604070000,0.003600206104351855,0.5658246848108788
1998-05-31,20,1998-20,1998,5,18,9092.97,9202.37,8788.1,8899.95,8899.95,471170000,-0.021553430079155556,-3.387434615587669
1998-06-15,22,1998-22,1998,6,1,8900.95,9104.72,8623.19,8627.93,8627.93,595460000,-0.030564216652902543,-4.803610613629974
1998-06-30,24,1998-24,1998,6,16,8635.15,9052.66,8569.88,8952.02,8952.02,692110000,0.0375628916785371,5.903554054558717
1998-07-15,26,1998-26,1998,7,1,8958.99,9305.53,8958.99,9234.47,9234.47,609630000,0.03155153808861,4.9587825187858785
1998-07-31,28,1998-28,1998,7,16,9233.23,9367.84,8816.09,8883.29,8883.29,804040000,-0.03802925343847541,-5.976849579363801
1998-08-15,31,1998-31,1998,8,3,8883.29,8886.12,8316.87,8425.0,8425.0,795930000,-0.051590120327041133,-8.108136791979193
1998-08-31,33,1998-33,1998,8,17,8419.96,8753.78,7539.07,7539.07,7539.07,845730000,-0.10515489614243323,-16.526619377204966
1998-09-15,35,1998-35,1998,9,1,7545.76,8039.06,7400.3,8024.39,8024.39,989320000,0.06437398777302783,10.11730725573288
1998-09-30,37,1998-37,1998,9,16,8026.13,8182.47,7711.05,7842.62,7842.62,907820000,-0.02265218913836442,-3.5601205619862513
1998-10-15,39,1998-39,1998,10,1,7841.33,8347.76,7467.49,8299.36,8299.36,1072560000,0.058238190808683976,9.15297763604339
1998-10-31,41,1998-41,1998,10,16,8300.39,8659.81,8300.39,8592.1,8592.1,843770000,0.035272599332960564,5.543601344353001
1998-11-15,44,1998-44,1998,11,2,8595.7,8990.91,8595.7,8919.59,8919.59,708980000,0.03811524539984412,5.990364465186284
1998-11-30,46,1998-46,1998,11,16,8921.14,9380.2,8920.88,9116.55,9116.55,680050000,0.022081732456312286,3.4704650081194215
1998-12-15,48,1998-48,1998,12,1,9116.55,9141.27,8676.03,8823.3,8823.3,856720000,-0.03216677361501885,-5.055475718487403
1998-12-31,50,1998-50,1998,12,16,8823.3,9334.88,8740.65,9181.43,9181.43,650800000,0.04058912198383835,6.379170105148819
1999-01-15,01,1999-01,1999,1,4,9184.01,9647.96,9087.72,9340.55,9340.55,937560000,0.017330633681245544,2.7237608225846146
1999-01-31,03,1999-03,1999,1,19,9343.12,9480.09,9063.26,9358.83,9358.83,808930000,0.001957058203210904,0.30758012427394377
1999-02-15,05,1999-05,1999,2,1,9359.6,9430.66,9099.04,9274.89,9274.89,825090000,-0.008969069851680223,-1.4096196092049442
1999-02-28,07,1999-07,1999,2,16,9277.31,9611.33,9179.21,9306.58,9306.58,720130000,0.003416752112423982,0.536992225181856
1999-03-15,09,1999-09,1999,3,1,9307.39,9970.15,9211.23,9958.77,9958.77,1006940000,0.0700783746553515,11.01383451449969
1999-03-31,11,1999-11,1999,3,16,9957.66,10085.31,9625.21,9786.16,9786.16,986100000,-0.017332461739753113,-2.7240481285329072
1999-04-15,13,1999-13,1999,4,1,9786.44,10526.54,9765.63,10462.72,10462.72,898140000,0.06913436935427164,10.865470369097666
1999-04-30,15,1999-15,1999,4,16,10463.56,10961.71,10333.15,10789.04,10789.04,1198360000,0.031188830437974158,4.90177774290612
1999-05-15,18,1999-18,1999,5,3,10789.04,11130.67,10756.11,10913.32,10913.32,976580000,0.011519097157856484,1.8103934413008922
1999-05-31,20,1999-20,1999,5,17,10910.57,10946.08,10434.26,10559.74,10559.74,866040000,-0.03239894001092247,-5.091964039982957
1999-06-15,22,1999-22,1999,6,1,10561.01,10917.3,10409.14,10594.99,10594.99,868300000,0.0033381503711265026,0.5246388197916834
1999-06-30,24,1999-24,1999,6,16,10598.54,11003.41,10471.2,10970.8,10970.8,898690000,0.03547053843373127,5.574710349243013
1999-07-15,26,1999-26,1999,7,1,10966.05,11236.76,10903.68,11186.41,11186.41,823570000,0.0196530790826559,3.0887668525602416
1999-07-31,28,1999-28,1999,7,16,11186.35,11252.27,10647.86,10655.15,10655.15,848620000,-0.047491554484414555,-7.463987635274644
1999-08-15,31,1999-31,1999,8,2,10654.83,10981.89,10549.08,10973.65,10973.65,857660000,0.02989164863939031,4.697906780785674
1999-08-31,33,1999-33,1999,8,16,10980.11,11365.93,10782.11,10829.28,10829.28,1000100000,-0.01315606019874871,-2.0676659612103188
1999-09-15,35,1999-35,1999,9,1,10828.44,11142.41,10732.71,10801.42,10801.42,773270000,-0.0025726548764092305,-0.40433008343934457
1999-09-30,37,1999-37,1999,9,16,10795.77,10860.94,10081.13,10336.95,10336.95,978640000,-0.04300082766895452,-6.758204685276873
1999-10-15,39,1999-39,1999,10,1,10335.69,10719.1,9998.18,10019.71,10019.71,979240000,-0.030689903694997245,-4.82336415798736
1999-10-31,42,1999-42,1999,10,18,10018.45,10790.02,9976.02,10729.86,10729.86,1223790000,0.07087530477429005,11.139083658658308
1999-11-15,44,1999-44,1999,11,1,10730.78,10842.72,10536.27,10760.75,10760.75,1764320000,0.0028788819239020658,0.4524581121149121
1999-11-30,46,1999-46,1999,11,16,10762.89,11112.77,10757.39,10877.81,10877.81,1486570000,0.010878423901679701,1.7097023328655185
1999-12-15,48,1999-48,1999,12,1,10876.47,11341.23,10859.65,11225.32,11225.32,1831590000,0.031946687798371176,5.020886035500786
1999-12-31,50,1999-50,1999,12,16,11224.4,11568.77,11098.01,11497.12,11497.12,1334560000,0.024213118200639316,3.8054432377092398
2000-01-15,01,2000-01,2000,1,3,11501.85,11750.28,10938.67,11722.98,11722.98,1894090000,0.019644919771212077,3.0874844982471386
2000-01-31,03,2000-03,2000,1,18,11719.19,11720.12,10701.64,10940.53,10940.53,1960440000,-0.06674497440070692,-10.489942244511907
2000-02-15,05,2000-05,2000,2,1,10937.74,11118.93,10356.96,10718.09,10718.09,1876090000,-0.020331738955973844,-3.1954281096615342
2000-02-29,07,2000-07,2000,2,16,10711.82,10741.67,9836.06,10128.31,10128.31,1785030000,-0.055026595223589325,-8.648228739173403
2000-03-15,09,2000-09,2000,3,1,10128.11,10443.52,9731.81,10131.41,10131.41,2269840000,0.0003060727801578178,0.04810378332302863
2000-03-31,11,2000-11,2000,3,16,10139.58,11234.65,10138.34,10921.92,10921.92,2484790000,0.07802566473965622,12.262866591195726
2000-04-15,14,2000-14,2000,4,3,10863.28,11425.45,10201.53,10305.77,10305.77,2130660000,-0.05641407371597662,-8.866291138347702
