Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-15,00,1998-00,1998,1,2,970.43,982.63,912.83,950.73,950.73,6203630000,,
1998-01-31,02,1998-02,1998,1,16,950.73,992.65,950.73,980.28,980.28,6530200000,0.031081379571487044,4.782304320459115
1998-02-15,05,1998-05,1998,2,2,980.28,1026.3,980.28,1020.09,1020.09,6295820000,0.0406108458807688,6.24854579785977
1998-02-28,07,1998-07,1998,2,17,1020.09,1051.66,1020.09,1049.34,1049.34,5360730000,0.02867394053465855,4.4118862030590575
1998-03-15,09,1998-09,1998,3,2,1049.34,1075.86,1030.87,1068.61,1068.61,6266500000,0.01836392399031772,2.825546171060049
1998-03-31,11,1998-11,1998,3,16,1068.61,1113.07,1068.61,1101.75,1101.75,7453090000,0.03101224955783688,4.771667702409642
1998-04-15,13,1998-13,1998,4,1,1101.75,1131.99,1095.29,1119.32,1119.32,6330600000,0.0159473564783299,2.4537235102711348
1998-04-30,15,1998-15,1998,4,16,1119.32,1132.98,1076.7,1111.75,1111.75,7325460000,-0.0067630346996390145,-1.0405873390886675
1998-05-15,17,1998-17,1998,5,1,1111.75,1130.52,1094.53,1108.73,1108.73,6439610000,-0.0027164380481222716,-0.4179619306767192
1998-05-31,20,1998-20,1998,5,18,1108.73,1124.45,1074.39,1090.82,1090.82,5037530000,-0.016153617201663195,-2.4854596031324294
1998-06-15,22,1998-22,1998,6,1,1090.82,1126.0,1077.01,1077.01,1077.01,6421980000,-0.01266020058304762,-1.947948668331615
1998-06-30,24,1998-24,1998,6,16,1077.01,1145.15,1074.67,1133.84,1133.84,7129990000,0.05276645527896662,8.118856065430483
1998-07-15,26,1998-26,1998,7,1,1133.84,1181.48,1133.84,1174.81,1174.81,6197440000,0.036133846045297346,5.559696848712385
1998-07-31,28,1998-28,1998,7,16,1174.81,1190.58,1114.3,1120.67,1120.67,7997360000,-0.04608404763323415,-7.09067432459901
1998-08-15,31,1998-31,1998,8,3,1120.67,1121.79,1054.0,1062.75,1062.75,7222110000,-0.051683367985223216,-7.952207959210159
1998-08-31,33,1998-33,1998,8,17,1062.75,1106.64,957.28,957.28,957.28,7849440000,-0.09924253116913673,-15.269849412310178
