Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,25.97,25.97,25.77,25.88,3085685,18.2,-0.00630292895916551,,17.947857142857142,16.887,
1998-01-05,1998,1,5,Monday,01,1998-01,25.89,26.17,25.75,25.93,4016223,18.24,0.0021140581303116246,0.00219780219780219,17.984285714285715,16.9102,1.5180682693620902
1998-01-06,1998,1,6,Tuesday,01,1998-01,25.8,25.88,25.27,25.4,3599794,17.87,-0.02039365506101798,-0.020285087719298156,17.965714285714284,16.9314,-14.011337343591428
1998-01-07,1998,1,7,Wednesday,01,1998-01,25.4,25.4,24.78,25.16,4379870,17.7,-0.00933229571187022,-0.009513150531617276,17.92,16.9576,-6.570933443489568
1998-01-08,1998,1,8,Thursday,01,1998-01,24.95,24.98,24.58,24.65,2901291,17.34,-0.02028997686778866,-0.02033898305084747,17.854285714285716,16.9984,-14.048563984266181
1998-01-09,1998,1,9,Friday,01,1998-01,24.54,24.56,23.74,23.92,5554438,16.83,-0.02958569730268301,-0.02941176470588247,17.75857142857143,17.0166,-20.315325369404594
1998-01-12,1998,1,12,Monday,02,1998-02,23.49,23.96,23.41,23.85,4349366,16.78,-0.00304904169089959,-0.002970885323826278,17.685714285714287,17.0278,-2.052053067616464
1998-01-13,1998,1,13,Tuesday,02,1998-02,24.36,24.36,24.0,24.16,2903005,17.0,0.012997462027315887,0.013110846245530272,17.617142857142856,17.0536,9.055937649770224
1998-01-14,1998,1,14,Wednesday,02,1998-02,24.31,24.42,24.2,24.33,3114475,17.11,0.006792107294827376,0.006470588235294006,17.592857142857145,17.0764,4.469371581268915
1998-01-15,1998,1,15,Thursday,02,1998-02,24.25,24.29,23.71,23.74,3075060,16.7,-0.02398783421577766,-0.02396259497369957,17.535714285714285,17.0834,-16.551469061922774
1998-01-16,1998,1,16,Friday,02,1998-02,24.0,24.29,23.92,23.92,4273620,16.83,0.0076804066495310686,0.0077844311377244235,17.476428571428574,17.0928,5.376870546872245
1998-01-20,1998,1,20,Tuesday,03,1998-03,23.92,24.14,23.83,24.05,4635211,16.92,0.005335737964416554,0.005347593582887944,17.416428571428572,17.1026,3.69369552171008
1998-01-21,1998,1,21,Wednesday,03,1998-03,23.85,24.07,23.82,23.82,2630869,16.75,-0.009856200429999795,-0.010047281323877222,17.327857142857145,17.108800000000002,-6.93986883186524
1998-01-22,1998,1,22,Thursday,03,1998-03,23.65,23.76,23.2,23.36,3774249,16.43,-0.01914254887814759,-0.01910447761194034,17.192857142857143,17.113999999999997,-13.195865075768454
1998-01-23,1998,1,23,Friday,03,1998-03,23.47,23.56,22.87,23.07,3157317,16.23,-0.012490615846533104,-0.012172854534388322,17.052142857142858,17.1178,-8.408047018378015
1998-01-26,1998,1,26,Monday,04,1998-04,23.2,23.47,23.03,23.16,4152291,16.29,0.003952879968838641,0.003696857670979492,16.912857142857142,17.124,2.55349745863113
1998-01-27,1998,1,27,Tuesday,04,1998-04,23.23,24.44,23.21,24.36,7079973,17.14,0.05196845323566235,0.0521792510742789,16.860714285714288,17.15,36.041307745598075
1998-01-28,1998,1,28,Wednesday,04,1998-04,24.8,24.8,24.14,24.2,7289729,17.02,-0.006736409408091837,-0.007001166861143604,16.812142857142856,17.172,-4.835853413487244
1998-01-29,1998,1,29,Thursday,04,1998-04,24.09,24.58,24.07,24.44,5074603,17.19,0.009796560637913787,0.009988249118684012,16.80142857142857,17.2,6.899094044368942
1998-01-30,1998,1,30,Friday,04,1998-04,24.62,24.62,24.31,24.42,4411745,17.18,-0.000746748675131359,-0.0005817335660268652,16.826428571428572,17.223200000000002,-0.4018156268527508
1998-02-02,1998,2,2,Monday,05,1998-05,24.58,25.35,24.58,25.27,5912259,17.78,0.03510154099532592,0.034924330616996624,16.89785714285714,17.2654,24.12297075296004
1998-02-03,1998,2,3,Tuesday,05,1998-05,25.31,25.38,25.13,25.37,2539015,17.84,0.003606926827112389,0.003374578177727683,16.957857142857144,17.2988,2.3308922246110217
1998-02-04,1998,2,4,Wednesday,05,1998-05,25.27,25.53,25.16,25.47,3550097,17.92,0.004313547382054583,0.004484304932735439,17.015714285714285,17.3316,3.097403867980966
1998-02-05,1998,2,5,Thursday,05,1998-05,25.57,25.71,25.06,25.31,5775848,17.81,-0.006442051971505491,-0.006138392857143016,17.095000000000002,17.3652,-4.239917236695025
