Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
2004-06-23,2004,6,23,Wednesday,25,2004-25,3.75,4.32,3.69,4.3,43574400,4.29,0.0,,4.29,4.29,
2004-06-24,2004,6,24,Thursday,25,2004-25,4.39,4.42,4.12,4.19,8887200,4.18,-0.02558142560831622,-0.02564102564102566,4.234999999999999,4.234999999999999,-15.303127411503937
2004-06-25,2004,6,25,Friday,25,2004-25,4.13,4.19,3.95,3.95,6710000,3.94,-0.05727927468324745,-0.0574162679425837,4.136666666666667,4.136666666666667,-34.26729008891786
2004-06-28,2004,6,28,Monday,26,2004-26,4.0,4.05,3.86,4.0,2270800,3.99,0.012658221718272689,0.012690355329949332,4.1,4.1,7.57388285594743
2004-06-29,2004,6,29,Tuesday,26,2004-26,4.0,4.18,3.96,4.1,2112000,4.09,0.024999988044918542,0.025062656641603898,4.098000000000001,4.098000000000001,14.957944086432342
2004-06-30,2004,6,30,Wednesday,26,2004-26,4.1,4.24,4.01,4.02,2087600,4.01,-0.02012197682230432,-0.019559902200488977,4.083333333333333,4.083333333333333,-11.673779345694914
2004-07-01,2004,7,1,Thursday,26,2004-26,4.02,4.05,3.97,4.01,1754800,4.0,-0.0024890376288545513,-0.0024937655860348684,4.071428571428571,4.071428571428571,-1.4883340874030984
2004-07-02,2004,7,2,Friday,26,2004-26,4.03,4.24,4.01,4.24,993200,4.23,0.05926379015236627,0.05750000000000011,4.0912500000000005,4.0912500000000005,34.31726322029762
2004-07-06,2004,7,6,Tuesday,27,2004-27,4.23,4.25,4.12,4.25,1216800,4.24,0.001177990978461274,0.0023640661938533203,4.107777777777778,4.107777777777778,1.4109266407768932
2004-07-07,2004,7,7,Wednesday,27,2004-27,4.22,4.22,4.01,4.08,1787600,4.07,-0.04058831372606386,-0.04009433962264153,4.104,4.104,-23.929182721290346
2004-07-08,2004,7,8,Thursday,27,2004-27,4.08,4.08,3.91,3.93,2179200,3.92,-0.034947891384589314,-0.03685503685503699,4.087272727272727,4.087272727272727,-21.995895665183856
2004-07-09,2004,7,9,Friday,27,2004-27,3.98,4.14,3.97,4.1,596800,4.09,0.04193137728553964,0.04336734693877542,4.0874999999999995,4.0874999999999995,25.882585392416022
2004-07-12,2004,7,12,Monday,28,2004-28,4.15,4.21,4.04,4.19,780800,4.18,0.02134139514052169,0.022004889975550057,4.094615384615385,4.094615384615385,13.133001763906753
2004-07-13,2004,7,13,Tuesday,28,2004-28,4.18,4.18,4.02,4.02,1674000,4.01,-0.03999994975296728,-0.04066985645933008,4.088571428571429,4.088571428571429,-24.27266381298346
