Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,9.44,9.73,9.27,9.68,42853800,6.51,0.04147952885462414,,6.038571428571429,6.181800000000001,
1998-01-05,1998,1,5,Monday,01,1998-01,9.69,9.85,9.46,9.66,70755000,6.49,-0.0021527706479219644,-0.003072196620583667,6.093571428571429,6.1862,-2.055859762921337
1998-01-06,1998,1,6,Tuesday,01,1998-01,9.54,9.73,9.35,9.53,54234000,6.41,-0.012945004496450752,-0.012326656394452962,6.137857142857143,6.1926,-8.248780928578167
1998-01-07,1998,1,7,Wednesday,01,1998-01,9.48,9.48,9.16,9.25,74175000,6.22,-0.029508188670979374,-0.029641185647425905,6.154285714285715,6.196999999999999,-19.835358352242157
1998-01-08,1998,1,8,Thursday,01,1998-01,9.16,9.46,8.92,9.35,75943800,6.29,0.01126175217107206,0.0112540192926045,6.17,6.2139999999999995,7.5309911090294905
1998-01-09,1998,1,9,Friday,01,1998-01,9.23,9.35,8.98,9.04,83994000,6.08,-0.03340795111086281,-0.03338632750397452,6.175714285714285,6.215999999999999,-22.34154119149287
1998-01-12,1998,1,12,Monday,02,1998-02,8.67,9.29,8.58,9.28,78526200,6.24,0.026497546485709345,0.026315789473684292,6.193571428571429,6.220599999999999,17.61006191660285
1998-01-13,1998,1,13,Tuesday,02,1998-02,9.33,9.41,9.19,9.33,62359200,6.28,0.005611687971718959,0.0064102564102563875,6.205,6.226800000000001,4.289630466864768
1998-01-14,1998,1,14,Wednesday,02,1998-02,9.48,9.52,9.31,9.5,52188600,6.39,0.01785691898053865,0.01751592356687892,6.25,6.232,11.721346944490357
1998-01-15,1998,1,15,Thursday,02,1998-02,9.46,9.71,9.43,9.57,49991400,6.44,0.007675595998585472,0.007824726134585402,6.297142857142858,6.2341999999999995,5.236168644999342
1998-01-16,1998,1,16,Friday,02,1998-02,9.71,9.79,9.59,9.65,48571800,6.49,0.00761690774391921,0.007763975155279379,6.335,6.239400000000001,5.1955151617305555
1998-01-20,1998,1,20,Tuesday,03,1998-03,9.72,9.92,9.69,9.92,56923200,6.67,0.02807779141342448,0.027734976887519247,6.362857142857143,6.2452000000000005,18.559757089300934
1998-01-21,1998,1,21,Wednesday,03,1998-03,9.79,9.92,9.46,9.9,52260600,6.65,-0.002100832073098635,-0.0029985007496251548,6.3864285714285725,6.2516,-2.006543786599397
1998-01-22,1998,1,22,Thursday,03,1998-03,9.76,9.86,9.59,9.62,43438800,6.47,-0.027367954863542154,-0.027067669172932463,6.402142857142858,6.2562,-18.113206542791534
1998-01-23,1998,1,23,Friday,03,1998-03,9.72,9.77,9.42,9.61,46768200,6.46,-0.0010827252167918688,-0.0015455950540957941,6.398571428571429,6.2632,-1.0342849348236354
1998-01-26,1998,1,26,Monday,04,1998-04,9.66,9.67,9.3,9.44,39954600,6.35,-0.018418091956069582,-0.01702786377708987,6.388571428571429,6.269799999999999,-11.39474594603716
1998-01-27,1998,1,27,Tuesday,04,1998-04,9.44,9.9,9.31,9.88,67517400,6.64,0.04635765321707108,0.045669291338582774,6.405,6.288200000000001,30.561083830072945
1998-01-28,1998,1,28,Wednesday,04,1998-04,9.98,10.4,9.95,10.31,104662200,6.93,0.044303544299343134,0.04367469879518082,6.4557142857142855,6.308000000000001,29.226337698940245
1998-01-29,1998,1,29,Thursday,04,1998-04,10.33,10.79,10.31,10.62,125109000,7.14,0.03030353251699891,0.030303030303030276,6.5164285714285715,6.329200000000001,20.27825311608805
1998-01-30,1998,1,30,Friday,04,1998-04,10.72,10.73,10.46,10.51,51928800,7.07,-0.010784634037351304,-0.009803921568627416,6.587142857142857,6.3464,-6.560611302263763
1998-02-02,1998,2,2,Monday,05,1998-05,10.82,10.94,10.58,10.66,84201000,7.17,0.013875270600231193,0.014144271570014189,6.653571428571428,6.3668000000000005,9.46509692830139
1998-02-03,1998,2,3,Tuesday,05,1998-05,10.66,10.8,10.35,10.5,88447200,7.06,-0.014663061633267027,-0.015341701534170249,6.709285714285714,6.3838,-10.26639592906557
1998-02-04,1998,2,4,Wednesday,05,1998-05,10.58,10.96,10.56,10.76,125086200,7.24,0.024801998370262535,0.025495750708215414,6.769999999999999,6.400799999999999,17.061306446113836
1998-02-05,1998,2,5,Thursday,05,1998-05,10.96,11.03,10.73,10.73,75684000,7.21,-0.002904315051091455,-0.004143646408839796,6.825,6.4178,-2.7728550531667504
1998-02-06,1998,2,6,Friday,05,1998-05,10.71,11.0,10.58,10.99,47049000,7.39,0.02427171214478574,0.02496532593619971,6.889285714285714,6.4412,16.70635554917657
1998-02-09,1998,2,9,Monday,06,1998-06,11.06,11.06,10.56,10.67,55943400,7.17,-0.029383995499866478,-0.02976995940460081,6.925,6.458600000000001,-19.92153147805133
1998-02-10,1998,2,10,Tuesday,06,1998-06,10.71,10.85,10.56,10.79,58441200,7.26,0.011718771295841535,0.012552301255230214,6.968571428571428,6.4765999999999995,8.399778487417292
1998-02-11,1998,2,11,Wednesday,06,1998-06,10.84,10.85,10.68,10.81,32716800,7.27,0.0019304944456473017,0.0013774104683195176,7.025714285714285,6.493199999999999,0.9217387780039752
1998-02-12,1998,2,12,Thursday,06,1998-06,10.72,10.98,10.69,10.88,45181800,7.31,0.00578052121629824,0.005502063273727709,7.086428571428571,6.5042,3.6818836469376266
1998-02-13,1998,2,13,Friday,06,1998-06,10.82,10.97,10.75,10.81,30223200,7.27,-0.005747298833454928,-0.005471956224350261,7.152142857142858,6.5203999999999995,-3.6617365407984295
1998-02-17,1998,2,17,Tuesday,07,1998-07,10.98,11.0,10.69,10.82,41662800,7.28,0.000963485790584917,0.0013755158184320937,7.197857142857144,6.5362,0.9204709117345181
1998-02-18,1998,2,18,Wednesday,07,1998-07,10.77,10.94,10.75,10.92,44554800,7.34,0.008662501215483953,0.008241758241758212,7.227142857142857,6.553999999999999,5.515239171683273
1998-02-19,1998,2,19,Thursday,07,1998-07,10.96,11.04,10.9,10.91,43772400,7.33,-0.0009546815971870348,-0.0013623978201634523,7.240714285714285,6.567,-0.9116925787886769
1998-02-20,1998,2,20,Friday,07,1998-07,10.98,11.02,10.78,10.97,51100200,7.38,0.00573083229912541,0.006821282401091366,7.262857142857143,6.580400000000001,4.564681806486374
1998-02-23,1998,2,23,Monday,08,1998-08,11.06,11.08,10.86,10.94,38247000,7.35,-0.0028492824618421286,-0.004065040650406582,7.275714285714286,6.596799999999999,-2.7202534667923537
1998-02-24,1998,2,24,Tuesday,08,1998-08,10.98,11.16,10.79,10.79,58074600,7.26,-0.013333154379613466,-0.01224489795918371,7.29,6.6144,-8.194069626500918
1998-02-25,1998,2,25,Wednesday,08,1998-08,10.9,11.16,10.8,11.12,51615000,7.48,0.030888239702786535,0.030303030303030498,7.307142857142857,6.6404,20.278253116088198
1998-02-26,1998,2,26,Thursday,08,1998-08,11.07,11.1,10.96,11.08,46743600,7.45,-0.003745048090242231,-0.004010695187165791,7.324285714285714,6.675,-2.683886441835196
1998-02-27,1998,2,27,Friday,08,1998-08,11.19,11.42,10.98,10.98,58439400,7.38,-0.00939909519911919,-0.00939597315436247,7.323571428571428,6.706799999999999,-6.287619422572308
1998-03-02,1998,3,2,Monday,09,1998-09,11.15,11.21,10.75,10.88,45166800,7.31,-0.009487372121099846,-0.009485094850948506,7.333571428571427,6.733199999999999,-6.347258089182034
1998-03-03,1998,3,3,Tuesday,09,1998-09,10.72,10.83,10.56,10.75,52573800,7.23,-0.011494467245078743,-0.0109439124487003,7.331428571428572,6.7564,-7.323473081596711
1998-03-04,1998,3,4,Wednesday,09,1998-09,10.76,10.92,10.72,10.88,39176400,7.31,0.011628126362676294,0.011065006915629283,7.3342857142857145,6.7825999999999995,7.404507361891052
1998-03-05,1998,3,5,Thursday,09,1998-09,10.56,10.77,10.19,10.31,102384000,6.93,-0.05172432007186767,-0.051983584131326976,7.307142857142857,6.8014,-34.786497137584746
1998-03-06,1998,3,6,Friday,09,1998-09,10.43,10.75,10.32,10.73,64338600,7.21,0.04040429741533824,0.04040404040404044,7.3028571428571425,6.823199999999999,27.037670821450785
1998-03-09,1998,3,9,Monday,10,1998-10,10.61,10.74,10.19,10.2,61294800,6.86,-0.04902950364186065,-0.04854368932038833,7.272857142857143,6.8452,-32.48458023451
1998-03-10,1998,3,10,Tuesday,10,1998-10,10.46,10.48,10.0,10.23,88537200,6.88,0.0025525043060130592,0.002915451895043608,7.24,6.8672,1.950968958690606
1998-03-11,1998,3,11,Wednesday,10,1998-10,10.41,10.71,10.34,10.44,75829200,7.02,0.02036714366025949,0.02034883720930236,7.217857142857143,6.888399999999999,13.617082761094046
1998-03-12,1998,3,12,Thursday,10,1998-10,10.54,10.69,10.42,10.66,47346600,7.17,0.020957821412803446,0.021367521367521514,7.202857142857142,6.9062,14.29876822288271
1998-03-13,1998,3,13,Friday,10,1998-10,10.79,10.88,10.69,10.76,41296200,7.24,0.00977526350626401,0.009762900976290068,7.195,6.924600000000001,6.5331610457689395
1998-03-16,1998,3,16,Monday,11,1998-11,10.8,10.82,10.65,10.73,33524400,7.21,-0.002904315051091455,-0.004143646408839796,7.191428571428571,6.9437999999999995,-2.7728550531667504
1998-03-17,1998,3,17,Tuesday,11,1998-11,10.74,10.82,10.48,10.76,54018000,7.24,0.002912774666395501,0.004160887656033285,7.174285714285715,6.958399999999999,2.784392591529428
1998-03-18,1998,3,18,Wednesday,11,1998-11,10.54,10.75,10.52,10.59,57489000,7.12,-0.01548906515629278,-0.016574585635359185,7.150714285714286,6.971,-11.091420212667002
1998-03-19,1998,3,19,Thursday,11,1998-11,10.6,10.74,10.52,10.72,45343800,7.21,0.011799295299688373,0.012640449438202195,7.138571428571429,6.986999999999999,8.458765695896252
1998-03-20,1998,3,20,Friday,11,1998-11,10.73,10.73,10.58,10.6,42997800,7.13,-0.010689915118740734,-0.01109570041608876,7.125714285714286,7.005200000000001,-7.4250469107451424
1998-03-23,1998,3,23,Monday,12,1998-12,10.57,10.98,10.56,10.79,70598400,7.26,0.01768159105428868,0.018232819074333717,7.127857142857144,7.0246,12.201080766902864
1998-03-24,1998,3,24,Tuesday,12,1998-12,10.98,11.36,10.96,11.3,85840800,7.6,0.047297212490089446,0.04683195592286493,7.148571428571429,7.055,31.33911845213605
1998-03-25,1998,3,25,Wednesday,12,1998-12,11.64,11.65,11.5,11.59,68151600,7.8,0.025806918367683673,0.026315789473684292,7.210714285714286,7.0862,17.61006191660285
1998-03-26,1998,3,26,Thursday,12,1998-12,11.53,11.62,11.42,11.56,41119200,7.77,-0.002695436915117533,-0.0038461538461538325,7.2507142857142854,7.115999999999999,-2.573778280118861
1998-03-27,1998,3,27,Friday,12,1998-12,11.64,11.67,11.47,11.56,50055000,7.77,0.0,0.0,7.315714285714286,7.1436,0.0
1998-03-30,1998,3,30,Monday,13,1998-13,11.55,11.6,11.15,11.24,38302800,7.56,-0.02792845373835029,-0.027027027027026973,7.364285714285714,7.166,-18.086009535970405
1998-03-31,1998,3,31,Tuesday,13,1998-13,11.33,11.5,11.27,11.4,36589800,7.66,0.013901993507456245,0.013227513227513255,7.409999999999999,7.189399999999999,8.851618423689255
1998-04-01,1998,4,1,Wednesday,13,1998-13,11.45,11.59,11.27,11.55,44187600,7.77,0.013711066866584298,0.01436031331592691,7.452857142857143,7.2114,9.609668252140962
1998-04-02,1998,4,2,Thursday,13,1998-13,11.54,11.79,11.5,11.71,51847800,7.87,0.01352580040441742,0.012870012870012992,7.497857142857143,7.235799999999999,8.612385493319339
1998-04-03,1998,4,3,Friday,13,1998-13,11.72,11.99,11.69,11.78,54301800,7.92,0.00622806662096087,0.006353240152477735,7.548571428571429,7.2648,4.2514761933348355
1998-04-06,1998,4,6,Monday,14,1998-14,11.88,11.9,11.47,11.5,43793400,7.73,-0.02387314958546327,-0.023989898989898895,7.583571428571427,7.2902,-16.053617050236323
1998-04-07,1998,4,7,Tuesday,14,1998-14,11.39,11.52,11.22,11.5,52782600,7.73,0.0,0.0,7.627142857142857,7.317800000000001,0.0
1998-04-08,1998,4,8,Wednesday,14,1998-14,11.57,11.57,11.25,11.38,50500200,7.65,-0.010869339328996697,-0.010349288486416586,7.658571428571428,7.337999999999999,-6.925561219466059
1998-04-09,1998,4,9,Thursday,14,1998-14,11.46,11.48,11.03,11.17,66436200,7.51,-0.018314945237210223,-0.018300653594771288,7.685714285714285,7.349599999999999,-12.246474430892432
1998-04-13,1998,4,13,Monday,15,1998-15,11.09,11.19,11.01,11.08,42171600,7.45,-0.007462402204578944,-0.007989347536617841,7.699285714285714,7.3557999999999995,-5.346330382137731
1998-04-14,1998,4,14,Tuesday,15,1998-15,11.04,11.4,11.03,11.28,57588000,7.59,0.017856649257593338,0.018791946308724716,7.698571428571428,7.3662,12.575238845144469
1998-04-15,1998,4,15,Wednesday,15,1998-15,11.4,11.83,11.35,11.78,66373200,7.92,0.044321724054887435,0.04347826086956519,7.707142857142857,7.381199999999999,29.094884905691558
1998-04-16,1998,4,16,Thursday,15,1998-15,11.79,11.88,11.6,11.7,41025000,7.87,-0.007073356366225414,-0.0063131313131312705,7.714285714285714,7.397399999999999,-4.224636065851652
1998-04-17,1998,4,17,Friday,15,1998-15,11.57,11.75,11.56,11.74,30150600,7.89,0.0035617513302006465,0.0025412960609909607,7.722857142857142,7.410400000000001,1.7005904773338454
1998-04-20,1998,4,20,Monday,16,1998-16,11.85,12.17,11.76,12.04,42646800,8.1,0.025731895260652227,0.026615969581748944,7.7614285714285725,7.4281999999999995,17.81093714759059
1998-04-21,1998,4,21,Tuesday,16,1998-16,12.1,12.32,11.92,12.31,40785600,8.28,0.02249155387399293,0.022222222222222143,7.805714285714286,7.446000000000001,14.870718951797862
1998-04-22,1998,4,22,Wednesday,16,1998-16,12.31,12.33,12.17,12.27,27479400,8.25,-0.003383965330943428,-0.0036231884057970065,7.840000000000001,7.4676,-2.424573742140901
1998-04-23,1998,4,23,Thursday,16,1998-16,12.26,12.27,11.88,11.95,29595600,8.03,-0.02631605106313728,-0.026666666666666727,7.8514285714285705,7.483,-17.844862742157538
1998-04-24,1998,4,24,Friday,16,1998-16,11.88,12.21,11.85,11.99,34059600,8.06,0.003487462857119761,0.0037359900373601374,7.86142857142857,7.4988,2.500058603353482
1998-04-27,1998,4,27,Monday,17,1998-17,11.72,11.92,11.56,11.74,45988800,7.89,-0.02085146488334033,-0.021091811414392203,7.872857142857143,7.5104,-14.114267987748738
1998-04-28,1998,4,28,Tuesday,17,1998-17,12.02,12.02,11.57,11.81,48764400,7.94,0.0062111846267078885,0.006337135614702172,7.887857142857143,7.5238,4.24069932085493
1998-04-29,1998,4,29,Wednesday,17,1998-17,11.85,12.07,11.77,12.0,41491800,8.07,0.015872890084474678,0.016372795969773257,7.917857142857143,7.5396,10.956386129473248
1998-04-30,1998,4,30,Thursday,17,1998-17,12.16,12.46,12.15,12.21,55056000,8.21,0.017361395927716794,0.0173482032218093,7.967857142857143,7.557,11.609111449359055
1998-05-01,1998,5,1,Friday,17,1998-17,12.29,12.35,12.2,12.27,30788400,8.25,0.0051194900074329475,0.004872107186357999,8.025,7.575399999999999,3.260328150211412
1998-05-04,1998,5,4,Monday,18,1998-18,12.49,12.64,12.4,12.49,47264400,8.4,0.017826372202760066,0.0181818181818183,8.082857142857142,7.5958,12.16695186965292
1998-05-05,1998,5,5,Tuesday,18,1998-18,12.57,12.62,12.25,12.27,47576400,8.25,-0.017514158298119753,-0.017857142857142905,8.106428571428571,7.6138,-11.949684871980502
1998-05-06,1998,5,6,Wednesday,18,1998-18,12.58,12.71,12.45,12.67,96796200,8.52,0.03225798248732836,0.032727272727272716,8.152857142857142,7.639000000000001,21.900513365375105
1998-05-07,1998,5,7,Thursday,18,1998-18,12.75,12.76,12.54,12.56,37243200,8.45,-0.008223929153613252,-0.008215962441314617,8.192857142857143,7.6584,-5.497977077249272
1998-05-08,1998,5,8,Friday,18,1998-18,12.49,12.69,12.46,12.62,35513400,8.49,0.0049749350838939055,0.004733727810650956,8.220714285714285,7.679200000000001,3.1677271139925014
1998-05-11,1998,5,11,Monday,19,1998-19,12.75,12.79,12.44,12.46,38456400,8.38,-0.01320104502000563,-0.012956419316843326,8.227857142857143,7.699200000000001,-8.67020716270902
1998-05-12,1998,5,12,Tuesday,19,1998-19,12.47,12.76,12.33,12.73,36346200,8.56,0.02173887056782875,0.021479713603818507,8.25,7.724200000000001,14.373845287537291
1998-05-13,1998,5,13,Wednesday,19,1998-19,12.77,12.79,12.51,12.67,29213400,8.52,-0.004909574773909076,-0.004672897196261738,8.285,7.75,-3.127020340331375
1998-05-14,1998,5,14,Thursday,19,1998-19,12.59,12.79,12.51,12.68,28810800,8.52,0.000821777058456874,0.0,8.317857142857143,7.7741999999999996,0.0
1998-05-15,1998,5,15,Friday,19,1998-19,12.76,12.78,12.64,12.73,42159000,8.56,0.004108644174274145,0.0046948356807512415,8.365714285714287,7.806799999999999,3.141701186999605
1998-05-18,1998,5,18,Monday,20,1998-20,12.73,12.99,12.69,12.96,45171000,8.71,0.018002925554792437,0.017523364485981352,8.420714285714286,7.8368,11.726326276242546
1998-05-19,1998,5,19,Tuesday,20,1998-20,13.05,13.45,13.01,13.4,68789400,9.01,0.03396349870663973,0.034443168771526755,8.487857142857143,7.8798,23.04876071748227
1998-05-20,1998,5,20,Wednesday,20,1998-20,13.56,13.58,13.01,13.1,60733800,8.81,-0.021962977285216123,-0.02219755826859038,8.530714285714286,7.9184,-14.854214269276447
1998-05-21,1998,5,21,Thursday,20,1998-20,13.15,13.27,12.86,12.96,46115400,8.71,-0.011129325960612668,-0.011350737797956811,8.56357142857143,7.9522,-7.595713426003439
1998-05-22,1998,5,22,Friday,20,1998-20,13.03,13.04,12.6,12.81,38740200,8.61,-0.011253596787050846,-0.01148105625717577,8.57857142857143,7.981,-7.68292023916088
1998-05-26,1998,5,26,Tuesday,21,1998-21,12.94,13.0,12.58,12.67,43423200,8.52,-0.011381792342538,-0.010452961672473893,8.597857142857142,8.006599999999999,-6.994937486037364
1998-05-27,1998,5,27,Wednesday,21,1998-21,12.5,13.0,12.49,12.97,57352200,8.72,0.02384833079264359,0.023474178403755985,8.612142857142858,8.036800000000001,15.708505934997875
1998-05-28,1998,5,28,Thursday,21,1998-21,13.02,13.12,12.83,12.92,34792800,8.69,-0.004015693116090624,-0.0034403669724771824,8.629285714285714,8.065800000000001,-2.3022328652440223
1998-05-29,1998,5,29,Friday,21,1998-21,13.01,13.02,12.57,12.6,35964000,8.47,-0.024193719295976246,-0.025316455696202445,8.627857142857142,8.0928,-16.94132538812415
1998-06-01,1998,6,1,Monday,22,1998-22,12.62,12.78,12.16,12.26,59528400,8.24,-0.027272474593429075,-0.027154663518299982,8.617857142857144,8.1134,-18.171421623507555
1998-06-02,1998,6,2,Tuesday,22,1998-22,12.54,12.81,12.38,12.74,83092200,8.57,0.03908183734333459,0.040048543689320315,8.618571428571428,8.142199999999999,26.79977869347071
1998-06-03,1998,6,3,Wednesday,22,1998-22,12.9,12.97,12.38,12.44,58046400,8.36,-0.023711953571411093,-0.024504084014002392,8.607142857142858,8.1642,-16.397700594456317
1998-06-04,1998,6,4,Thursday,22,1998-22,12.54,12.82,12.41,12.81,62507400,8.61,0.030150631708949716,0.029904306220095656,8.61357142857143,8.1844,20.011433996139512
1998-06-05,1998,6,5,Friday,22,1998-22,12.8,12.97,12.58,12.91,55507800,8.68,0.007317127440495508,0.008130081300812941,8.622142857142858,8.202,5.440506933584559
1998-06-08,1998,6,8,Monday,23,1998-23,12.94,13.08,12.71,12.92,46465800,8.69,0.000807401499105076,0.0011520737327188613,8.620714285714286,8.220400000000001,0.7709474110954921
1998-06-09,1998,6,9,Tuesday,23,1998-23,12.92,13.29,12.81,13.25,36597000,8.91,0.02580612148424888,0.025316455696202667,8.61357142857143,8.2432,16.941325388124298
1998-06-10,1998,6,10,Wednesday,23,1998-23,13.12,13.47,13.0,13.19,58495200,8.87,-0.004716801883295374,-0.004489337822671247,8.617857142857144,8.2694,-3.0041856468279224
1998-06-11,1998,6,11,Thursday,23,1998-23,13.23,13.38,13.12,13.18,52405200,8.86,-0.0007905045666964927,-0.0011273957158962622,8.628571428571428,8.2934,-0.7544333177349447
1998-06-12,1998,6,12,Friday,23,1998-23,13.11,13.23,12.91,13.19,42152400,8.87,0.00079112995854147,0.0011286681715574343,8.647142857142857,8.3154,0.7552848226081608
