Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,32.55,32.82,32.43,32.76,2964724,25.06,0.006312871408442167,,24.372142857142858,22.891,
1998-01-05,1998,1,5,Monday,01,1998-01,32.76,33.13,32.12,32.49,11891130,24.86,-0.008155645500788511,-0.007980845969672745,24.465714285714284,22.9702,-6.417755610466273
1998-01-06,1998,1,6,Tuesday,01,1998-01,32.45,32.45,32.23,32.37,4302179,24.77,-0.00379517225547632,-0.003620273531777962,24.489285714285717,23.051399999999997,-2.911224055479832
1998-01-07,1998,1,7,Wednesday,01,1998-01,32.37,32.39,32.02,32.39,4470654,24.81,0.0019787127415407113,0.0016148566814695453,24.536428571428576,23.1332,1.2985785676083017
1998-01-08,1998,1,8,Thursday,01,1998-01,32.37,32.37,31.88,32.12,2826052,24.61,-0.008248877719267633,-0.00806126561870213,24.554285714285715,23.2342,-6.482424651281154
1998-01-09,1998,1,9,Friday,01,1998-01,32.12,32.14,31.57,31.57,5427369,24.18,-0.017274305111522725,-0.017472572125152408,24.532857142857143,23.303599999999996,-14.050477632519897
1998-01-12,1998,1,12,Monday,02,1998-02,31.57,31.61,30.77,31.05,6145362,23.79,-0.016276027546728078,-0.016129032258064502,24.51071428571429,23.362000000000002,-12.970077064377861
1998-01-13,1998,1,13,Tuesday,02,1998-02,31.05,31.4,30.83,31.24,5069133,23.93,0.005956234893752299,0.005884825556956796,24.47,23.435,4.732251741017304
1998-01-14,1998,1,14,Wednesday,02,1998-02,31.24,31.94,30.97,31.73,3426964,24.31,0.01578946110056023,0.01587964897618055,24.454285714285714,23.5068,12.769536800532515
1998-01-15,1998,1,15,Thursday,02,1998-02,31.59,31.59,31.14,31.47,3032235,24.11,-0.008419604055632801,-0.008227067050596393,24.469285714285714,23.5588,-6.615753006922428
1998-01-16,1998,1,16,Friday,02,1998-02,31.47,31.75,31.32,31.61,4487380,24.22,0.004572091945699519,0.004562422231439323,24.490714285714287,23.6092,3.6688480124039295
