Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
2017-08-09,2017,8,9,Wednesday,32,2017-32,19.92,19.96,19.92,19.93,10400,17.46,0.0,,17.46,17.46,
2017-08-10,2017,8,10,Thursday,32,2017-32,19.83,19.83,19.83,19.83,300,17.37,-0.005017601315857156,-0.005154639175257714,17.415,17.415,-6.777182558678179
2017-08-11,2017,8,11,Friday,32,2017-32,19.87,19.87,19.8,19.8,3000,17.34,-0.0017146029359061954,-0.0017271157167531026,17.39,17.39,-2.2707658314052375
2017-08-14,2017,8,14,Monday,33,2017-33,19.94,19.94,19.94,19.94,200,17.47,0.007274391467166019,0.007497116493656142,17.41,17.41,9.85700946538991
2017-08-15,2017,8,15,Tuesday,33,2017-33,19.89,19.94,19.89,19.94,300,17.47,0.0,0.0,17.422,17.422,0.0
2017-08-16,2017,8,16,Wednesday,33,2017-33,19.99,19.99,19.95,19.95,400,17.48,0.0007520060501162718,0.0005724098454493731,17.43166666666667,17.43166666666667,0.7525892480730644
2017-08-17,2017,8,17,Thursday,33,2017-33,19.82,19.82,19.72,19.72,5200,17.28,-0.01177657577289748,-0.011441647597253968,17.41,17.41,-15.043174100498481
2017-08-18,2017,8,18,Friday,33,2017-33,19.65,19.69,19.61,19.66,900,17.22,-0.0030423561560649626,-0.003472222222222321,17.38625,17.38625,-4.565185473554197
2017-08-21,2017,8,21,Monday,34,2017-34,19.61,19.61,19.61,19.61,100,17.18,-0.0025433104787935257,-0.0023228803716608404,17.363333333333333,17.363333333333333,-3.0540613620988637
2017-08-22,2017,8,22,Tuesday,34,2017-34,19.61,19.61,19.61,19.61,0,17.18,0.0,0.0,17.345,17.345,0.0
2017-08-23,2017,8,23,Wednesday,34,2017-34,19.72,19.72,19.72,19.72,400,17.27,0.005405366394995781,0.0052386495925493826,17.33818181818182,17.33818181818182,6.8876372220325575
2017-08-24,2017,8,24,Thursday,34,2017-34,19.72,19.72,19.72,19.72,200,17.28,0.00020275443445272323,0.0005790387955992848,17.333333333333332,17.333333333333332,0.7613048155087003
2017-08-25,2017,8,25,Friday,34,2017-34,19.78,19.78,19.78,19.78,200,17.33,0.0030427977973142006,0.0028935185185183787,17.333076923076923,17.333076923076923,3.8043212279615393
2017-08-28,2017,8,28,Monday,35,2017-35,19.78,19.78,19.78,19.78,0,17.33,0.0,0.0,17.332857142857144,17.332857142857144,0.0
2017-08-29,2017,8,29,Tuesday,35,2017-35,19.78,19.78,19.78,19.78,0,17.33,0.0,0.0,17.323571428571427,17.332666666666668,0.0
2017-08-30,2017,8,30,Wednesday,35,2017-35,19.77,19.77,19.77,19.77,500,17.32,-0.0004550516011343486,-0.0005770340450085287,17.32,17.331875,-0.7586690227254949
2017-08-31,2017,8,31,Thursday,35,2017-35,19.77,19.77,19.77,19.77,0,17.32,0.0,0.0,17.318571428571428,17.331176470588236,0.0
2017-09-01,2017,9,1,Friday,35,2017-35,19.77,19.77,19.77,19.77,0,17.32,0.0,0.0,17.30785714285714,17.330555555555556,0.0
2017-09-05,2017,9,5,Tuesday,36,2017-36,19.77,19.77,19.77,19.77,0,17.32,0.0,0.0,17.297142857142855,17.33,0.0
2017-09-06,2017,9,6,Wednesday,36,2017-36,19.77,19.77,19.77,19.77,0,17.32,0.0,0.0,17.285714285714285,17.3295,0.0
2017-09-07,2017,9,7,Thursday,36,2017-36,19.8,19.8,19.74,19.74,500,17.29,-0.0015680768235404319,-0.0017321016166282899,17.28642857142857,17.32761904761905,-2.277321160017884
2017-09-08,2017,9,8,Friday,36,2017-36,19.74,19.74,19.74,19.74,0,17.29,0.0,0.0,17.291428571428572,17.325909090909093,0.0
2017-09-11,2017,9,11,Monday,37,2017-37,19.74,19.74,19.74,19.74,0,17.29,0.0,0.0,17.299285714285713,17.324347826086957,0.0
2017-09-12,2017,9,12,Tuesday,37,2017-37,20.07,20.07,20.01,20.05,900,17.56,0.015501674275237187,0.015615962984383946,17.326428571428572,17.334166666666665,20.531453003097873
2017-09-13,2017,9,13,Wednesday,37,2017-37,20.09,20.09,20.05,20.09,7300,17.6,0.002194886548651631,0.002277904328018332,17.35,17.3448,2.994928055543586
2017-09-14,2017,9,14,Thursday,37,2017-37,20.09,20.09,20.09,20.09,300,17.6,5.007010899027442e-05,0.0,17.372857142857143,17.354615384615382,0.0
2017-09-15,2017,9,15,Friday,37,2017-37,20.18,20.21,20.18,20.2,3300,17.69,0.005325372223361269,0.005113636363636376,17.398571428571426,17.367037037037036,6.723273151961461
2017-09-18,2017,9,18,Monday,38,2017-38,20.17,20.28,20.17,20.26,1500,17.75,0.0030699613567981565,0.0033917467495758746,17.428571428571427,17.380714285714284,4.459378461447747
2017-09-19,2017,9,19,Tuesday,38,2017-38,20.32,20.32,20.32,20.32,2200,17.8,0.0029610506791781788,0.0028169014084507005,17.462142857142858,17.3951724137931,3.7035870884044217
2017-09-20,2017,9,20,Wednesday,38,2017-38,20.32,20.32,20.32,20.32,1400,17.8,-0.00014733148920742511,0.0,17.49642857142857,17.408666666666665,0.0
2017-09-21,2017,9,21,Thursday,38,2017-38,20.27,20.27,20.27,20.27,1100,17.8,0.00014767469686227663,0.0,17.530714285714286,17.421290322580642,0.0
2017-09-22,2017,9,22,Friday,38,2017-38,20.27,20.27,20.27,20.27,0,17.8,0.0,0.0,17.565,17.433125,0.0
2017-09-25,2017,9,25,Monday,39,2017-39,20.23,20.23,20.22,20.22,900,17.75,-0.002614570554563045,-0.002808988764045006,17.595714285714287,17.44272727272727,-3.693183753886519
2017-09-26,2017,9,26,Tuesday,39,2017-39,20.22,20.22,20.22,20.22,0,17.75,0.0,0.0,17.62642857142857,17.451764705882354,0.0
2017-09-27,2017,9,27,Wednesday,39,2017-39,20.21,20.21,20.21,20.21,500,17.75,-0.00034625019525591494,0.0,17.659285714285716,17.460285714285714,0.0
2017-09-28,2017,9,28,Thursday,39,2017-39,20.25,20.25,20.23,20.23,700,17.77,0.001138303560153986,0.0011267605633802358,17.693571428571428,17.468888888888888,1.4814348353617102
2017-09-29,2017,9,29,Friday,39,2017-39,20.3,20.3,20.19,20.25,4100,17.78,0.0008403048327081386,0.0005627462014632378,17.72857142857143,17.477297297297298,0.7398837458546988
2017-10-02,2017,10,2,Monday,40,2017-40,20.33,20.39,20.33,20.38,1200,17.9,0.006419481106602287,0.006749156355455366,17.752857142857145,17.488421052631576,8.873611359168946
2017-10-03,2017,10,3,Tuesday,40,2017-40,20.43,20.47,20.43,20.47,6200,17.97,0.004170899786611226,0.003910614525139744,17.779285714285713,17.50076923076923,5.141572019377199
2017-10-04,2017,10,4,Wednesday,40,2017-40,20.5,20.51,20.48,20.49,1600,17.99,0.0012215462504368002,0.0011129660545352582,17.807142857142857,17.512999999999998,1.463298181840266
2017-10-05,2017,10,5,Thursday,40,2017-40,20.53,20.58,20.49,20.58,5300,18.08,0.004538692731837601,0.005002779321845452,17.835,17.526829268292683,6.577521260395832
2017-10-06,2017,10,6,Friday,40,2017-40,20.6,20.6,20.56,20.57,700,18.06,-0.0006314359723501584,-0.0011061946902655162,17.857142857142858,17.539523809523807,-1.4543953721057594
2017-10-09,2017,10,9,Monday,41,2017-41,20.57,20.57,20.57,20.57,0,18.06,0.0,0.0,17.875714285714285,17.551627906976744,0.0
2017-10-10,2017,10,10,Tuesday,41,2017-41,20.61,20.63,20.61,20.63,1300,18.12,0.0029168516205764217,0.0033222591362127574,17.89857142857143,17.564545454545456,4.36801799462998
