Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,19.67,19.71,19.04,19.5,3489300,11.69,-0.006369617726504351,,11.39642857142857,11.3412,
1998-01-05,1998,1,5,Monday,01,1998-01,19.56,19.62,19.19,19.23,4658400,11.53,-0.013889022548100649,-0.01368691189050475,11.367142857142856,11.3478,-11.105908883572692
1998-01-06,1998,1,6,Tuesday,01,1998-01,19.04,19.35,19.04,19.35,3665700,11.61,0.006500986858836377,0.006938421509106618,11.358571428571429,11.3604,5.630011918862238
1998-01-07,1998,1,7,Wednesday,01,1998-01,19.33,19.71,19.23,19.56,5411400,11.73,0.010763844637317721,0.010335917312661591,11.35642857142857,11.375599999999999,8.386826540630846
1998-01-08,1998,1,8,Thursday,01,1998-01,19.9,19.9,19.46,19.48,4797900,11.68,-0.004259654725547901,-0.004262574595055524,11.361428571428572,11.4054,-3.4587615848510147
1998-01-09,1998,1,9,Friday,01,1998-01,19.38,19.38,18.67,18.79,4168200,11.27,-0.035294077306310734,-0.0351027397260274,11.342857142857143,11.4178,-28.483257003464995
1998-01-12,1998,1,12,Monday,02,1998-02,18.44,19.38,18.44,19.38,5052300,11.62,0.03104187640526268,0.03105590062111796,11.366428571428571,11.433,25.199548689628127
1998-01-13,1998,1,13,Tuesday,02,1998-02,19.54,19.73,19.38,19.71,4986600,11.82,0.017204165509325353,0.017211703958692093,11.412857142857144,11.4528,13.96601493642058
1998-01-14,1998,1,14,Wednesday,02,1998-02,19.67,19.92,19.62,19.9,4104600,11.93,0.00951334560292616,0.009306260575296044,11.47285714285714,11.468799999999998,7.55133684083438
1998-01-15,1998,1,15,Thursday,02,1998-02,19.81,19.96,19.48,19.77,3544800,11.86,-0.006282196717789179,-0.005867560771165126,11.542857142857143,11.476399999999998,-4.761088243622955
1998-01-16,1998,1,16,Friday,02,1998-02,19.88,19.96,19.71,19.77,3624300,11.86,0.0,0.0,11.615714285714285,11.4844,0.0
1998-01-20,1998,1,20,Tuesday,03,1998-03,19.88,20.33,19.69,20.25,4904700,12.14,0.024236249072755678,0.02360876897133224,11.706428571428573,11.498,19.15675640688768
1998-01-21,1998,1,21,Wednesday,03,1998-03,20.23,20.27,19.94,20.23,3760500,12.13,-0.0010292694676314884,-0.0008237232289950436,11.76,11.512,-0.6683900064299945
1998-01-22,1998,1,22,Thursday,03,1998-03,19.96,20.04,19.79,19.83,3585000,11.89,-0.01956691394009069,-0.019785655399835123,11.76857142857143,11.5226,-16.05458468866006
1998-01-23,1998,1,23,Friday,03,1998-03,19.75,20.08,19.71,19.96,5545800,11.97,0.006302389277398568,0.006728343145500526,11.78857142857143,11.5396,5.45954898439724
1998-01-26,1998,1,26,Monday,04,1998-04,20.04,20.04,19.52,19.6,3712500,11.76,-0.017745717675382466,-0.01754385964912286,11.805000000000001,11.5534,-14.235534522912802
1998-01-27,1998,1,27,Tuesday,04,1998-04,19.56,20.23,19.54,20.1,5146200,12.06,0.02550483102642831,0.025510204081632626,11.837142857142856,11.5772,20.699629280765976
1998-01-28,1998,1,28,Wednesday,04,1998-04,20.25,20.4,20.12,20.19,5980800,12.11,0.004145045914689449,0.004145936981757803,11.864285714285714,11.6018,3.3641188549171335
1998-01-29,1998,1,29,Thursday,04,1998-04,20.21,20.54,20.12,20.19,4806900,12.11,0.0,0.0,11.895,11.619399999999999,0.0
1998-01-30,1998,1,30,Friday,04,1998-04,20.23,20.44,20.04,20.17,2681100,12.09,-0.0010321414129844664,-0.0016515276630882925,11.953571428571427,11.63,-1.3400916066160125
1998-02-02,1998,2,2,Monday,05,1998-05,20.5,20.79,20.42,20.6,4069800,12.36,0.021694210069557407,0.022332506203473823,12.006428571428572,11.6522,18.121164293434752
1998-02-03,1998,2,3,Tuesday,05,1998-05,20.54,21.02,20.48,20.92,4578900,12.54,0.015167107556446568,0.014563106796116498,12.057857142857143,11.676799999999998,11.816875744747962
1998-02-04,1998,2,4,Wednesday,05,1998-05,20.88,21.02,20.75,21.0,3787200,12.59,0.003984184910217126,0.003987240829346206,12.105,11.7022,3.2353487552075366
