Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,17.67,18.16,17.62,18.16,40927200,10.35,0.033807590077490346,,10.08,10.806000000000001,
1998-01-05,1998,1,5,Monday,01,1998-01,18.27,18.79,18.0,18.62,78368400,10.61,0.025817665577337,0.02512077294685988,10.120714285714286,10.779200000000001,16.612933328066138
1998-01-06,1998,1,6,Tuesday,01,1998-01,18.47,18.58,18.17,18.28,48313600,10.42,-0.01845635638811971,-0.01790763430725728,10.131428571428572,10.7544,-11.842722174161546
1998-01-07,1998,1,7,Wednesday,01,1998-01,18.19,18.41,17.89,18.19,55380800,10.36,-0.005128482611866603,-0.0057581573896353655,10.147142857142857,10.7338,-3.807999260567388
1998-01-08,1998,1,8,Thursday,01,1998-01,18.06,18.7,18.03,18.58,75730400,10.59,0.021477834398198725,0.022200772200772212,10.196428571428571,10.7328,14.681871022966101
1998-01-09,1998,1,9,Friday,01,1998-01,18.64,18.75,17.81,17.97,88028800,10.24,-0.03280051432002151,-0.03305004721435312,10.224285714285715,10.695599999999999,-21.856741113139957
1998-01-12,1998,1,12,Monday,02,1998-02,17.7,18.92,17.67,18.91,123747600,10.77,0.05217412525843845,0.0517578125,10.281428571428572,10.6824,34.22860793686406
1998-01-13,1998,1,13,Tuesday,02,1998-02,19.09,19.31,19.06,19.23,97348000,10.96,0.017355111435716886,0.017641597028783762,10.337142857142856,10.685799999999999,11.66678572589182
1998-01-14,1998,1,14,Wednesday,02,1998-02,19.25,19.27,18.59,18.86,123962000,10.75,-0.019496268161554253,-0.019160583941605913,10.390714285714285,10.681399999999998,-12.67132600665073
1998-01-15,1998,1,15,Thursday,02,1998-02,18.72,19.09,18.66,18.83,53458400,10.73,-0.0016574749404095757,-0.0018604651162790198,10.442142857142857,10.6724,-1.230367513026691
1998-01-16,1998,1,16,Friday,02,1998-02,18.95,18.97,18.66,18.7,59281200,10.66,-0.006639395661826475,-0.006523765144454852,10.482142857142858,10.669199999999998,-4.314312924289921
1998-01-20,1998,1,20,Tuesday,03,1998-03,18.78,19.08,18.72,19.06,49972000,10.86,0.01921547497180831,0.018761726078799112,10.537142857142857,10.673799999999998,12.407552312417623
1998-01-21,1998,1,21,Wednesday,03,1998-03,18.86,19.42,18.84,19.17,69415200,10.92,0.0057375034023758875,0.005524861878453136,10.587857142857144,10.682800000000002,3.6537156809495897
1998-01-22,1998,1,22,Thursday,03,1998-03,19.0,19.38,18.98,19.12,49898000,10.9,-0.002444815091433905,-0.001831501831501825,10.65142857142857,10.6802,-1.2112134400217247
1998-01-23,1998,1,23,Friday,03,1998-03,19.22,19.47,19.12,19.3,56184800,11.0,0.008986962782199681,0.00917431192660545,10.697857142857142,10.686200000000001,6.067179250017065
1998-01-26,1998,1,26,Monday,04,1998-04,19.25,19.5,19.25,19.42,44695200,11.07,0.006477938925140148,0.006363636363636349,10.730714285714287,10.6904,4.208416152511853
1998-01-27,1998,1,27,Tuesday,04,1998-04,19.47,19.89,19.34,19.8,58713200,11.28,0.01930735710626208,0.01897018970189701,10.792142857142858,10.7026,12.545414004777903
1998-01-28,1998,1,28,Wednesday,04,1998-04,19.94,20.36,19.88,20.22,67063600,11.52,0.02169700437627986,0.02127659574468077,10.875,10.711000000000002,14.070692303231098
1998-01-29,1998,1,29,Thursday,04,1998-04,20.08,20.72,20.06,20.5,72366400,11.68,0.01391106264123998,0.01388888888888884,10.952857142857143,10.7202,9.18503525349808
1998-01-30,1998,1,30,Friday,04,1998-04,20.62,20.69,20.22,20.25,45384000,11.54,-0.012195624582588271,-0.011986301369863117,11.045714285714284,10.721799999999998,-7.926811246169672
1998-02-02,1998,2,2,Monday,05,1998-05,20.62,20.9,20.55,20.77,62426000,11.84,0.025463426378707688,0.025996533795493937,11.122142857142858,10.734199999999998,17.192093715386417
1998-02-03,1998,2,3,Tuesday,05,1998-05,21.0,21.78,20.91,21.58,99884400,12.3,0.039126602736478944,0.038851351351351315,11.217857142857143,10.755,25.693274290190644
1998-02-04,1998,2,4,Wednesday,05,1998-05,21.53,22.08,21.41,21.89,75391600,12.48,0.014482787229398442,0.014634146341463428,11.34142857142857,10.774199999999999,9.677890803685825
1998-02-05,1998,2,5,Thursday,05,1998-05,22.19,22.52,21.53,21.62,97320800,12.33,-0.012134136782966376,-0.012019230769230838,11.455714285714288,10.792200000000001,-7.948588200142643
1998-02-06,1998,2,6,Friday,05,1998-05,21.44,22.0,21.41,21.89,52042800,12.48,0.012102834284810626,0.012165450121654597,11.585714285714285,10.8192,8.045286353429068
1998-02-09,1998,2,9,Monday,06,1998-06,21.86,21.97,21.36,21.45,45804400,12.23,-0.019810467030409118,-0.020032051282051322,11.683571428571428,10.846000000000002,-13.24764700023769
1998-02-10,1998,2,10,Tuesday,06,1998-06,21.36,21.95,21.27,21.56,59575200,12.29,0.005097849686354294,0.004905968928863302,11.781428571428572,10.8736,3.244427824620658
1998-02-11,1998,2,11,Wednesday,06,1998-06,21.42,21.52,21.06,21.27,64918000,12.12,-0.013768391174951766,-0.013832384052074875,11.868571428571428,10.8948,-9.14766733139276
1998-02-12,1998,2,12,Thursday,06,1998-06,20.97,21.31,20.69,21.25,70388800,12.11,-0.0007346072557671279,-0.0008250825082508628,11.947857142857144,10.9048,-0.5456456586236752
1998-02-13,1998,2,13,Friday,06,1998-06,21.09,21.23,20.95,20.95,39093600,11.94,-0.013970711895324173,-0.014037985136250986,12.01,10.921199999999999,-9.283635962247441
1998-02-17,1998,2,17,Tuesday,07,1998-07,21.16,21.23,20.98,21.16,41481600,12.06,0.009694798927065928,0.01005025125628145,12.065714285714284,10.9388,6.646457670873034
1998-02-18,1998,2,18,Wednesday,07,1998-07,21.09,21.75,21.06,21.73,65802800,12.39,0.027326350346560613,0.027363184079602032,12.127857142857142,10.9682,18.095890350175413
1998-02-19,1998,2,19,Thursday,07,1998-07,22.25,22.78,22.03,22.64,136295200,12.91,0.041696364959722176,0.04196933010492332,12.215714285714286,11.0054,27.755263913718263
1998-02-20,1998,2,20,Friday,07,1998-07,22.81,23.09,22.62,22.95,98482000,13.08,0.013802673600149529,0.013168086754453912,12.325714285714286,11.0436,8.708352556376212
1998-02-23,1998,2,23,Monday,08,1998-08,23.25,23.66,23.09,23.55,68921200,13.42,0.025868090154280265,0.02599388379204881,12.43857142857143,11.096599999999999,17.19034120838171
1998-02-24,1998,2,24,Tuesday,08,1998-08,23.53,23.91,23.06,23.09,75785200,13.16,-0.019243093114356125,-0.019374068554396384,12.5,11.147,-12.81250819265904
1998-02-25,1998,2,25,Wednesday,08,1998-08,23.17,23.59,23.16,23.5,49980000,13.39,0.017590567514597755,0.01747720364741645,12.565,11.2102,11.558068677654184
1998-02-26,1998,2,26,Thursday,08,1998-08,23.44,23.52,23.06,23.08,55918800,13.15,-0.017952032415440744,-0.017923823749066536,12.623571428571427,11.2724,-11.853428616911726
1998-02-27,1998,2,27,Friday,08,1998-08,22.98,23.09,22.38,22.42,73563600,12.78,-0.028436139214517264,-0.028136882129277674,12.645,11.3226,-18.607554308227424
1998-03-02,1998,3,2,Monday,09,1998-09,22.45,22.84,21.88,21.91,71733600,12.49,-0.022996402579755548,-0.022691705790297223,12.66357142857143,11.3696,-15.00653647050388
1998-03-03,1998,3,3,Tuesday,09,1998-09,21.48,21.58,21.03,21.33,116639200,12.16,-0.026390716507006085,-0.02642113690952763,12.654285714285715,11.4148,-17.472893324508824
1998-03-04,1998,3,4,Wednesday,09,1998-09,21.23,21.73,21.2,21.61,54200000,12.32,0.013186687672528175,0.013157894736842035,12.668571428571429,11.4642,8.701612345419218
1998-03-05,1998,3,5,Thursday,09,1998-09,18.77,19.34,18.75,18.89,369330400,10.77,-0.12581324781848002,-0.12581168831168832,12.572857142857144,11.4802,-83.2021050560381
1998-03-06,1998,3,6,Friday,09,1998-09,19.34,19.56,19.03,19.53,128355600,11.13,0.0339117419828423,0.033426183844011303,12.515,11.4992,22.105488743795007
1998-03-09,1998,3,9,Monday,10,1998-10,19.56,19.59,18.73,18.77,107076800,10.7,-0.0391996352789179,-0.038634321653189696,12.417857142857143,11.513200000000001,-25.549747659326364
1998-03-10,1998,3,10,Tuesday,10,1998-10,19.12,19.12,18.73,18.88,68406000,10.76,0.005828292459204132,0.005607476635514086,12.301428571428573,11.5282,3.708350681786198
1998-03-11,1998,3,11,Wednesday,10,1998-10,19.14,19.16,18.77,18.97,56479200,10.81,0.004966782338422737,0.004646840148698983,12.15142857142857,11.5424,3.073060121988281
1998-03-12,1998,3,12,Thursday,10,1998-10,19.03,19.17,18.83,19.09,39483600,10.88,0.00658979411468974,0.00647548566142464,11.994285714285715,11.5582,4.282384614026895
1998-03-13,1998,3,13,Friday,10,1998-10,19.25,19.38,19.14,19.16,33584400,10.92,0.0032732826963963735,0.003676470588235281,11.815714285714284,11.5724,2.43133286122008
1998-03-16,1998,3,16,Monday,11,1998-11,19.27,19.47,19.25,19.42,36159600,11.07,0.013866697131022843,0.013736263736263687,11.66642857142857,11.593599999999999,9.084100800162936
1998-03-17,1998,3,17,Tuesday,11,1998-11,19.38,19.42,18.91,19.19,55440400,10.94,-0.01206783611464024,-0.011743450767841113,11.491428571428571,11.6054,-7.766208669624487
1998-03-18,1998,3,18,Wednesday,11,1998-11,18.98,19.36,18.97,19.25,32528000,10.97,0.0032578121307700325,0.002742230347349217,11.335714285714285,11.612600000000002,1.8134987337802753
1998-03-19,1998,3,19,Thursday,11,1998-11,19.34,19.48,19.19,19.33,34558000,11.02,0.004058585264578474,0.004557885141294404,11.209999999999999,11.624600000000001,3.0142321707012716
1998-03-20,1998,3,20,Friday,11,1998-11,19.38,19.38,18.83,18.94,64090800,10.79,-0.02021072553992609,-0.020871143375680634,11.088571428571427,11.633199999999999,-13.802557513423697
1998-03-23,1998,3,23,Monday,12,1998-12,18.88,18.88,18.61,18.77,73635600,10.7,-0.009075861593707102,-0.008341056533827551,10.984285714285715,11.635400000000002,-5.516128678653132
1998-03-24,1998,3,24,Tuesday,12,1998-12,18.8,18.97,18.5,18.61,62888800,10.61,-0.008326425034000606,-0.008411214953271018,10.862142857142857,11.6428,-5.562526022679224
1998-03-25,1998,3,25,Wednesday,12,1998-12,18.97,19.11,18.81,19.02,66587600,10.84,0.021830169216897177,0.021677662582469504,10.867142857142856,11.644199999999998,14.33592684240619
1998-03-26,1998,3,26,Thursday,12,1998-12,19.23,19.56,19.19,19.55,55606400,11.14,0.02793725551337989,0.027675276752767486,10.867857142857144,11.6478,18.302284268963
1998-03-27,1998,3,27,Friday,12,1998-12,19.58,19.89,19.56,19.72,72785200,11.24,0.008792925395759488,0.008976660682226134,10.906428571428572,11.6576,5.936468027395497
1998-03-30,1998,3,30,Monday,13,1998-13,19.66,19.69,19.28,19.34,44500400,11.03,-0.019017037849953344,-0.018683274021352392,10.925714285714287,11.663599999999999,-12.355670198655876
1998-03-31,1998,3,31,Tuesday,13,1998-13,19.17,19.56,19.16,19.52,57452000,11.12,0.00888525499342041,0.008159564823209342,10.947857142857144,11.6728,5.3961041199154245
1998-04-01,1998,4,1,Wednesday,13,1998-13,19.38,19.48,19.11,19.38,60100800,11.04,-0.00720604109603018,-0.007194244604316502,10.959285714285713,11.676400000000001,-4.757716102531367
1998-04-02,1998,4,2,Thursday,13,1998-13,19.23,19.38,19.02,19.09,44330800,10.88,-0.014515912867735792,-0.014492753623188248,10.956428571428571,11.6756,-9.584384612345753
1998-04-03,1998,4,3,Friday,13,1998-13,19.16,19.47,19.03,19.19,74411200,10.94,0.004910143110495646,0.0055147058823528106,10.947142857142856,11.6764,3.646999291830046
1998-04-06,1998,4,6,Monday,14,1998-14,19.05,19.06,18.47,18.47,71554000,10.53,-0.037459476814258874,-0.03747714808043878,10.917857142857143,11.667,-24.78448269499675
1998-04-07,1998,4,7,Tuesday,14,1998-14,18.5,18.59,18.03,18.16,73555200,10.35,-0.016920359728862633,-0.017094017094017033,10.873571428571429,11.6526,-11.304658773536097
1998-04-08,1998,4,8,Wednesday,14,1998-14,18.25,18.36,17.83,18.14,80134000,10.34,-0.0008605977279261268,-0.0009661835748792091,10.825000000000001,11.633799999999999,-0.6389589741563786
1998-04-09,1998,4,9,Thursday,14,1998-14,18.53,18.67,18.36,18.44,58564000,10.51,0.01636590204346433,0.01644100580270802,10.805000000000001,11.613599999999998,10.872807688860494
1998-04-13,1998,4,13,Monday,15,1998-15,18.47,19.12,18.38,19.06,63446000,10.87,0.033897868277357635,0.03425309229305418,10.817142857142857,11.5974,22.65234193821795
1998-04-14,1998,4,14,Tuesday,15,1998-15,18.91,19.23,18.77,19.0,69982000,10.83,-0.003278735431170521,-0.0036798528058876734,10.832857142857142,11.583200000000001,-2.4335695979828804
1998-04-15,1998,4,15,Wednesday,15,1998-15,19.55,19.88,18.69,18.72,142813200,10.67,-0.014802755990831695,-0.014773776546629702,10.820714285714287,11.559800000000001,-9.770231405383013
1998-04-16,1998,4,16,Thursday,15,1998-15,18.36,18.72,18.32,18.59,72342800,10.6,-0.006677446111712948,-0.006560449859418949,10.782142857142857,11.525799999999998,-4.338573353105024
1998-04-17,1998,4,17,Friday,15,1998-15,18.52,18.83,18.48,18.8,45112800,10.71,0.010924164148877091,0.010377358490566202,10.744285714285715,11.490400000000001,6.862781057330773
1998-04-20,1998,4,20,Monday,16,1998-16,18.73,19.16,18.72,19.12,40400400,10.9,0.01745652025304567,0.017740429505135324,10.735,11.4618,11.732145870014355
1998-04-21,1998,4,21,Tuesday,16,1998-16,19.44,19.75,19.41,19.73,93195600,11.25,0.03186240931716444,0.032110091743119185,10.744285714285713,11.4372,21.2351273750598
1998-04-22,1998,4,22,Wednesday,16,1998-16,19.81,21.12,19.78,21.02,151875200,11.98,0.06492521483281122,0.064888888888889,10.811428571428573,11.4322,42.91248470434325
1998-04-23,1998,4,23,Thursday,16,1998-16,20.81,21.27,20.52,20.81,98472000,11.86,-0.009666359838538696,-0.010016694490818101,10.881428571428572,11.4236,-6.62426582556129
1998-04-24,1998,4,24,Friday,16,1998-16,20.47,20.84,20.31,20.52,68476800,11.69,-0.014263594408105096,-0.01433389544688024,10.934999999999999,11.415,-9.479328119967679
1998-04-27,1998,4,27,Monday,17,1998-17,20.06,20.34,19.69,20.0,83156000,11.4,-0.025133561753038713,-0.02480752780153972,10.997142857142858,11.400799999999998,-16.40577725346793
1998-04-28,1998,4,28,Tuesday,17,1998-17,20.19,20.34,19.56,19.83,61831600,11.3,-0.008593541187301601,-0.00877192982456132,11.065,11.388000000000002,-5.801074896946121
1998-04-29,1998,4,29,Wednesday,17,1998-17,19.88,20.12,19.69,20.03,41810400,11.42,0.010626848996963867,0.010619469026548645,11.142142857142856,11.3752,7.022894211524203
1998-04-30,1998,4,30,Thursday,17,1998-17,20.16,20.39,19.84,20.2,50554000,11.52,0.008579807278291662,0.008756567425569184,11.214285714285714,11.3578,5.790915396251004
1998-05-01,1998,5,1,Friday,17,1998-17,20.23,20.62,20.03,20.53,45786400,11.71,0.016241437404297177,0.01649305555555558,11.274285714285714,11.333800000000002,10.907229363529025
1998-05-04,1998,5,4,Monday,18,1998-18,20.56,20.88,20.31,20.5,36578000,11.69,-0.0015222495503592892,-0.001707941929974477,11.335714285714287,11.306,-1.1295004923175085
1998-05-05,1998,5,5,Tuesday,18,1998-18,20.44,20.69,20.39,20.47,34794800,11.67,-0.0015235097278143428,-0.0017108639863130382,11.407142857142857,11.271,-1.1314329140322408
1998-05-06,1998,5,6,Wednesday,18,1998-18,20.55,20.56,20.19,20.34,32992800,11.6,-0.006107422856465816,-0.005998286203941716,11.478571428571428,11.2398,-3.966801857551874
1998-05-07,1998,5,7,Thursday,18,1998-18,20.36,20.56,20.17,20.25,39124400,11.55,-0.0046087556162529575,-0.004310344827586077,11.538571428571428,11.203,-2.8505281821200175
1998-05-08,1998,5,8,Friday,18,1998-18,20.16,21.05,20.14,21.02,68384800,11.98,0.03780943832310957,0.03722943722943728,11.615714285714287,11.1796,24.62066592625991
1998-05-11,1998,5,11,Monday,19,1998-19,20.97,21.22,20.62,20.62,47877600,11.76,-0.01858791323661535,-0.018363939899833093,11.65214285714286,11.1592,-12.144487346862304
1998-05-12,1998,5,12,Tuesday,19,1998-19,20.61,21.17,20.52,21.14,48472800,12.05,0.025000154071160186,0.024659863945578397,11.657142857142857,11.1504,16.308123817435533
1998-05-13,1998,5,13,Wednesday,19,1998-19,21.16,21.33,20.94,21.2,52413200,12.09,0.0029564253597531565,0.003319502074688785,11.67357142857143,11.149000000000001,2.195261537765516
1998-05-14,1998,5,14,Thursday,19,1998-19,20.95,21.36,20.86,21.14,56047600,12.05,-0.002947710673165793,-0.003308519437551616,11.699285714285717,11.1436,-2.1879984722972643
1998-05-15,1998,5,15,Friday,19,1998-19,20.8,20.81,19.97,20.08,98584000,11.45,-0.050258360880883424,-0.049792531120332106,11.702857142857143,11.1572,-32.928923066482966
1998-05-18,1998,5,18,Monday,20,1998-20,20.0,20.33,19.59,19.84,44609200,11.32,-0.011673233104978253,-0.011353711790392906,11.704285714285714,11.161000000000001,-7.508465499802753
1998-05-19,1998,5,19,Tuesday,20,1998-20,19.92,20.17,19.77,19.89,36790800,11.34,0.0023621033862293306,0.0017667844522968323,11.698571428571428,11.173799999999998,1.1684143785368706
1998-05-20,1998,5,20,Wednesday,20,1998-20,19.81,19.84,19.12,19.25,69038000,10.98,-0.03220701470418208,-0.031746031746031744,11.66,11.178199999999999,-20.994366293709973
1998-05-21,1998,5,21,Thursday,20,1998-20,19.08,19.14,18.45,18.53,95151600,10.57,-0.037337700842261845,-0.03734061930783239,11.578571428571427,11.1734,-24.69419314055228
1998-05-22,1998,5,22,Friday,20,1998-20,18.69,18.69,18.48,18.58,41110800,10.59,0.002529131081065117,0.0018921475875117721,11.5,11.1676,1.2513198453204262
1998-05-26,1998,5,26,Tuesday,21,1998-21,18.86,18.97,18.48,18.67,51538000,10.65,0.0050459515491065865,0.0056657223796034994,11.427142857142858,11.1622,3.746869905109778
1998-05-27,1998,5,27,Wednesday,21,1998-21,18.38,18.61,18.22,18.58,65520000,10.59,-0.005020617755167378,-0.005633802816901401,11.355,11.1526,-3.7257607788837364
1998-05-28,1998,5,28,Thursday,21,1998-21,18.41,18.72,18.28,18.38,45670800,10.48,-0.01093363022144267,-0.010387157695939564,11.278571428571428,11.1434,-6.869261492701137
1998-05-29,1998,5,29,Friday,21,1998-21,18.41,18.5,17.81,17.86,77225200,10.18,-0.028060936803274483,-0.028625954198473358,11.150000000000002,11.1276,-18.930988690416008
1998-06-01,1998,6,1,Monday,22,1998-22,17.28,17.34,16.91,17.0,108380000,9.69,-0.04811935160485714,-0.048133595284872266,11.002142857142857,11.100999999999999,-31.83183140897968
1998-06-02,1998,6,2,Tuesday,22,1998-22,17.25,17.36,17.05,17.31,72040400,9.87,0.018382455301175327,0.018575851393188847,10.846428571428572,11.0826,12.284629193533075
