Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,36.21,36.88,35.85,36.88,2915700,17.25,0.016026862885390125,,16.900714285714287,17.513199999999998,
1998-01-05,1998,1,5,Monday,01,1998-01,37.29,37.56,37.0,37.48,7433400,17.54,0.016384622179191233,0.016811594202898572,16.923571428571428,17.477999999999998,11.059805089974141
1998-01-06,1998,1,6,Tuesday,01,1998-01,36.67,37.0,35.52,35.73,11063100,16.72,-0.04669265567436276,-0.04675028506271384,16.874285714285712,17.432000000000002,-30.755503282680802
1998-01-07,1998,1,7,Wednesday,01,1998-01,35.58,36.12,34.77,36.12,10111800,16.9,0.011078429135385592,0.010765550239234534,16.853571428571428,17.386599999999998,7.082307953384329
1998-01-08,1998,1,8,Thursday,01,1998-01,35.75,35.88,34.67,34.73,8979600,16.25,-0.038638644648012144,-0.038461538461538436,16.773571428571426,17.349,-25.302604483030976
1998-01-09,1998,1,9,Friday,01,1998-01,34.81,35.23,33.75,33.96,10242900,15.89,-0.022195735937743155,-0.02215384615384608,16.7,17.2952,-14.574300182225803
1998-01-12,1998,1,12,Monday,02,1998-02,32.85,34.21,32.85,34.21,10922400,16.01,0.007362126392613355,0.007551919446192601,16.645714285714284,17.2424,4.968164001702768
1998-01-13,1998,1,13,Tuesday,02,1998-02,34.5,34.79,34.23,34.54,7038900,16.16,0.009744826032916487,0.009369144284821829,16.617142857142856,17.2066,6.163657556765722
1998-01-14,1998,1,14,Wednesday,02,1998-02,35.35,35.42,34.52,34.79,10182600,16.28,0.007236728435566553,0.007425742574257432,16.612142857142857,17.1742,4.885156311080245
1998-01-15,1998,1,15,Thursday,02,1998-02,34.67,34.77,34.33,34.42,6839100,16.1,-0.010778097638290518,-0.011056511056511065,16.605714285714285,17.128,-7.2737216818541235
1998-01-16,1998,1,16,Friday,02,1998-02,34.71,35.38,34.67,35.17,5872500,16.45,0.021792009036040394,0.021739130434782483,16.599285714285717,17.0882,14.301472099104393
1998-01-20,1998,1,20,Tuesday,03,1998-03,35.42,35.96,34.65,35.73,8127000,16.72,0.01599491249061913,0.01641337386018238,16.589285714285715,17.051399999999997,10.797828782424174
1998-01-21,1998,1,21,Wednesday,03,1998-03,35.67,35.92,34.71,35.04,7926900,16.4,-0.019241950573899547,-0.019138755980861233,16.54642857142857,17.007,-12.590769694905369
1998-01-22,1998,1,22,Thursday,03,1998-03,34.69,35.27,34.69,34.75,7206300,16.26,-0.008323220045900692,-0.008536585365853444,16.495,16.968,-5.615943921843323
1998-01-23,1998,1,23,Friday,03,1998-03,34.75,34.83,34.06,34.42,8334900,16.1,-0.009592457233970286,-0.009840098400983988,16.412857142857142,16.9362,-6.473483065769292
1998-01-26,1998,1,26,Monday,04,1998-04,34.33,34.83,34.04,34.04,7377300,15.93,-0.010895589955554175,-0.010559006211180222,16.297857142857143,16.906200000000002,-6.94642930527938
1998-01-27,1998,1,27,Tuesday,04,1998-04,34.31,35.15,34.15,35.08,7158300,16.41,0.030599120535369284,0.030131826741996326,16.275714285714287,16.903399999999998,19.822756054502683
1998-01-28,1998,1,28,Wednesday,04,1998-04,35.29,35.5,34.75,35.33,8068500,16.53,0.00712604943592221,0.007312614259597838,16.249285714285715,16.9014,4.810732845036992
1998-01-29,1998,1,29,Thursday,04,1998-04,35.46,36.12,35.42,35.6,6780300,16.66,0.007665186924163514,0.007864488808227321,16.27857142857143,16.9132,5.173793294170792
1998-01-30,1998,1,30,Friday,04,1998-04,36.0,36.0,35.6,35.73,5122800,16.72,0.00351078786119019,0.0036014405762303525,16.337857142857143,16.91,2.3692714882068917
1998-02-02,1998,2,2,Monday,05,1998-05,36.17,37.19,36.15,37.06,7643700,17.34,0.0373173904114279,0.037081339712918826,16.43285714285714,16.9242,24.39461628387927
1998-02-03,1998,2,3,Tuesday,05,1998-05,37.17,38.08,37.04,38.08,6984600,17.82,0.02754366853533652,0.02768166089965396,16.55142857142857,16.9352,18.210871046610528
1998-02-04,1998,2,4,Wednesday,05,1998-05,37.98,38.31,37.58,38.17,5770800,17.86,0.002187626109360963,0.002244668911335568,16.664285714285715,16.9438,1.4766952111308707
1998-02-05,1998,2,5,Thursday,05,1998-05,38.33,38.58,37.71,38.19,6003900,17.87,0.0005469677150196084,0.0005599104143338973,16.790714285714287,16.9498,0.36834698575533587
1998-02-06,1998,2,6,Friday,05,1998-05,38.42,39.33,38.38,38.98,7131000,18.24,0.02073049713225772,0.020705092333519692,16.91857142857143,16.973399999999998,13.621211814591835
1998-02-09,1998,2,9,Monday,06,1998-06,39.19,40.33,39.12,40.33,8127000,18.87,0.03474089307459938,0.03453947368421062,17.072142857142858,17.0114,22.722404683774602
1998-02-10,1998,2,10,Tuesday,06,1998-06,40.04,40.27,39.75,39.96,6259800,18.7,-0.009297524942058488,-0.009009009009009139,17.236428571428572,17.0496,-5.926736185214552
1998-02-11,1998,2,11,Wednesday,06,1998-06,39.92,40.15,39.77,39.94,4010400,18.69,-0.0005209119202826962,-0.0005347593582886168,17.41,17.086199999999998,-0.3518009179457846
1998-02-12,1998,2,12,Thursday,06,1998-06,39.71,39.98,39.21,39.79,5293500,18.62,-0.0036517543497022187,-0.0037453183520599342,17.59,17.102,-2.4639240320554583
1998-02-13,1998,2,13,Friday,06,1998-06,39.69,39.71,39.17,39.4,3623100,18.43,-0.00994769166243481,-0.010204081632653184,17.768571428571427,17.117,-6.712935883253201
1998-02-17,1998,2,17,Tuesday,07,1998-07,39.92,40.27,39.79,40.25,5438400,18.83,0.021681575172665557,0.02170374389582186,17.94142857142857,17.1376,14.278192437521447
1998-02-18,1998,2,18,Wednesday,07,1998-07,40.33,40.81,40.29,40.6,5238300,19.0,0.008799129799799355,0.009028146574615148,18.117857142857144,17.1554,5.939326171800272
1998-02-19,1998,2,19,Thursday,07,1998-07,40.67,40.67,39.79,39.88,4595100,18.66,-0.01795819052295633,-0.017894736842105297,18.260714285714286,17.1652,-11.772369664736548
1998-02-20,1998,2,20,Friday,07,1998-07,40.0,40.0,39.42,39.94,4830300,18.69,0.0015680466083400901,0.001607717041800738,18.40142857142857,17.175,1.0576651391621297
1998-02-23,1998,2,23,Monday,08,1998-08,40.54,40.6,40.17,40.4,3573900,18.9,0.011475936096340345,0.01123595505617958,18.512857142857143,17.1936,7.391772096166229
1998-02-24,1998,2,24,Tuesday,08,1998-08,40.4,40.4,39.9,39.92,4373400,18.68,-0.011862012536828836,-0.011640211640211562,18.574285714285715,17.219,-7.657719452007212
1998-02-25,1998,2,25,Wednesday,08,1998-08,40.35,41.06,40.19,40.79,4452900,19.09,0.021920850456896623,0.021948608137045023,18.662142857142857,17.258599999999998,14.439280716761834
1998-02-26,1998,2,26,Thursday,08,1998-08,40.67,41.54,40.5,41.25,4866000,19.3,0.011236136961068288,0.011000523834468368,18.764285714285712,17.3002,7.236889495932424
1998-02-27,1998,2,27,Friday,08,1998-08,40.92,41.48,40.67,41.35,5162400,19.35,0.002525176160486975,0.002590673575129543,18.84357142857143,17.339000000000002,1.7043205092197102
1998-03-02,1998,3,2,Monday,09,1998-09,41.48,41.67,41.06,41.25,4160700,19.3,-0.0025188157071107664,-0.0025839793281654533,18.874285714285715,17.3812,-1.699916580255364
1998-03-03,1998,3,3,Tuesday,09,1998-09,40.79,41.92,40.77,41.77,5430300,19.54,0.012625880802435097,0.012435233160621673,18.934285714285718,17.424599999999998,8.180738444254521
1998-03-04,1998,3,4,Wednesday,09,1998-09,41.38,41.6,40.79,40.81,4410900,19.1,-0.02294211439476168,-0.022517911975434846,18.96357142857143,17.4682,-14.813807332951509
1998-03-05,1998,3,5,Thursday,09,1998-09,40.46,40.62,39.96,40.17,5073000,18.79,-0.015824678187594365,-0.01623036649214671,18.975714285714282,17.5086,-10.677434143101111
1998-03-06,1998,3,6,Friday,09,1998-09,40.5,40.75,40.17,40.54,6180600,18.97,0.009336711475357973,0.009579563597658325,19.014285714285712,17.5568,6.302085629621342
1998-03-09,1998,3,9,Monday,10,1998-10,40.6,40.6,39.46,39.52,6918000,18.49,-0.0251807314202791,-0.02530311017395892,18.990000000000002,17.5996,-16.646099311978244
1998-03-10,1998,3,10,Tuesday,10,1998-10,40.17,40.62,39.6,40.52,5760900,18.96,0.025303366224783463,0.025419145484045558,18.987142857142857,17.655,16.72243519646513
1998-03-11,1998,3,11,Wednesday,10,1998-10,40.98,41.67,40.75,41.56,6471300,19.45,0.025707173632425695,0.025843881856540074,19.04357142857143,17.7132,17.00185554397757
1998-03-12,1998,3,12,Thursday,10,1998-10,41.58,41.83,41.12,41.75,6796500,19.53,0.004510690293821229,0.004113110539845755,19.103571428571428,17.7666,2.7058826388022834
1998-03-13,1998,3,13,Friday,10,1998-10,41.79,42.0,41.31,41.75,4371900,19.53,0.0,0.0,19.148571428571426,17.8172,0.0
1998-03-16,1998,3,16,Monday,11,1998-11,42.4,42.92,42.21,42.77,7389300,20.01,0.02445119125569528,0.02457757296466978,19.243571428571425,17.8778,16.16879180482475
1998-03-17,1998,3,17,Tuesday,11,1998-11,42.88,45.0,42.71,44.92,12699600,21.02,0.05017096894346951,0.05047476261869055,19.381428571428575,17.9532,33.205716827805716
1998-03-18,1998,3,18,Wednesday,11,1998-11,44.9,46.04,44.79,46.04,13203300,21.54,0.02504620471511365,0.02473834443387246,19.541428571428572,18.0332,16.27455816415692
1998-03-19,1998,3,19,Thursday,11,1998-11,46.12,46.38,44.79,45.08,8106300,21.09,-0.020814525951265428,-0.02089136490250698,19.665714285714284,18.1206,-13.743754524209047
1998-03-20,1998,3,20,Friday,11,1998-11,45.17,45.67,44.83,44.88,6193200,21.0,-0.004620661929872538,-0.004267425320056861,19.787142857142857,18.2026,-2.8074013508910385
1998-03-23,1998,3,23,Monday,12,1998-12,44.88,44.88,44.21,44.23,3084000,20.69,-0.014392444425428197,-0.014761904761904754,19.869285714285713,18.2914,-9.711380577772841
1998-03-24,1998,3,24,Tuesday,12,1998-12,44.79,45.4,44.58,44.73,4368900,20.93,0.0113048255790964,0.011599806669888801,20.0,18.3922,7.631138326443351
1998-03-25,1998,3,25,Wednesday,12,1998-12,45.38,45.5,43.58,44.33,5895000,20.74,-0.008849784964160334,-0.00907787864309606,20.139285714285712,18.486800000000002,-5.972043294131555
1998-03-26,1998,3,26,Thursday,12,1998-12,44.25,45.38,44.1,44.73,4490400,20.93,0.008928802950257442,0.009161041465766795,20.279285714285717,18.5822,6.026753430384536
1998-03-27,1998,3,27,Friday,12,1998-12,45.17,45.33,44.31,44.71,4074300,20.92,-0.0004658980745887442,-0.00047778308647861145,20.452857142857145,18.675,-0.31431806811210256
1998-03-30,1998,3,30,Monday,13,1998-13,44.42,44.71,44.1,44.58,3802500,20.86,-0.0027955060728560577,-0.002868068833652093,20.588571428571424,18.7702,-1.88680989452818
1998-03-31,1998,3,31,Tuesday,13,1998-13,44.58,45.6,44.58,44.96,5190600,21.04,0.00841103430266088,0.008628954937679678,20.702142857142857,18.862000000000002,5.6767108811401625
