Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,23.94,24.0,23.44,23.81,2523000,12.96,-0.002618007206969475,,12.579285714285714,12.7212,
1998-01-05,1998,1,5,Monday,01,1998-01,23.81,23.81,23.56,23.75,4786400,12.93,-0.002624437632333998,-0.0023148148148148806,12.60142857142857,12.7162,-2.439177928342405
1998-01-06,1998,1,6,Tuesday,01,1998-01,23.66,23.88,23.5,23.81,3398600,12.96,0.0026313434290528015,0.0023201856148493682,12.632857142857144,12.719000000000001,2.4448372738839232
1998-01-07,1998,1,7,Wednesday,01,1998-01,23.56,23.72,23.44,23.62,3008800,12.86,-0.007874490302848702,-0.007716049382716195,12.663571428571428,12.7202,-8.130593094474607
1998-01-08,1998,1,8,Thursday,01,1998-01,23.5,23.56,23.19,23.19,2421400,12.62,-0.01851798695300888,-0.018662519440124425,12.682857142857143,12.7332,-19.665160778424067
1998-01-09,1998,1,9,Friday,01,1998-01,23.16,23.19,22.62,22.69,3791400,12.35,-0.0215635321630957,-0.021394611727416746,12.69,12.7302,-22.544034355138617
1998-01-12,1998,1,12,Monday,02,1998-02,22.38,23.34,22.31,23.19,3502200,12.62,0.022038765798220616,0.021862348178137703,12.698571428571428,12.7344,23.036899883550664
1998-01-13,1998,1,13,Tuesday,02,1998-02,23.25,23.56,23.16,23.56,3108600,12.82,0.01617227126551657,0.015847860538827252,12.712857142857143,12.748400000000002,16.69928470751012
1998-01-14,1998,1,14,Wednesday,02,1998-02,23.53,23.59,23.12,23.53,3033400,12.81,-0.0013258443110139018,-0.0007800312012480326,12.72642857142857,12.761199999999999,-0.8219382722651059
1998-01-15,1998,1,15,Thursday,02,1998-02,23.47,23.69,23.19,23.41,2870600,12.74,-0.005312205248788837,-0.005464480874316946,12.743571428571428,12.7682,-5.758059371824537
1998-01-16,1998,1,16,Friday,02,1998-02,23.69,23.97,23.47,23.78,3836000,12.94,0.016021277255194644,0.015698587127158437,12.789285714285715,12.776800000000001,16.54199160194476
1998-01-20,1998,1,20,Tuesday,03,1998-03,23.62,24.0,23.59,24.0,3861600,13.06,0.009198559555251729,0.009273570324574987,12.822857142857144,12.784600000000001,9.771791638737792
1998-01-21,1998,1,21,Wednesday,03,1998-03,23.56,23.81,23.41,23.69,3762000,12.89,-0.013021128997741771,-0.013016845329249627,12.825000000000001,12.7924,-13.716173587860741
1998-01-22,1998,1,22,Thursday,03,1998-03,23.56,23.94,23.47,23.94,3307800,13.03,0.010554184571064829,0.010861132660977324,12.827857142857141,12.809799999999997,11.444645547412108
1998-01-23,1998,1,23,Friday,03,1998-03,23.84,23.91,23.25,23.53,4894600,12.81,-0.016971009399268544,-0.016884113584036742,12.817142857142857,12.822799999999999,-17.79121030772481
1998-01-26,1998,1,26,Monday,04,1998-04,23.28,23.59,23.12,23.5,2739600,12.79,-0.001327976844814005,-0.0015612802498049527,12.807142857142859,12.8304,-1.645159820521413
1998-01-27,1998,1,27,Tuesday,04,1998-04,23.41,23.88,23.34,23.66,4139600,12.87,0.006648415296105048,0.006254886630179923,12.800714285714283,12.835799999999999,6.590929570251165
1998-01-28,1998,1,28,Wednesday,04,1998-04,23.66,23.94,23.38,23.81,3481800,12.96,0.00660524653804373,0.006993006993007089,12.807857142857143,12.838600000000001,7.368705349957367
1998-01-29,1998,1,29,Thursday,04,1998-04,23.75,24.34,23.69,23.97,3768400,13.04,0.006561388432296589,0.006172839506172645,12.837857142857143,12.845,6.504474475579357
1998-01-30,1998,1,30,Friday,04,1998-04,23.94,23.97,23.53,23.56,3288000,12.82,-0.016949033586699414,-0.016871165644171682,12.871428571428572,12.8454,-17.777566741537903
1998-02-02,1998,2,2,Monday,05,1998-05,23.94,23.97,23.78,23.81,2673400,12.96,0.010610249814710482,0.010920436817472678,12.895714285714286,12.8502,11.507135811711715
1998-02-03,1998,2,3,Tuesday,05,1998-05,23.75,24.28,23.72,24.28,3526000,13.21,0.019685121939140293,0.019290123456790154,12.92357142857143,12.853599999999998,20.32648273618616
1998-02-04,1998,2,4,Wednesday,05,1998-05,24.25,24.34,24.0,24.28,3928000,13.21,0.0,0.0,12.952142857142858,12.853600000000002,0.0
1998-02-05,1998,2,5,Thursday,05,1998-05,24.25,24.62,23.97,24.25,4567600,13.2,-0.0012868141351383144,-0.0007570022710069457,12.985,12.8528,-0.7976721158547114
1998-02-06,1998,2,6,Friday,05,1998-05,24.12,24.66,24.09,24.41,3472000,13.28,0.006442938878467697,0.0060606060606061,13.009285714285713,12.8522,6.386211303296339
1998-02-09,1998,2,9,Monday,06,1998-06,24.28,24.66,24.28,24.53,3309000,13.35,0.005121756595367399,0.005271084337349352,13.03,12.8502,5.554272632008403
1998-02-10,1998,2,10,Tuesday,06,1998-06,24.81,25.16,24.69,25.0,6703600,13.61,0.019107788421907523,0.019475655430711614,13.081428571428571,12.8582,20.521982390367878
1998-02-11,1998,2,11,Wednesday,06,1998-06,25.03,25.19,24.81,25.09,4215400,13.66,0.0037502978053975955,0.0036737692872887973,13.126428571428573,12.8674,3.8711420464507724
1998-02-12,1998,2,12,Thursday,06,1998-06,25.12,25.72,25.09,25.59,9246800,13.93,0.019925739359284877,0.019765739385065872,13.206428571428573,12.88,20.82765106602122
1998-02-13,1998,2,13,Friday,06,1998-06,25.69,26.81,25.69,26.5,11104600,14.42,0.03540908230722817,0.035175879396984966,13.322857142857142,12.9028,37.065698770388096
1998-02-17,1998,2,17,Tuesday,07,1998-07,26.38,26.5,25.53,26.09,6314600,14.2,-0.015330335978748999,-0.015256588072122046,13.417857142857144,12.9242,-16.07624620732701
