Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,50.21,51.44,50.07,51.35,4791666,20.48,0.015330790475950984,,20.015000000000004,18.362199999999998,
1998-01-05,1998,1,5,Monday,01,1998-01,51.35,51.94,50.84,51.65,6298480,20.6,0.0058072034164620145,0.005859375,20.062142857142856,18.4058,5.532187671813963
1998-01-06,1998,1,6,Tuesday,01,1998-01,50.78,51.47,50.75,50.93,5057438,20.32,-0.01385726319051983,-0.013592233009708798,20.079285714285714,18.4542,-12.833243117010571
1998-01-07,1998,1,7,Wednesday,01,1998-01,50.45,50.57,49.53,50.16,6228264,20.01,-0.015222139142703872,-0.015255905511810997,20.05785714285714,18.5006,-14.404016195379114
1998-01-08,1998,1,8,Thursday,01,1998-01,49.92,51.02,49.83,50.66,5134362,20.21,0.010106963657446233,0.009995002498750516,20.04285714285714,18.5828,9.43688185230291
1998-01-09,1998,1,9,Friday,01,1998-01,50.51,50.63,48.96,49.08,6614347,19.58,-0.031194423496390344,-0.03117268678871854,20.012142857142855,18.641399999999997,-29.43200487251059
1998-01-12,1998,1,12,Monday,02,1998-02,48.66,50.75,48.37,50.66,8138139,20.21,0.032198847996901536,0.032175689479060354,20.060714285714287,18.709600000000002,30.37899992203468
1998-01-13,1998,1,13,Tuesday,02,1998-02,50.69,51.02,50.57,50.69,6517931,20.22,0.0005888838546450614,0.0004948045522017441,20.064999999999998,18.7824,0.4671746805159113
1998-01-14,1998,1,14,Wednesday,02,1998-02,50.81,52.48,50.69,52.42,10690438,20.91,0.0341169587675878,0.03412462908011871,20.138571428571428,18.8624,32.21911079291853
1998-01-15,1998,1,15,Thursday,02,1998-02,52.12,52.24,51.82,51.85,6655010,20.69,-0.010807545663720441,-0.010521281683405048,20.240000000000002,18.933400000000002,-9.933773622718375
