Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,41.12,41.19,40.94,41.03,122000,20.89,0.0,,20.90357142857143,20.6844,
1998-01-05,1998,1,5,Monday,01,1998-01,41.03,41.81,41.03,41.53,220400,21.15,0.012185875132577628,0.012446146481569942,20.915,20.6802,10.694602838923679
1998-01-06,1998,1,6,Tuesday,01,1998-01,41.53,41.53,40.84,40.88,230200,20.81,-0.015801497337162296,-0.016075650118203333,20.900714285714287,20.678800000000003,-13.813327172893358
1998-01-07,1998,1,7,Wednesday,01,1998-01,40.75,40.88,40.56,40.72,252400,20.73,-0.003822276689721016,-0.003844305622296873,20.87642857142857,20.6738,-3.303297280229376
1998-01-08,1998,1,8,Thursday,01,1998-01,40.72,40.72,39.84,39.84,402200,20.29,-0.021488755051707553,-0.021225277375783946,20.84642857142857,20.672200000000004,-18.23824844228963
1998-01-09,1998,1,9,Friday,01,1998-01,39.91,40.0,37.81,37.84,559400,19.27,-0.05019632347369096,-0.05027106949236071,20.717857142857138,20.645599999999998,-43.196432189259795
1998-01-12,1998,1,12,Monday,02,1998-02,37.75,38.97,37.31,38.78,750200,19.75,0.024772896881439577,0.024909185262065314,20.62,20.6308,21.403720727008267
1998-01-13,1998,1,13,Tuesday,02,1998-02,38.78,39.12,38.78,39.12,324600,19.92,0.008864138399758525,0.00860759493670904,20.534285714285716,20.628600000000002,7.39624986599241
1998-01-14,1998,1,14,Wednesday,02,1998-02,39.31,39.31,38.62,38.97,300800,19.84,-0.003993717824700593,-0.004016064257028162,20.463571428571424,20.6208,-3.4508843575088326
1998-01-15,1998,1,15,Thursday,02,1998-02,38.88,39.0,38.69,39.0,322200,19.86,0.0008021193485145961,0.0010080645161290036,20.402142857142856,20.6124,0.8661998034472422
1998-01-16,1998,1,16,Friday,02,1998-02,39.12,39.38,38.88,39.06,186400,19.89,0.001602088449421668,0.0015105740181269312,20.354285714285712,20.6034,1.297991246253343
