Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,41.59,41.76,40.89,40.89,3931403,12.1,-0.0006867228489286781,,11.971428571428573,11.4724,
1998-01-05,1998,1,5,Monday,01,1998-01,40.64,40.83,39.51,39.65,3628953,11.73,-0.03024082554797658,-0.03057851239669418,11.958571428571428,11.4832,-31.053655927369196
1998-01-06,1998,1,6,Tuesday,01,1998-01,39.68,40.83,39.68,40.61,4532522,12.02,0.024096065343939488,0.024722932651321416,11.957857142857142,11.504000000000001,25.107089387142853
1998-01-07,1998,1,7,Wednesday,01,1998-01,40.27,40.3,39.71,39.8,3831772,11.88,-0.01164166231370145,-0.011647254575707033,11.953571428571427,11.523399999999999,-11.828235180321744
1998-01-08,1998,1,8,Thursday,01,1998-01,39.8,39.99,39.18,39.23,4006348,11.71,-0.014124716133417925,-0.014309764309764272,11.934999999999999,11.547,-14.532116262307383
1998-01-09,1998,1,9,Friday,01,1998-01,39.09,40.02,38.67,38.92,3837777,11.62,-0.007879536791234654,-0.0076857386848848686,11.912142857142856,11.5638,-7.805163363469839
1998-01-12,1998,1,12,Monday,02,1998-02,38.11,39.68,38.11,39.63,3846895,11.83,0.018050347989424065,0.01807228915662651,11.897857142857143,11.588199999999999,18.35310501731526
1998-01-13,1998,1,13,Tuesday,02,1998-02,39.8,40.3,39.15,40.16,2879055,11.99,0.013475377298065583,0.013524936601859716,11.89857142857143,11.617799999999999,13.735093526624247
1998-01-14,1998,1,14,Wednesday,02,1998-02,40.19,40.22,39.49,40.16,1883417,11.99,0.0,0.0,11.907142857142857,11.6448,0.0
1998-01-15,1998,1,15,Thursday,02,1998-02,40.22,40.36,39.99,40.02,1697277,11.94,-0.003498896862863976,-0.00417014178482078,11.915000000000001,11.667200000000001,-4.234939439636367
1998-01-16,1998,1,16,Friday,02,1998-02,40.3,40.5,40.02,40.08,2598845,11.96,0.0014041534709561265,0.0016750418760469454,11.927142857142856,11.6906,1.7010694767584662
1998-01-20,1998,1,20,Tuesday,03,1998-03,40.13,40.86,40.02,40.75,2259923,12.16,0.016829723315317402,0.01672240802675584,11.939285714285715,11.715800000000002,16.982248789711985
1998-01-21,1998,1,21,Wednesday,03,1998-03,40.47,40.72,40.27,40.55,2703812,12.1,-0.004826654007618947,-0.004934210526315819,11.938571428571427,11.744599999999998,-5.010880646174918
1998-01-22,1998,1,22,Thursday,03,1998-03,40.41,41.03,40.3,40.92,3152595,12.21,0.009008870587753348,0.00909090909090926,11.945714285714287,11.7706,9.23216797840724
1998-01-23,1998,1,23,Friday,03,1998-03,40.92,41.26,40.72,40.92,3714795,12.21,0.0,0.0,11.953571428571427,11.799000000000001,0.0
1998-01-26,1998,1,26,Monday,04,1998-04,40.92,41.14,40.81,40.81,2131826,12.18,-0.0027476013639222696,-0.002457002457002533,11.985714285714286,11.820599999999999,-2.49518053470469
1998-01-27,1998,1,27,Tuesday,04,1998-04,40.89,41.85,40.89,41.2,4895906,12.3,0.009642121352833488,0.009852216748768461,12.005714285714285,11.8466,10.005305198273657
1998-01-28,1998,1,28,Wednesday,04,1998-04,41.48,41.99,41.23,41.26,3442813,12.31,0.0013640031752026882,0.0008130081300812275,12.036428571428571,11.8742,0.8256410387192569
1998-01-29,1998,1,29,Thursday,04,1998-04,41.14,41.99,41.14,41.43,3867132,12.36,0.00408697777721323,0.004061738424045336,12.082857142857145,11.8996,4.124851655665063
1998-01-30,1998,1,30,Friday,04,1998-04,41.76,41.85,41.51,41.62,3089436,12.42,0.004749298442921157,0.004854368932038833,12.14,11.9232,4.929798435071733
1998-02-02,1998,2,2,Monday,05,1998-05,41.99,42.18,41.71,41.76,3696337,12.46,0.0033761234615861113,0.0032206119162641045,12.185,11.9428,3.270655322463066
1998-02-03,1998,2,3,Tuesday,05,1998-05,41.79,42.16,41.76,42.04,2675124,12.55,0.0067296037221129534,0.007223113964687,12.224999999999998,11.963199999999999,7.335350159408507
1998-02-04,1998,2,4,Wednesday,05,1998-05,42.1,42.18,41.45,41.48,3135026,12.38,-0.013369389776294427,-0.013545816733067761,12.252857142857144,11.9828,-13.756298103283871
1998-02-05,1998,2,5,Thursday,05,1998-05,41.4,41.62,40.92,40.92,3723691,12.21,-0.013549628008418968,-0.013731825525040375,12.272142857142857,11.9964,-13.945197188708562
1998-02-06,1998,2,6,Friday,05,1998-05,40.98,41.54,40.92,40.92,2996699,12.21,0.0,0.0,12.290000000000001,12.0156,0.0
1998-02-09,1998,2,9,Monday,06,1998-06,41.09,41.14,40.72,40.78,2469191,12.17,-0.003434326002101362,-0.003276003276003303,12.290714285714287,12.0284,-3.3269073796061783
1998-02-10,1998,2,10,Tuesday,06,1998-06,41.0,41.06,40.39,40.41,2701811,12.06,-0.008959831170304744,-0.009038619556285932,12.287857142857145,12.034600000000001,-9.179065944020156
1998-02-11,1998,2,11,Wednesday,06,1998-06,40.41,40.58,40.13,40.55,2335980,12.1,0.003477949961703475,0.0033167495854062867,12.280000000000001,12.039000000000001,3.368286824626112
1998-02-12,1998,2,12,Thursday,06,1998-06,40.39,40.39,39.4,40.22,4027697,12.0,-0.008316432098006699,-0.008264462809917328,12.265,12.041799999999999,-8.392879980370035
1998-02-13,1998,2,13,Friday,06,1998-06,40.16,40.33,39.6,39.96,2402697,11.93,-0.006289214229999729,-0.005833333333333357,12.247142857142856,12.044400000000001,-5.923974452811226
1998-02-17,1998,2,17,Tuesday,07,1998-07,40.36,40.44,40.05,40.33,2400028,12.04,0.009142635638336616,0.009220452640402277,12.22857142857143,12.047,9.363724437445487
1998-02-18,1998,2,18,Wednesday,07,1998-07,40.44,40.64,40.24,40.5,1889644,12.09,0.0041804855422959974,0.004152823920265947,12.212857142857144,12.0496,4.217352481830639
1998-02-19,1998,2,19,Thursday,07,1998-07,40.24,40.47,39.82,39.82,2187869,11.89,-0.016655325670691612,-0.016542597187758412,12.179285714285713,12.048799999999998,-16.799643964016102
1998-02-20,1998,2,20,Friday,07,1998-07,40.02,40.1,39.88,40.02,3138362,11.94,0.00494066373107982,0.00420521446593769,12.145,12.048200000000001,4.270557096824054
1998-02-23,1998,2,23,Monday,08,1998-08,40.3,40.3,39.91,40.1,3182395,11.97,0.0021067891211561385,0.002512562814070529,12.11,12.049,2.5516042151378118
1998-02-24,1998,2,24,Tuesday,08,1998-08,40.08,40.1,39.49,39.82,3258897,11.89,-0.007008397488004192,-0.006683375104427736,12.062857142857144,12.0456,-6.787224578945882
1998-02-25,1998,2,25,Wednesday,08,1998-08,40.1,40.1,39.68,39.96,2485648,11.93,0.00352893089441797,0.003364171572750152,12.030714285714286,12.046800000000001,3.4164456774592424
1998-02-26,1998,2,26,Thursday,08,1998-08,39.91,40.13,39.68,40.1,2356662,11.97,0.0035165213336427747,0.0033528918692373733,12.01357142857143,12.048000000000002,3.4049907045258165
1998-02-27,1998,2,27,Friday,08,1998-08,40.02,40.41,39.99,40.36,1498906,12.04,0.0063067609682296855,0.005847953216374213,12.001428571428573,12.0482,5.93882150657759
1998-03-02,1998,3,2,Monday,09,1998-09,40.3,41.65,40.27,41.51,3717242,12.39,0.028551652233619995,0.029069767441860517,12.017142857142856,12.0572,29.52146737281335
1998-03-03,1998,3,3,Tuesday,09,1998-09,41.51,42.16,41.51,41.87,4363061,12.5,0.008801413103539213,0.00887812752219519,12.048571428571426,12.0678,9.01608010804874
1998-03-04,1998,3,4,Wednesday,09,1998-09,41.65,41.82,41.12,41.34,2738060,12.34,-0.012751485186895617,-0.012800000000000034,12.065714285714284,12.075800000000001,-12.998892513597186
1998-03-05,1998,3,5,Thursday,09,1998-09,40.92,41.57,40.92,41.48,2219226,12.38,0.0033984551900219095,0.0032414910858995505,12.092857142857142,12.082799999999999,3.291858922608716
1998-03-06,1998,3,6,Friday,09,1998-09,41.93,43.39,41.82,42.86,3601154,12.79,0.03319819088709397,0.033117932148626794,12.154285714285717,12.098999999999998,33.632534396297125
