Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Price_chg,Short_MA,Long_MA,Sharpe_ratio
1998-01-02,1998,1,2,Friday,00,1998-00,7910.2,7965.04,7880.85,7965.0,47030000,7965.0,0.007169707359715005,,7837.830714285715,7768.772000000001,
1998-01-05,1998,1,5,Monday,01,1998-01,7967.0,8035.54,7912.98,7979.0,67560000,7979.0,0.0017576898932831764,0.0017576898932831764,7847.880714285714,7767.66,2.3767368334444083
1998-01-06,1998,1,6,Tuesday,01,1998-01,7978.25,7978.25,7880.35,7906.25,60200000,7906.25,-0.009117683920290776,-0.009117683920290776,7846.7128571428575,7768.829000000001,-12.32887285286771
1998-01-07,1998,1,7,Wednesday,01,1998-01,7904.8,7905.76,7776.97,7902.3,60990000,7902.3,-0.0004996294466402817,-0.0004996047430829709,7841.427142857143,7772.566999999999,-0.6755622818259694
1998-01-08,1998,1,8,Thursday,01,1998-01,7902.0,7902.02,7796.15,7802.6,63720000,7802.6,-0.01261654322101391,-0.012616579983042886,7830.37,7785.395000000001,-17.060057335702304
1998-01-09,1998,1,9,Friday,01,1998-01,7799.9,7800.13,7527.36,7580.4,86300000,7580.4,-0.02847771160016832,-0.028477686924871293,7811.362857142856,7787.036999999999,-38.50734290746442
1998-01-12,1998,1,12,Monday,02,1998-02,7575.2,7652.66,7443.41,7647.2,80340000,7647.2,0.00881223864562819,0.008812199883911243,7803.570000000001,7789.847000000001,11.915799327175236
1998-01-13,1998,1,13,Tuesday,02,1998-02,7646.4,7733.12,7645.69,7732.1,69010000,7732.1,0.011102089676662485,0.011102102730411234,7797.341428571429,7796.855,15.012191051951971
1998-01-14,1998,1,14,Wednesday,02,1998-02,7732.1,7788.92,7707.96,7784.7,60650000,7784.7,0.006802821612745813,0.006802809068687576,7803.977142857142,7803.706999999999,9.198714145325381
1998-01-15,1998,1,15,Thursday,02,1998-02,7783.7,7783.94,7686.54,7691.8,55900000,7691.8,-0.011933714631802927,-0.011933664752655782,7806.239285714285,7804.055,-16.136623806054246
1998-01-16,1998,1,16,Friday,02,1998-02,7696.01,7803.12,7696.01,7753.5,72620000,7753.5,0.008021555016928472,0.008021529420941809,7811.539285714286,7805.342999999999,10.846659873374417
1998-01-20,1998,1,20,Tuesday,03,1998-03,7753.8,7874.87,7749.56,7873.1,69310000,7873.1,0.01542530439881995,0.015425291803701668,7817.303571428572,7808.953,20.857979178571405
1998-01-21,1998,1,21,Wednesday,03,1998-03,7871.9,7872.12,7737.36,7794.4,69130000,7794.4,-0.009996087225656924,-0.009996062542073747,7808.617857142856,7811.177,-13.516610708151253
1998-01-22,1998,1,22,Thursday,03,1998-03,7793.4,7797.89,7701.98,7730.9,73460000,7730.9,-0.00814687478132936,-0.008146874679256899,7795.946428571428,7814.169,-11.016150915835047
1998-01-23,1998,1,23,Friday,03,1998-03,7730.6,7776.97,7642.7,7700.7,61250000,7700.7,-0.003906363736787544,-0.0039064015832567245,7777.067857142857,7817.131000000001,-5.282210795335109
1998-01-26,1998,1,26,Monday,04,1998-04,7701.73,7757.78,7690.77,7712.94,52540000,7712.94,0.0015894328805581281,0.0015894658927109173,7758.063571428572,7820.215800000001,2.1492654347879405
1998-01-27,1998,1,27,Tuesday,04,1998-04,7713.19,7848.46,7708.71,7815.08,69300000,7815.08,0.013242698308905565,0.013242680482410174,7751.551428571429,7828.4914,17.90666635585466
1998-01-28,1998,1,28,Wednesday,04,1998-04,7815.08,7919.21,7815.08,7915.47,73510000,7915.47,0.012845695209157126,0.012845677843349002,7752.492142857142,7837.0448,17.369841971282
1998-01-29,1998,1,29,Thursday,04,1998-04,7916.72,8015.12,7883.09,7973.02,77770000,7973.02,0.007270547816550232,0.007270572688671706,7764.665,7845.0552,9.831221067740996
1998-01-30,1998,1,30,Friday,04,1998-04,7971.27,7985.97,7893.05,7906.5,53670000,7906.5,-0.008343139659539034,-0.008343137230309328,7787.957857142857,7849.221200000001,-11.281535859956655
