Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,13.52,13.67,11.66,12.5,8.92,192241200,,
1998-07-31,05,1998-05,1998,2,2,12.72,19.84,12.72,18.36,13.11,1412138800,0.46973094170403584,3.420404447104869
1999-01-31,31,1998-31,1998,8,3,18.25,32.44,14.48,31.95,22.81,1641971600,0.7398932112890924,5.387624713618414
1999-07-31,05,1999-05,1999,2,1,32.47,40.69,26.06,38.44,27.44,1281628200,0.20298114861902694,1.478032553904909
2000-01-31,31,1999-31,1999,8,2,38.31,76.5,37.0,63.69,45.46,1204315600,0.6567055393586005,4.781883303475939
2000-07-31,05,2000-05,2000,2,1,64.75,80.44,50.0,64.94,46.35,1217446700,0.01957765068191808,0.14255710559192855
2001-01-31,31,2000-31,2000,8,1,65.31,76.62,51.39,70.31,50.19,1037086300,0.08284789644012935,0.6032672925251911
2001-07-31,04,2001-04,2001,2,1,69.81,75.06,45.44,62.71,44.76,1177290300,-0.1081888822474597,-0.7877908417616527
2002-01-31,30,2001-30,2001,8,1,63.1,69.0,53.28,55.5,39.62,1258650500,-0.11483467381590706,-0.8361830020753579
2002-07-31,04,2002-04,2002,2,1,57.6,62.94,30.57,45.64,32.58,1769171300,-0.1776880363452802,-1.2938576017750676
2003-01-31,30,2002-30,2002,8,1,45.79,53.7,39.12,50.96,36.38,1878504000,0.1166359729895643,0.8492993867056586
2003-07-31,05,2003-05,2003,2,3,51.06,72.37,50.7,69.43,49.56,1295761600,0.36228697086311157,2.6380377706714997
2004-01-31,30,2003-30,2003,8,1,69.33,70.14,56.76,64.66,46.15,1151055200,-0.06880548829701383,-0.5010157459557153
2004-07-31,05,2004-05,2004,2,2,64.65,66.88,52.15,56.88,40.6,1116199000,-0.12026002166847227,-0.8756883492315114
2005-01-31,31,2004-31,2004,8,2,56.79,65.24,52.0,62.24,44.43,948895700,0.09433497536945801,0.6869118906680918
2005-07-31,05,2005-05,2005,2,1,61.99,83.1,56.19,79.77,56.94,1066847100,0.28156650911546244,2.050261659239653
2006-01-31,31,2005-31,2005,8,1,79.71,86.92,70.65,72.89,52.03,1045497900,-0.08623112047769577,-0.6279026603842142
2006-07-31,05,2006-05,2006,2,1,80.01,80.03,63.52,69.71,49.76,1201454500,-0.04362867576398233,-0.3176876448953319
2007-01-31,31,2006-31,2006,8,1,69.21,77.0,64.96,70.37,50.23,1027699100,0.009445337620578753,0.06877740411273596
2007-07-31,04,2007-04,2007,2,1,70.19,70.49,52.36,53.74,38.36,1918118000,-0.2363129603822417,-1.72074229912922
2008-01-31,30,2007-30,2007,8,1,52.46,59.08,43.93,46.59,33.26,1398182000,-0.1329509906152242,-0.968099222711697
2008-07-31,04,2008-04,2008,2,1,46.31,64.0,39.16,62.63,44.71,1321032400,0.3442573662056525,2.5067529553127295
2009-01-31,30,2008-30,2008,8,1,62.31,66.51,45.0,54.85,39.15,1326742100,-0.12435696712144939,-0.9055207686077472
2009-07-31,05,2009-05,2009,2,2,54.43,64.5,44.96,62.31,44.48,1202063600,0.13614303959131546,0.991342525513066
2010-01-31,31,2009-31,2009,8,3,62.42,64.76,51.72,58.48,41.74,879167100,-0.061600719424460326,-0.44855332267432174
2010-07-31,05,2010-05,2010,2,1,58.52,61.26,50.32,54.53,38.92,907146700,-0.06756109247724007,-0.49195452256584826
2011-01-31,31,2010-31,2010,8,2,55.25,58.74,50.26,55.08,39.32,749755000,0.010277492291880685,0.0748368421562992
2011-07-31,05,2011-05,2011,2,1,55.23,61.53,50.61,54.7,39.05,781357000,-0.0068667344862666235,-0.05000098373062515
2012-01-31,31,2011-31,2011,8,1,55.02,69.63,47.66,67.93,48.99,984347100,0.25454545454545463,1.853504479732941
2012-07-31,05,2012-05,2012,2,1,68.46,84.39,65.37,82.6,60.2,591885300,0.22882220861400282,1.66619745571887
2013-01-31,31,2012-31,2012,8,1,83.42,90.81,80.34,85.46,62.82,564955000,0.043521594684385434,0.3169079206567596
2013-07-31,04,2013-04,2013,2,1,86.17,114.95,82.92,108.29,80.39,511662900,0.2796879974530404,2.0365830422407862
2014-01-31,30,2013-30,2013,8,1,109.6,124.46,103.31,118.95,89.06,403227500,0.10784923497947507,0.7853176578116083
2014-07-31,05,2014-05,2014,2,3,119.68,131.24,108.2,127.39,96.39,428995100,0.08230406467549956,0.5993073136924817
2015-01-31,30,2014-30,2014,8,1,126.17,173.14,124.76,152.26,116.21,466857500,0.20562298993671546,1.4972694510077205
2015-07-31,05,2015-05,2015,2,2,153.41,181.81,147.42,176.59,136.16,425058700,0.1716719731520524,1.25005088717898
2016-01-31,31,2015-31,2015,8,3,176.8,177.52,130.09,152.73,118.91,484661900,-0.12668918918918914,-0.9225031345195918
2016-07-31,05,2016-05,2016,2,1,151.31,172.26,139.02,172.03,135.75,404550600,0.14161971238752002,1.031221601648696
2017-01-31,31,2016-31,2016,8,1,172.91,176.85,133.64,156.68,125.2,443780200,-0.0777163904235727,-0.5659015913522957
2017-07-31,05,2017-05,2017,2,1,158.59,184.21,152.16,174.51,141.42,449489400,0.12955271565495186,0.9433542596815114
2018-01-31,31,2017-31,2017,8,1,174.81,201.23,166.52,186.05,152.83,338249400,0.08068165747419065,0.5874935532741433
2018-07-31,04,2018-04,2018,2,1,185.0,197.49,163.31,196.55,163.93,511921400,0.07262971929594975,0.5288623610159561
2019-01-31,30,2018-30,2018,8,1,196.33,210.19,178.29,187.11,158.22,365581700,-0.034831940462392574,-0.25363311947614026
2019-07-31,04,2019-04,2019,2,1,186.51,196.87,166.3,186.58,160.36,355476900,0.013525470863354982,0.09848740328320857
2020-01-31,30,2019-30,2019,8,1,186.4,244.99,179.61,216.05,188.24,326974500,0.17385881766026445,1.2659746682564639
2020-07-31,05,2020-05,2020,2,3,216.39,264.97,177.05,244.67,216.15,381418900,0.14826816829579248,1.079633162685192
2021-01-31,31,2020-31,2020,8,3,244.85,276.69,210.28,241.43,216.17,327148100,9.252833680295502e-05,0.0006737566265827392
2021-07-31,05,2021-05,2021,2,1,244.3,261.0,220.25,241.54,219.41,325533900,0.014988203728546923,0.10913847510504589
2022-01-31,31,2021-31,2021,8,2,242.12,244.39,198.64,227.14,209.67,349809200,-0.044391777949956746,-0.32324426865325095
2022-07-31,05,2022-05,2022,2,1,227.14,258.45,214.39,247.47,232.25,398699900,0.10769304144608194,0.7841803151143424
2023-01-31,31,2022-31,2022,8,1,247.34,296.67,223.3,252.4,240.35,336515100,0.03487621097954796,0.25395548076919156
2023-07-31,05,2023-05,2023,2,1,249.16,256.44,211.71,234.15,227.06,310718700,-0.05529436238818386,-0.40263279724829615
2024-01-31,31,2023-31,2023,8,1,234.93,289.04,228.21,288.02,283.77,260924900,0.24975777327578608,1.8186423813438315
