Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,30.5,31.5,28.12,29.94,15.07,115439800,,
1998-07-31,05,1998-05,1998,2,2,30.62,44.22,30.53,39.88,20.29,592116400,0.3463835434638354,1.763963391060756
1999-01-31,31,1998-31,1998,8,3,40.19,40.22,22.0,33.44,17.24,1403124200,-0.15032035485460826,-0.7655086619970308
1999-07-31,05,1999-05,1999,2,1,33.31,38.19,29.78,33.19,17.35,949079400,0.00638051044083543,0.032492845131627084
2000-01-31,31,1999-31,1999,8,2,33.62,33.78,22.25,24.22,12.87,1396813000,-0.25821325648414994,-1.3149548820069066
2000-07-31,05,2000-05,2000,2,1,24.06,30.5,21.16,23.69,12.84,1446001200,-0.002331002331002252,-0.011870664337131125
2001-01-31,31,2000-31,2000,8,1,23.84,28.81,18.16,26.91,14.94,1489568400,0.16355140186915884,0.8328879673926628
2001-07-31,04,2001-04,2001,2,1,26.95,32.35,22.83,31.81,18.02,1483422800,0.2061579651941099,1.0498625302502436
2002-01-31,30,2001-30,2001,8,1,31.86,32.77,25.12,31.51,18.19,1465686000,0.009433962264151052,0.048042594345561164
2002-07-31,04,2002-04,2002,2,1,31.27,38.54,27.56,33.25,19.54,1664997800,0.07421660252886197,0.3779491616739813
2003-01-31,30,2002-30,2002,8,1,33.12,36.25,26.98,35.03,20.96,1554781000,0.07267144319344943,0.3700804145800303
2003-07-31,05,2003-05,2003,2,3,35.03,42.45,32.13,41.28,25.15,1439026800,0.19990458015267154,1.0180170731220068
2004-01-31,30,2003-30,2003,8,1,41.28,41.47,36.22,40.73,25.33,1733904200,0.007157057654075594,0.0364474234637496
2004-07-31,05,2004-05,2004,2,2,40.73,42.85,38.51,42.51,26.95,1416212000,0.06395578365574428,0.32569578764388796
2005-01-31,31,2004-31,2004,8,2,42.4,47.47,41.7,46.37,29.99,1113431600,0.11280148423005554,0.5744432505348214
2005-07-31,05,2005-05,2005,2,1,46.36,47.44,43.4,43.6,28.75,1295695800,-0.04134711570523508,-0.21056080696167012
2006-01-31,31,2005-31,2005,8,1,43.77,47.25,41.13,44.23,29.83,1642618500,0.03756521739130436,0.19130143306712283
