Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,38.25,39.16,33.88,37.38,14.32,67128400,,
1998-07-31,05,1998-05,1998,2,2,37.5,45.09,37.41,41.31,16.07,344319400,0.1222067039106145,1.378107450092688
1999-01-31,31,1998-31,1998,8,3,41.31,44.72,36.5,37.25,14.71,376120600,-0.08462974486621033,-0.9543574793153212
1999-07-31,05,1999-05,1999,2,1,37.53,52.47,36.56,45.62,18.27,356341800,0.24201223657375914,2.7291372368559816
2000-01-31,31,1999-31,1999,8,2,45.66,49.06,40.38,41.81,16.97,357917600,-0.0711548987411057,-0.8024035746633983
2000-07-31,05,2000-05,2000,2,1,41.69,47.44,34.97,39.49,16.28,450765800,-0.04065998821449601,-0.45851684797965414
2001-01-31,31,2000-31,2000,8,1,39.25,46.16,38.81,41.64,17.43,488600400,0.07063882063882065,0.7965838360170724
2001-07-31,04,2001-04,2001,2,1,41.64,49.24,40.78,45.69,19.41,611249800,0.11359724612736666,1.2810198310613248
2002-01-31,30,2001-30,2001,8,1,45.78,46.88,39.3,41.9,18.06,744366200,-0.06955177743431229,-0.78432540590835
2002-07-31,04,2002-04,2002,2,1,41.7,45.8,32.82,37.5,16.43,702312400,-0.09025470653377621,-1.017789364248804
2003-01-31,30,2002-30,2002,8,1,36.88,40.0,30.66,32.2,14.39,795472200,-0.12416311625076071,-1.4001696310953013
2003-07-31,05,2003-05,2003,2,3,32.21,38.12,30.85,36.06,16.46,788974400,0.1438498957609451,1.6221746164450508
2004-01-31,30,2003-30,2003,8,1,36.15,44.26,35.03,43.17,20.1,644840000,0.22114216281895516,2.4937884122406317
2004-07-31,05,2004-05,2004,2,2,43.16,48.25,42.13,47.83,22.63,714312600,0.125870646766169,1.4194252075018619
2005-01-31,31,2004-31,2004,8,2,47.83,56.07,46.21,54.4,26.15,740434800,0.15554573574900576,1.7540669243697262
2005-07-31,05,2005-05,2005,2,1,54.65,63.15,49.81,58.01,28.33,1005669200,0.08336520076481846,0.9400973970830605
2006-01-31,31,2005-31,2005,8,1,58.11,65.98,54.8,59.38,29.45,1167005500,0.03953406283092131,0.4458199491214076
2006-07-31,05,2006-05,2006,2,1,59.38,68.47,53.76,65.78,33.17,1178208400,0.12631578947368438,1.424445017888288
2007-01-31,31,2006-31,2006,8,1,65.72,76.2,60.72,72.88,37.31,1108471500,0.12481157672595722,1.4074822267497311
2007-07-31,04,2007-04,2007,2,1,73.25,95.0,64.99,85.26,44.28,1236680800,0.18681318681318682,2.1066654797523645
2008-01-31,30,2007-30,2007,8,1,84.77,95.5,76.4,83.25,43.84,1362448200,-0.009936766034326916,-0.11205548356618825
2008-07-31,04,2008-04,2008,2,1,84.71,104.63,76.51,84.56,45.15,1657962400,0.029881386861313697,0.33696810841734365
2009-01-31,30,2008-30,2008,8,1,83.98,89.75,55.5,70.52,38.26,2279950500,-0.15260243632336656,-1.7208757594292683
2009-07-31,05,2009-05,2009,2,2,69.52,75.56,56.12,69.47,38.41,1736499200,0.003920543648719299,0.04421140770366816
2010-01-31,31,2009-31,2009,8,3,70.26,81.09,66.06,72.12,40.63,1172794200,0.05779744858109881,0.6517735274508379
2010-07-31,05,2010-05,2010,2,1,72.7,83.41,66.83,76.21,43.75,1478892800,0.07679054885552539,0.8659559916771012
2011-01-31,31,2010-31,2010,8,2,77.62,95.19,72.57,94.93,55.48,1066311300,0.26811428571428575,3.023486296540593
2011-07-31,05,2011-05,2011,2,1,95.63,109.94,95.17,104.02,61.72,1009774300,0.11247296322999278,1.26834145428409
2012-01-31,31,2011-31,2011,8,1,106.08,110.99,86.68,103.12,62.16,1297029500,0.0071289695398573105,0.08039236572117281
2012-07-31,05,2012-05,2012,2,1,104.42,112.28,95.73,109.58,67.16,851400200,0.08043758043758054,0.9070830430836236
2013-01-31,31,2012-31,2012,8,1,109.72,118.53,100.66,115.15,71.75,733598600,0.06834425253126875,0.7707083209874284
2013-07-31,04,2013-04,2013,2,1,115.84,127.83,113.5,125.89,79.69,731742500,0.11066202090592325,1.2479197177620593
2014-01-31,30,2013-30,2013,8,1,126.49,126.66,111.11,111.63,71.85,726344500,-0.0983812272556156,-1.1094309713924755
2014-07-31,05,2014-05,2014,2,3,112.35,135.1,109.27,129.24,84.64,743653300,0.17800974251913715,2.0073903026967783
2015-01-31,30,2014-30,2014,8,1,127.76,129.53,98.88,102.53,68.35,980121500,-0.19246219281663524,-2.1703685092086267
2015-07-31,05,2015-05,2015,2,2,103.98,112.93,88.01,88.48,60.15,924878000,-0.1199707388441843,-1.3528927931418853
2016-01-31,31,2015-31,2015,8,3,87.28,98.64,69.58,86.47,60.25,1477057900,0.0016625103906899863,0.018747890925379714
2016-07-31,05,2016-05,2016,2,1,85.15,107.58,79.85,102.48,73.08,1022608900,0.2129460580912863,2.401362116256068
2017-01-31,31,2016-31,2016,8,1,101.33,119.0,97.53,111.35,81.05,850906600,0.10905856595511776,1.2298377865514007
2017-07-31,05,2017-05,2017,2,1,111.2,114.39,102.55,109.19,81.05,740006200,0.0,0.0
2018-01-31,31,2017-31,2017,8,1,109.54,133.88,105.3,125.35,94.86,669334100,0.1703886489821098,1.9214483253326513
2018-07-31,04,2018-04,2018,2,1,125.6,131.08,108.02,126.27,97.35,847190000,0.026249209361163706,0.2960085643592949
2019-01-31,30,2018-30,2018,8,1,125.31,127.6,100.22,114.65,90.11,838935900,-0.07437082691319974,-0.8386691348258537
2019-07-31,04,2019-04,2019,2,1,116.65,127.34,113.72,123.11,98.69,848546100,0.09521695705249145,1.073747950727576
2020-01-31,30,2019-30,2019,8,1,122.0,125.27,106.4,107.14,87.63,759483600,-0.11206809200526902,-1.2637757796257827
2020-07-31,05,2020-05,2020,2,3,106.95,112.6,51.6,83.94,70.48,1531950100,-0.19570923199817403,-2.2069849037567884
2021-01-31,31,2020-31,2020,8,3,83.98,96.32,65.16,85.2,73.63,1345029700,0.04469353007945509,0.5040025203403671
2021-07-31,05,2021-05,2021,2,1,85.99,113.11,84.57,101.81,90.32,1321876300,0.22667391009099558,2.5561691318221422
2022-01-31,31,2021-31,2021,8,2,102.08,137.0,92.86,131.33,119.45,1422944800,0.3225199291408327,3.637010924355209
2022-07-31,05,2022-05,2022,2,1,130.83,182.4,130.51,163.78,151.77,1671859400,0.27057346169945595,3.0512180709670673
2023-01-31,31,2022-31,2022,8,1,161.18,189.68,140.46,174.02,163.98,1090304400,0.0804506819529549,0.907230786991013
2023-07-31,05,2023-05,2023,2,1,173.31,174.39,149.74,163.66,157.1,984215600,-0.04195633613855343,-0.4731355773528187
2024-01-31,31,2023-31,2023,8,1,163.64,171.7,140.72,149.16,146.07,995688400,-0.07021005728835139,-0.7917487332878426
