Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,47.92,48.12,42.19,42.7,18.4,30756292,,
1998-07-31,05,1998-05,1998,2,2,43.14,47.95,41.3,43.05,18.9,160539985,0.02717391304347827,0.16879908046200975
1999-01-31,31,1998-31,1998,8,3,43.05,47.83,35.43,41.78,18.71,205491196,-0.01005291005290998,-0.06244672860266473
1999-07-31,05,1999-05,1999,2,1,41.78,65.47,41.66,58.83,26.77,239390250,0.4307856761090325,2.675957116925482
2000-01-31,31,1999-31,1999,8,2,59.54,67.13,49.04,55.27,25.53,294146420,-0.04632050803137833,-0.28773401717005653
2000-07-31,05,2000-05,2000,2,1,55.15,59.54,39.58,40.92,19.22,281754808,-0.2471602036819429,-1.5353112759859917
2001-01-31,31,2000-31,2000,8,1,41.19,54.62,32.74,48.82,23.39,304811729,0.21696149843912593,1.347722772704379
2001-07-31,04,2001-04,2001,2,1,48.82,56.46,40.99,51.81,25.3,243552641,0.08165882855921325,0.5072488143443235
2002-01-31,30,2001-30,2001,8,1,51.81,55.04,33.67,42.04,20.95,340873471,-0.17193675889328064,-1.0680378181959886
2002-07-31,04,2002-04,2002,2,1,42.7,49.43,35.3,41.09,20.91,260564526,-0.0019093078758949389,-0.011860250426733741
2003-01-31,30,2002-30,2002,8,1,41.13,45.84,34.3,41.36,21.53,278772947,0.02965088474414168,0.18418554853281824
2003-07-31,05,2003-05,2003,2,3,40.96,51.08,35.34,50.24,26.75,317879024,0.2424523920111472,1.506067262444506
2004-01-31,30,2003-30,2003,8,1,50.16,60.84,45.83,59.71,32.37,272320554,0.2100934579439251,1.3050598364422794
2004-07-31,05,2004-05,2004,2,2,59.07,62.94,51.74,56.77,31.31,277786063,-0.03274637009576764,-0.20341410351133968
2005-01-31,31,2004-31,2004,8,2,56.65,73.07,54.03,70.74,39.58,310644347,0.26413286489939325,1.6407421575051484
2005-07-31,05,2005-05,2005,2,1,71.02,80.77,61.03,68.25,38.73,399011083,-0.021475492673067254,-0.13340159769711155
2006-01-31,31,2005-31,2005,8,1,68.32,70.38,57.19,60.2,34.71,402542176,-0.10379550735863663,-0.644757572094703
2006-07-31,05,2006-05,2006,2,1,60.18,63.05,46.97,49.22,28.92,449277938,-0.16681071737251507,-1.0361958418957453
2007-01-31,31,2006-31,2006,8,1,49.22,60.75,48.46,59.12,35.4,434775769,0.22406639004149365,1.3918569821332178
