Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2019-03-31,11,2019-11,2019,3,20,52.75,53.5,48.0,51.63,39.15,10048800,,
2019-09-30,13,2019-13,2019,4,1,52.3,60.52,40.44,47.65,37.27,690450500,-0.04802043422733071,-0.2177519585438379
2020-03-31,39,2019-39,2019,10,1,47.94,56.25,21.95,29.24,23.55,686493100,-0.3681244969144084,-1.6692858255216412
2020-09-30,13,2020-13,2020,4,1,27.84,51.56,26.92,47.05,39.16,675102700,0.6628450106157111,3.005716245490211
2021-03-31,39,2020-39,2020,10,1,47.21,67.27,44.33,63.94,54.48,526154400,0.39121552604698673,1.7739936837348436
2021-09-30,13,2021-13,2021,4,1,63.95,71.38,55.21,57.56,50.08,577249800,-0.0807635829662261,-0.36622801632027313
2022-03-31,39,2021-39,2021,10,1,57.67,64.94,52.07,63.72,56.8,726984300,0.13418530351437696,0.6084724788145487
2022-09-30,13,2022-13,2022,4,1,64.29,71.86,43.04,43.93,40.09,742739900,-0.29419014084507034,-1.334025407809447
2023-03-31,40,2022-40,2022,10,3,44.94,60.88,42.91,54.82,51.36,661280400,0.2811174856572711,1.2747465546229966
2023-09-30,14,2023-14,2023,4,3,55.22,57.74,48.34,51.56,49.62,554084000,-0.033878504672897214,-0.15362440727079613
2024-03-31,40,2023-40,2023,10,2,51.29,55.9,47.26,54.84,53.5,258220300,0.07819427650141075,0.3545773196155261
