Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1999-05-31,18,1999-18,1999,5,4,76.0,77.25,63.06,67.94,48.49,60491600,,
1999-11-30,22,1999-22,1999,6,1,66.62,83.0,55.19,75.12,53.84,113297000,0.11033202722210778,0.6896410306252709
2000-05-31,48,1999-48,1999,12,1,74.75,128.0,69.38,73.56,52.86,173469000,-0.018202080237741503,-0.11377386685200543
2000-11-30,22,2000-22,2000,6,1,74.56,133.62,73.62,82.12,59.16,252891100,0.11918274687854713,0.7449633117373063
2001-05-31,48,2000-48,2000,12,1,82.12,120.0,77.0,95.1,68.66,400395600,0.160581473968898,1.003730068190442
2001-11-30,21,2001-21,2001,6,1,95.49,98.14,63.27,89.0,64.45,364256500,-0.061316632682784644,-0.3832655559994426
2002-05-31,48,2001-48,2001,12,3,88.0,97.25,74.0,75.45,54.79,411970000,-0.14988363072148958,-0.9368621620315307
2002-11-30,22,2002-22,2002,6,3,75.45,81.97,58.57,78.87,57.47,692593300,0.048914035407921164,0.30574191955026886
2003-05-31,48,2002-48,2002,12,2,78.88,81.67,61.02,81.5,59.68,504829800,0.03845484600661209,0.24036574238909744
2003-11-30,22,2003-22,2003,6,2,81.5,97.39,81.5,96.08,70.77,487261100,0.18582439678284168,1.1615134040332376
2004-05-31,48,2003-48,2003,12,1,96.23,109.29,90.08,93.91,69.51,448796800,-0.01780415430267046,-0.11128659222391873
2004-11-30,22,2004-22,2004,6,1,93.8,105.59,83.29,104.76,77.98,446622500,0.1218529707955689,0.7616538051552152
2005-05-31,48,2004-48,2004,12,1,105.25,114.25,94.75,97.5,72.92,503300300,-0.06488843293152091,-0.40559143966844585
2005-11-30,22,2005-22,2005,6,1,97.4,134.99,96.43,128.96,96.88,458544600,0.32857926494788803,2.0538165447154055
2006-05-31,48,2005-48,2005,12,1,130.5,169.31,124.23,150.95,113.84,504522500,0.17506193228736588,1.0942415764995492
2006-11-30,22,2006-22,2006,6,1,150.92,203.35,136.79,194.8,147.55,633121100,0.2961173576950107,1.8509102469015424
2007-05-31,48,2006-48,2006,12,1,195.7,233.97,189.85,230.82,175.41,794790400,0.1888173500508301,1.1802211485414906
2007-11-30,21,2007-21,2007,6,1,232.08,250.7,157.38,226.64,172.81,1497534600,-0.014822416053816734,-0.09264894827983794
2008-05-31,48,2007-48,2007,12,3,226.09,229.35,140.27,176.41,135.0,1467332100,-0.21879520861061286,-1.3676006592205496
2008-11-30,22,2008-22,2008,6,2,177.0,190.04,47.41,78.99,60.75,2579662900,-0.55,-3.437828311450588
2009-05-31,48,2008-48,2008,12,1,75.8,145.9,59.13,144.57,112.08,2917486700,0.8449382716049383,5.281368566457424
2009-11-30,22,2009-22,2009,6,1,145.8,193.6,135.23,169.66,132.1,1330335900,0.17862241256245537,1.1164967035760294
2010-05-31,48,2009-48,2009,12,1,171.25,186.41,134.2,144.26,112.85,1826452100,-0.14572293716881146,-0.910855343684864
2010-11-30,22,2010-22,2010,6,1,144.26,171.61,129.5,156.14,122.72,999127700,0.08746123172352682,0.5466849064972378
2011-05-31,48,2010-48,2010,12,1,158.45,175.34,133.64,140.73,111.13,651935900,-0.0944426336375489,-0.5903228358674931
2011-11-30,22,2011-22,2011,6,1,139.95,140.0,84.27,95.86,76.22,976024000,-0.31413659677854766,-1.9635412473964156
2012-05-31,48,2011-48,2011,12,1,94.58,128.72,86.9,95.7,76.69,820808500,0.006166360535292625,0.03854343423061925
2012-11-30,22,2012-22,2012,6,1,94.07,126.73,90.43,117.79,95.21,537635200,0.24149171991133134,1.5094674030764916
2013-05-31,49,2012-49,2012,12,3,118.42,165.83,115.62,162.08,131.87,525927100,0.3850435878584184,2.4067522681494227
2013-11-30,22,2013-22,2013,6,3,161.56,170.69,148.71,168.94,138.35,404731300,0.04913930385986198,0.30714998184437575
2014-05-31,48,2013-48,2013,12,2,169.88,181.13,151.65,159.81,131.77,392901000,-0.047560534875316085,-0.2972817332765358
2014-11-30,22,2014-22,2014,6,2,159.78,192.68,157.91,188.41,156.33,329604200,0.18638536844501785,1.1650198117826025
2015-05-31,48,2014-48,2014,12,1,188.0,209.68,172.26,206.19,172.15,337236000,0.10119618755197335,0.6325365792309773
2015-11-30,22,2015-22,2015,6,1,207.32,218.77,167.49,190.02,159.74,370811900,-0.07208829509148995,-0.4505948759813247
2016-05-31,48,2015-48,2015,12,1,191.22,193.84,139.05,159.48,135.2,507893900,-0.15362464004006526,-0.9602457033929853
2016-11-30,22,2016-22,2016,6,1,157.9,220.77,138.2,219.29,187.21,405052300,0.38468934911242614,2.404538064531268
2017-05-31,48,2016-48,2016,12,1,220.93,255.15,209.62,211.26,181.44,488572200,-0.030821003151541126,-0.1926496676757743
2017-11-30,22,2017-22,2017,6,1,212.61,250.79,210.79,247.64,214.08,366940700,0.17989417989418,1.1244460085552674
2018-05-31,48,2017-48,2017,12,1,249.78,275.31,224.09,225.88,196.51,408870600,-0.0820721225710016,-0.5129997573735129
2018-11-30,21,2018-21,2018,6,1,228.4,245.08,188.12,190.69,167.12,394087600,-0.14955981883873593,-0.9348381444713223
2019-05-31,48,2018-48,2018,12,3,194.0,209.97,151.7,182.49,161.3,416740200,-0.0348252752513164,-0.21767875856915453
2019-11-30,22,2019-22,2019,6,3,181.7,224.77,180.73,221.35,197.99,286392500,0.22746435213887173,1.4217879811432348
2020-05-31,48,2019-48,2019,12,2,220.97,250.46,130.85,196.49,177.93,466649900,-0.1013182483963837,-0.6332995323703109
2020-11-30,22,2020-22,2020,6,1,197.31,238.12,185.52,230.58,210.07,430510900,0.1806328331366267,1.129063032244773
2021-05-31,48,2020-48,2020,12,1,231.96,376.98,231.35,372.02,343.26,375558200,0.6340267529870995,3.9630456757020713
2021-11-30,22,2021-22,2021,6,1,377.7,426.16,348.13,380.99,353.25,317656100,0.029103303618248644,0.18191302024646822
2022-05-31,48,2021-48,2021,12,1,383.82,412.66,293.9,326.85,308.32,374932100,-0.1271903750884643,-0.7950157680420766
2022-11-30,22,2022-22,2022,6,1,327.0,389.58,277.84,386.15,369.42,296021500,0.19817073170731714,1.2386853672078064
2023-05-31,48,2022-48,2022,12,1,386.5,386.5,301.87,323.9,314.46,312298700,-0.14877375345135624,-0.9299247665742584
2023-11-30,22,2023-22,2023,6,1,324.51,361.62,289.36,341.54,337.1,271780500,0.07199643833873948,0.4500207164445911
2024-05-31,48,2023-48,2023,12,1,341.46,387.76,340.42,385.77,380.75,44128600,0.12948679916938577,0.809369789352056
