Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,16.91,17.06,11.69,12.78,4.96,21436600,,
1998-07-31,05,1998-05,1998,2,2,12.81,17.0,10.25,10.25,3.99,74724200,-0.19556451612903225,-0.9294836503986186
1999-01-31,31,1998-31,1998,8,3,10.09,12.62,8.06,8.78,3.44,69695600,-0.1378446115288221,-0.6551511247932803
1999-07-31,05,1999-05,1999,2,1,8.81,13.47,8.0,12.78,5.05,47832600,0.46802325581395343,2.2244319823253442
2000-01-31,31,1999-31,1999,8,2,12.69,15.19,9.19,11.75,4.67,69695000,-0.0752475247524752,-0.35763821256942235
2000-07-31,05,2000-05,2000,2,1,11.69,19.0,11.5,16.0,6.39,83279400,0.3683083511777301,1.7505046288617172
2001-01-31,31,2000-31,2000,8,1,15.91,24.39,14.41,23.91,9.59,80123400,0.5007824726134587,2.380130761519591
2001-07-31,04,2001-04,2001,2,1,24.0,29.36,14.05,15.58,6.26,135405000,-0.3472367049009385,-1.6503548108428996
2002-01-31,30,2001-30,2001,8,1,15.74,17.62,11.7,15.2,6.14,96795600,-0.019169329073482455,-0.09110843989283268
2002-07-31,04,2002-04,2002,2,1,15.27,21.62,14.07,16.58,6.73,92034200,0.09609120521172643,0.45670454926735604
2003-01-31,30,2002-30,2002,8,1,16.49,19.17,11.3,12.49,6.96,91557200,0.03417533432392261,0.16242933600507659
2003-07-31,05,2003-05,2003,2,3,12.49,16.4,11.89,13.38,7.5,78461000,0.07758620689655182,0.3687535562903874
2004-01-31,30,2003-30,2003,8,1,13.43,15.15,11.87,14.51,8.18,91485800,0.09066666666666667,0.4309226743731218
2004-07-31,05,2004-05,2004,2,2,14.64,15.44,12.11,12.66,7.18,91179000,-0.12224938875305624,-0.5810297817126444
2005-01-31,31,2004-31,2004,8,2,12.62,18.98,11.97,18.95,10.82,101081800,0.5069637883008358,2.409509464686676
2005-07-31,05,2005-05,2005,2,1,18.99,28.9,18.38,28.56,16.37,140235200,0.5129390018484288,2.4379086007368156
2006-01-31,31,2005-31,2005,8,1,28.73,39.29,24.52,39.18,22.52,150989200,0.37568723274282223,1.7855751514122178
2006-07-31,05,2006-05,2006,2,1,39.3,40.24,24.71,27.68,15.95,209726300,-0.2917406749555951,-1.3865919692126984
2007-01-31,31,2006-31,2006,8,1,27.64,28.17,21.26,26.83,15.51,184572200,-0.027586206896551668,-0.1311123755699151
2007-07-31,04,2007-04,2007,2,1,27.55,36.76,25.89,32.37,18.77,151909000,0.21018697614442283,0.9989816236605247
2008-01-31,30,2007-30,2007,8,1,33.0,42.42,27.68,39.33,22.88,155098800,0.2189664358018113,1.0407088468419154
2008-07-31,04,2008-04,2008,2,1,39.36,77.24,38.29,59.13,34.46,199353400,0.5061188811188813,2.4054937698802985
2009-01-31,30,2008-30,2008,8,1,59.31,63.87,17.01,22.46,13.13,289654100,-0.6189785258270458,-2.9418957543631215
2009-07-31,05,2009-05,2009,2,2,22.1,37.19,19.5,34.36,20.16,316202400,0.5354150799695354,2.544733435590122
2010-01-31,31,2009-31,2009,8,3,35.0,49.13,31.37,41.83,24.61,198800500,0.22073412698412698,1.0491103712362089
2010-07-31,05,2010-05,2010,2,1,42.21,44.71,32.34,40.53,23.9,299485700,-0.02885006095083298,-0.1371192509642704
