Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,49.95,51.8,45.71,47.2,25.19,215636037,,
1998-07-31,05,1998-05,1998,2,2,47.8,66.03,45.83,63.34,33.93,1013092626,0.34696308058753456,3.042825966275397
1999-01-31,31,1998-31,1998,8,3,64.05,95.24,52.94,87.6,47.07,1206345946,0.38726790450928394,3.3962945963889584
1999-07-31,05,1999-05,1999,2,1,88.19,133.07,77.32,120.16,64.73,1231365950,0.37518589335032937,3.290336760134328
2000-01-31,31,1999-31,1999,8,2,118.55,131.63,85.09,107.31,57.94,1182949116,-0.10489726556465329,-0.919936850084794
2000-07-31,05,2000-05,2000,2,1,107.43,122.61,95.12,107.31,58.08,948165628,0.0024162927166033743,0.021190606815435963
2001-01-31,31,2000-31,2000,8,1,107.07,129.0,76.54,107.07,58.08,993848110,0.0,0.0
2001-07-31,04,2001-04,2001,2,1,107.46,114.63,83.8,100.58,54.69,1151125196,-0.058367768595041336,-0.5118785594530666
2002-01-31,30,2001-30,2001,8,1,100.72,120.83,83.64,103.15,56.23,1066039784,0.028158712744560166,0.2469486441351246
2002-07-31,04,2002-04,2002,2,1,102.91,104.49,62.81,67.3,36.81,1234351966,-0.3453672416859327,-3.0288306442383557
2003-01-31,30,2002-30,2002,8,1,67.3,85.53,51.63,74.76,41.05,1221255313,0.11518609073621278,1.010168653253808
2003-07-31,05,2003-05,2003,2,3,74.76,86.42,69.95,77.68,42.82,1049594155,0.043118148599269324,0.3781411611673693
2004-01-31,30,2003-30,2003,8,1,77.58,95.46,75.27,94.87,52.49,832011305,0.2258290518449324,1.9804945867136765
2004-07-31,05,2004-05,2004,2,2,94.79,96.01,79.75,83.24,46.23,680459086,-0.11926081158315882,-1.045903482381494
2005-01-31,31,2004-31,2004,8,2,83.05,94.74,78.3,89.31,49.8,670280563,0.0772225827384816,0.6772330921826156
2005-07-31,05,2005-05,2005,2,1,89.55,90.79,68.69,79.79,44.69,871693201,-0.10261044176706824,-0.8998816706697244
2006-01-31,31,2005-31,2005,8,1,79.35,85.98,73.55,77.72,43.75,771741735,-0.021033788319534508,-0.18446388347555842
2006-07-31,05,2006-05,2006,2,1,77.34,81.25,69.53,74.01,41.91,759779570,-0.042057142857142904,-0.3688362638940265
2007-01-31,31,2006-31,2006,8,1,73.28,96.46,71.75,94.79,54.07,811304694,0.29014554998806985,2.5445428142035986
2007-07-31,04,2007-04,2007,2,1,94.62,113.59,84.87,105.78,60.76,1029869532,0.1237285000924726,1.0850845923207704
2008-01-31,30,2007-30,2007,8,1,105.54,116.12,92.77,102.4,59.23,1139481436,-0.025181040157998713,-0.22083480098468672
2008-07-31,04,2008-04,2008,2,1,102.45,125.17,96.18,122.35,71.33,1100782889,0.20428836738139466,1.7915852828591945
2009-01-31,30,2008-30,2008,8,1,122.87,124.25,66.44,87.62,51.57,1345711427,-0.2770222907612505,-2.429453353186853
2009-07-31,05,2009-05,2009,2,2,86.62,114.12,79.21,112.74,67.06,1268289009,0.30036843125848356,2.6341962970095816
2010-01-31,31,2009-31,2009,8,3,113.65,128.35,110.09,117.01,70.24,856536135,0.04742022069788243,0.4158698343976218
2010-07-31,05,2010-05,2010,2,1,117.81,127.25,110.9,122.75,74.4,935310392,0.05922551252847397,0.5194008742441516
2011-01-31,31,2010-31,2010,8,2,123.57,157.12,116.9,154.88,94.75,718698968,0.273521505376344,2.398751871480175
2011-07-31,05,2011-05,2011,2,1,154.98,177.47,145.04,173.85,107.26,679263097,0.13203166226912932,1.1579023613771895
2012-01-31,31,2011-31,2011,8,1,174.57,186.33,150.22,184.13,114.55,824225409,0.06796569084467641,0.5960512241470382
2012-07-31,05,2012-05,2012,2,1,184.71,201.42,173.85,187.36,117.51,539307870,0.025840244434744752,0.22661594601880974
2013-01-31,31,2012-31,2012,8,1,188.3,202.48,176.65,194.14,122.81,505217373,0.04510254446430095,0.39554408269799135
2013-07-31,04,2013-04,2013,2,1,195.65,206.41,179.43,186.46,119.01,531171871,-0.030942105691718846,-0.27135867738598374
2014-01-31,30,2013-30,2013,8,1,188.0,188.5,164.98,168.91,108.93,625507893,-0.08469876480967986,-0.7427983416504346
2014-07-31,05,2014-05,2014,2,3,168.28,190.45,164.62,183.24,119.51,596845300,0.09712659506104826,0.8517889712277685
2015-01-31,30,2014-30,2014,8,1,182.12,186.42,142.94,146.57,96.81,588793403,-0.18994226424566985,-1.665771622620968
2015-07-31,05,2015-05,2015,2,2,147.23,168.55,144.85,154.87,103.79,532451131,0.07209998967048858,0.6323085452378606
2016-01-31,31,2015-31,2015,8,3,154.59,154.73,112.81,119.3,81.38,633215033,-0.21591675498602958,-1.893564893166382
2016-07-31,05,2016-05,2016,2,1,118.93,156.41,111.76,153.56,106.83,552907966,0.3127304005898255,2.742609333958674
2017-01-31,31,2016-31,2016,8,1,153.59,171.37,141.29,166.85,118.14,473361441,0.10586913788261731,0.928460057568419
2017-07-31,05,2017-05,2017,2,1,167.3,174.75,137.32,138.31,99.67,543867176,-0.15633993566954463,-1.371083099145756
2018-01-31,31,2017-31,2017,8,1,138.62,163.6,133.01,156.5,115.12,635485688,0.1550115380756496,1.3594332063519843
2018-07-31,04,2018-04,2018,2,1,156.01,156.91,131.41,138.56,104.06,620273190,-0.0960736622654621,-0.8425548727590578
2019-01-31,30,2018-30,2018,8,1,138.39,147.57,101.28,128.51,98.8,785405938,-0.05054776090716895,-0.4432979992135221
2019-07-31,04,2019-04,2019,2,1,129.03,145.26,121.27,141.72,111.54,460643019,0.1289473684210527,1.130853462132178
2020-01-31,30,2019-30,2019,8,1,142.35,146.22,123.16,137.41,110.71,522329201,-0.007441276672045971,-0.06525913316655726
2020-07-31,05,2020-05,2020,2,3,137.91,151.77,86.58,117.53,96.97,802264010,-0.12410802998825754,-1.0884130254783175
2021-01-31,31,2020-31,2020,8,3,118.07,129.54,101.26,113.87,96.56,732234830,-0.004228111787150657,-0.03708004987871125
2021-07-31,05,2021-05,2021,2,1,114.63,146.12,112.93,134.76,117.09,680629168,0.21261391880695935,1.8645994030312054
2022-01-31,31,2021-31,2021,8,2,135.23,142.2,114.56,133.57,118.96,684827729,0.015970620889913745,0.14006049248548133
2022-07-31,05,2022-05,2022,2,1,133.76,144.73,118.81,130.79,119.32,651619100,0.0030262273032952702,0.02653966238346009
2023-01-31,31,2022-31,2022,8,1,130.75,153.21,115.55,134.73,125.95,563823500,0.0555648675829703,0.4872974427360169
2023-07-31,05,2023-05,2023,2,1,134.49,144.6,120.55,144.18,138.3,580691800,0.09805478364430331,0.8599290774256565
2024-01-31,31,2023-31,2023,8,1,144.25,166.34,135.87,163.55,160.48,427738800,0.16037599421547344,1.4064788643786554
