Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,36.21,37.56,32.85,35.73,16.72,157704300,,
1998-07-31,05,1998-05,1998,2,2,36.17,51.71,36.15,50.42,23.83,673069050,0.42523923444976086,3.1585305084784148
1999-01-31,31,1998-31,1998,8,3,50.42,52.17,23.71,51.29,24.58,1012587750,0.03147293327738154,0.23377010373124346
1999-07-31,05,1999-05,1999,2,1,51.29,60.75,46.75,51.38,24.87,645606300,0.011798209926769943,0.08763303801765818
2000-01-31,31,1999-31,1999,8,2,51.29,59.5,43.88,53.79,26.33,730249650,0.05870526739043003,0.43604249805637973
2000-07-31,05,2000-05,2000,2,1,54.96,67.17,44.12,49.81,24.68,829023100,-0.06266616027345229,-0.46546264558352163
2001-01-31,31,2000-31,2000,8,1,49.88,58.38,32.38,54.99,27.63,1221919300,0.11952998379254454,0.8878275330713543
2001-07-31,04,2001-04,2001,2,1,54.99,55.85,37.58,43.3,22.1,964866000,-0.20014477017734333,-1.4866063888378709
2002-01-31,30,2001-30,2001,8,1,43.2,44.25,29.04,34.05,17.72,1072176200,-0.19819004524886885,-1.4720873656102544
2002-07-31,04,2002-04,2002,2,1,34.05,38.75,18.22,24.96,13.26,1364704900,-0.25169300225733626,-1.8694888947135586
2003-01-31,30,2002-30,2002,8,1,24.96,28.29,15.26,23.34,12.8,1619802100,-0.034690799396681626,-0.25767130448276804
2003-07-31,05,2003-05,2003,2,3,23.5,38.26,20.13,35.05,19.68,1247971100,0.5374999999999999,3.9923647932061184
2004-01-31,30,2003-30,2003,8,1,35.08,40.53,32.4,38.89,22.26,1117326300,0.13109756097560976,0.973747510538078
2004-07-31,05,2004-05,2004,2,2,39.1,43.84,34.62,37.33,21.73,1182049100,-0.023809523809523836,-0.17684893879096894
2005-01-31,31,2004-31,2004,8,2,37.23,40.45,35.9,37.33,22.11,1244338400,0.017487344684767647,0.12988997069046795
2005-07-31,05,2005-05,2005,2,1,37.5,38.07,33.35,35.14,21.22,1328763200,-0.04025327905924925,-0.29898748674836806
2006-01-31,31,2005-31,2005,8,1,35.32,40.87,32.92,39.75,24.45,1374840400,0.15221489161168722,1.1305997660877871
2006-07-31,05,2006-05,2006,2,1,39.88,46.8,39.05,45.62,28.53,1426448700,0.16687116564417193,1.2394615194773182
2007-01-31,31,2006-31,2006,8,1,45.79,51.16,43.5,50.93,32.3,1272278600,0.13214160532772512,0.9815023122384148
2007-07-31,04,2007-04,2007,2,1,50.96,53.25,43.5,44.01,28.33,1957134500,-0.12291021671826619,-0.9129347385141212
2008-01-31,30,2007-30,2007,8,1,43.7,49.29,37.66,47.4,31.03,3434689100,0.09530533003882824,0.7078951520965721
2008-07-31,04,2008-04,2008,2,1,47.26,49.95,29.24,40.63,27.12,5185436200,-0.12600708991298748,-0.9359372455125008
2009-01-31,30,2008-30,2008,8,1,41.11,50.63,17.7,25.51,17.37,7886336900,-0.3595132743362832,-2.6703407240008
2009-07-31,05,2009-05,2009,2,2,25.0,39.47,14.96,38.65,26.4,10678498600,0.5198618307426597,3.8613545495603225
2010-01-31,31,2009-31,2009,8,3,39.12,47.47,38.07,38.94,26.66,4848421800,0.009848484848484995,0.07315115195444725
2010-07-31,05,2010-05,2010,2,1,39.1,48.2,35.16,40.28,27.64,5524859500,0.0367591897974493,0.273034595672778
2011-01-31,31,2010-31,2010,8,2,40.98,45.94,35.55,44.94,30.92,4643709900,0.11866859623733728,0.8814294431202558
2011-07-31,05,2011-05,2011,2,1,45.2,48.36,38.93,40.45,28.15,3920582200,-0.08958602846054342,-0.6654141506772744
2012-01-31,31,2011-31,2011,8,1,41.16,41.37,27.85,37.3,26.38,5664148000,-0.06287744227353464,-0.46703197547853
2012-07-31,05,2012-05,2012,2,1,37.89,46.49,30.83,36.0,25.84,5146411300,-0.020470053070507976,-0.15204450082559418
2013-01-31,31,2012-31,2012,8,1,36.19,47.35,34.76,47.05,34.25,2923189300,0.3254643962848298,2.4174373900830495
2013-07-31,04,2013-04,2013,2,1,47.4,56.93,46.05,55.73,41.12,2843809900,0.20058394160583926,1.4898684028830973
2014-01-31,30,2013-30,2013,8,1,56.36,59.82,50.06,55.36,41.42,2382513800,0.007295719844358173,0.05419009311202009
2014-07-31,05,2014-05,2014,2,3,55.5,61.48,52.97,57.67,43.72,2076065700,0.05552873008208592,0.41244827347193563
2015-01-31,30,2014-30,2014,8,1,57.39,63.49,54.26,54.38,41.77,1949229100,-0.044602012808783065,-0.3312883825933282
2015-07-31,05,2015-05,2015,2,2,54.53,70.61,54.27,68.53,53.34,1907087000,0.2769930572180992,2.057408985302451
2016-01-31,31,2015-31,2015,8,3,68.59,69.42,50.07,59.5,46.96,2094507500,-0.11961004874390702,-0.8884222279420321
2016-07-31,05,2016-05,2016,2,1,59.16,66.2,52.5,63.97,51.25,2142119300,0.09135434412265764,0.678548590105553
2017-01-31,31,2016-31,2016,8,1,64.15,88.17,63.38,84.63,68.68,2028799100,0.34009756097560984,2.5261274952452024
2017-07-31,05,2017-05,2017,2,1,85.54,94.51,81.64,91.8,75.34,1853472700,0.0969714618520674,0.7202706051049751
2018-01-31,31,2017-31,2017,8,1,92.49,117.35,88.08,115.67,95.98,1609052400,0.273958056809132,2.034866048037099
2018-07-31,04,2018-04,2018,2,1,115.77,119.33,102.2,114.95,96.39,1895923700,0.004271723275682371,0.03172888858075054
2019-01-31,30,2018-30,2018,8,1,115.75,119.24,91.11,103.5,88.1,1934354500,-0.08600477227928216,-0.638813813759099
2019-07-31,04,2019-04,2019,2,1,104.0,117.24,98.09,116.0,100.2,1494985600,0.13734392735527812,1.0201433676909233
2020-01-31,30,2019-30,2019,8,1,115.33,141.1,104.34,132.36,115.99,1392843300,0.15758483033932125,1.1704858206326803
2020-07-31,05,2020-05,2020,2,3,132.66,139.29,76.91,96.64,86.4,2973471200,-0.2551081989826708,-1.894855799212346
2021-01-31,31,2020-31,2020,8,3,97.02,142.75,91.38,128.67,116.94,1962302300,0.3534722222222222,2.6254698704675903
2021-07-31,05,2021-05,2021,2,1,129.4,167.44,128.48,151.78,139.56,1803608900,0.19343252950230894,1.436750177945716
2022-01-31,31,2021-31,2021,8,2,152.03,172.96,139.57,148.6,138.28,1503972600,-0.00917168243049582,-0.06812409679996027
2022-07-31,05,2022-05,2022,2,1,148.69,159.03,106.06,115.36,109.1,1804632700,-0.21102111657506517,-1.5673921422089945
2023-01-31,31,2022-31,2022,8,1,114.5,143.49,101.28,139.96,134.54,1464425300,0.23318056828597622,1.7319849140180965
2023-07-31,05,2023-05,2023,2,1,138.21,159.38,123.11,157.96,154.08,1543977600,0.14523561766017568,1.078760124029824
2024-01-31,31,2023-31,2023,8,1,157.43,170.69,135.19,170.1,167.15,932452400,0.08482606438213902,0.6300587776474185
