Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,34.36,35.93,33.47,34.91,16.75,62617060,,
1998-07-31,05,1998-05,1998,2,2,35.27,40.92,30.94,31.41,15.25,287305028,-0.08955223880597019,-1.037002933501602
1999-01-31,31,1998-31,1998,8,3,31.33,36.58,27.44,32.45,15.98,359510188,0.04786885245901651,0.5543149013941361
1999-07-31,05,1999-05,1999,2,1,32.61,40.29,28.98,36.76,18.35,364744837,0.1483103879849812,1.7174144327359122
2000-01-31,31,1999-31,1999,8,2,36.76,43.4,36.42,39.14,19.76,358810763,0.07683923705722062,0.889788075639384
2000-07-31,05,2000-05,2000,2,1,39.45,41.1,32.69,37.65,19.26,459020971,-0.0253036437246964,-0.2930128059404834
2001-01-31,31,2000-31,2000,8,1,37.83,51.4,33.65,46.26,23.95,579882990,0.2435098650051919,2.8198116285410864
2001-07-31,04,2001-04,2001,2,1,46.36,53.09,40.62,46.77,24.47,635493643,0.02171189979123178,0.25142089215863517
2002-01-31,30,2001-30,2001,8,1,46.61,50.96,35.89,46.4,24.54,590856534,0.002860645688598229,0.03312589400709997
2002-07-31,04,2002-04,2002,2,1,46.4,54.6,45.15,52.6,28.11,660605821,0.145476772616137,1.6846015462119546
2003-01-31,30,2002-30,2002,8,1,52.36,55.0,45.34,52.07,28.09,753209462,-0.0007114905727498844,-0.008238965557287405
2003-07-31,05,2003-05,2003,2,3,52.51,59.21,49.94,58.61,31.95,734218658,0.13741545033819857,1.5912525137189035
2004-01-31,30,2003-30,2003,8,1,58.28,72.07,56.99,66.13,36.37,506721040,0.13834115805946778,1.6019720851703911
2004-07-31,05,2004-05,2004,2,2,65.96,75.49,62.17,68.86,38.21,421877753,0.05059114654935404,0.5858387024199334
2005-01-31,31,2004-31,2004,8,2,68.81,71.49,61.3,70.54,39.5,481284872,0.0337607956032453,0.39094549220336566
2005-07-31,05,2005-05,2005,2,1,70.53,73.12,59.39,62.71,35.48,452771868,-0.10177215189873423,-1.1785078907566306
2006-01-31,31,2005-31,2005,8,1,62.79,66.76,58.29,60.83,34.81,443185458,-0.018883878241262586,-0.21867278130818607
2006-07-31,05,2006-05,2006,2,1,60.45,73.87,56.06,58.86,34.08,543497925,-0.02097098534903774,-0.2428412021333122
2007-01-31,31,2006-31,2006,8,1,58.53,68.52,57.01,62.12,36.4,456309878,0.068075117370892,0.788300743268236
2007-07-31,04,2007-04,2007,2,1,62.5,77.19,60.95,74.35,44.09,569548238,0.2112637362637364,2.4464057757693705
2008-01-31,30,2007-30,2007,8,1,74.36,81.1,60.24,66.6,39.94,643779889,-0.09412565207530066,-1.0899624467381896
2008-07-31,04,2008-04,2008,2,1,66.71,69.58,56.24,58.85,35.75,628852854,-0.10490736104156229,-1.2148131927971306
2009-01-31,30,2008-30,2008,8,1,58.97,62.47,41.81,44.97,27.73,1008975258,-0.22433566433566432,-2.5977769523904453
2009-07-31,05,2009-05,2009,2,2,44.14,59.69,34.17,58.96,37.08,835637194,0.33717994951316266,3.904498663854299
2010-01-31,31,2009-31,2009,8,3,60.03,71.21,57.91,67.3,42.91,547405487,0.15722761596547996,1.8206747386509365
2010-07-31,05,2010-05,2010,2,1,67.59,75.69,57.66,71.52,46.19,688933433,0.07643905849452337,0.8851540614709539
2011-01-31,31,2010-31,2010,8,2,72.58,76.5,65.55,73.51,48.07,543075252,0.04070145053041796,0.4713173468422534
2011-07-31,05,2011-05,2011,2,1,73.6,82.1,72.41,72.86,48.21,516572846,0.00291241938839204,0.033725426517735926
2012-01-31,31,2011-31,2011,8,1,73.56,73.72,57.38,72.5,48.64,748169644,0.008919311346193837,0.10328443101079125
2012-07-31,05,2012-05,2012,2,1,73.18,76.99,68.55,76.28,51.88,432710045,0.06661184210526327,0.7713562116383225
2013-01-31,31,2012-31,2012,8,1,76.63,85.24,72.53,84.07,57.92,428421793,0.1164225134926753,1.348157116195797
2013-07-31,04,2013-04,2013,2,1,84.82,99.16,84.1,98.19,68.45,398750223,0.18180248618784534,2.1052484450239266
2014-01-31,30,2013-30,2013,8,1,98.98,117.42,93.95,107.18,75.5,396115679,0.10299488677867052,1.1926669969308041
2014-07-31,05,2014-05,2014,2,3,107.21,122.43,103.35,117.8,84.04,361696350,0.11311258278145697,1.3098285617901688
