Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,50.21,56.77,48.37,56.0,22.34,134446454,,
1998-07-31,05,1998-05,1998,2,2,57.25,66.38,53.2,58.95,23.69,683846834,0.06042972247090428,0.6621815509155723
1999-01-31,31,1998-31,1998,8,3,58.62,77.17,54.87,70.01,28.36,813549821,0.19712959054453338,2.160122083317215
1999-07-31,05,1999-05,1999,2,1,69.9,83.37,62.98,64.53,26.33,657660349,-0.07157968970380824,-0.7843615360792815
2000-01-31,31,1999-31,1999,8,2,64.17,77.41,58.15,75.02,30.86,648413636,0.17204709456893275,1.8852711423096034
2000-07-31,05,2000-05,2000,2,1,73.83,74.79,49.62,68.37,28.37,793024951,-0.08068697342838627,-0.8841580437377914
2001-01-31,31,2000-31,2000,8,1,67.87,92.26,62.02,78.42,32.82,753158402,0.1568558336270709,1.7188071520821349
2001-07-31,04,2001-04,2001,2,1,78.96,81.63,57.59,64.87,27.39,735926878,-0.1654478976234004,-1.8129579446063717
2002-01-31,30,2001-30,2001,8,1,64.42,68.23,54.11,56.47,24.1,778604896,-0.12011683096020442,-1.3162256281184863
2002-07-31,04,2002-04,2002,2,1,56.32,61.55,36.74,47.33,20.44,985230667,-0.15186721991701246,-1.6641425296351977
2003-01-31,30,2002-30,2002,8,1,47.1,57.71,41.36,52.85,23.14,871751762,0.1320939334637965,1.447469261003314
2003-07-31,05,2003-05,2003,2,3,52.86,60.59,47.61,52.75,23.41,790477061,0.01166810717372524,0.12785769963227292
2004-01-31,30,2003-30,2003,8,1,52.49,53.48,38.71,45.42,21.64,1133703027,-0.07560871422469029,-0.8285110968719711
2004-07-31,05,2004-05,2004,2,2,45.69,47.07,40.89,43.27,20.94,791434403,-0.032347504621072054,-0.3544600223597486
2005-01-31,31,2004-31,2004,8,2,43.23,44.85,24.43,26.77,13.24,2111588265,-0.3677172874880612,-4.029401323902324
2005-07-31,05,2005-05,2005,2,1,26.77,34.6,26.51,29.64,15.01,1157986131,0.13368580060422963,1.4649127475659254
2006-01-31,31,2005-31,2005,8,1,29.81,33.28,24.33,32.92,17.12,1410270547,0.14057295136575632,1.5403813081712288
2006-07-31,05,2006-05,2006,2,1,32.7,39.85,31.25,38.43,20.44,1200791484,0.1939252336448598,2.1250091300426983
2007-01-31,31,2006-31,2006,8,1,38.53,44.42,36.26,42.7,23.12,1340224007,0.13111545988258322,1.4367472664773637
2007-07-31,04,2007-04,2007,2,1,42.84,52.61,40.41,47.38,26.06,1549379133,0.12716262975778547,1.3934326346121484
2008-01-31,30,2007-30,2007,8,1,47.35,58.8,40.38,43.99,24.54,1763608041,-0.05832693783576359,-0.6391394925707019
2008-07-31,04,2008-04,2008,2,1,44.08,46.02,29.72,31.39,17.84,2594971975,-0.27302363488182557,-2.9917597928685113
2009-01-31,30,2008-30,2008,8,1,31.57,35.05,21.77,27.24,15.88,2051940616,-0.10986547085201792,-1.203892470561766
2009-07-31,05,2009-05,2009,2,2,26.8,29.75,19.13,28.64,17.21,2732607496,0.08375314861460947,0.9177568185984524
2010-01-31,31,2009-31,2009,8,3,29.06,39.66,27.38,36.43,22.39,2302083542,0.3009877977919815,3.2981876897501903
2010-07-31,05,2010-05,2010,2,1,36.79,37.9,29.29,32.88,20.65,2272822539,-0.07771326485037977,-0.8515725067265404
2011-01-31,31,2010-31,2010,8,2,33.26,35.95,31.49,31.65,20.29,1915610484,-0.01743341404358356,-0.19103323128269753
2011-07-31,05,2011-05,2011,2,1,31.81,35.93,29.64,32.57,21.36,1899957242,0.05273533760473148,0.5778674171467668
2012-01-31,31,2011-31,2011,8,1,32.68,37.62,28.12,36.52,24.52,2341133697,0.14794007490636707,1.6211093521276956
2012-07-31,05,2012-05,2012,2,1,36.78,43.1,35.22,42.15,28.93,1979186566,0.17985318107667214,1.970809289084393
2013-01-31,31,2012-31,2012,8,1,42.41,45.8,38.19,41.27,28.87,1535747793,-0.0020739716557206522,-0.022726329219884763
2013-07-31,04,2013-04,2013,2,1,40.31,47.86,38.96,45.96,32.77,2275267947,0.13508832698302742,1.4802814610853277
2014-01-31,30,2013-30,2013,8,1,46.22,51.62,42.58,50.54,36.69,1727575807,0.11962160512664011,1.3107990036510155
2014-07-31,05,2014-05,2014,2,3,50.49,57.1,49.54,54.14,39.9,1327103675,0.08748977923139822,0.9587023625435718
2015-01-31,30,2014-30,2014,8,1,53.99,60.71,50.09,57.52,43.03,1359268788,0.07844611528822054,0.8596029927138327
2015-07-31,05,2015-05,2015,2,2,57.73,58.87,53.09,56.26,42.75,1393117926,-0.006507088078085088,-0.07130387993367424
2016-01-31,31,2015-31,2015,8,3,56.58,57.32,43.6,48.35,37.37,1578318180,-0.12584795321637432,-1.3790265689287735
2016-07-31,05,2016-05,2016,2,1,48.08,57.2,45.77,55.97,44.0,1233538447,0.17741503880117748,1.9440924224941607
2017-01-31,31,2016-31,2016,8,1,56.14,62.46,54.56,59.15,47.2,1463416198,0.07272727272727275,0.7969366113106463
2017-07-31,05,2017-05,2017,2,1,59.22,63.74,58.74,60.95,49.35,1188896155,0.045550847457627164,0.49914064770913125
2018-01-31,31,2017-31,2017,8,1,61.11,63.37,51.17,56.54,46.5,1413174762,-0.05775075987841949,-0.6328258045741836
2018-07-31,04,2018-04,2018,2,1,56.46,63.09,50.41,62.85,52.55,1462856567,0.13010752688172045,1.4257024592129974
2019-01-31,30,2018-30,2018,8,1,62.7,76.52,61.9,71.02,60.2,1519448773,0.14557564224548059,1.595200186531658
2019-07-31,04,2019-04,2019,2,1,72.49,83.08,68.92,79.19,68.03,1366427570,0.13006644518272426,1.4252522909507048
2020-01-31,30,2019-30,2019,8,1,79.26,88.4,75.24,81.53,70.99,1107527657,0.043510216081140474,0.4767796572150984
2020-07-31,05,2020-05,2020,2,3,82.1,85.11,62.26,76.56,67.75,1597858144,-0.04564023101845327,-0.5001201019001162
2021-01-31,31,2020-31,2020,8,3,78.39,83.78,70.55,73.54,66.06,1122402450,-0.024944649446494438,-0.2733404355030423
2021-07-31,05,2021-05,2021,2,1,74.42,78.77,68.44,76.87,70.26,1553649918,0.06357856494096281,0.6966861838206153
2022-01-31,31,2021-31,2021,8,2,76.93,91.4,70.89,81.48,75.86,1770614300,0.07970395673213759,0.8733862663097012
2022-07-31,05,2022-05,2022,2,1,81.96,95.72,72.88,89.34,84.6,1439284300,0.11521223306090156,1.26248164070995
2023-01-31,31,2022-31,2022,8,1,89.34,115.49,84.52,107.41,103.21,1114931300,0.21997635933806148,2.410474197715756
2023-07-31,05,2023-05,2023,2,1,106.97,119.65,101.75,106.65,103.88,956197700,0.006491619029163953,0.07113437197654737
2024-01-31,31,2023-31,2023,8,1,109.6,112.02,99.14,109.02,107.69,789664900,0.03667693492491342,0.40190139319442175
