Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,16.2,18.77,15.55,18.65,11.52,1486108000,,
1998-07-31,05,1998-05,1998,2,2,18.97,29.91,18.81,27.48,16.98,7078756000,0.4739583333333335,3.6597645283672575
1999-01-31,31,1998-31,1998,8,3,27.28,43.78,21.94,43.75,27.02,7922160800,0.591283863368669,4.56571718896374
1999-07-31,05,1999-05,1999,2,1,43.86,50.38,36.0,42.91,26.5,7488503400,-0.01924500370096227,-0.14860416399418713
2000-01-31,31,1999-31,1999,8,2,42.84,59.97,40.81,48.94,30.23,7388681200,0.14075471698113207,1.0868658364650607
2000-07-31,05,2000-05,2000,2,1,49.25,57.5,30.19,34.91,21.56,9666488600,-0.2868011908699968,-2.2145930374459804
2001-01-31,31,2000-31,2000,8,1,34.97,37.44,20.16,30.53,18.86,11160011200,-0.12523191094619668,-0.9670033698472884
2001-07-31,04,2001-04,2001,2,1,30.41,38.08,24.88,33.1,20.44,10189737000,0.08377518557794295,0.6468869328222376
2002-01-31,30,2001-30,2001,8,1,33.4,35.31,23.75,31.85,19.68,8083785200,-0.03718199608610573,-0.28710825572533427
2002-07-31,04,2002-04,2002,2,1,32.08,32.5,20.7,23.99,14.82,9308410000,-0.24695121951219512,-1.9068834744427623
2003-01-31,30,2002-30,2002,8,1,23.79,29.48,21.56,23.73,14.66,10429863200,-0.010796221322537103,-0.08336519279815072
2003-07-31,05,2003-05,2003,2,3,23.97,27.81,22.55,26.41,16.37,8141501600,0.11664392905866316,0.9006895416649469
2004-01-31,30,2003-30,2003,8,1,26.33,30.0,24.84,27.65,17.23,7770835500,0.05253512522907755,0.4056605281196513
2004-07-31,05,2004-05,2004,2,2,27.61,29.89,24.01,28.49,17.75,8520847900,0.03017991874637249,0.23304030824857327
2005-01-31,31,2004-31,2004,8,2,28.27,30.2,25.64,26.28,18.31,8600398100,0.03154929577464771,0.24361422819380604
2005-07-31,05,2005-05,2005,2,1,26.25,26.5,23.82,25.61,17.95,8317791900,-0.019661387220098248,-0.15181935302317476
2006-01-31,31,2005-31,2005,8,1,25.81,28.38,24.25,28.15,19.85,8335767200,0.10584958217270213,0.8173388227055479
2006-07-31,05,2006-05,2006,2,1,27.96,28.22,21.46,24.06,17.09,9544895500,-0.13904282115869027,-1.0736470888102403
2007-01-31,31,2006-31,2006,8,1,24.02,31.48,23.85,30.86,22.07,7223459500,0.29139847864248103,2.2500919189575783
2007-07-31,04,2007-04,2007,2,1,30.84,31.84,26.6,28.99,20.88,7323437800,-0.05391934753058458,-0.41634907882579
2008-01-31,30,2007-30,2007,8,1,28.95,37.5,27.51,32.6,23.64,8964041200,0.13218390804597702,1.0206846126859797
2008-07-31,04,2008-04,2008,2,1,31.06,33.25,24.87,25.72,18.79,9824801600,-0.2051607445008461,-1.5841899224705704
2009-01-31,30,2008-30,2008,8,1,25.92,28.5,16.75,17.1,12.63,11084966400,-0.32783395423097383,-2.5314357666227183
2009-07-31,05,2009-05,2009,2,2,17.03,25.72,14.87,23.52,17.6,8674093800,0.3935075217735551,3.0385474176687035
2010-01-31,31,2009-31,2009,8,3,23.82,31.5,23.03,28.18,21.3,6854173300,0.2102272727272727,1.623312138456605
2010-07-31,05,2010-05,2010,2,1,28.39,31.58,22.73,25.81,19.68,8304442400,-0.07605633802816902,-0.5872843001100715
2011-01-31,31,2010-31,2010,8,2,25.99,29.46,23.32,27.73,21.39,7590089400,0.08689024390243905,0.6709404817483795
2011-07-31,05,2011-05,2011,2,1,27.8,28.34,23.65,27.4,21.4,7660247100,0.0004675081813931836,0.003609958383790963
2012-01-31,31,2011-31,2011,8,1,27.51,29.95,23.79,29.53,23.39,7625634300,0.09299065420560759,0.7180460259826246
2012-07-31,05,2012-05,2012,2,1,29.79,32.95,28.32,29.47,23.65,5701546600,0.011115861479264577,0.08583335851053675
2013-01-31,31,2012-31,2012,8,1,29.59,31.61,26.26,27.45,22.35,6073139800,-0.05496828752642691,-0.42444867982271894
2013-07-31,04,2013-04,2013,2,1,27.67,36.43,27.1,31.84,26.33,6219436300,0.1780760626398208,1.37505010792198
2014-01-31,30,2013-30,2013,8,1,32.06,38.98,30.84,37.84,31.75,5816833500,0.2058488416255222,1.5895032027145322
2014-07-31,05,2014-05,2014,2,3,37.74,45.71,35.69,43.16,36.74,4091589400,0.15716535433070877,1.213583871017774
2015-01-31,30,2014-30,2014,8,1,43.21,50.05,40.35,40.4,34.82,4296751800,-0.0522591181273816,-0.40352928381119035
2015-07-31,05,2015-05,2015,2,2,40.59,49.54,40.12,46.7,40.8,4378764600,0.17174037909247541,1.326127854046918
2016-01-31,31,2015-31,2015,8,3,46.98,56.85,39.72,55.09,48.78,4689639200,0.19558823529411784,1.510273868719883
2016-07-31,05,2016-05,2016,2,1,54.88,57.29,48.04,56.68,50.9,4156827100,0.0434604346043459,0.33558848060288693
2017-01-31,31,2016-31,2016,8,1,56.6,65.91,55.61,64.65,58.81,3228438500,0.15540275049115926,1.1999735712174104
2017-07-31,05,2017-05,2017,2,1,64.36,74.42,62.75,72.7,66.92,2979891400,0.1379017173950008,1.0648358267565357
