Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,4.91,5.41,4.86,5.01,3.81,246700000,,
1998-07-31,05,1998-05,1998,2,2,5.04,6.59,4.97,5.56,4.24,1338385600,0.11286089238845154,1.1094003173177813
1999-01-31,31,1998-31,1998,8,3,5.55,5.95,3.88,5.69,4.35,1156922400,0.02594339622641506,0.2550184691684298
1999-07-31,05,1999-05,1999,2,1,6.0,8.37,5.71,6.5,4.98,1250740800,0.14482758620689684,1.423626614091352
2000-01-31,31,1999-31,1999,8,2,6.48,7.41,4.98,5.69,4.37,1144505600,-0.12248995983935751,-1.2040521516196205
2000-07-31,05,2000-05,2000,2,1,5.68,6.06,3.23,5.47,4.21,1322329600,-0.03661327231121281,-0.35990124710601823
2001-01-31,31,2000-31,2000,8,1,5.47,7.51,4.37,6.88,5.31,1284090400,0.26128266033254155,2.5683570291547357
2001-07-31,04,2001-04,2001,2,1,6.88,7.16,4.41,5.94,4.61,1359672000,-0.13182674199623334,-1.2958308791164177
2002-01-31,30,2001-30,2001,8,1,5.91,7.63,5.09,7.49,5.82,1419680800,0.26247288503253796,2.580056703257176
2002-07-31,04,2002-04,2002,2,1,7.48,8.03,5.64,6.16,4.8,1558604000,-0.17525773195876293,-1.7227489463599295
2003-01-31,30,2002-30,2002,8,1,6.06,6.06,4.82,5.57,4.35,1706543200,-0.09375,-0.921544013585918
2003-07-31,05,2003-05,2003,2,3,5.58,7.19,5.3,6.47,5.07,1526883200,0.16551724137931045,1.6270018446758288
2004-01-31,30,2003-30,2003,8,1,6.44,8.83,6.2,8.71,6.84,1374520000,0.34911242603550297,3.431706307002393
2004-07-31,05,2004-05,2004,2,2,8.7,9.82,8.23,9.09,7.16,1319076000,0.04678362573099415,0.4598738157465789
2005-01-31,31,2004-31,2004,8,2,9.09,11.55,8.58,10.83,8.55,1162207200,0.19413407821229067,1.9082997078352733
2005-07-31,05,2005-05,2005,2,1,10.83,11.37,9.39,10.48,8.3,1572240000,-0.029239766081871288,-0.28742113484161125
2006-01-31,31,2005-31,2005,8,1,10.48,11.44,9.57,10.12,8.04,2029521600,-0.03132530120481947,-0.30792153385682264
2006-07-31,05,2006-05,2006,2,1,10.16,11.01,9.67,9.88,7.88,1685836800,-0.01990049751243772,-0.1956179663996633
2007-01-31,31,2006-31,2006,8,1,9.88,12.65,9.44,12.35,9.89,1877330400,0.2550761421319798,2.507348179096712
2007-07-31,04,2007-04,2007,2,1,12.33,15.09,12.31,14.11,11.36,1785030000,0.14863498483316473,1.4610525918126578
2008-01-31,30,2007-30,2007,8,1,14.3,16.98,12.88,15.33,12.43,1877184000,0.09419014084507049,0.9258705113022845
2008-07-31,04,2008-04,2008,2,1,15.41,17.65,13.66,14.67,11.97,1964511200,-0.0370072405470635,-0.3637738771784578
2009-01-31,30,2008-30,2008,8,1,14.6,17.0,10.67,11.31,9.31,2272452400,-0.2222222222222222,-2.1844006247962495
2009-07-31,05,2009-05,2009,2,2,11.14,14.99,9.56,14.16,11.78,1976618800,0.26530612244897944,2.607906868379195
2010-01-31,31,2009-31,2009,8,3,14.24,16.66,13.31,15.94,13.37,1571761200,0.13497453310696095,1.3267730450269244
2010-07-31,05,2010-05,2010,2,1,15.99,19.64,15.22,18.41,15.57,1585899600,0.16454749439042637,1.6174694229979718
2011-01-31,31,2010-31,2010,8,2,18.6,23.12,17.08,20.62,17.56,1311420800,0.12780989081567107,1.2563460240880158
2011-07-31,05,2011-05,2011,2,1,20.69,23.56,17.36,22.54,19.34,1601522800,0.101366742596811,0.9964150913791557
2012-01-31,31,2011-31,2011,8,1,22.6,26.24,19.25,26.0,22.47,1517336000,0.16184074457083764,1.5908626060111262
2012-07-31,05,2012-05,2012,2,1,26.1,28.7,21.27,23.34,20.31,1379601600,-0.09612817089452608,-0.9449209645313555
2013-01-31,31,2012-31,2012,8,1,23.38,27.78,22.41,27.02,23.7,1189192400,0.1669128508124078,1.640720410205161
2013-07-31,04,2013-04,2013,2,1,27.23,33.03,26.64,31.46,27.79,930163600,0.17257383966244721,1.696366814319619
2014-01-31,30,2013-30,2013,8,1,31.62,40.13,31.3,36.42,32.39,973752600,0.16552716804605971,1.62709942185255
2014-07-31,05,2014-05,2014,2,3,36.38,40.04,34.92,38.56,34.5,894703800,0.06514356282803324,0.6403483770435431
2015-01-31,30,2014-30,2014,8,1,38.27,49.88,37.95,46.12,41.51,915237000,0.2031884057971014,1.9973019625854405
2015-07-31,05,2015-05,2015,2,2,46.34,57.97,45.35,57.61,52.14,818913200,0.25608287159720566,2.5172441312244924
2016-01-31,31,2015-31,2015,8,3,57.76,68.19,47.25,62.01,56.4,1169031800,0.08170310701956263,0.8031254310959737
2016-07-31,05,2016-05,2016,2,1,61.75,65.44,51.48,55.5,50.75,1295891800,-0.10017730496453903,-0.984723153997246
2017-01-31,31,2016-31,2016,8,1,55.73,60.33,49.01,52.9,48.69,1159926300,-0.04059113300492612,-0.3990028333371673
2017-07-31,05,2017-05,2017,2,1,52.98,60.0,50.79,59.05,54.7,1222785100,0.12343397001437673,1.2133315854921876
2018-01-31,31,2017-31,2017,8,1,59.0,68.83,50.35,68.22,63.62,1173950700,0.16307129798903097,1.6029587034610862
2018-07-31,04,2018-04,2018,2,1,67.67,81.0,62.09,76.91,72.15,901692000,0.13407733417164436,1.31795375641
2019-01-31,30,2018-30,2018,8,1,76.5,86.04,66.53,81.88,77.23,954785300,0.07040887040887034,0.6921053123055055
2019-07-31,04,2019-04,2019,2,1,81.83,90.0,77.07,86.03,81.58,793644400,0.056325262203806625,0.5536662207741351
2020-01-31,30,2019-30,2019,8,1,85.26,105.62,78.19,96.3,91.79,789093100,0.12515322382937,1.2302315114766333
2020-07-31,05,2020-05,2020,2,3,99.0,104.69,60.0,97.61,93.53,1082447300,0.01895631332389147,0.18633682200843904
2021-01-31,31,2020-31,2020,8,3,98.03,147.95,96.55,133.59,128.55,762351000,0.37442531807976054,3.680527044388336
2021-07-31,05,2021-05,2021,2,1,135.37,167.87,125.44,167.51,161.84,862279700,0.25896538311940875,2.5455786510898655
2022-01-31,31,2021-31,2021,8,2,169.06,179.1,139.56,148.07,143.55,771090700,-0.11301285219970336,-1.1108940522976722
2022-07-31,05,2022-05,2022,2,1,149.5,149.68,99.53,114.92,111.94,916248100,-0.2202020202020203,-2.164542437298103
2023-01-31,31,2022-31,2022,8,1,114.0,129.23,82.22,127.33,124.77,1022196400,0.11461497230659279,1.126642577028868
2023-07-31,05,2023-05,2023,2,1,127.9,131.31,102.9,110.39,108.84,858315400,-0.12767492185621543,-1.2550193058308823
2024-01-31,31,2023-31,2023,8,1,110.0,123.39,88.66,108.57,107.76,917752100,-0.009922822491730932,-0.09753938842805698
