Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,41.12,44.06,37.31,43.52,22.16,18758000,,
1998-07-31,05,1998-05,1998,2,2,43.56,47.19,35.0,36.19,18.64,88135700,-0.15884476534296021,-1.697686755271694
1999-01-31,31,1998-31,1998,8,3,36.12,37.5,28.06,29.38,15.35,95356100,-0.17650214592274682,-1.8864037147407262
1999-07-31,05,1999-05,1999,2,1,29.0,37.06,28.5,31.12,16.53,109972100,0.07687296416938127,0.8215959325260696
2000-01-31,31,1999-31,1999,8,2,31.5,36.25,25.38,30.19,16.3,82884700,-0.01391409558378709,-0.14870981573222236
2000-07-31,05,2000-05,2000,2,1,30.0,45.75,21.31,44.44,24.41,126090100,0.49754601226993866,5.317627391404356
2001-01-31,31,2000-31,2000,8,1,44.12,57.0,43.06,48.02,26.65,132229400,0.09176566980745582,0.9807648485261066
2001-07-31,04,2001-04,2001,2,1,48.03,53.0,39.57,43.85,24.63,154481300,-0.07579737335834891,-0.8101003300739581
2002-01-31,30,2001-30,2001,8,1,44.3,51.65,34.0,44.7,25.46,196082500,0.033698741372310215,0.36016236842036287
2002-07-31,04,2002-04,2002,2,1,44.7,50.6,23.0,31.21,18.02,205526600,-0.2922230950510605,-3.123195636831688
2003-01-31,30,2002-30,2002,8,1,30.75,37.55,26.84,32.64,19.2,171743300,0.06548279689234193,0.699861130092961
2003-07-31,05,2003-05,2003,2,3,32.55,38.45,29.0,35.17,21.03,162886200,0.09531250000000013,1.0186723403347255
2004-01-31,30,2003-30,2003,8,1,35.1,42.53,33.84,42.13,25.58,184992000,0.21635758440323327,2.3123670751812115
2004-07-31,05,2004-05,2004,2,2,42.5,43.63,34.19,37.07,22.92,269824700,-0.10398749022673948,-1.1113881183979744
2005-01-31,31,2004-31,2004,8,2,37.12,37.97,30.23,37.54,23.5,315982100,0.02530541012216392,0.27045687976157096
2005-07-31,05,2005-05,2005,2,1,38.39,44.25,33.7,44.02,27.88,303206700,0.18638297872340415,1.9920071882987769
2006-01-31,31,2005-31,2005,8,1,44.23,47.89,40.67,45.38,29.04,358362200,0.04160688665710177,0.4446823302822973
2006-07-31,05,2006-05,2006,2,1,45.36,46.37,40.23,45.8,29.65,335298400,0.02100550964187331,0.22450079125834171
2007-01-31,31,2006-31,2006,8,1,45.0,55.0,42.52,50.85,33.28,303845400,0.12242833052276558,1.3084784679543473
2007-07-31,04,2007-04,2007,2,1,51.5,56.99,48.65,50.78,33.58,302607600,0.009014423076922906,0.09634353786267698
2008-01-31,30,2007-30,2007,8,1,50.58,55.84,43.0,48.1,32.16,448008200,-0.04228707564026213,-0.45195199274363085
2008-07-31,04,2008-04,2008,2,1,48.34,52.8,41.26,44.12,29.86,462355400,-0.07151741293532332,-0.7643573551161775
2009-01-31,30,2008-30,2008,8,1,44.24,58.57,28.91,38.64,26.52,729885900,-0.11185532484929672,-1.1954772516000935
2009-07-31,05,2009-05,2009,2,2,37.79,45.11,33.07,43.07,30.02,891382900,0.1319758672699849,1.4105197700156895
2010-01-31,31,2009-31,2009,8,3,43.2,54.47,43.2,50.67,35.77,600521400,0.1915389740173219,2.0471129697315376
2010-07-31,05,2010-05,2010,2,1,50.95,54.83,47.69,50.45,36.1,634977300,0.009225608051439682,0.09860062158448193
2011-01-31,31,2010-31,2010,8,2,51.04,57.78,48.46,56.26,40.82,503711900,0.13074792243767308,1.397395851997245
2011-07-31,05,2011-05,2011,2,1,56.42,64.17,54.88,55.13,40.52,445319800,-0.007349338559529572,-0.07854759774791574
2012-01-31,31,2011-31,2011,8,1,55.1,61.62,45.97,58.3,43.53,596110300,0.07428430404738395,0.793929084370726
2012-07-31,05,2012-05,2012,2,1,58.55,65.27,55.86,62.65,47.48,358745900,0.09074201699977014,0.9698243443813682
2013-01-31,31,2012-31,2012,8,1,63.18,80.0,62.45,78.46,60.26,293596800,0.26916596461668085,2.8767677179229145
2013-07-31,04,2013-04,2013,2,1,79.0,89.0,77.38,83.55,64.93,257171400,0.07749751078659162,0.828270905527531
2014-01-31,30,2013-30,2013,8,1,84.25,91.68,79.12,81.28,63.93,257415200,-0.015401201293701039,-0.16460357000205236
2014-07-31,05,2014-05,2014,2,3,81.2,96.18,79.89,89.56,71.27,281894000,0.11481307680275288,1.2270888461397056
