Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2008-03-31,11,2008-11,2008,3,19,14.88,17.25,13.75,15.59,13.91,1273903200,,
2008-09-30,13,2008-13,2008,4,1,15.77,22.46,13.97,15.35,13.72,6946906000,-0.013659237958303372,-0.14120969556416826
2009-03-31,39,2008-39,2008,10,1,15.19,15.53,10.44,13.9,12.47,4857427600,-0.09110787172011658,-0.9418764698565201
2009-09-30,13,2009-13,2009,4,1,13.69,18.75,13.41,17.28,15.55,3845713200,0.24699278267842817,2.553420311955662
2010-03-31,39,2009-39,2009,10,1,17.19,23.41,16.64,22.76,20.54,3035625200,0.3209003215434083,3.3174791192536577
2010-09-30,13,2010-13,2010,4,1,22.92,24.3,16.23,18.57,16.81,4047467600,-0.1815968841285297,-1.877355149787316
2011-03-31,39,2010-39,2010,10,1,18.68,20.44,16.62,18.41,16.73,3151354000,-0.004759071980963592,-0.04919945809944036
2011-09-30,13,2011-13,2011,4,1,18.5,23.69,18.28,21.43,19.56,3085084000,0.1691572026300059,1.7487532729707596
2012-03-31,40,2011-40,2011,10,3,21.24,30.17,20.43,29.5,27.03,1985706800,0.3819018404907977,3.9481150263085087
2012-09-30,14,2012-14,2012,4,2,29.5,34.16,27.99,33.57,30.87,1713136000,0.142064372918979,1.4686666204690146
2013-03-31,40,2012-40,2012,10,1,33.72,42.74,33.72,42.46,39.22,1435477600,0.2704891480401683,2.7963265860629125
2013-09-30,13,2013-13,2013,4,1,42.44,50.22,40.32,47.78,44.3,1760163600,0.12952575216726148,1.339041906077955
2014-03-31,39,2013-39,2013,10,1,47.82,58.88,45.03,53.97,50.23,1557276000,0.1338600451467269,1.383849983511306
2014-09-30,13,2014-13,2014,4,1,54.27,56.19,48.71,53.34,49.84,1415218400,-0.007764284292255508,-0.08026745156134889
2015-03-31,39,2014-39,2014,10,1,53.21,69.66,48.8,65.41,61.34,1422391300,0.2307383627608346,2.3853815315242652
2015-09-30,13,2015-13,2015,4,1,65.45,76.92,60.0,69.66,65.55,994045000,0.06863384414737528,0.7095391607522196
2016-03-31,39,2015-39,2015,10,1,70.09,81.01,66.12,76.48,72.23,1227693500,0.10190694126620903,1.0535176410283713
2016-09-30,13,2016-13,2016,4,1,76.25,83.79,73.25,82.7,78.38,1065961700,0.08514467672712156,0.880228744549947
2017-03-31,40,2016-40,2016,10,3,82.42,92.05,75.17,88.87,84.57,1162223700,0.07897422811941812,0.8164384238857937
2017-09-30,14,2017-14,2017,4,3,89.14,106.84,88.13,105.24,100.49,964760800,0.1882464230814711,1.9460983237515805
2018-03-31,40,2017-40,2017,10,2,105.54,126.88,104.9,119.62,114.62,981161500,0.1406110060702559,1.4536416614721999
2018-09-30,13,2018-13,2018,4,2,119.27,150.64,116.71,150.09,144.26,919523300,0.258593613679986,2.673350122024278
2019-03-31,39,2018-39,2018,10,1,150.89,156.82,121.6,156.19,150.66,1260911600,0.04436434215998886,0.4586401722731803
2019-09-30,13,2019-13,2019,4,1,157.53,187.05,156.32,172.01,166.41,893154300,0.10454002389486261,1.0807385443849489
2020-03-31,39,2019-39,2019,10,1,173.02,214.17,133.93,161.12,156.36,1258333300,-0.06039300522805113,-0.6243450702368176
2020-09-30,13,2020-13,2020,4,1,156.32,217.35,150.6,199.97,194.68,1152673800,0.24507546687132242,2.5335990318631527
2021-03-31,39,2020-39,2020,10,1,202.21,228.23,179.23,211.73,206.76,1131772300,0.06205054448325442,0.6414807709492157
2021-09-30,13,2021-13,2021,4,1,213.78,252.67,212.3,222.75,218.14,913718300,0.055039659508608896,0.5690019887560057
2022-03-31,39,2021-39,2021,10,1,224.17,236.96,186.67,221.77,217.92,1249002600,-0.0010085266342715338,-0.010426184786338397
2022-09-30,13,2022-13,2022,4,1,223.08,229.24,174.83,177.65,175.21,843429200,-0.1959893538913362,-2.026145022240409
2023-03-31,40,2022-40,2022,10,3,179.34,234.3,174.6,225.46,223.29,845225600,0.2744135608698133,2.83689730769716
2023-09-30,14,2023-14,2023,4,3,225.23,250.06,216.14,230.01,228.67,732505300,0.024094227238120824,0.24908699178790356
2024-03-31,40,2023-40,2023,10,2,229.24,263.25,227.78,260.35,259.39,370423800,0.13434206498447554,1.3888331220108443
