Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,970.43,992.65,912.83,980.28,980.28,12733830000,,
1998-07-31,05,1998-05,1998,2,2,980.28,1190.58,980.28,1120.67,1120.67,78256110000,0.14321418370261574,2.043420849483881
1999-01-31,31,1998-31,1998,8,3,1120.67,1280.37,923.32,1279.64,1279.64,94633510000,0.14185264172325485,2.023993979908931
1999-07-31,05,1999-05,1999,2,1,1279.64,1420.33,1211.89,1328.72,1328.72,98373920000,0.03835453721359117,0.5472534841751578
2000-01-31,31,1999-31,1999,8,2,1328.72,1478.0,1233.7,1394.46,1394.46,110609160000,0.04947618760912764,0.7059403663774184
2000-07-31,05,2000-05,2000,2,1,1394.46,1552.87,1325.07,1430.83,1430.83,127900360000,0.02608178076101142,0.37214229220052364
2001-01-31,31,2000-31,2000,8,1,1430.83,1530.09,1254.07,1366.01,1366.01,139126300000,-0.04530237694205452,-0.6463872444840898
2001-07-31,04,2001-04,2001,2,1,1366.01,1376.38,1081.19,1211.23,1211.23,147928640000,-0.11330810169764494,-1.6167123355965383
2002-01-31,30,2001-30,2001,8,1,1211.23,1226.27,944.75,1130.2,1130.2,159540540000,-0.06689893744375552,-0.9545331338462331
2002-07-31,04,2002-04,2002,2,1,1130.2,1173.94,775.68,911.62,911.62,180295430000,-0.1933993983365776,-2.7594778158232294
2003-01-31,30,2002-30,2002,8,1,911.62,965.0,768.63,855.7,855.7,180822600000,-0.06134134836883787,-0.8752358666695941
2003-07-31,05,2003-05,2003,2,3,855.7,1015.41,788.9,990.31,990.31,178709640000,0.15730980483814405,2.2445411950396967
2004-01-31,30,2003-30,2003,8,1,990.31,1155.38,960.84,1131.13,1131.13,172242430000,0.1421978976280156,2.0289201897015343
2004-07-31,05,2004-05,2004,2,2,1131.13,1163.23,1076.32,1101.72,1101.72,179336900000,-0.02600054812444197,-0.37098324175640524
2005-01-31,31,2004-31,2004,8,2,1101.72,1217.8,1060.72,1181.27,1181.27,177989250000,0.07220527901826235,1.0302455299755582
2005-07-31,05,2005-05,2005,2,1,1181.27,1245.15,1136.15,1234.18,1234.18,228856530000,0.04479077602918902,0.6390875766373969
2006-01-31,31,2005-31,2005,8,1,1234.18,1294.9,1168.2,1280.08,1280.08,272672040000,0.037190685313325256,0.5306473130737451
2006-07-31,05,2006-05,2006,2,1,1280.08,1326.7,1219.29,1276.66,1276.66,292607720000,-0.0026717080182487862,-0.0381206925674298
2007-01-31,31,2006-31,2006,8,1,1278.53,1441.61,1261.3,1438.24,1438.24,315889590000,0.12656462958031112,1.8058602591252169
2007-07-31,04,2007-04,2007,2,1,1437.9,1555.9,1363.98,1455.27,1455.27,377117990000,0.011840861052397456,0.16894878513257677
2008-01-31,30,2007-30,2007,8,1,1455.18,1576.09,1270.05,1378.55,1378.55,474758000000,-0.052718739477897625,-0.7522060219352239
2008-07-31,04,2008-04,2008,2,1,1378.6,1440.24,1200.44,1267.38,1267.38,560289020000,-0.08064270429074016,-1.15063312198631
2009-01-31,30,2008-30,2008,8,1,1269.42,1313.15,741.02,825.88,825.88,726731680000,-0.34835645189288145,-4.970449284047701
2009-07-31,05,2009-05,2009,2,2,823.09,996.68,666.79,987.48,987.48,776095050000,0.19567007313411144,2.791876451933973
2010-01-31,31,2009-31,2009,8,3,990.22,1150.45,978.51,1073.87,1073.87,607210190000,0.0874853161583018,1.2482654611415964
