Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,0.12,0.18,0.12,0.16,0.14,10211577600,,
1998-02-28,05,1998-05,1998,2,2,0.17,0.21,0.16,0.21,0.18,7354166400,0.2857142857142856,8.5098212077738
1998-03-31,09,1998-09,1998,3,2,0.21,0.25,0.19,0.25,0.21,10625977600,0.16666666666666674,4.964062371201387
1998-04-30,13,1998-13,1998,4,1,0.24,0.26,0.22,0.24,0.21,8081886400,0.0,0.0
1998-05-31,17,1998-17,1998,5,1,0.25,0.28,0.23,0.24,0.2,6803339200,-0.04761904761904756,-1.4183035346289654
1998-06-30,22,1998-22,1998,6,1,0.24,0.26,0.23,0.26,0.22,3909841600,0.09999999999999987,2.9784374227208272
1998-07-31,26,1998-26,1998,7,1,0.26,0.34,0.25,0.31,0.26,10927660800,0.18181818181818188,5.415340768583331
1998-08-31,31,1998-31,1998,8,3,0.31,0.39,0.28,0.28,0.24,13220872000,-0.07692307692307698,-2.2911057097852567
1998-09-30,35,1998-35,1998,9,1,0.28,0.36,0.27,0.34,0.29,8080318400,0.20833333333333326,6.20507796400173
1998-10-31,39,1998-39,1998,10,1,0.33,0.37,0.25,0.33,0.28,12930926400,-0.0344827586206895,-1.0270473871451098
1998-11-30,44,1998-44,1998,11,2,0.33,0.35,0.28,0.29,0.24,10123523200,-0.14285714285714302,-4.2549106038869065
1998-12-31,48,1998-48,1998,12,1,0.29,0.37,0.28,0.37,0.31,12924105600,0.29166666666666674,8.687109149602428
1999-01-31,01,1999-01,1999,1,4,0.38,0.42,0.33,0.37,0.31,15127403200,0.0,0.0
1999-02-28,05,1999-05,1999,2,1,0.37,0.37,0.31,0.31,0.26,8116516800,-0.16129032258064513,-4.8039313269690815
1999-03-31,09,1999-09,1999,3,1,0.31,0.33,0.29,0.32,0.27,9951995200,0.03846153846153855,1.14555285489263
1999-04-30,13,1999-13,1999,4,1,0.32,0.42,0.3,0.41,0.35,15888969600,0.29629629629629606,8.824999771024679
1999-05-31,18,1999-18,1999,5,3,0.41,0.45,0.37,0.39,0.33,8908905600,-0.05714285714285705,-1.701964241554758
1999-06-30,22,1999-22,1999,6,1,0.4,0.44,0.38,0.41,0.35,6918620800,0.06060606060606055,1.805113589527775
1999-07-31,26,1999-26,1999,7,1,0.41,0.51,0.4,0.5,0.42,11466582400,0.19999999999999996,5.956874845441661
1999-08-31,31,1999-31,1999,8,2,0.5,0.59,0.47,0.58,0.49,9244603200,0.16666666666666674,4.964062371201387
1999-09-30,35,1999-35,1999,9,1,0.6,0.72,0.51,0.57,0.48,18967468800,-0.020408163265306145,-0.6078443719838438
1999-10-31,39,1999-39,1999,10,1,0.55,0.72,0.53,0.72,0.6,14468496000,0.25,7.446093556802078
1999-11-30,44,1999-44,1999,11,1,0.71,0.93,0.69,0.87,0.74,8624929600,0.2333333333333334,6.949687319681941
1999-12-31,48,1999-48,1999,12,1,0.9,1.05,0.81,0.92,0.78,9418214400,0.05405405405405417,1.609966174443696
2000-01-31,01,2000-01,2000,1,3,0.94,1.08,0.77,0.93,0.78,12555177600,0.0,0.0
2000-02-29,05,2000-05,2000,2,1,0.93,1.07,0.87,1.02,0.87,7319782400,0.11538461538461542,3.436658564677883
2000-03-31,09,2000-09,2000,3,1,1.06,1.34,1.02,1.21,1.03,8698356800,0.1839080459770115,5.477586064773942
2000-04-30,14,2000-14,2000,4,3,1.21,1.25,0.94,1.11,0.94,8662404800,-0.0873786407766991,-2.60251813635801
2000-05-31,18,2000-18,2000,5,1,1.11,1.13,0.73,0.75,0.63,9807750400,-0.32978723404255317,-9.822506394079337
2000-06-30,22,2000-22,2000,6,1,0.73,1.03,0.72,0.94,0.79,8105204800,0.25396825396825395,7.564285518021158
2000-07-31,27,2000-27,2000,7,3,0.93,1.08,0.84,0.91,0.77,5746770400,-0.025316455696202556,-0.7540347905622364
2000-08-31,31,2000-31,2000,8,1,0.9,1.1,0.79,1.09,0.92,5636086400,0.19480519480519476,5.802150823482137
2000-09-30,35,2000-35,2000,9,1,1.09,1.15,0.45,0.46,0.39,14516930400,-0.5760869565217391,-17.158389500456963
2000-10-31,40,2000-40,2000,10,2,0.48,0.48,0.31,0.35,0.3,21905788800,-0.23076923076923084,-6.873317129355766
2000-11-30,44,2000-44,2000,11,1,0.35,0.41,0.29,0.29,0.25,8488373600,-0.16666666666666663,-4.9640623712013845
2000-12-31,48,2000-48,2000,12,1,0.3,0.31,0.24,0.27,0.22,8858970400,-0.12,-3.574124907264997
2001-01-31,00,2001-00,2001,1,2,0.27,0.4,0.26,0.39,0.33,13709460800,0.5,14.892187113604155
2001-02-28,04,2001-04,2001,2,1,0.37,0.39,0.32,0.33,0.28,7023766400,-0.1515151515151515,-4.512783973819441
2001-03-31,08,2001-08,2001,3,1,0.32,0.42,0.31,0.39,0.33,10799062400,0.1785714285714286,5.318638254858628
2001-04-30,13,2001-13,2001,4,2,0.39,0.48,0.33,0.46,0.38,11158991200,0.15151515151515138,4.512783973819437
2001-05-31,17,2001-17,2001,5,1,0.45,0.48,0.34,0.36,0.3,7468434400,-0.21052631578947367,-6.270394574149118
2001-06-30,21,2001-21,2001,6,1,0.36,0.45,0.35,0.42,0.35,7638265600,0.16666666666666674,4.964062371201387
2001-07-31,26,2001-26,2001,7,2,0.42,0.45,0.32,0.34,0.28,8655102400,-0.19999999999999984,-5.956874845441658
2001-08-31,30,2001-30,2001,8,1,0.34,0.36,0.31,0.33,0.28,5129359200,0.0,0.0
2001-09-30,35,2001-35,2001,9,4,0.33,0.34,0.26,0.28,0.23,5531523200,-0.1785714285714286,-5.318638254858628
2001-10-31,39,2001-39,2001,10,1,0.28,0.35,0.26,0.31,0.27,7544247200,0.17391304347826098,5.179891169949276
2001-11-30,43,2001-43,2001,11,1,0.32,0.38,0.31,0.38,0.32,5369744800,0.18518518518518512,5.515624856890427
2001-12-31,48,2001-48,2001,12,3,0.38,0.43,0.36,0.39,0.33,4629839200,0.03125,0.9307616946002597
2002-01-31,00,2002-00,2002,1,2,0.39,0.44,0.36,0.44,0.37,8515376800,0.1212121212121211,3.61022717905555
2002-02-28,04,2002-04,2002,2,1,0.43,0.46,0.37,0.39,0.33,7837424000,-0.108108108108108,-3.219932348887382
2002-03-31,08,2002-08,2002,3,1,0.39,0.45,0.39,0.42,0.36,5318583200,0.09090909090909083,2.7076703842916623
2002-04-30,13,2002-13,2002,4,1,0.42,0.47,0.41,0.43,0.37,6422836000,0.0277777777777779,0.8273437285335679
2002-05-31,17,2002-17,2002,5,1,0.43,0.46,0.4,0.42,0.35,5976157600,-0.05405405405405406,-1.6099661744436926
2002-06-30,22,2002-22,2002,6,3,0.42,0.42,0.29,0.32,0.27,8708016800,-0.22857142857142843,-6.807856966219039
2002-07-31,26,2002-26,2002,7,1,0.32,0.34,0.25,0.27,0.23,8118415200,-0.14814814814814814,-4.412499885512342
2002-08-31,30,2002-30,2002,8,1,0.27,0.29,0.25,0.26,0.22,5151686400,-0.0434782608695653,-1.2949727924873204
2002-09-30,35,2002-35,2002,9,3,0.26,0.27,0.25,0.26,0.22,5291837600,0.0,0.0
2002-10-31,39,2002-39,2002,10,1,0.26,0.29,0.24,0.29,0.24,6611432800,0.09090909090909083,2.7076703842916623
2002-11-30,43,2002-43,2002,11,1,0.28,0.31,0.27,0.28,0.23,4531721600,-0.04166666666666663,-1.2410155928003452
2002-12-31,48,2002-48,2002,12,2,0.28,0.29,0.25,0.26,0.22,4530439200,-0.0434782608695653,-1.2949727924873204
2003-01-31,00,2003-00,2003,1,2,0.26,0.27,0.24,0.26,0.22,6045832800,0.0,0.0
2003-02-28,05,2003-05,2003,2,3,0.26,0.27,0.25,0.27,0.23,4114303200,0.045454545454545414,1.3538351921458311
2003-03-31,09,2003-09,2003,3,3,0.27,0.27,0.25,0.25,0.21,4028404800,-0.08695652173913049,-2.589945584974638
2003-04-30,13,2003-13,2003,4,1,0.25,0.27,0.23,0.25,0.21,7775342400,0.0,0.0
2003-05-31,17,2003-17,2003,5,1,0.25,0.34,0.25,0.32,0.27,10811544800,0.2857142857142858,8.509821207773808
2003-06-30,22,2003-22,2003,6,2,0.32,0.35,0.3,0.34,0.29,6113335200,0.07407407407407396,2.206249942756168
2003-07-31,26,2003-26,2003,7,1,0.34,0.39,0.33,0.38,0.32,5218270400,0.10344827586206917,3.081142161435349
2003-08-31,30,2003-30,2003,8,1,0.38,0.41,0.35,0.4,0.34,4307564800,0.0625,1.8615233892005194
2003-09-30,35,2003-35,2003,9,2,0.4,0.42,0.36,0.37,0.31,5347484800,-0.08823529411764708,-2.6280330200477926
2003-10-31,39,2003-39,2003,10,1,0.37,0.45,0.36,0.41,0.35,7040191200,0.12903225806451601,3.8431450615752625
2003-11-30,44,2003-44,2003,11,3,0.41,0.42,0.35,0.37,0.32,4974104800,-0.08571428571428563,-2.552946362332139
2003-12-31,48,2003-48,2003,12,1,0.38,0.39,0.34,0.38,0.32,5453873600,0.0,0.0
2004-01-31,00,2004-00,2004,1,2,0.38,0.44,0.38,0.4,0.34,7927802400,0.0625,1.8615233892005194
2004-02-29,05,2004-05,2004,2,2,0.4,0.43,0.39,0.43,0.36,4922030400,0.0588235294117645,1.7520220133651885
2004-03-31,09,2004-09,2004,3,1,0.43,0.5,0.42,0.48,0.41,11626115200,0.13888888888888884,4.1367186426678195
2004-04-30,13,2004-13,2004,4,1,0.48,0.53,0.46,0.46,0.39,8930174400,-0.04878048780487798,-1.4528963037662572
2004-05-31,18,2004-18,2004,5,3,0.46,0.51,0.46,0.5,0.42,5304275200,0.07692307692307687,2.291105709785253
2004-06-30,22,2004-22,2004,6,1,0.5,0.61,0.49,0.58,0.49,8227234400,0.16666666666666674,4.964062371201387
2004-07-31,26,2004-26,2004,7,1,0.57,0.6,0.51,0.58,0.49,9696579200,0.0,0.0
2004-08-31,31,2004-31,2004,8,2,0.56,0.63,0.53,0.62,0.52,8011365600,0.061224489795918435,1.8235331159515313
2004-09-30,35,2004-35,2004,9,1,0.61,0.7,0.61,0.69,0.59,7673506400,0.13461538461538458,4.009434992124195
2004-10-31,39,2004-39,2004,10,1,0.7,0.95,0.67,0.94,0.79,16094366400,0.33898305084745783,10.096398043121468
2004-11-30,44,2004-44,2004,11,1,0.94,1.24,0.93,1.2,1.01,17439604000,0.2784810126582278,8.294382696184591
2004-12-31,48,2004-48,2004,12,1,1.21,1.21,1.1,1.15,0.97,15948615200,-0.03960396039603964,-1.1795791773151816
2005-01-31,01,2005-01,2005,1,3,1.16,1.39,1.12,1.37,1.16,25708244800,0.19587628865979378,5.834052683679977
2005-02-28,05,2005-05,2005,2,1,1.38,1.62,1.37,1.6,1.35,21448946400,0.16379310344827602,4.878475088939297
2005-03-31,09,2005-09,2005,3,1,1.61,1.61,1.39,1.49,1.26,14675920000,-0.06666666666666676,-1.985624948480557
2005-04-30,13,2005-13,2005,4,1,1.5,1.59,1.21,1.29,1.09,19375518400,-0.13492063492063489,-4.01852668144874
2005-05-31,18,2005-18,2005,5,2,1.29,1.46,1.18,1.42,1.2,12858294400,0.10091743119266039,3.0057625366907423
2005-06-30,22,2005-22,2005,6,1,1.42,1.46,1.27,1.31,1.11,11327195600,-0.07499999999999984,-2.233828067040619
2005-07-31,26,2005-26,2005,7,1,1.32,1.59,1.3,1.52,1.29,10094246400,0.16216216216216206,4.8298985233310745
2005-08-31,31,2005-31,2005,8,1,1.52,1.73,1.5,1.67,1.42,9400806800,0.10077519379844957,3.0015260849124643
2005-09-30,35,2005-35,2005,9,1,1.68,1.95,1.65,1.91,1.62,12347770400,0.14084507042253525,4.194982285522299
2005-10-31,40,2005-40,2005,10,3,1.93,2.07,1.71,2.06,1.74,18643447200,0.07407407407407396,2.206249942756168
2005-11-30,44,2005-44,2005,11,1,2.04,2.54,2.03,2.42,2.05,13456427600,0.17816091954022983,5.306411500249755
2005-12-31,48,2005-48,2005,12,1,2.46,2.69,2.46,2.57,2.17,13064164400,0.05853658536585371,1.7434755645195126
2006-01-31,01,2006-01,2006,1,3,2.59,3.09,2.53,2.7,2.28,21878371200,0.05069124423963123,1.5098069884759941
2006-02-28,05,2006-05,2006,2,1,2.68,2.73,2.25,2.45,2.07,18760697200,-0.09210526315789469,-2.743297626190238
2006-03-31,09,2006-09,2006,3,1,2.46,2.5,2.06,2.24,1.89,23192632400,-0.08695652173913038,-2.5899455849746342
2006-04-30,14,2006-14,2006,4,3,2.27,2.57,2.18,2.51,2.13,20119282400,0.12698412698412698,3.782142759010579
2006-05-31,18,2006-18,2006,5,1,2.53,2.64,2.1,2.13,1.8,15608779200,-0.15492957746478864,-4.614480514074525
2006-06-30,22,2006-22,2006,6,1,2.14,2.25,1.98,2.05,1.73,17936623600,-0.03888888888888897,-1.1582812199469925
2006-07-31,27,2006-27,2006,7,3,2.05,2.45,1.79,2.43,2.05,17479742000,0.18497109826589586,5.509248411969165
2006-08-31,31,2006-31,2006,8,1,2.4,2.5,2.23,2.42,2.05,17887646000,0.0,0.0
2006-09-30,35,2006-35,2006,9,1,2.45,2.78,2.42,2.75,2.32,17721558400,0.13170731707317085,3.922820020168903
2006-10-31,40,2006-40,2006,10,2,2.68,2.95,2.59,2.9,2.45,14387956800,0.056034482758620774,1.6689520041108132
2006-11-30,44,2006-44,2006,11,1,2.9,3.33,2.78,3.27,2.77,13834884000,0.1306122448979592,3.890203980696596
2006-12-31,48,2006-48,2006,12,1,3.28,3.3,2.74,3.03,2.56,16890792800,-0.07581227436823101,-2.258021150799185
2007-01-31,00,2007-00,2007,1,3,3.08,3.49,2.92,3.06,2.59,27209781200,0.01171875,0.3490356354750974
2007-02-28,04,2007-04,2007,2,1,3.08,3.24,2.96,3.02,2.55,13722354800,-0.015444015444015413,-0.4599903355553398
2007-03-31,08,2007-08,2007,3,1,3.0,3.46,2.99,3.32,2.81,15918644000,0.10196078431372557,3.0368381564996736
2007-04-30,13,2007-13,2007,4,2,3.36,3.66,3.2,3.56,3.01,13459740000,0.07117437722419928,2.1198842866340435
2007-05-31,17,2007-17,2007,5,1,3.56,4.36,3.52,4.33,3.66,17365068000,0.2159468438538208,6.431841610526718
2007-06-30,21,2007-21,2007,6,1,4.32,4.56,4.12,4.36,3.68,23279541600,0.005464480874316946,0.1627561433180784
2007-07-31,26,2007-26,2007,7,2,4.32,5.32,4.26,4.71,3.98,24018573600,0.08152173913043481,2.428073985913722
