Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,25.97,26.17,22.87,24.42,17.18,83458814,,
1998-02-28,05,1998-05,1998,2,2,24.58,26.44,24.58,26.28,18.49,77301496,0.0762514551804423,2.8683108086256617
1998-03-31,09,1998-09,1998,3,2,26.2,28.63,26.17,26.79,18.84,83972239,0.018929150892374347,0.7120478943545389
1998-04-30,13,1998-13,1998,4,1,27.08,31.69,26.81,29.81,21.02,145375072,0.1157112526539279,4.352649216745754
1998-05-31,17,1998-17,1998,5,1,29.81,31.11,28.88,29.94,21.11,84345822,0.004281636536631828,0.16106006537928444
1998-06-30,22,1998-22,1998,6,1,29.94,33.26,29.16,33.19,23.44,95786473,0.11037423022264337,4.151889256305584
1998-07-31,26,1998-26,1998,7,1,33.26,34.61,30.51,32.2,22.75,82895351,-0.029436860068259407,-1.107310853359898
1998-08-31,31,1998-31,1998,8,3,32.09,32.62,22.74,22.76,16.08,160544041,-0.2931868131868133,-11.028653856116103
1998-09-30,35,1998-35,1998,9,1,22.9,25.82,19.84,22.65,16.0,245487261,-0.004975124378109319,-0.18714663207697238
1998-10-31,39,1998-39,1998,10,1,22.03,26.99,19.55,25.7,18.21,202531360,0.13812500000000005,5.195775339682134
1998-11-30,44,1998-44,1998,11,2,26.4,31.82,26.04,29.19,20.69,112066262,0.13618890719384957,5.12294635682217
1998-12-31,48,1998-48,1998,12,1,28.92,30.89,26.62,29.91,21.19,89053010,0.024166263895601725,0.9090496144870089
1999-01-31,01,1999-01,1999,1,4,29.83,31.77,27.68,30.02,21.32,103778135,0.006134969325153339,0.23077590826670086
1999-02-28,05,1999-05,1999,2,1,30.34,33.02,27.75,31.66,22.48,110190107,0.054409005628517804,2.046674893764917
1999-03-31,09,1999-09,1999,3,1,32.09,37.82,31.29,34.36,24.45,136923798,0.08763345195729522,3.296461383608568
1999-04-30,13,1999-13,1999,4,1,34.94,41.61,34.54,38.13,27.13,130930994,0.10961145194274025,4.12319622769841
1999-05-31,18,1999-18,1999,5,3,37.64,39.46,33.41,35.32,25.13,124750714,-0.07371913011426467,-2.7730536710263523
1999-06-30,22,1999-22,1999,6,1,35.23,38.99,33.55,37.97,27.06,108124414,0.076800636689216,2.888969080048618
1999-07-31,26,1999-26,1999,7,1,38.37,42.01,37.75,38.44,27.4,125953388,0.012564671101256364,0.47263861183076605
1999-08-31,31,1999-31,1999,8,2,38.51,43.95,35.56,40.12,28.6,162991891,0.04379562043795637,1.6474367758017197
1999-09-30,35,1999-35,1999,9,1,40.56,41.83,38.18,39.39,28.08,128186336,-0.0181818181818183,-0.6839358735904126
1999-10-31,39,1999-39,1999,10,1,38.8,46.97,38.0,44.93,32.08,187830914,0.14245014245014254,5.358471944084398
1999-11-30,44,1999-44,1999,11,1,43.76,46.76,42.03,44.08,31.47,133655432,-0.019014962593516205,-0.7152758278976992
1999-12-31,48,1999-48,1999,12,1,43.76,49.27,43.55,48.51,34.63,110973610,0.10041309183349223,3.7771863625679365
2000-01-31,01,2000-01,2000,1,3,48.0,48.36,42.45,48.07,34.37,156897979,-0.007507941091539294,-0.28242226371189877
2000-02-29,05,2000-05,2000,2,1,48.01,49.45,36.18,39.15,27.99,193839486,-0.18562700029095136,-6.982633053327733
2000-03-31,09,2000-09,2000,3,1,39.97,45.9,34.87,43.45,31.07,222497658,0.11003929974991067,4.139290353205257
2000-04-30,14,2000-14,2000,4,3,43.69,46.61,38.46,43.62,31.24,175119046,0.005471515931766868,0.20581913157612455
2000-05-31,18,2000-18,2000,5,1,43.66,47.59,40.85,47.27,33.86,111885754,0.08386683738796408,3.1547746281811055
2000-06-30,22,2000-22,2000,6,1,47.1,50.06,44.64,45.63,32.68,85592140,-0.03484937979917302,-1.310910755936723
2000-07-31,27,2000-27,2000,7,3,44.53,52.3,44.37,49.62,35.59,76437336,0.08904528763769903,3.3495696624279376
2000-08-31,31,2000-31,2000,8,1,49.89,52.9,48.8,51.66,37.06,77582770,0.04130373700477663,1.5537009098000707
2000-09-30,35,2000-35,2000,9,1,52.08,54.49,48.91,53.17,38.15,65078486,0.02941176470588225,1.1063668543374212
2000-10-31,40,2000-40,2000,10,2,53.39,55.14,44.31,52.52,37.72,113792645,-0.011271297509829581,-0.4239864589885478
2000-11-30,44,2000-44,2000,11,1,52.41,53.78,43.82,48.09,34.54,84737347,-0.08430540827147404,-3.1712721180000645
2000-12-31,48,2000-48,2000,12,1,49.24,50.82,44.59,48.09,34.54,100405233,0.0,0.0
2001-01-31,00,2001-00,2001,1,2,47.7,49.95,38.68,41.23,29.66,190624471,-0.14128546612623039,-5.314660928536927
2001-02-28,04,2001-04,2001,2,1,41.23,43.72,36.67,38.41,27.63,111417571,-0.06844234659474047,-2.5745596859868227
2001-03-31,08,2001-08,2001,3,1,38.06,39.54,29.76,36.15,26.01,208519366,-0.05863192182410415,-2.2055261070179255
