Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,24.25,24.94,22.25,24.0,12.21,72077400,,
1998-02-28,05,1998-05,1998,2,2,24.41,27.59,24.38,27.28,13.88,48988000,0.13677313677313685,5.0294758457959245
1998-03-31,09,1998-09,1998,3,2,27.0,29.62,25.5,27.53,14.0,60933200,0.008645533141210304,0.31791696186561136
1998-04-30,13,1998-13,1998,4,1,27.53,29.12,26.5,28.47,14.54,55608000,0.03857142857142848,1.4183638170090143
1998-05-31,17,1998-17,1998,5,1,28.47,30.38,27.44,27.47,14.03,33316600,-0.035075653370013726,-1.2898157895772044
1998-06-30,22,1998-22,1998,6,1,27.47,28.41,25.53,26.45,13.51,59271000,-0.03706343549536706,-1.3629112995730899
1998-07-31,26,1998-26,1998,7,1,26.56,28.19,23.97,24.25,12.46,76525000,-0.07772020725388595,-2.85795818050176
1998-08-31,31,1998-31,1998,8,3,24.31,25.34,20.97,21.0,10.79,59268200,-0.13402889245585892,-4.9285634090825265
1998-09-30,35,1998-35,1998,9,1,21.38,24.75,19.53,22.25,11.43,89653800,0.05931417979610765,2.1811244637354252
1998-10-31,39,1998-39,1998,10,1,22.25,24.47,20.97,22.47,11.62,80188400,0.016622922134733153,0.6112646630446171
1998-11-30,44,1998-44,1998,11,2,23.0,25.12,22.53,24.72,12.78,63839800,0.09982788296041312,3.6709103697689893
1998-12-31,48,1998-48,1998,12,1,24.72,26.09,20.56,23.0,11.89,79135800,-0.06964006259780897,-2.560831907484544
1999-01-31,01,1999-01,1999,1,4,23.28,26.5,21.53,21.66,11.27,78842800,-0.052144659377628355,-1.9174840251126524
1999-02-28,05,1999-05,1999,2,1,21.72,24.25,21.0,22.78,11.86,54730000,0.05235137533274181,1.9250854659197625
1999-03-31,09,1999-09,1999,3,1,23.25,25.44,21.94,22.97,11.95,76748800,0.007588532883642474,0.279048530608856
1999-04-30,13,1999-13,1999,4,1,23.16,33.19,23.16,32.19,16.83,114166800,0.4083682008368201,15.016676891067116
1999-05-31,18,1999-18,1999,5,3,32.19,33.22,27.25,27.44,14.35,52720200,-0.14735591206179433,-5.418629841613638
1999-06-30,22,1999-22,1999,6,1,27.44,31.91,27.28,30.0,15.69,54809800,0.09337979094076654,3.4337985813768443
1999-07-31,26,1999-26,1999,7,1,30.31,31.44,28.75,29.31,15.41,56729600,-0.017845761631612445,-0.656231400358253
1999-08-31,31,1999-31,1999,8,2,29.31,31.97,27.91,28.31,14.89,56455200,-0.033744321868916294,-1.2408595414023662
1999-09-30,35,1999-35,1999,9,1,28.59,30.34,26.28,27.41,14.41,55686000,-0.03223640026863672,-1.1854096523021433
1999-10-31,39,1999-39,1999,10,1,27.41,29.44,25.78,27.66,14.63,61192800,0.01526717557251911,0.5614106145922046
1999-11-30,44,1999-44,1999,11,1,27.66,28.84,22.81,23.19,12.27,77468000,-0.16131237183868774,-5.931842296901087
1999-12-31,48,1999-48,1999,12,1,23.19,24.59,21.56,23.53,12.45,76685800,0.014669926650366705,0.5394483411607223
2000-01-31,01,2000-01,2000,1,3,23.84,27.56,21.22,21.22,11.3,90623800,-0.09236947791164651,-3.396646951337969
2000-02-29,05,2000-05,2000,2,1,21.38,22.38,17.44,17.53,9.33,97190000,-0.1743362831858407,-6.4107627127349565
2000-03-31,09,2000-09,2000,3,1,17.53,20.81,16.75,19.72,10.5,107057000,0.12540192926045024,4.611329308603811
2000-04-30,14,2000-14,2000,4,3,19.72,22.44,18.5,19.72,10.58,85068600,0.007619047619047636,0.28017063052030045
2000-05-31,18,2000-18,2000,5,1,19.72,20.88,18.78,19.12,10.26,57297200,-0.030245746691871522,-1.1122085521599827
2000-06-30,22,2000-22,2000,6,1,19.41,21.25,16.91,16.94,9.09,68539200,-0.11403508771929827,-4.193343318642645
2000-07-31,27,2000-27,2000,7,3,17.09,19.28,16.97,17.03,9.23,71625200,0.015401540154015514,0.5663515220913692
2000-08-31,31,2000-31,2000,8,1,17.06,19.75,17.06,18.38,9.96,69892600,0.07908992416034666,2.9083259519746707
2000-09-30,35,2000-35,2000,9,1,18.38,19.81,14.5,15.5,8.4,74326800,-0.15662650602409645,-5.759531787051345
2000-10-31,40,2000-40,2000,10,2,15.5,18.0,14.78,17.53,9.61,80621400,0.14404761904761898,5.2969759832744145
2000-11-30,44,2000-44,2000,11,1,17.53,20.53,17.28,19.66,10.77,56313200,0.12070759625390215,4.438707439824728
2000-12-31,48,2000-48,2000,12,1,19.75,23.97,19.75,23.66,12.96,79328600,0.20334261838440115,7.477395135578337
2001-01-31,00,2001-00,2001,1,2,23.62,24.81,19.91,22.11,12.21,100271800,-0.05787037037037035,-2.1280321328581793
2001-02-28,04,2001-04,2001,2,1,22.11,22.5,19.88,20.8,11.48,54466000,-0.05978705978705978,-2.198513393671271
2001-03-31,08,2001-08,2001,3,1,20.8,24.0,20.08,22.19,12.25,99983000,0.06707317073170738,2.466441145205385
2001-04-30,13,2001-13,2001,4,2,22.19,25.75,20.75,25.1,13.96,90777200,0.139591836734694,5.133126194889782
2001-05-31,17,2001-17,2001,5,1,25.1,28.42,24.47,27.08,15.06,105511600,0.07879656160458448,2.897538308120935
2001-06-30,21,2001-21,2001,6,1,27.08,28.25,24.75,25.02,13.91,92980200,-0.07636122177954852,-2.807985029492548
2001-07-31,26,2001-26,2001,7,2,25.02,27.75,24.39,27.55,15.42,96153000,0.10855499640546373,3.991827234812504
2001-08-31,30,2001-30,2001,8,1,27.42,27.86,24.75,25.0,13.99,89029600,-0.0927367055771725,-3.4101507922035514
2001-09-30,35,2001-35,2001,9,4,25.0,25.88,20.16,22.4,12.54,86049000,-0.10364546104360262,-3.811291859963872
2001-10-31,39,2001-39,2001,10,1,22.42,24.95,21.67,22.36,12.61,93458800,0.005582137161084466,0.20526855405942782
2001-11-30,43,2001-43,2001,11,1,22.6,25.08,21.85,23.71,13.37,78951800,0.060269627279936566,2.2162585562569315
