Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,38.25,39.16,33.88,37.38,14.32,67128400,,
1998-02-28,05,1998-05,1998,2,2,37.5,41.41,37.41,40.44,15.61,55060200,0.09008379888268148,4.567005164847434
1998-03-31,09,1998-09,1998,3,2,40.56,45.09,40.09,40.16,15.5,72671200,-0.007046764894298452,-0.3572519372727485
1998-04-30,13,1998-13,1998,4,1,40.69,42.81,39.25,41.34,15.96,59864200,0.029677419354838808,1.504564962334741
1998-05-31,17,1998-17,1998,5,1,41.75,43.41,38.69,39.94,15.53,48326600,-0.02694235588972438,-1.3659046357689117
1998-06-30,22,1998-22,1998,6,1,39.94,42.62,38.78,41.88,16.29,51552800,0.04893754024468766,2.4810010437446706
1998-07-31,26,1998-26,1998,7,1,42.0,43.16,40.0,41.31,16.07,56844400,-0.013505217925107393,-0.6846780528947389
1998-08-31,31,1998-31,1998,8,3,41.31,41.31,37.03,37.03,14.51,66645800,-0.09707529558182948,-4.9214551539804
1998-09-30,35,1998-35,1998,9,1,36.91,44.5,36.5,42.03,16.47,67984800,0.13507925568573387,6.8481532310144795
1998-10-31,39,1998-39,1998,10,1,42.0,44.72,39.22,40.75,15.97,77525200,-0.030358227079538502,-1.5390800741920996
1998-11-30,44,1998-44,1998,11,2,40.75,42.81,39.19,41.81,16.51,59376000,0.033813400125234816,1.7142480105009041
1998-12-31,48,1998-48,1998,12,1,41.88,44.12,39.53,41.47,16.37,57457600,-0.008479709267110835,-0.42989834464835214
1999-01-31,01,1999-01,1999,1,4,41.53,42.25,36.69,37.25,14.71,47131200,-0.10140500916310324,-5.14095993212302
1999-02-28,05,1999-05,1999,2,1,37.53,40.97,36.56,38.44,15.29,55885000,0.0394289598912303,1.9989417153946183
1999-03-31,09,1999-09,1999,3,1,38.38,45.16,37.66,44.38,17.66,73501400,0.15500327011118387,7.8582469206026335
1999-04-30,13,1999-13,1999,4,1,44.16,52.47,43.19,49.88,19.84,71174400,0.12344280860702139,6.258216809947644
1999-05-31,18,1999-18,1999,5,3,49.88,51.38,45.47,46.25,18.52,53542200,-0.06653225806451613,-3.373005690016732
1999-06-30,22,1999-22,1999,6,1,46.16,48.62,44.59,47.53,19.03,58585600,0.027537796976242035,1.3960918897614971
1999-07-31,26,1999-26,1999,7,1,48.25,50.41,45.59,45.62,18.27,43653200,-0.03993694167104578,-2.0246950188835955
1999-08-31,31,1999-31,1999,8,2,45.66,48.84,45.47,46.16,18.6,54491200,0.01806239737274229,0.9157147357680938
1999-09-30,35,1999-35,1999,9,1,46.38,49.06,42.78,44.38,17.88,49914000,-0.03870967741935494,-1.9624760378279218
1999-10-31,39,1999-39,1999,10,1,44.41,47.19,41.69,45.66,18.4,62489600,0.029082774049216997,1.4744180522830914
1999-11-30,44,1999-44,1999,11,1,45.28,48.47,42.75,44.28,17.97,60339800,-0.023369565217391308,-1.1847738036343358
1999-12-31,48,1999-48,1999,12,1,44.38,46.38,41.97,43.31,17.58,55308000,-0.02170283806343909,-1.1002752410192702
2000-01-31,01,2000-01,2000,1,3,42.94,45.44,40.38,41.81,16.97,75375000,-0.03469852104664384,-1.7591212493044095
2000-02-29,05,2000-05,2000,2,1,41.69,42.22,34.97,37.34,15.28,85923600,-0.09958750736593991,-5.048817502543929
2000-03-31,09,2000-09,2000,3,1,37.28,47.12,36.31,46.22,18.92,102352200,0.23821989528795817,12.077104936109412
2000-04-30,14,2000-14,2000,4,3,46.31,46.88,41.16,42.56,17.42,63005200,-0.07928118393234673,-4.019341779378001
2000-05-31,18,2000-18,2000,5,1,42.75,47.44,42.75,46.22,19.05,61385600,0.09357060849598153,4.743776989640477
2000-06-30,22,2000-22,2000,6,1,46.22,47.34,42.28,42.41,17.48,71215600,-0.08241469816272962,-4.17820248298708
2000-07-31,27,2000-27,2000,7,3,42.5,43.78,38.44,39.49,16.28,66883600,-0.06864988558352403,-3.4803636826467628
2000-08-31,31,2000-31,2000,8,1,39.25,44.84,38.81,42.26,17.55,63139600,0.07800982800982803,3.9548874697627507
2000-09-30,35,2000-35,2000,9,1,42.34,46.16,40.78,42.62,17.71,76003200,0.009116809116809232,0.4621975853573879
2000-10-31,40,2000-40,2000,10,2,43.09,44.47,39.25,41.06,17.06,107287400,-0.03670242800677592,-1.8607139169128843
2000-11-30,44,2000-44,2000,11,1,41.38,43.0,40.16,40.94,17.14,65691600,0.004689331770222793,0.23773644850592443
2000-12-31,48,2000-48,2000,12,1,41.22,43.47,39.09,42.22,17.67,80566600,0.030921820303383862,1.567652727611466
2001-01-31,00,2001-00,2001,1,2,42.59,43.47,39.22,41.64,17.43,95912000,-0.01358234295415972,-0.6885880834483983
2001-02-28,04,2001-04,2001,2,1,41.64,43.74,40.78,42.83,18.07,82200000,0.03671830177854285,1.8615186742448833
2001-03-31,08,2001-08,2001,3,1,42.83,46.72,42.67,43.9,18.52,117875600,0.02490315439955726,1.2625226308660495
2001-04-30,13,2001-13,2001,4,2,43.9,48.97,42.29,48.28,20.36,104470400,0.09935205183585305,5.036880543453216
2001-05-31,17,2001-17,2001,5,1,47.85,49.24,45.33,48.03,20.4,97227200,0.0019646365422396617,0.09960176354398276
2001-06-30,21,2001-21,2001,6,1,48.25,49.2,43.97,45.25,19.22,103062800,-0.05784313725490198,-2.9324907460680234
2001-07-31,26,2001-26,2001,7,2,45.24,46.27,42.38,45.69,19.41,106413800,0.009885535900104214,0.5011699558969221
2001-08-31,30,2001-30,2001,8,1,45.78,46.81,44.7,45.38,19.41,105740400,0.0,0.0
2001-09-30,35,2001-35,2001,9,4,45.55,46.65,39.3,42.38,18.12,124634200,-0.06646058732612048,-3.36937217725993
2001-10-31,39,2001-39,2001,10,1,41.92,46.88,41.04,44.28,18.94,162949000,0.04525386313465796,2.294248568873518
2001-11-30,43,2001-43,2001,11,1,44.28,45.11,41.0,42.51,18.32,132844600,-0.032734952481520696,-1.6595736293141798
2001-12-31,48,2001-48,2001,12,3,42.51,45.53,41.79,44.81,19.31,102285200,0.05403930131004353,2.739646542983015
2002-01-31,00,2002-00,2002,1,2,44.81,45.25,40.55,41.9,18.06,115912800,-0.06473329880890732,-3.2818033171859056
2002-02-28,04,2002-04,2002,2,1,41.7,42.8,40.4,42.22,18.35,101489200,0.01605758582502781,0.8140762080137093
2002-03-31,08,2002-08,2002,3,1,42.22,45.8,42.1,45.13,19.62,100106600,0.0692098092643052,3.5087503001491873
2002-04-30,13,2002-13,2002,4,1,44.99,45.52,41.78,43.35,18.85,105835400,-0.03924566768603466,-1.9896492959120105
2002-05-31,17,2002-17,2002,5,1,43.36,45.25,43.22,43.62,19.11,105014800,0.013793103448275668,0.6992730709501674
2002-06-30,22,2002-22,2002,6,3,43.97,44.38,42.5,44.25,19.39,102457800,0.014652014652014822,0.7428175478958012
2002-07-31,26,2002-26,2002,7,1,44.25,44.47,32.82,37.5,16.43,187408600,-0.15265600825167613,-7.739247087463024
2002-08-31,30,2002-30,2002,8,1,36.88,40.0,33.8,38.31,16.94,127668000,0.031040779062690316,1.573683615239373
2002-09-30,35,2002-35,2002,9,3,37.62,38.25,34.1,34.62,15.31,112863400,-0.09622195985832349,-4.878193338815654
2002-10-31,39,2002-39,2002,10,1,34.92,37.72,33.15,33.81,14.95,154056600,-0.02351404310907912,-1.192098442312194
2002-11-30,43,2002-43,2002,11,1,33.88,34.83,32.71,33.51,14.98,136573800,0.0020066889632108786,0.10173370764660662
2002-12-31,48,2002-48,2002,12,2,33.6,34.56,32.87,33.24,14.85,113691400,-0.008678237650200371,-0.43996319717660204
2003-01-31,00,2003-00,2003,1,2,33.6,35.2,30.66,32.2,14.39,150619000,-0.03097643097643088,-1.5704213411574637
2003-02-28,05,2003-05,2003,2,3,32.21,33.01,31.11,32.08,14.49,114559000,0.006949270326615631,0.3523092261562703
2003-03-31,09,2003-09,2003,3,3,32.26,33.33,30.85,32.33,14.6,151746200,0.007591442374051072,0.38486561358368976
