Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2019-03-31,11,2019-11,2019,3,20,52.75,53.5,48.0,51.63,39.15,10048800,,
2019-04-30,13,2019-13,2019,4,1,52.3,60.52,51.25,56.73,43.01,190296200,0.0985951468710089,3.460077184017965
2019-05-31,17,2019-17,2019,5,1,56.82,57.48,46.75,46.76,35.97,114911800,-0.16368286445012792,-5.744251747396353
2019-06-30,22,2019-22,2019,6,3,46.85,52.95,46.85,49.31,37.93,107131200,0.0544898526549904,1.9122553382743772
2019-07-31,26,2019-26,2019,7,1,50.0,52.99,47.18,48.44,37.26,93154400,-0.017664118112312166,-0.6199008165804702
2019-08-31,30,2019-30,2019,8,1,48.15,48.6,40.44,42.63,33.34,104929600,-0.10520665593129352,-3.692100081466942
2019-09-30,35,2019-35,2019,9,3,42.14,49.98,41.15,47.65,37.27,80027300,0.117876424715057,4.1367302614172425
2019-10-31,39,2019-39,2019,10,1,47.94,51.63,43.83,50.49,39.49,87400600,0.05956533404883291,2.0903732064055314
2019-11-30,43,2019-43,2019,11,1,50.98,56.25,50.9,53.37,42.28,82436600,0.07065079767029636,2.479404116832273
2019-12-31,48,2019-48,2019,12,2,53.0,55.55,51.05,54.73,43.36,66412500,0.02554399243140959,0.8964354555532039
2020-01-31,00,2020-00,2020,1,2,55.23,55.54,45.92,46.07,36.5,97062300,-0.15821033210332103,-5.552199857289025
2020-02-29,05,2020-05,2020,2,3,46.31,50.37,38.05,40.41,32.54,97241300,-0.10849315068493148,-3.807435631677488
2020-03-31,09,2020-09,2020,3,2,41.05,42.74,21.95,29.24,23.55,255939800,-0.27627535341118614,-9.69554868755543
2020-04-30,13,2020-13,2020,4,1,27.84,38.09,26.92,36.69,29.55,165878800,0.2547770700636942,8.941092488980784
2020-05-31,17,2020-17,2020,5,1,34.73,40.67,30.9,38.6,31.64,109915100,0.07072758037225046,2.4820987126981953
2020-06-30,22,2020-22,2020,6,1,38.61,45.93,37.68,40.76,33.41,123530700,0.05594184576485439,1.963211276677355
2020-07-31,26,2020-26,2020,7,1,40.75,44.5,39.17,41.06,33.66,94102000,0.0074827895839568725,0.2625994314520313
2020-08-31,31,2020-31,2020,8,3,41.22,46.95,39.9,45.12,37.55,75763600,0.11556743909685085,4.0556992095924205
2020-09-30,35,2020-35,2020,9,1,44.79,51.56,44.47,47.05,39.16,105912500,0.042876165113182374,1.5046870495603666
2020-10-31,39,2020-39,2020,10,1,47.21,50.33,44.33,45.49,37.86,90661100,-0.03319713993871287,-1.1650133918545538
2020-11-30,44,2020-44,2020,11,2,46.25,58.18,45.88,53.01,44.67,91181900,0.17987321711568938,6.31243255179846
2020-12-31,48,2020-48,2020,12,1,54.43,56.1,52.69,55.5,46.77,74182400,0.047011417058428595,1.649808704733027
2021-01-31,01,2021-01,2021,1,4,55.82,61.31,51.76,51.9,43.74,88319800,-0.06478511866581149,-2.273555221259918
2021-02-28,05,2021-05,2021,2,1,52.39,63.98,51.33,59.31,50.54,74542600,0.15546410608138994,5.455824383422429
2021-03-31,09,2021-09,2021,3,1,61.15,67.27,60.09,63.94,54.48,107266600,0.07795805302730496,2.735843387333659
