Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1999-05-31,18,1999-18,1999,5,4,76.0,77.25,63.06,67.94,48.49,60491600,,
1999-06-30,22,1999-22,1999,6,1,66.62,72.25,60.5,72.25,51.57,23380400,0.06351825118581145,2.366789876581088
1999-07-31,26,1999-26,1999,7,1,71.38,71.44,63.19,64.31,45.9,13938000,-0.10994764397905765,-4.0968220293461615
1999-08-31,31,1999-31,1999,8,2,64.25,65.0,55.19,59.81,42.78,18801100,-0.06797385620915031,-2.5328127230293207
1999-09-30,35,1999-35,1999,9,1,60.56,64.44,57.44,61.0,43.63,18630500,0.01986909770920997,0.7403538107085542
1999-10-31,39,1999-39,1999,10,1,61.0,73.75,57.94,71.0,50.89,21186400,0.1663992665597065,6.200298216837628
1999-11-30,44,1999-44,1999,11,1,70.5,83.0,68.31,75.12,53.84,17360600,0.05796816663391624,2.15998500260608
1999-12-31,48,1999-48,1999,12,1,74.75,94.81,74.75,94.19,67.5,17003400,0.2537147102526003,9.453808890438946
2000-01-31,01,2000-01,2000,1,3,94.19,94.38,78.38,91.62,65.76,19531500,-0.025777777777777677,-0.9605205172718851
2000-02-29,05,2000-05,2000,2,1,92.88,94.0,80.69,92.5,66.39,18721100,0.00958029197080279,0.3569767370461249
2000-03-31,09,2000-09,2000,3,1,93.25,128.0,93.19,105.25,75.54,35059300,0.1378219611387257,5.1354628993084255
2000-04-30,14,2000-14,2000,4,3,108.75,110.81,79.44,93.25,67.01,41328400,-0.11292030712205459,-4.207588130458568
2000-05-31,18,2000-18,2000,5,1,93.25,101.62,69.38,73.56,52.86,41825300,-0.2111625130577527,-7.868247139810265
2000-06-30,22,2000-22,2000,6,1,74.56,95.94,73.62,94.78,68.11,36702400,0.28849791903140365,10.749885921461923
2000-07-31,27,2000-27,2000,7,3,94.38,106.94,88.38,98.69,71.0,29921400,0.042431361033621995,1.5810592053322579
2000-08-31,31,2000-31,2000,8,1,99.0,129.5,97.0,129.5,93.17,53400600,0.3122535211267605,11.635056994369837
2000-09-30,35,2000-35,2000,9,1,128.0,133.62,105.75,114.06,82.06,37402600,-0.1192443919716647,-4.443233472092919
2000-10-31,40,2000-40,2000,10,2,113.12,116.88,90.88,99.81,71.9,54636500,-0.12381184499146958,-4.613423950691119
2000-11-30,44,2000-44,2000,11,1,96.75,101.62,77.0,82.12,59.16,40827600,-0.17719054242002796,-6.602398117020459
2000-12-31,48,2000-48,2000,12,1,82.12,108.38,80.25,106.94,77.03,55874100,0.3020622041920218,11.25531250676409
2001-01-31,00,2001-00,2001,1,2,104.38,120.0,97.5,113.75,82.03,67405500,0.06490977541217702,2.4186402564403346
2001-02-28,04,2001-04,2001,2,1,114.9,118.85,90.25,91.75,66.16,59505300,-0.1934658051932221,-7.208839989256662
2001-03-31,08,2001-08,2001,3,1,89.4,97.5,81.0,85.1,61.37,93130100,-0.07240024183796856,-2.697746808910943
2001-04-30,13,2001-13,2001,4,2,85.1,102.5,77.0,91.1,65.78,70863700,0.07185921459996747,2.6775872836414303
2001-05-31,17,2001-17,2001,5,1,90.0,105.15,89.29,95.1,68.66,53616900,0.04378230465186972,1.6313974879488102
2001-06-30,21,2001-21,2001,6,1,95.49,98.14,84.5,85.8,61.95,53906100,-0.09772793475094665,-3.6414964566811823
2001-07-31,26,2001-26,2001,7,2,85.95,88.0,80.0,83.16,60.13,50417900,-0.029378531073446346,-1.0946902446991142
2001-08-31,30,2001-30,2001,8,1,83.5,87.5,75.05,80.1,57.92,59785700,-0.03675370031598202,-1.3695006428985659
2001-09-30,35,2001-35,2001,9,4,79.95,81.45,63.27,71.35,51.59,59324200,-0.10928867403314912,-4.072267773398764
2001-10-31,39,2001-39,2001,10,1,71.36,86.5,71.0,78.16,56.6,82618800,0.09711184338050005,3.618539923851643
2001-11-30,43,2001-43,2001,11,1,78.5,92.75,77.31,89.0,64.45,58203800,0.13869257950530045,5.16790350807687
2001-12-31,48,2001-48,2001,12,3,88.0,95.17,85.55,92.75,67.16,51124600,0.042048099301784214,1.5667782707967488
2002-01-31,00,2002-00,2002,1,2,92.8,97.25,81.6,86.98,63.07,81933000,-0.06089934484812387,-2.2692053100661713
2002-02-28,04,2002-04,2002,2,1,86.49,86.5,77.52,80.94,58.69,70296800,-0.06944664658316158,-2.587691207283223
2002-03-31,08,2002-08,2002,3,1,81.5,92.25,80.85,90.25,65.44,60265000,0.11501107514056907,4.285493433078187
2002-04-30,13,2002-13,2002,4,1,89.4,89.45,75.8,78.75,57.19,77215300,-0.1260696821515892,-4.697554512124671
2002-05-31,17,2002-17,2002,5,1,78.55,82.1,74.0,75.45,54.79,71135300,-0.041965378562685784,-1.5636959660382512
2002-06-30,22,2002-22,2002,6,3,75.45,77.02,69.03,73.35,53.27,72219000,-0.027742288738820897,-1.0337212834804532
2002-07-31,26,2002-26,2002,7,1,73.75,77.0,65.55,73.15,53.22,205190100,-0.0009386146048433464,-0.03497425548218847
2002-08-31,30,2002-30,2002,8,1,73.15,81.97,67.75,77.3,56.24,102812600,0.056745584366779456,2.1144296656891015
2002-09-30,35,2002-35,2002,9,3,76.06,76.1,64.49,66.03,48.04,99519100,-0.1458036984352774,-5.432874976598554
2002-10-31,39,2002-39,2002,10,1,66.5,75.35,58.57,71.6,52.17,134795100,0.08597002497918416,3.2033782576118472
2002-11-30,43,2002-43,2002,11,1,71.6,81.0,71.0,78.87,57.47,78057400,0.10159095265478246,3.785438575633796
2002-12-31,48,2002-48,2002,12,2,78.88,80.9,67.0,68.1,49.71,72327100,-0.135026970593353,-5.031317158447638
2003-01-31,00,2003-00,2003,1,2,68.1,75.75,66.95,68.1,49.79,77425600,0.0016093341380003512,0.0599663195183563
2003-02-28,05,2003-05,2003,2,3,68.1,69.75,63.75,69.45,50.78,69664000,0.019883510745129618,0.7408908630811963
2003-03-31,09,2003-09,2003,3,3,69.45,72.1,61.02,68.08,49.78,109285900,-0.019692792437967732,-0.7337843991870793
2003-04-30,13,2003-13,2003,4,1,68.48,78.9,68.06,75.9,55.58,90997300,0.11651265568501401,4.34144468433457
2003-05-31,17,2003-17,2003,5,1,75.9,81.67,73.22,81.5,59.68,85129900,0.07376754228139615,2.748694572543203
2003-06-30,22,2003-22,2003,6,2,81.5,91.98,81.5,83.75,61.33,110702900,0.027647453083109896,1.0301875578868576
2003-07-31,26,2003-26,2003,7,1,83.75,90.35,82.36,87.14,64.0,82517900,0.04353497472688739,1.6221815861930877
2003-08-31,30,2003-30,2003,8,1,86.95,89.1,82.9,88.49,64.99,57362700,0.01546874999999992,0.5763899386376943
2003-09-30,35,2003-35,2003,9,2,88.54,93.74,83.64,83.9,61.62,94609600,-0.05185413140483153,-1.9321664399865495
2003-10-31,39,2003-39,2003,10,1,83.9,94.89,83.9,93.9,69.16,86386800,0.1223628691983123,4.559432835151374
2003-11-30,44,2003-44,2003,11,3,94.65,97.39,91.7,96.08,70.77,55681200,0.02327935222672073,0.8674252542374079
2003-12-31,48,2003-48,2003,12,1,96.23,100.78,95.73,98.73,72.72,63304000,0.02755404832556163,1.0267071498078781
2004-01-31,00,2004-00,2004,1,2,98.8,102.75,96.15,99.55,73.51,80373300,0.010863586358635935,0.4047943030069975
2004-02-29,05,2004-05,2004,2,2,99.23,108.0,98.43,105.87,78.18,61639800,0.06352877159570136,2.3671818835894687
2004-03-31,09,2004-09,2004,3,1,107.3,109.29,98.38,104.35,77.05,86538200,-0.014453824507546842,-0.5385722195384223
2004-04-30,13,2004-13,2004,4,1,104.24,107.5,96.31,96.75,71.62,67727300,-0.07047371836469818,-2.6259615162051717
2004-05-31,18,2004-18,2004,5,3,96.95,98.5,90.08,93.91,69.51,89214200,-0.029461044401005276,-1.0977648209776425
2004-06-30,22,2004-22,2004,6,1,93.8,95.15,87.68,94.16,69.7,89079100,0.002733419651848701,0.10185151259152476
2004-07-31,26,2004-26,2004,7,1,94.17,94.35,85.72,88.19,65.47,78642000,-0.06068866571018661,-2.261355074243115
2004-08-31,31,2004-31,2004,8,2,87.78,91.57,83.29,89.65,66.55,71437600,0.016496105086299062,0.614670803940391
2004-09-30,35,2004-35,2004,9,1,89.85,94.96,88.89,93.24,69.22,67196300,0.04012021036814417,1.4949420988913862
2004-10-31,39,2004-39,2004,10,1,93.46,98.45,90.74,98.38,73.23,72722800,0.057931233747472,2.1586088252063993
2004-11-30,44,2004-44,2004,11,1,98.2,105.59,97.8,104.76,77.98,67544700,0.0648641267240202,2.416939314569427
2004-12-31,48,2004-48,2004,12,1,105.25,110.88,103.0,104.04,77.44,76486500,-0.006924852526288827,-0.2580308895484587
2005-01-31,01,2005-01,2005,1,3,104.9,107.97,101.79,107.85,80.47,74547600,0.0391270661157026,1.4579359830304937
2005-02-28,05,2005-05,2005,2,1,107.65,113.93,107.3,108.8,81.18,56697300,0.008823163912017096,0.3287649555289134
2005-03-31,09,2005-09,2005,3,1,108.39,113.17,107.5,109.99,82.07,76524300,0.010963291451096202,0.4085094714676061
2005-04-30,13,2005-13,2005,4,1,110.74,114.25,103.21,106.79,79.87,101950900,-0.026806384793468863,-0.9988480314315002
2005-05-31,18,2005-18,2005,5,2,105.85,107.29,94.75,97.5,72.92,117093700,-0.08701640165268565,-3.2423678971516576
2005-06-30,22,2005-22,2005,6,1,97.4,104.96,96.43,102.02,76.3,94605900,0.04635216675809106,1.7271545893120273
2005-07-31,26,2005-26,2005,7,1,102.17,109.98,102.02,107.48,80.57,63424600,0.05596330275229344,2.0852806231503704
2005-08-31,31,2005-31,2005,8,1,107.6,114.87,106.69,111.18,83.35,59458100,0.03450415787513972,1.2856791557428495
2005-09-30,35,2005-35,2005,9,1,111.7,121.7,111.6,121.58,91.14,75008400,0.09346130773845229,3.482515227950899
2005-10-31,40,2005-40,2005,10,3,121.29,127.38,110.23,126.37,94.93,105098700,0.041584375685758346,1.5494991999871486
2005-11-30,44,2005-44,2005,11,1,126.7,134.99,124.8,128.96,96.88,60948900,0.020541451595912585,0.7654067733266933
2005-12-31,48,2005-48,2005,12,1,130.5,134.16,124.34,127.71,95.94,62056200,-0.009702725020644065,-0.36153878492234237
2006-01-31,01,2006-01,2006,1,3,126.7,141.86,124.23,141.25,106.31,87171600,0.1080883885761934,4.027543250675052
2006-02-28,05,2006-05,2006,2,1,141.4,146.35,137.8,141.29,106.34,63470300,0.0002821935847991952,0.010514976518875795
2006-03-31,09,2006-09,2006,3,1,141.98,159.63,139.18,156.96,118.13,104268100,0.11087079179988701,4.131219968145441
2006-04-30,14,2006-14,2006,4,3,157.99,169.31,156.92,160.29,120.89,78063800,0.023364090408871663,0.87058273209504
2006-05-31,18,2006-18,2006,5,1,160.3,166.55,140.42,150.95,113.84,109492500,-0.05831747869964432,-2.1730009192205713
2006-06-30,22,2006-22,2006,6,1,150.92,157.0,136.79,150.43,113.45,139219300,-0.0034258608573436433,-0.12765296028092715
2006-07-31,27,2006-27,2006,7,3,151.93,153.73,138.97,152.75,115.48,89186400,0.01789334508594087,0.6667341624959096
2006-08-31,31,2006-31,2006,8,1,151.63,156.87,145.66,148.65,112.38,86544500,-0.02684447523380684,-1.000267341108694
2006-09-30,35,2006-35,2006,9,1,148.7,171.15,147.13,169.17,127.89,105586500,0.13801388147357185,5.142614152643395
2006-10-31,40,2006-40,2006,10,2,168.51,193.6,168.51,189.79,143.76,118997500,0.1240910157166315,4.623826290708608
2006-11-30,44,2006-44,2006,11,1,191.0,203.35,182.7,194.8,147.55,93586900,0.026363383416805997,0.9823411038315892
