Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,19.67,20.54,18.44,20.17,12.09,87627000,,
1998-02-28,05,1998-05,1998,2,2,20.5,22.94,20.42,21.29,12.77,107246700,0.05624483043837891,2.597673831597882
1998-03-31,09,1998-09,1998,3,2,21.21,23.48,21.15,22.54,13.53,136070400,0.05951448707909157,2.7486832919818887
1998-04-30,13,1998-13,1998,4,1,22.48,24.23,21.85,23.23,13.94,121498500,0.030303030303030276,1.399548869163027
1998-05-31,17,1998-17,1998,5,1,23.54,26.31,22.56,26.19,15.72,120076200,0.12769010043041606,5.897381676803175
1998-06-30,22,1998-22,1998,6,1,26.5,28.85,25.35,27.69,16.63,145564200,0.057888040712468,2.6735656832675314
1998-07-31,26,1998-26,1998,7,1,27.75,32.67,27.75,27.92,16.77,160953750,0.008418520745640423,0.388810329256356
1998-08-31,31,1998-31,1998,8,3,27.71,30.62,23.88,25.42,15.26,150087300,-0.0900417412045319,-4.158587963648998
1998-09-30,35,1998-35,1998,9,1,25.67,29.75,23.5,26.33,15.83,154875900,0.03735255570117957,1.7251319940338508
1998-10-31,39,1998-39,1998,10,1,25.33,29.96,21.08,29.04,17.46,186681600,0.10296904611497171,4.7556369976171435
1998-11-30,44,1998-44,1998,11,2,29.25,34.67,28.75,33.17,19.94,105596400,0.14203894616265744,6.5600847338088295
1998-12-31,48,1998-48,1998,12,1,33.08,41.33,32.17,40.79,24.53,106602900,0.23019057171514534,10.631377493085445
1999-01-31,01,1999-01,1999,1,4,40.25,40.83,34.58,40.33,24.26,139142550,-0.011006930289441441,-0.5083563157049537
1999-02-28,05,1999-05,1999,2,1,40.25,41.12,35.88,39.79,23.93,101236050,-0.01360263808738671,-0.6282393728435881
1999-03-31,09,1999-09,1999,3,1,39.08,44.21,38.83,41.5,24.97,111417900,0.04346009193480982,2.0072092431957826
1999-04-30,13,1999-13,1999,4,1,41.67,45.29,37.71,39.83,23.97,117392100,-0.04004805766920305,-1.8496240561625923
1999-05-31,18,1999-18,1999,5,3,39.88,41.17,36.83,37.71,22.69,124823100,-0.05340008343763025,-2.4662888708154433
1999-06-30,22,1999-22,1999,6,1,38.0,43.12,36.75,42.96,25.87,104368950,0.14014984574702516,6.472836418244522
1999-07-31,26,1999-26,1999,7,1,42.54,46.62,41.62,42.54,25.62,87116700,-0.009663703131039814,-0.4463192180361415
1999-08-31,31,1999-31,1999,8,2,42.08,44.25,35.75,41.0,24.7,119803950,-0.03590944574551136,-1.6584817981182505
1999-09-30,35,1999-35,1999,9,1,40.83,46.0,39.38,45.75,27.57,101502300,0.11619433198380569,5.366448315725927
1999-10-31,39,1999-39,1999,10,1,45.58,52.33,44.71,50.5,30.43,126242700,0.10373594486760962,4.791056302923701
