Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,16.91,17.06,11.69,12.78,4.96,21436600,,
1998-02-28,05,1998-05,1998,2,2,12.81,14.94,12.16,14.47,5.62,19001000,0.13306451612903225,3.6736068100748653
1998-03-31,09,1998-09,1998,3,2,14.56,16.53,13.91,15.66,6.09,11377400,0.08362989323843406,2.3088299891207043
1998-04-30,13,1998-13,1998,4,1,15.5,17.0,14.78,15.25,5.93,10801800,-0.026272577996716007,-0.7253257611771464
1998-05-31,17,1998-17,1998,5,1,15.22,16.09,12.25,12.62,4.92,9585200,-0.1703204047217538,-4.702156644629528
1998-06-30,22,1998-22,1998,6,1,12.5,12.88,10.75,11.22,4.37,13639400,-0.11178861788617878,-3.086227943423326
1998-07-31,26,1998-26,1998,7,1,11.5,12.31,10.25,10.25,3.99,10319400,-0.08695652173913038,-2.4006705899830463
1998-08-31,31,1998-31,1998,8,3,10.09,10.47,8.06,8.12,3.18,11762400,-0.20300751879699253,-5.604573069095764
1998-09-30,35,1998-35,1998,9,1,8.5,11.5,8.34,10.5,4.11,12157200,0.2924528301886793,8.07395344649959
1998-10-31,39,1998-39,1998,10,1,10.5,12.09,9.06,11.91,4.66,8908800,0.13381995133819946,3.6944626476016476
1998-11-30,44,1998-44,1998,11,2,11.91,12.62,8.53,8.62,3.38,14792600,-0.27467811158798283,-7.58323413831555
1998-12-31,48,1998-48,1998,12,1,8.62,9.84,8.25,9.69,3.8,13645600,0.12426035502958577,3.4305440679343544
1999-01-31,01,1999-01,1999,1,4,9.81,10.59,8.44,8.78,3.44,8429000,-0.09473684210526312,-2.615467432244688
1999-02-28,05,1999-05,1999,2,1,8.81,8.91,8.0,8.16,3.21,9112400,-0.06686046511627908,-1.845864450728245
1999-03-31,09,1999-09,1999,3,1,8.09,12.12,8.06,11.34,4.47,11905200,0.39252336448598135,10.836671915530957
1999-04-30,13,1999-13,1999,4,1,11.34,13.19,10.19,12.88,5.07,8644600,0.13422818791946312,3.7057331254771886
1999-05-31,18,1999-18,1999,5,3,13.0,13.47,11.06,11.66,4.6,6002400,-0.09270216962524669,-2.55929478083992
1999-06-30,22,1999-22,1999,6,1,11.62,13.09,11.09,11.81,4.67,6445800,0.01521739130434785,0.42011735324703403
1999-07-31,26,1999-26,1999,7,1,12.0,12.94,11.22,12.78,5.05,5722200,0.0813704496788008,2.2464519225323154
1999-08-31,31,1999-31,1999,8,2,12.69,15.12,12.53,13.78,5.46,7547400,0.08118811881188126,2.241418184508927
1999-09-30,35,1999-35,1999,9,1,13.75,15.19,12.06,12.66,5.01,7483400,-0.08241758241758246,-2.2753608613850327
1999-10-31,39,1999-39,1999,10,1,12.78,13.06,10.66,11.91,4.72,5650600,-0.05788423153692612,-1.5980511811563796
1999-11-30,44,1999-44,1999,11,1,11.78,13.84,10.91,11.31,4.49,8448000,-0.048728813559321904,-1.3452910403612595
1999-12-31,48,1999-48,1999,12,1,11.44,12.5,9.19,10.88,4.32,24073200,-0.03786191536748329,-1.0452808470861599
2000-01-31,01,2000-01,2000,1,3,10.59,12.38,9.88,11.75,4.67,16492400,0.08101851851851838,2.2367359084911462
2000-02-29,05,2000-05,2000,2,1,11.69,13.34,11.5,13.31,5.3,10338200,0.13490364025695922,3.724380818935154
2000-03-31,09,2000-09,2000,3,1,13.19,15.62,12.53,15.5,6.17,17309600,0.1641509433962265,4.531831934486869
