Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,32.53,34.72,31.69,33.47,17.36,102829400,,
1998-02-28,05,1998-05,1998,2,2,34.25,37.75,34.03,37.69,19.61,82795000,0.12960829493087567,8.980147983275836
1998-03-31,09,1998-09,1998,3,2,37.59,38.22,35.53,36.72,19.11,83395000,-0.02549719530851602,-1.7666198536989985
1998-04-30,13,1998-13,1998,4,1,36.66,38.75,34.03,35.75,18.6,101515800,-0.026687598116169386,-1.8490990914525358
1998-05-31,17,1998-17,1998,5,1,36.25,36.34,34.06,34.53,18.03,69146400,-0.030645161290322576,-2.1233061009345513
1998-06-30,22,1998-22,1998,6,1,34.94,38.94,33.53,37.0,19.32,94330000,0.07154742096505817,4.957294040714169
1998-07-31,26,1998-26,1998,7,1,36.88,39.69,35.41,38.62,20.17,109580400,0.043995859213250554,3.0483336471409768
1998-08-31,31,1998-31,1998,8,3,38.59,38.91,34.44,34.5,18.07,87899800,-0.10411502231036196,-7.213799920196193
1998-09-30,35,1998-35,1998,9,1,34.56,40.41,34.06,39.12,20.5,116230200,0.13447703375760933,9.3174874659016
1998-10-31,39,1998-39,1998,10,1,38.56,42.34,36.31,40.75,21.35,123883600,0.04146341463414638,2.8728685884274965
1998-11-30,44,1998-44,1998,11,2,40.72,44.88,40.31,40.62,21.34,85487400,-0.00046838407494154133,-0.032452848085287145
1998-12-31,48,1998-48,1998,12,1,40.53,42.19,38.09,41.94,22.03,131225200,0.03233364573570774,2.2402958367775008
1999-01-31,01,1999-01,1999,1,4,41.47,43.16,38.5,42.56,22.36,109601400,0.014979573309123806,1.0378871592593972
1999-02-28,05,1999-05,1999,2,1,42.44,44.06,40.81,42.69,22.5,85177400,0.0062611806797854275,0.43381736550494754
1999-03-31,09,1999-09,1999,3,1,42.38,47.0,41.84,46.75,24.64,98503400,0.09511111111111115,6.589947449637343
1999-04-30,13,1999-13,1999,4,1,46.62,51.5,44.44,48.75,25.69,104470800,0.042613636363636465,2.952563806622514
1999-05-31,18,1999-18,1999,5,3,48.72,49.0,43.91,46.31,24.48,97097400,-0.047100038925652066,-3.263412421218788
1999-06-30,22,1999-22,1999,6,1,46.22,49.0,44.62,49.0,25.9,83921200,0.058006535947712434,4.019089033502709
1999-07-31,26,1999-26,1999,7,1,48.69,49.75,45.53,45.53,24.06,85808200,-0.07104247104247108,-4.92230766093505
1999-08-31,31,1999-31,1999,8,2,45.97,52.94,45.16,51.12,27.1,103887600,0.12635078969243563,8.754445769439219
1999-09-30,35,1999-35,1999,9,1,51.12,51.31,45.0,45.94,24.35,101840000,-0.10147601476014756,-7.030951450948551
1999-10-31,39,1999-39,1999,10,1,46.06,53.22,46.06,52.38,27.76,126584800,0.14004106776180691,9.703001747748464
1999-11-30,44,1999-44,1999,11,1,52.62,53.44,50.91,51.88,27.57,91710200,-0.00684438040345825,-0.47422542600123524
1999-12-31,48,1999-48,1999,12,1,51.62,51.72,45.06,46.62,24.78,142567200,-0.10119695321001088,-7.011616160579935
2000-01-31,01,2000-01,2000,1,3,46.56,48.47,40.25,43.03,22.87,153516200,-0.07707828894269575,-5.340510353695037
2000-02-29,05,2000-05,2000,2,1,42.72,43.16,35.03,36.0,19.2,186522000,-0.16047223436816793,-11.118612528632038
2000-03-31,09,2000-09,2000,3,1,36.12,41.12,33.06,35.12,18.74,279805400,-0.023958333333333415,-1.6599969846122156
2000-04-30,14,2000-14,2000,4,3,35.31,42.22,35.0,41.25,22.0,170787400,0.1739594450373534,12.05309861037162
2000-05-31,18,2000-18,2000,5,1,41.12,45.0,40.94,44.75,23.96,120208200,0.08909090909090911,6.1728267317121235
2000-06-30,22,2000-22,2000,6,1,44.62,50.99,41.25,50.94,27.27,149885600,0.13814691151919867,9.571761664919354
2000-07-31,27,2000-27,2000,7,3,50.62,50.72,45.12,46.53,24.91,134047800,-0.08654198753208653,-5.996220035295072
2000-08-31,31,2000-31,2000,8,1,46.25,49.44,45.62,45.98,24.7,100354600,-0.008430349257326442,-0.5841121814145256
2000-09-30,35,2000-35,2000,9,1,46.25,48.91,45.16,46.97,25.23,96535000,0.021457489878542457,1.486721467647756
2000-10-31,40,2000-40,2000,10,2,47.09,48.75,45.16,46.06,24.74,142009400,-0.01942132382084827,-1.3456419748084345
2000-11-30,44,2000-44,2000,11,1,46.0,51.5,44.59,50.0,26.95,138432000,0.08932902182700087,6.189324808536196
2000-12-31,48,2000-48,2000,12,1,49.62,52.97,47.62,52.53,28.31,139899600,0.0504638218923934,3.496478282019367
2001-01-31,00,2001-00,2001,1,2,52.0,52.34,45.19,46.56,25.1,168446600,-0.11338749558459904,-7.856260205766873
2001-02-28,04,2001-04,2001,2,1,46.56,49.12,46.56,48.67,26.32,116971800,0.048605577689242896,3.3677264305868957
2001-03-31,08,2001-08,2001,3,1,48.9,49.92,40.25,43.74,23.65,295296000,-0.1014437689969605,-7.0287172442150405
2001-04-30,13,2001-13,2001,4,2,43.75,48.35,42.6,48.24,26.09,209600800,0.10317124735729388,7.148408744839857
2001-05-31,17,2001-17,2001,5,1,48.3,51.0,47.91,48.47,26.31,184641400,0.008432349559218011,0.5842507759929597
2001-06-30,21,2001-21,2001,6,1,48.48,54.2,48.3,49.96,27.12,187599900,0.030786773090079933,2.1331179337240913
2001-07-31,26,2001-26,2001,7,2,50.1,54.98,50.0,54.1,29.36,164167000,0.08259587020648951,5.722806072383752
2001-08-31,30,2001-30,2001,8,1,54.1,57.6,52.3,52.71,28.7,163136000,-0.022479564032697574,-1.5575377464907851
2001-09-30,35,2001-35,2001,9,4,55.35,57.16,50.2,55.4,30.17,176432200,0.051219512195122,3.5488376680574953
2001-10-31,39,2001-39,2001,10,1,55.4,59.66,53.05,57.91,31.53,181677000,0.04507789194564138,3.1233042658409618
2001-11-30,43,2001-43,2001,11,1,57.58,60.97,57.51,58.25,31.81,144831900,0.008880431335236194,0.6152969421306934
2001-12-31,48,2001-48,2001,12,3,57.82,60.18,55.42,59.1,32.28,169195500,0.014775227915749811,1.0237287145921181
