Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,33.34,33.5,31.12,32.38,16.03,124724400,,
1998-02-28,05,1998-05,1998,2,2,32.62,34.91,32.62,34.31,16.99,96535600,0.05988771054273223,3.678379350125474
1998-03-31,09,1998-09,1998,3,2,34.31,39.66,33.78,38.72,19.21,140559400,0.13066509711595065,8.025616452151732
1998-04-30,13,1998-13,1998,4,1,38.72,40.69,35.94,37.94,18.82,131553800,-0.020301926080166566,-1.2469701209862196
1998-05-31,17,1998-17,1998,5,1,37.94,40.47,37.41,39.19,19.44,98397200,0.032943676939426236,2.0234425372585254
1998-06-30,22,1998-22,1998,6,1,39.22,43.41,38.88,42.75,21.25,139910600,0.09310699588477367,5.718750106007042
1998-07-31,26,1998-26,1998,7,1,42.75,44.47,39.69,40.25,20.01,115400200,-0.058352941176470496,-3.5841118636428497
1998-08-31,31,1998-31,1998,8,3,40.25,41.81,32.53,32.56,16.19,184248000,-0.19090454772613696,-11.725600124583226
1998-09-30,35,1998-35,1998,9,1,32.88,34.94,26.81,28.81,14.36,268525800,-0.11303273625694887,-6.9426144223540875
1998-10-31,39,1998-39,1998,10,1,28.56,35.31,27.69,33.78,16.83,195696600,0.17200557103064051,10.564800939154136
1998-11-30,44,1998-44,1998,11,2,34.03,37.72,34.03,35.03,17.49,110897800,0.03921568627450989,2.408677327716978
1998-12-31,48,1998-48,1998,12,1,35.03,35.25,30.97,33.5,16.73,152666400,-0.04345340194396785,-2.668963213902504
1999-01-31,01,1999-01,1999,1,4,33.5,35.19,29.78,32.66,16.31,179445200,-0.025104602510460317,-1.5419566156514553
1999-02-28,05,1999-05,1999,2,1,32.66,32.94,30.66,31.94,15.95,143678400,-0.022072348252605734,-1.3557117025408818
1999-03-31,09,1999-09,1999,3,1,31.94,34.97,30.41,30.69,15.36,208989600,-0.03699059561128526,-2.272009429185069
1999-04-30,13,1999-13,1999,4,1,30.69,34.72,28.81,34.03,17.04,192355600,0.109375,6.7179516093356195
1999-05-31,18,1999-18,1999,5,3,34.03,35.44,32.16,34.25,17.14,133333000,0.005868544600938996,0.3604534733379291
1999-06-30,22,1999-22,1999,6,1,34.25,34.94,30.19,31.0,15.56,176961800,-0.09218203033838979,-5.66193754572444
1999-07-31,26,1999-26,1999,7,1,31.06,32.75,30.12,30.28,15.2,139700600,-0.02313624678663251,-1.421057703627373
1999-08-31,31,1999-31,1999,8,2,30.28,31.22,28.78,29.91,15.01,135171800,-0.012499999999999956,-0.7677658982097824
1999-09-30,35,1999-35,1999,9,1,29.91,30.25,23.97,24.12,12.14,215847800,-0.1912058627581612,-11.744107277079722
1999-10-31,39,1999-39,1999,10,1,24.12,29.69,23.66,29.5,14.85,218290200,0.22322899505766047,13.71100879175299
1999-11-30,44,1999-44,1999,11,1,29.5,34.22,28.03,33.66,16.98,172715800,0.14343434343434347,8.80991980167996
1999-12-31,48,1999-48,1999,12,1,33.66,34.5,28.69,29.12,14.69,230905200,-0.13486454652532398,-8.283551975973657
2000-01-31,01,2000-01,2000,1,3,29.0,33.44,27.62,28.72,14.49,224495200,-0.013614703880190593,-0.8362324282747822
2000-02-29,05,2000-05,2000,2,1,28.72,29.19,23.78,24.31,12.26,189933800,-0.15389924085576268,-9.452687111154294
2000-03-31,09,2000-09,2000,3,1,24.59,25.91,21.44,23.47,11.88,303736800,-0.030995106035888953,-1.9037588340601452
2000-04-30,14,2000-14,2000,4,3,23.62,26.19,22.38,23.62,11.96,240129800,0.006734006734006703,0.41361125829483186
2000-05-31,18,2000-18,2000,5,1,23.5,27.5,22.97,26.69,13.51,229033600,0.12959866220735772,7.960114663713482
2000-06-30,22,2000-22,2000,6,1,26.69,30.44,25.53,28.72,14.59,219206600,0.079940784603997,4.910064663606617
2000-07-31,27,2000-27,2000,7,3,28.91,31.5,27.62,30.66,15.57,160374400,0.06716929403701166,4.125623469475474
2000-08-31,31,2000-31,2000,8,1,30.66,32.0,25.75,26.32,13.37,170688800,-0.14129736673089277,-8.678663974625705
2000-09-30,35,2000-35,2000,9,1,26.69,28.53,24.59,27.56,14.05,197233600,0.05086013462976835,3.1238941557675757
2000-10-31,40,2000-40,2000,10,2,27.62,30.47,26.88,30.19,15.38,180461800,0.09466192170818499,5.81425562772392
2000-11-30,44,2000-44,2000,11,1,30.19,31.53,27.62,31.31,16.0,188714400,0.0403120936280883,2.476020061846893
2000-12-31,48,2000-48,2000,12,1,31.19,31.69,26.75,30.47,15.57,193205000,-0.026874999999999982,-1.6506966811510368
2001-01-31,00,2001-00,2001,1,2,30.47,31.09,27.59,29.0,14.82,174487800,-0.048169556840077066,-2.9586354458951254
2001-02-28,04,2001-04,2001,2,1,28.75,30.5,25.7,26.51,13.55,178171600,-0.0856950067476383,-5.263496306215529
2001-03-31,08,2001-08,2001,3,1,26.51,26.95,21.88,22.58,11.58,260465800,-0.14538745387453877,-8.929882328993516
2001-04-30,13,2001-13,2001,4,2,22.58,24.23,21.18,23.09,11.85,186970000,0.023316062176165664,1.4321021935519223
2001-05-31,17,2001-17,2001,5,1,23.09,24.67,22.3,23.7,12.16,166729400,0.026160337552742607,1.6068012046922078
2001-06-30,21,2001-21,2001,6,1,23.7,23.95,21.3,22.5,11.59,187487200,-0.046875,-2.8791221182866944
2001-07-31,26,2001-26,2001,7,2,22.5,23.6,21.83,22.3,11.48,146439600,-0.009490940465918807,-0.5829456345337399
2001-08-31,30,2001-30,2001,8,1,22.35,24.92,21.75,24.33,12.53,203277800,0.0914634146341462,5.617799255193541
2001-09-30,35,2001-35,2001,9,4,24.46,25.35,22.62,23.42,12.19,215306200,-0.02713487629688749,-1.6666586138312982
