Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,16.2,18.77,15.55,18.65,11.52,1486108000,,
1998-02-28,05,1998-05,1998,2,2,18.97,21.5,18.81,21.19,13.09,1402018400,0.13628472222222232,5.4985026393924175
1998-03-31,09,1998-09,1998,3,2,21.47,22.73,19.81,22.38,13.82,1099927600,0.055767761650114656,2.2499894311422874
1998-04-30,13,1998-13,1998,4,1,22.45,24.78,21.66,22.53,13.92,1018977200,0.00723589001447178,0.2919370542359942
1998-05-31,17,1998-17,1998,5,1,22.55,22.75,20.47,21.2,13.1,1095382400,-0.05890804597701149,-2.376686403321825
1998-06-30,22,1998-22,1998,6,1,20.97,27.14,20.78,27.09,16.74,1233152400,0.27786259541984726,11.2105611648327
1998-07-31,26,1998-26,1998,7,1,27.28,29.91,26.34,27.48,16.98,1229298000,0.01433691756272415,0.5784329877478822
1998-08-31,31,1998-31,1998,8,3,27.28,28.44,23.94,23.98,14.82,1350039600,-0.12720848056537104,-5.132315308250596
1998-09-30,35,1998-35,1998,9,1,23.81,28.66,23.62,27.52,17.0,1192324400,0.1470985155195681,5.934792709311967
1998-10-31,39,1998-39,1998,10,1,27.02,27.53,21.94,26.47,16.35,1643049200,-0.03823529411764692,-1.5426297401187803
1998-11-30,44,1998-44,1998,11,2,26.59,32.57,26.19,30.5,18.84,1162706800,0.15229357798165122,6.144391145540168
1998-12-31,48,1998-48,1998,12,1,30.06,36.0,30.03,34.67,21.42,1101522000,0.13694267515923575,5.525048211792421
1999-01-31,01,1999-01,1999,1,4,34.9,43.78,34.0,43.75,27.02,1472518800,0.261437908496732,10.547895658931868
1999-02-28,05,1999-05,1999,2,1,43.86,43.98,36.0,37.53,23.18,1599103200,-0.1421169504071058,-5.7338079732935325
1999-03-31,09,1999-09,1999,3,1,37.39,47.31,36.77,44.81,27.68,1569410000,0.19413287316652283,7.83242683474395
1999-04-30,13,1999-13,1999,4,1,45.62,47.81,39.94,40.66,25.11,1163599400,-0.09284682080924855,-3.7459700614600795
1999-05-31,18,1999-18,1999,5,3,40.72,40.91,37.75,40.34,24.92,1124257000,-0.007566706491437536,-0.3052840768669293
1999-06-30,22,1999-22,1999,6,1,40.31,45.12,38.06,45.09,27.85,887432600,0.1175762439807384,4.743695972053139
1999-07-31,26,1999-26,1999,7,1,44.94,50.38,42.75,42.91,26.5,1144701200,-0.04847396768402157,-1.9557162013935177
1999-08-31,31,1999-31,1999,8,2,42.84,48.19,40.81,46.28,28.59,1347994200,0.07886792452830194,3.1819816932609863
1999-09-30,35,1999-35,1999,9,1,46.16,48.94,44.41,45.28,27.97,977273600,-0.021685904162294545,-0.8749330029785578
1999-10-31,39,1999-39,1999,10,1,45.09,47.62,42.53,46.28,28.59,1062304400,0.02216660707901319,0.8943272990760416
1999-11-30,44,1999-44,1999,11,1,46.62,47.25,42.19,45.52,28.12,1465256000,-0.01643931444561031,-0.6632556635482587
1999-12-31,48,1999-48,1999,12,1,45.53,59.97,45.44,58.38,36.06,1260977800,0.2823613086770982,11.39206490432398
2000-01-31,01,2000-01,2000,1,3,58.69,59.31,47.44,48.94,30.23,1274875200,-0.16167498613422082,-6.522890632841544
2000-02-29,05,2000-05,2000,2,1,49.25,55.0,44.06,44.69,27.6,1334487600,-0.08699966920277868,-3.510062631655304
2000-03-31,09,2000-09,2000,3,1,44.81,57.5,44.47,53.12,32.82,2028187600,0.1891304347826086,7.630599951958806
2000-04-30,14,2000-14,2000,4,3,47.22,48.25,32.5,34.88,21.54,2258146600,-0.34369287020109696,-13.866529741019942
2000-05-31,18,2000-18,2000,5,1,36.44,37.0,30.19,31.28,19.32,1344430800,-0.10306406685236769,-4.158192014290621
2000-06-30,22,2000-22,2000,6,1,32.19,41.09,31.91,40.0,24.71,1467050200,0.27898550724637694,11.25586582951779
2000-07-31,27,2000-27,2000,7,3,39.84,41.44,33.62,34.91,21.56,1234185800,-0.12747875354107652,-5.143219660888522
2000-08-31,31,2000-31,2000,8,1,34.97,37.44,34.06,34.91,21.56,1219399800,0.0,0.0
2000-09-30,35,2000-35,2000,9,1,35.0,36.03,29.31,30.16,18.63,1425533800,-0.135899814471243,-5.482973266399079
2000-10-31,40,2000-40,2000,10,2,30.25,35.06,24.22,34.44,21.27,2469415600,0.14170692431561993,5.717265183247127
2000-11-30,44,2000-44,2000,11,1,34.25,36.19,28.5,28.69,17.72,1983462600,-0.16690173953925724,-6.733767662375231
2000-12-31,48,2000-48,2000,12,1,29.03,30.31,20.16,21.69,13.4,2056668200,-0.24379232505643333,-9.8359722273245
2001-01-31,00,2001-00,2001,1,2,22.06,32.38,21.44,30.53,18.86,2005531200,0.407462686567164,16.439367678280785
2001-02-28,04,2001-04,2001,2,1,30.41,32.53,26.94,29.5,18.22,1536895600,-0.03393425238600212,-1.3691011968751439
2001-03-31,08,2001-08,2001,3,1,29.28,30.56,24.88,27.34,16.89,1895349800,-0.07299670691547744,-2.9451033035620804
2001-04-30,13,2001-13,2001,4,2,27.41,35.55,25.53,33.88,20.92,2075807000,0.23860272350503253,9.626594115365304
2001-05-31,17,2001-17,2001,5,1,33.83,36.08,33.62,34.59,21.37,1777305800,0.02151051625239009,0.8678568548248808
2001-06-30,21,2001-21,2001,6,1,34.8,38.08,33.01,36.5,22.55,1449177800,0.05521759475900789,2.227792562311134
2001-07-31,26,2001-26,2001,7,2,36.03,36.58,32.1,33.1,20.44,1455201000,-0.09356984478935693,-3.775140970701744
2001-08-31,30,2001-30,2001,8,1,33.4,33.77,28.15,28.52,17.62,1153896400,-0.13796477495107629,-5.5662855442792845
2001-09-30,35,2001-35,2001,9,4,28.59,29.54,23.75,25.58,15.8,1510824400,-0.10329171396140746,-4.1673765964616445
2001-10-31,39,2001-39,2001,10,1,25.47,31.82,25.2,29.08,17.96,1750891000,0.13670886075949373,5.515614805955389
2001-11-30,43,2001-43,2001,11,1,30.04,34.17,29.8,32.1,19.83,1330968600,0.10412026726057899,4.200805160045928
2001-12-31,48,2001-48,2001,12,3,31.92,34.94,31.9,33.12,20.46,977089000,0.03177004538577921,1.2817847485683884
2002-01-31,00,2002-00,2002,1,2,33.33,35.31,30.67,31.85,19.68,1360115800,-0.0381231671554253,-1.5381058992386751
2002-02-28,04,2002-04,2002,2,1,32.08,32.25,28.58,29.17,18.02,1131159200,-0.08434959349593496,-3.4031434698367837
2002-03-31,08,2002-08,2002,3,1,29.52,32.5,29.16,30.16,18.63,1073244200,0.03385127635960039,1.3657534709324497
2002-04-30,13,2002-13,2002,4,1,29.92,30.2,25.72,26.13,16.14,1417479400,-0.13365539452495967,-5.3924205705626305
2002-05-31,17,2002-17,2002,5,1,26.08,28.22,24.17,25.45,15.72,1420266200,-0.026022304832713727,-1.0498881273899647
