Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,4.91,5.41,4.86,5.01,3.81,246700000,,
1998-02-28,05,1998-05,1998,2,2,5.04,5.94,4.97,5.48,4.17,384157600,0.09448818897637801,4.012673337010251
1998-03-31,09,1998-09,1998,3,2,5.48,5.95,5.34,5.53,4.21,264640800,0.00959232613908867,0.4073617216629084
1998-04-30,13,1998-13,1998,4,1,5.53,6.09,5.36,5.97,4.54,209955200,0.07838479809976251,3.328803237412898
1998-05-31,17,1998-17,1998,5,1,5.98,6.09,5.66,5.75,4.38,125297600,-0.03524229074889873,-1.4966505544795958
1998-06-30,22,1998-22,1998,6,1,5.72,6.24,5.42,6.09,4.64,132468000,0.05936073059360725,2.520899421386573
1998-07-31,26,1998-26,1998,7,1,6.34,6.59,5.49,5.56,4.24,221866400,-0.08620689655172398,-3.6609878864964123
1998-08-31,31,1998-31,1998,8,3,5.55,5.66,4.33,4.34,3.3,206505600,-0.2216981132075473,-9.414955640178533
1998-09-30,35,1998-35,1998,9,1,4.32,5.25,3.88,4.6,3.51,218813600,0.06363636363636371,2.702474694395542
1998-10-31,39,1998-39,1998,10,1,4.53,5.61,4.44,5.42,4.14,139511200,0.17948717948717952,7.6223645226540855
1998-11-30,44,1998-44,1998,11,2,5.44,5.95,4.91,5.0,3.82,171960000,-0.07729468599033817,-3.2825089455736016
1998-12-31,48,1998-48,1998,12,1,4.94,5.3,4.36,5.07,3.88,229710400,0.015706806282722585,0.6670281594244816
1999-01-31,01,1999-01,1999,1,4,5.07,5.73,4.84,5.69,4.35,190421600,0.12113402061855671,5.144254112674866
1999-02-28,05,1999-05,1999,2,1,6.0,6.88,5.71,6.68,5.11,190380800,0.1747126436781612,7.419602116632755
1999-03-31,09,1999-09,1999,3,1,6.59,7.94,6.25,7.21,5.52,309294400,0.08023483365949113,3.407369547588446
1999-04-30,13,1999-13,1999,4,1,7.21,8.09,6.84,7.77,5.95,177753600,0.0778985507246377,3.308153546710895
1999-05-31,18,1999-18,1999,5,3,7.76,8.37,7.27,7.62,5.83,157863200,-0.020168067226890796,-0.8564865778156345
1999-06-30,22,1999-22,1999,6,1,7.59,8.12,6.79,7.92,6.07,188289600,0.04116638078902235,1.7482316082343128
1999-07-31,26,1999-26,1999,7,1,7.64,7.7,6.47,6.5,4.98,227159200,-0.1795716639209225,-7.625952361921039
1999-08-31,31,1999-31,1999,8,2,6.48,6.82,5.77,5.84,4.48,160040000,-0.10040160642570284,-4.2638011529476385
1999-09-30,35,1999-35,1999,9,1,5.78,7.23,5.78,7.11,5.45,221071200,0.21651785714285698,9.194963325637875
1999-10-31,39,1999-39,1999,10,1,7.08,7.41,6.66,7.0,5.37,148224000,-0.014678899082568808,-0.6233755520492986
1999-11-30,44,1999-44,1999,11,1,6.97,7.05,5.51,5.75,4.41,237304800,-0.17877094972067042,-7.591948064064085
1999-12-31,48,1999-48,1999,12,1,5.72,6.98,4.98,6.2,4.76,235860800,0.0793650793650793,3.370433292330034
2000-01-31,01,2000-01,2000,1,3,6.16,6.69,5.67,5.69,4.37,142004800,-0.08193277310924363,-3.479476722376006
2000-02-29,05,2000-05,2000,2,1,5.68,6.06,3.31,3.55,2.73,397492800,-0.37528604118993136,-15.937444748903406
2000-03-31,09,2000-09,2000,3,1,3.55,5.0,3.23,4.95,3.81,325264000,0.39560439560439553,16.80031364176818
2000-04-30,14,2000-14,2000,4,3,5.12,5.73,4.55,5.43,4.18,187183200,0.09711286089238835,4.124136485260529
2000-05-31,18,2000-18,2000,5,1,5.43,5.89,4.73,5.36,4.12,145275200,-0.014354066985645786,-0.6095807581343258
2000-06-30,22,2000-22,2000,6,1,5.39,5.61,4.35,4.98,3.84,148908800,-0.06796116504854377,-2.88613802314087
