Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,39.66,41.41,38.66,39.19,20.06,83502400,,
1998-02-28,05,1998-05,1998,2,2,39.59,42.62,39.34,42.44,21.72,66526000,0.0827517447657029,5.31815567756728
1998-03-31,09,1998-09,1998,3,2,42.0,43.94,39.94,42.19,21.6,80310800,-0.0055248618784529135,-0.35506291317312516
1998-04-30,13,1998-13,1998,4,1,41.53,44.84,40.09,41.09,21.1,101058400,-0.02314814814814814,-1.4876478538040991
1998-05-31,17,1998-17,1998,5,1,41.5,42.88,40.12,41.94,21.53,66365200,0.020379146919431212,1.3096941484485718
1998-06-30,22,1998-22,1998,6,1,41.97,46.25,41.78,45.53,23.38,87038400,0.08592661402693902,5.522193055087016
1998-07-31,26,1998-26,1998,7,1,45.91,47.0,39.53,39.69,20.44,106049200,-0.12574850299401186,-8.08140199383879
1998-08-31,31,1998-31,1998,8,3,39.53,41.69,37.81,38.25,19.7,132310800,-0.03620352250489245,-2.326669598356632
1998-09-30,35,1998-35,1998,9,1,38.69,40.31,32.56,35.56,18.32,139108000,-0.07005076142131972,-4.501909363065233
1998-10-31,39,1998-39,1998,10,1,35.0,44.5,34.81,44.34,22.92,125144600,0.25109170305676853,16.13675663253006
1998-11-30,44,1998-44,1998,11,2,44.44,46.78,43.52,43.81,22.65,77874800,-0.01178010471204205,-0.7570647716741389
1998-12-31,48,1998-48,1998,12,1,43.44,47.41,41.31,45.66,23.6,101013400,0.041942604856512355,2.695499687422541
1999-01-31,01,1999-01,1999,1,4,45.0,46.5,41.0,45.44,23.57,109497600,-0.0012711864406780293,-0.08169456010721225
1999-02-28,05,1999-05,1999,2,1,45.06,46.5,42.03,44.75,23.21,83792200,-0.015273652948663563,-0.9815824956453699
1999-03-31,09,1999-09,1999,3,1,45.06,50.91,44.25,48.97,25.4,121819200,0.09435588108573878,6.0639115964109465
1999-04-30,13,1999-13,1999,4,1,49.06,51.91,44.94,46.91,24.4,116103800,-0.03937007874015752,-2.53017272772981
1999-05-31,18,1999-18,1999,5,3,46.25,49.0,44.69,46.69,24.29,83172200,-0.004508196721311419,-0.28972551644577843
1999-06-30,22,1999-22,1999,6,1,46.81,48.88,42.06,44.06,22.92,113521600,-0.056401811445038974,-3.624740657865032
1999-07-31,26,1999-26,1999,7,1,44.31,46.22,42.28,45.28,23.64,103846800,0.03141361256544495,2.0188393911310034
1999-08-31,31,1999-31,1999,8,2,44.91,51.72,44.91,49.62,25.91,103595200,0.09602368866328259,6.171095564105129
1999-09-30,35,1999-35,1999,9,1,49.62,52.06,46.12,46.88,24.47,88672800,-0.055576997298340425,-3.571732832475703
1999-10-31,39,1999-39,1999,10,1,46.75,52.75,46.0,52.44,27.46,94258400,0.1221904372701268,7.852737964044467
1999-11-30,44,1999-44,1999,11,1,52.56,56.66,52.0,54.0,28.28,84934200,0.029861616897305154,1.919098236458718
1999-12-31,48,1999-48,1999,12,1,54.38,57.81,51.75,54.78,28.69,80968400,0.014497878359264416,0.9317262654376967
2000-01-31,01,2000-01,2000,1,3,53.91,59.19,47.41,50.53,26.54,181312400,-0.07493900313698165,-4.816058998303416
2000-02-29,05,2000-05,2000,2,1,50.34,50.44,42.5,43.94,23.07,117475600,-0.13074604370761111,-8.402575880808202
2000-03-31,09,2000-09,2000,3,1,44.0,44.91,26.38,28.38,14.9,579977000,-0.3541395752058951,-22.759271092892682
2000-04-30,14,2000-14,2000,4,3,28.38,36.38,28.38,29.88,15.76,263464200,0.05771812080536898,3.7093351050019976
2000-05-31,18,2000-18,2000,5,1,29.91,33.44,29.38,33.25,17.54,132741200,0.11294416243654815,7.258513284652283
2000-06-30,22,2000-22,2000,6,1,33.06,33.19,26.62,28.38,14.97,244567600,-0.14652223489167604,-9.416454693315062
2000-07-31,27,2000-27,2000,7,3,28.38,30.41,27.09,28.5,15.13,165107000,0.010688042752170945,0.6868818948225702
2000-08-31,31,2000-31,2000,8,1,28.0,32.25,27.69,30.91,16.41,149902800,0.08460013218770657,5.436944859481263
2000-09-30,35,2000-35,2000,9,1,30.81,33.91,30.03,33.5,17.78,177172600,0.08348567946374175,5.365323009112855
2000-10-31,40,2000-40,2000,10,2,33.53,38.47,33.28,35.72,19.05,186260600,0.0714285714285714,4.590456234595505
2000-11-30,44,2000-44,2000,11,1,35.44,37.97,33.56,37.44,19.97,140411400,0.04829396325459312,3.1036785460152267
2000-12-31,48,2000-48,2000,12,1,37.06,39.66,34.44,39.22,20.92,135825400,0.047571357035553374,3.0572392548883474
2001-01-31,00,2001-00,2001,1,2,39.06,39.59,33.38,35.92,19.25,152735200,-0.07982791586998095,-5.130251757401676
2001-02-28,04,2001-04,2001,2,1,36.0,38.58,34.92,35.25,18.89,129571400,-0.018701298701298663,-1.2018649050577304
2001-03-31,08,2001-08,2001,3,1,35.0,35.7,29.62,31.3,16.78,160554000,-0.11169931180518788,-7.178511231866132
2001-04-30,13,2001-13,2001,4,2,31.5,31.83,27.98,30.02,16.19,153575600,-0.03516090584028608,-2.259664391999936
2001-05-31,17,2001-17,2001,5,1,31.4,34.15,31.12,32.12,17.32,144725200,0.06979617047560205,4.485547722748657
2001-06-30,21,2001-21,2001,6,1,32.12,33.15,30.84,31.9,17.2,120983600,-0.006928406466512715,-0.4452636532402117
2001-07-31,26,2001-26,2001,7,2,32.0,35.8,31.88,35.51,19.25,123413400,0.1191860465116279,7.659656624005294
2001-08-31,30,2001-30,2001,8,1,35.51,38.64,34.68,37.08,20.1,152829400,0.04415584415584428,2.837736581386322
2001-09-30,35,2001-35,2001,9,4,36.84,38.12,33.5,36.4,19.73,142287200,-0.018407960199005036,-1.1830130992639207
2001-10-31,39,2001-39,2001,10,1,36.25,37.21,34.87,36.89,20.11,144373000,0.019260010136847416,1.2377712705548944
2001-11-30,43,2001-43,2001,11,1,36.9,39.5,36.82,38.73,21.11,116826200,0.049726504226752954,3.1957427789327313
2001-12-31,48,2001-48,2001,12,3,38.72,40.86,37.38,39.56,21.57,130743600,0.021790620558976848,1.4004044600092445
2002-01-31,00,2002-00,2002,1,2,39.45,41.06,38.19,40.84,22.37,128241600,0.03708854891052393,2.3835470480978103
2002-02-28,04,2002-04,2002,2,1,40.84,43.92,40.38,42.4,23.22,135382600,0.037997317836387934,2.441950343839357
