Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
1998-01-31,00,1998-00,1998,1,2,41.12,44.06,37.31,43.52,22.16,18758000,,
1998-02-28,05,1998-05,1998,2,2,43.56,44.56,42.44,44.31,22.56,14452400,0.018050541516245522,0.8552465782633164
1998-03-31,09,1998-09,1998,3,2,44.22,47.19,43.5,44.56,22.82,13012000,0.01152482269503552,0.5460537106961368
1998-04-30,13,1998-13,1998,4,1,44.62,45.38,39.94,42.38,21.7,15839200,-0.049079754601227044,-2.325431187032524
1998-05-31,17,1998-17,1998,5,1,42.62,44.81,42.19,44.38,22.72,17702900,0.047004608294930916,2.2271093845393284
1998-06-30,22,1998-22,1998,6,1,44.44,45.44,40.88,42.06,21.67,12672800,-0.04621478873239426,-2.1896872120412367
1998-07-31,26,1998-26,1998,7,1,42.25,43.62,35.0,36.19,18.64,14456400,-0.13982464236271352,-6.624983900343176
1998-08-31,31,1998-31,1998,8,3,36.12,36.75,30.56,30.75,15.84,18818800,-0.15021459227467815,-7.117266589066815
1998-09-30,35,1998-35,1998,9,1,30.31,36.38,28.06,32.5,16.86,15976500,0.06439393939393945,3.0510273765469336
1998-10-31,39,1998-39,1998,10,1,32.62,36.69,29.56,33.12,17.19,16759500,0.019572953736654908,0.927379474721827
1998-11-30,44,1998-44,1998,11,2,33.62,37.38,32.62,35.25,18.29,14163700,0.0639906922629434,3.0319212611615045
1998-12-31,48,1998-48,1998,12,1,35.0,37.5,34.19,34.81,18.19,11755600,-0.0054674685620556,-0.25905227138210046
1999-01-31,01,1999-01,1999,1,4,34.75,36.12,28.56,29.38,15.35,17882000,-0.1561297416162728,-7.3975302714478826
1999-02-28,05,1999-05,1999,2,1,29.0,33.75,28.5,32.38,16.92,11669100,0.10228013029315974,4.846100122748318
1999-03-31,09,1999-09,1999,3,1,32.38,33.81,30.88,31.06,16.36,10714700,-0.03309692671394815,-1.568154246101726
1999-04-30,13,1999-13,1999,4,1,31.06,32.88,28.5,28.69,15.11,16925300,-0.07640586797066018,-3.620160485619472
1999-05-31,18,1999-18,1999,5,3,28.94,37.06,28.88,35.62,18.77,32066600,0.24222369291859702,11.476718543678544
1999-06-30,22,1999-22,1999,6,1,35.31,35.31,31.62,31.81,16.9,12674900,-0.09962706446457115,-4.720396111610171
