Date,Week_Number,Year_Week,Year,Month,Day,Open,High,Low,Close,Adj Close,Volume,Price_chg,Sharpe_ratio
2008-03-31,11,2008-11,2008,3,19,14.88,17.25,13.75,15.59,13.91,1273903200,,
2008-04-30,13,2008-13,2008,4,1,15.77,21.2,15.08,20.86,18.62,1385323600,0.3386053199137311,17.664553735553522
2008-05-31,17,2008-17,2008,5,1,21.1,22.46,18.59,21.59,19.27,1553713600,0.03490870032223414,1.8211368115466908
2008-06-30,22,2008-22,2008,6,2,21.55,22.02,19.4,20.33,18.14,1021827600,-0.05864037363777885,-3.0591841600757865
2008-07-31,26,2008-26,2008,7,1,19.91,20.6,16.63,18.26,16.3,1332604400,-0.10143329658213895,-5.291629554154771
2008-08-31,30,2008-30,2008,8,1,18.33,19.13,17.28,18.98,16.96,634163200,0.04049079754601226,2.1123468149560733
2008-09-30,35,2008-35,2008,9,2,19.21,19.38,13.97,15.35,13.72,1019273600,-0.1910377358490566,-9.966164593290824
2008-10-31,39,2008-39,2008,10,1,15.19,15.53,10.94,13.84,12.37,1210149200,-0.09839650145772605,-5.1332043094695265
2008-11-30,44,2008-44,2008,11,3,13.98,15.11,10.89,13.14,11.77,767408000,-0.04850444624090544,-2.5304073700142586
2008-12-31,48,2008-48,2008,12,1,12.75,14.42,11.88,13.11,11.74,564085600,-0.002548853016142716,-0.13297000495784247
2009-01-31,00,2009-00,2009,1,2,13.23,14.49,10.44,12.34,11.05,642446400,-0.05877342419080067,-3.0661252165364408
2009-02-28,05,2009-05,2009,2,2,12.06,14.49,11.89,14.18,12.72,745543200,0.15113122171945692,7.8842990058849916
2009-03-31,09,2009-09,2009,3,2,13.98,14.24,12.19,13.9,12.47,927795200,-0.019654088050314433,-1.025325575441441
2009-04-30,13,2009-13,2009,4,1,13.69,17.0,13.41,16.24,14.57,891698000,0.16840417000801922,8.78540393622833
2009-05-31,17,2009-17,2009,5,1,16.04,17.14,15.66,16.93,15.21,794688800,0.04392587508579271,2.2915498818266835
2009-06-30,22,2009-22,2009,6,1,17.12,17.81,15.07,15.56,13.99,772214000,-0.08021038790269563,-4.184460857312425
2009-07-31,26,2009-26,2009,7,1,15.57,17.42,14.5,16.36,14.71,614990800,0.05146533238027162,2.6848725518578727
2009-08-31,31,2009-31,2009,8,3,16.55,17.83,16.48,17.77,16.0,375914800,0.08769544527532291,4.574945561469353
2009-09-30,35,2009-35,2009,9,1,17.69,18.75,17.15,17.28,15.55,396206800,-0.028124999999999956,-1.4672408984567025
2009-10-31,39,2009-39,2009,10,1,17.19,19.55,16.64,18.94,17.05,637483200,0.09646302250803851,5.032337486668221
2009-11-30,44,2009-44,2009,11,2,19.02,20.49,18.95,20.25,18.25,360618800,0.07038123167155419,3.6716878788359337
2009-12-31,48,2009-48,2009,12,1,20.36,22.42,19.68,21.86,19.71,819810000,0.08000000000000007,4.173485222276852
2010-01-31,01,2010-01,2010,1,4,22.0,22.19,20.15,20.51,18.49,348074000,-0.06189751395230858,-3.2291044971954364
2010-02-28,05,2010-05,2010,2,1,20.57,21.94,20.14,21.32,19.25,398111200,0.04110329908058419,2.1443001412455462
2010-03-31,09,2010-09,2010,3,1,21.38,23.41,21.32,22.76,20.54,471528000,0.06701298701298697,3.4959713874916436
2010-04-30,13,2010-13,2010,4,1,22.92,24.3,22.5,22.56,20.36,330428400,-0.008763388510223957,-0.4571734055561302
2010-05-31,18,2010-18,2010,5,3,22.64,22.82,17.07,18.11,16.38,1318828000,-0.19548133595284878,-10.19798083537688
2010-06-30,22,2010-22,2010,6,1,18.12,20.95,17.5,17.69,15.99,789074800,-0.023809523809523725,-1.2421086971062008
2010-07-31,26,2010-26,2010,7,1,17.75,19.45,17.53,18.34,16.58,471789600,0.03689806128830497,1.9249189189675784
2010-08-31,31,2010-31,2010,8,2,17.75,18.93,17.0,17.25,15.62,501453600,-0.05790108564535579,-3.020616566183482
2010-09-30,35,2010-35,2010,9,1,17.46,18.74,16.23,18.57,16.81,635893200,0.07618437900128039,3.9744297491272795
2010-10-31,39,2010-39,2010,10,1,18.68,20.22,18.15,19.54,17.7,409629600,0.05294467578822126,2.762047775004754
2010-11-30,44,2010-44,2010,11,1,19.65,20.12,18.23,18.46,16.75,317080800,-0.053672316384180796,-2.8000077409343267
2010-12-31,48,2010-48,2010,12,1,18.74,20.44,16.62,17.59,15.97,880941200,-0.04656716417910445,-2.429342144310403
2011-01-31,01,2011-01,2011,1,3,17.6,18.39,16.88,17.46,15.85,558037200,-0.007514088916718897,-0.3919992381600072
2011-02-28,05,2011-05,2011,2,1,17.55,19.27,17.55,18.26,16.61,457333200,0.047949526813880095,2.501458019661201
2011-03-31,09,2011-09,2011,3,1,18.47,18.99,17.61,18.41,16.73,528332000,0.007224563515954241,0.37689511339044374
2011-04-30,13,2011-13,2011,4,1,18.5,19.75,18.32,19.53,17.76,320730000,0.06156604901374774,3.211812446910604
2011-05-31,18,2011-18,2011,5,2,19.61,20.33,19.15,20.26,18.46,399527600,0.0394144144144144,2.0561934512906768
2011-06-30,22,2011-22,2011,6,1,20.19,21.84,18.28,21.07,19.19,786230000,0.03954496208017333,2.063003935713772
2011-07-31,26,2011-26,2011,7,1,21.02,22.71,20.9,21.39,19.48,452779200,0.015112037519541488,0.788373315828746
2011-08-31,31,2011-31,2011,8,1,21.75,22.21,19.03,21.97,20.05,643794800,0.029260780287474253,1.526492926525794
2011-09-30,35,2011-35,2011,9,1,21.93,23.69,20.81,21.43,19.56,482022400,-0.0244389027431422,-1.2749424930895639
2011-10-31,40,2011-40,2011,10,3,21.24,23.97,20.43,23.32,21.28,419068000,0.0879345603271986,4.587419850662193
2011-11-30,44,2011-44,2011,11,1,22.79,24.26,22.19,24.24,22.17,336694000,0.04182330827067671,2.181861987679979
2011-12-31,48,2011-48,2011,12,1,23.98,25.86,23.76,25.38,23.22,313435600,0.047361299052773864,2.470771021307328
2012-01-31,01,2012-01,2012,1,3,25.85,26.05,24.58,25.16,23.01,305384400,-0.009043927648578642,-0.4718087299085497
2012-02-29,05,2012-05,2012,2,1,25.3,29.84,25.15,29.09,26.66,359655600,0.1586266840504127,8.275326521789701
2012-03-31,09,2012-09,2012,3,1,29.36,30.17,28.39,29.5,27.03,251469200,0.013878469617404354,0.7240198482006912
2012-04-30,14,2012-14,2012,4,2,29.5,31.05,29.12,30.75,28.17,250660400,0.04217536071032191,2.2002280583590514
2012-05-31,18,2012-18,2012,5,1,30.87,31.34,28.12,28.8,26.44,401376000,-0.06141285055023071,-3.2038203028660566
2012-06-30,22,2012-22,2012,6,1,28.41,31.24,27.99,30.91,28.38,295216800,0.07337367624810875,3.827799419070096
2012-07-31,27,2012-27,2012,7,2,31.07,33.09,29.77,32.27,29.63,294764000,0.044045102184637086,2.297769788515708
2012-08-31,31,2012-31,2012,8,1,32.12,33.15,31.45,32.06,29.49,218263200,-0.004724940938238276,-0.2464933897733544
2012-09-30,36,2012-36,2012,9,4,32.09,34.16,31.74,33.57,30.87,252855600,0.046795523906409064,2.441255343651265
2012-10-31,40,2012-40,2012,10,1,33.72,35.78,33.72,34.69,31.9,228222400,0.03336572724327813,1.7406421197542667
2012-11-30,44,2012-44,2012,11,1,35.21,37.48,34.63,37.43,34.5,249467200,0.08150470219435735,4.251983376927823
2012-12-31,49,2012-49,2012,12,3,37.5,38.13,36.53,37.9,34.93,216124800,0.012463768115942075,0.6502169005721202
2013-01-31,00,2013-00,2013,1,2,38.54,40.69,38.48,39.48,36.39,237422800,0.04179788147724017,2.1805355083467632
2013-02-28,04,2013-04,2013,2,1,39.75,40.22,38.53,39.66,36.64,244870000,0.006870019236053793,0.35839904698035235
2013-03-31,08,2013-08,2013,3,1,39.48,42.74,38.92,42.46,39.22,259370400,0.07041484716157198,3.6734415507212943
2013-04-30,13,2013-13,2013,4,1,42.44,42.75,40.32,42.12,38.9,207622800,-0.008159102498725201,-0.4256486713183968
2013-05-31,17,2013-17,2013,5,1,41.75,46.22,40.9,44.53,41.22,311006400,0.05964010282776355,3.111338597584286
2013-06-30,22,2013-22,2013,6,3,44.69,46.31,43.92,45.69,42.28,248756800,0.025715672003881584,1.3415497136139785
2013-07-31,26,2013-26,2013,7,1,45.97,49.0,42.75,44.25,40.95,336031200,-0.0314569536423841,-1.641064139554224
2013-08-31,30,2013-30,2013,8,1,45.44,46.28,43.05,43.6,40.43,371889200,-0.012698412698412764,-0.6624579717899793
